'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'BAKE-USDT','5m','WrVZ;','2021-09-11','2021-10-11','31','9.79','-6.22',537,'42','3.36','4.34','86.33','3','5',362,-281,'13','18','-6.58'
'BAKE-USDT','5m','ftUQf','2021-09-11','2021-10-11','45','6.17','-17.18',242,'47','0.43','2.06','14.08','3','5',491,-590,'21','24','-6.58'
'BAKE-USDT','5m','?dpMr','2021-09-11','2021-10-11','28','9.61','-16.53',229,'54','0.32','2.23','13.87','3','4',520,-619,'15','13','-6.58'
'BAKE-USDT','5m','ui*5<','2021-09-11','2021-10-11','35','3.08','-8.66',95,'29','0.53','1.5','10.93','2','6',537,-291,'10','25','-6.58'
'BAKE-USDT','5m','VsWv','2021-09-11','2021-10-11','18','-1.04','-11.87',52,'44','0.14','1.17','4.38','2','4',410,-540,'8','10','-6.58'
'BAKE-USDT','5m','WVsWv','2021-09-11','2021-10-11','18','-1.04','-11.87',52,'44','0.14','1.17','4.38','2','4',410,-540,'8','10','-6.58'
'BAKE-USDT','5m','-VW*=','2021-09-11','2021-10-11','34','1.75','-13.86',33,'38','0.11','0.77','2.41','3','5',528,-288,'13','21','-6.58'
'BAKE-USDT','5m','MVsWv','2021-09-11','2021-10-11','20','-4.7','-12.81',-3,'45','-0.01','0.14','-0.25','2','4',393,-550,'9','11','-6.58'
'BAKE-USDT','5m','-VW*9','2021-09-11','2021-10-11','29','-1.98','-16.02',-11,'38','-0.02','0.05','-0.68','2','4',523,-281,'11','18','-6.58'
'BAKE-USDT','5m','-VWWu','2021-09-11','2021-10-11','50','-4.68','-16.55',-15,'42','-0.04','0.15','-0.93','3','4',394,-372,'21','29','-6.58'
'BAKE-USDT','5m',',VWWv','2021-09-11','2021-10-11','50','-4.68','-16.55',-15,'42','-0.04','0.15','-0.93','3','4',394,-372,'21','29','-6.58'
'BAKE-USDT','5m','-VWWl','2021-09-11','2021-10-11','50','-4.68','-16.55',-15,'42','-0.04','0.15','-0.93','3','4',394,-372,'21','29','-6.58'
'BAKE-USDT','5m','-VWWs','2021-09-11','2021-10-11','50','-4.68','-16.55',-15,'42','-0.04','0.15','-0.93','3','4',394,-372,'21','29','-6.58'
'BAKE-USDT','5m','-VWMv','2021-09-11','2021-10-11','50','-4.15','-17.6',-20,'42','-0.06','0.12','-1.13','3','4',459,-377,'21','29','-6.58'
'BAKE-USDT','5m','_W6,U','2021-09-11','2021-10-11','50','-3.78','-18.28',-22,'40','-0.05','0.13','-1.18','4','5',556,-407,'20','30','-6.58'
'BAKE-USDT','5m','-VWW^','2021-09-11','2021-10-11','50','-5.2','-17.01',-21,'42','-0.06','0.06','-1.23','3','4',394,-372,'21','29','-6.58'
'BAKE-USDT','5m','-VWWa','2021-09-11','2021-10-11','50','-5.24','-17.05',-21,'42','-0.06','0.05','-1.25','3','4',394,-372,'21','29','-6.58'
'BAKE-USDT','5m','@XW*?','2021-09-11','2021-10-11','36','-2.71','-18.26',-24,'39','-0.04','-0.13','-1.33','3','6',528,-314,'14','22','-6.58'
'BAKE-USDT','5m','7Fpob','2021-09-11','2021-10-11','21','-5.84','-13.97',-20,'43','-0.05','-0.25','-1.4','2','4',365,-510,'9','12','-6.58'
'BAKE-USDT','5m','-VW<v','2021-09-11','2021-10-11','49','-4.66','-16.01',-26,'43','-0.1','0.03','-1.65','4','4',387,-362,'21','28','-6.58'
'BAKE-USDT','5m','@_W*?','2021-09-11','2021-10-11','38','-4.63','-20.7',-35,'34','-0.09','-0.51','-1.71','3','8',534,-328,'13','25','-6.58'
'BAKE-USDT','5m','-VWLv','2021-09-11','2021-10-11','50','-5.61','-18.36',-33,'42','-0.09','-0.09','-1.82','3','4',518,-376,'21','29','-6.58'
'BAKE-USDT','5m','hPmHf','2021-09-11','2021-10-11','19','-5.94','-16.07',-31,'47','-0.09','-0.51','-1.92','3','4',331,-581,'9','10','-6.58'
'BAKE-USDT','5m','XRV.a','2021-09-11','2021-10-11','46','-5.92','-22.92',-45,'41','-0.1','-0.21','-1.96','3','5',483,-399,'19','27','-6.58'
'BAKE-USDT','5m','3OW5n','2021-09-11','2021-10-11','47','-5.19','-18.43',-37,'45','-0.14','-0.23','-2.03','3','3',556,-399,'21','26','-6.58'
'BAKE-USDT','5m','g^VGt','2021-09-11','2021-10-11','48','-9.42','-17.6',-38,'46','-0.1','-0.52','-2.16','3','4',382,-522,'22','26','-6.58'
'BAKE-USDT','5m','@^W*?','2021-09-11','2021-10-11','39','-6.52','-22.6',-49,'33','-0.11','-0.86','-2.17','3','8',524,-321,'13','26','-6.58'
'BAKE-USDT','5m','@cW*?','2021-09-11','2021-10-11','44','-7.87','-26.36',-57,'34','-0.13','-0.82','-2.17','3','9',564,-351,'15','29','-6.58'
'BAKE-USDT','5m','-VW.v','2021-09-11','2021-10-11','50','-5.7','-19.84',-43,'42','-0.12','-0.24','-2.18','3','4',478,-371,'21','29','-6.58'
'BAKE-USDT','5m',':VWWv','2021-09-11','2021-10-11','48','-7.47','-19.08',-42,'40','-0.12','-0.34','-2.18','3','5',394,-378,'19','29','-6.58'
'BAKE-USDT','5m','7VWWv','2021-09-11','2021-10-11','48','-7.47','-19.08',-42,'40','-0.12','-0.34','-2.18','3','5',394,-378,'19','29','-6.58'
'BAKE-USDT','5m','-SUNv','2021-09-11','2021-10-11','52','-7.0','-18.73',-44,'38','-0.13','-0.31','-2.36','3','4',421,-366,'20','32','-6.58'
'BAKE-USDT','5m','-VW?v','2021-09-11','2021-10-11','50','-7.71','-19.38',-47,'42','-0.11','-0.4','-2.4','3','4',496,-369,'21','29','-6.58'
'BAKE-USDT','5m',':YY:_','2021-09-11','2021-10-11','45','-6.49','-15.02',-37,'42','-0.16','-0.18','-2.44','3','4',424,-361,'19','26','-6.58'
'BAKE-USDT','5m','=bVNC','2021-09-11','2021-10-11','45','-14.38','-30.83',-79,'31','-0.12','-1.79','-2.55','3','9',457,-368,'14','31','-6.58'
'BAKE-USDT','5m','ePRWv','2021-09-11','2021-10-11','47','-11.78','-24.49',-66,'40','-0.13','-1.0','-2.7','3','7',410,-430,'19','28','-6.58'
'BAKE-USDT','5m','IVWWv','2021-09-11','2021-10-11','49','-13.25','-25.35',-73,'39','-0.15','-1.14','-2.88','3','7',401,-384,'19','30','-6.58'
'BAKE-USDT','5m','fVPWv','2021-09-11','2021-10-11','52','-13.5','-24.25',-71,'38','-0.16','-1.16','-2.93','3','7',397,-404,'20','32','-6.58'
'BAKE-USDT','5m','eVPWc','2021-09-11','2021-10-11','52','-13.5','-24.25',-71,'38','-0.16','-1.16','-2.93','3','7',397,-404,'20','32','-6.58'
'BAKE-USDT','5m','gVPWv','2021-09-11','2021-10-11','52','-13.5','-24.25',-71,'38','-0.16','-1.16','-2.93','3','7',397,-404,'20','32','-6.58'
'BAKE-USDT','5m','eRNWZ','2021-09-11','2021-10-11','50','-12.47','-22.87',-68,'42','-0.14','-0.95','-2.95','3','7',394,-395,'21','29','-6.58'
'BAKE-USDT','5m','BVV.a','2021-09-11','2021-10-11','50','-14.59','-28.21',-84,'38','-0.19','-1.55','-2.96','3','7',482,-381,'19','31','-6.58'
'BAKE-USDT','5m','<VV.a','2021-09-11','2021-10-11','50','-14.59','-28.21',-84,'38','-0.19','-1.55','-2.96','3','7',482,-381,'19','31','-6.58'
'BAKE-USDT','5m','?^WWv','2021-09-11','2021-10-11','50','-12.91','-23.6',-70,'38','-0.14','-1.26','-2.97','3','7',395,-374,'19','31','-6.58'
'BAKE-USDT','5m','3OW?n','2021-09-11','2021-10-11','48','-10.8','-22.3',-66,'46','-0.18','-1.13','-2.98','3','3',495,-378,'22','26','-6.58'
'BAKE-USDT','5m','ePjWv','2021-09-11','2021-10-11','23','-12.79','-23.1',-69,'39','-0.12','-1.52','-3.0','2','7',402,-544,'9','14','-6.58'
'BAKE-USDT','5m','\\sta','2021-09-11','2021-10-11','19','-8.75','-15.22',-46,'47','-0.17','-1.04','-3.02','4','4',270,-523,'9','10','-6.58'
'BAKE-USDT','5m','=ptVt','2021-09-11','2021-10-11','28','-9.51','-21.44',-66,'43','-0.21','-1.39','-3.08','3','4',427,-530,'12','16','-6.58'
'BAKE-USDT','5m','eRNWk','2021-09-11','2021-10-11','51','-14.17','-24.96',-77,'41','-0.16','-1.34','-3.08','3','7',394,-395,'21','30','-6.58'
'BAKE-USDT','5m','?VW.v','2021-09-11','2021-10-11','50','-16.65','-28.2',-87,'38','-0.2','-1.79','-3.09','3','7',472,-371,'19','31','-6.58'
'BAKE-USDT','5m','eSNWd','2021-09-11','2021-10-11','52','-15.34','-25.95',-80,'40','-0.17','-1.52','-3.09','3','7',394,-395,'21','31','-6.58'
'BAKE-USDT','5m','CMNWv','2021-09-11','2021-10-11','53','-9.9','-17.74',-57,'42','-0.17','-0.9','-3.22','3','5',378,-381,'22','31','-6.58'
'BAKE-USDT','5m','eRNDv','2021-09-11','2021-10-11','51','-15.45','-24.83',-82,'43','-0.17','-1.72','-3.3','3','5',356,-393,'22','29','-6.58'
'BAKE-USDT','5m','?VW2v','2021-09-11','2021-10-11','50','-18.8','-27.24',-90,'40','-0.22','-2.24','-3.31','3','5',418,-360,'20','30','-6.58'
'BAKE-USDT','5m','-VW=v','2021-09-11','2021-10-11','50','-10.14','-18.95',-63,'44','-0.17','-0.86','-3.31','3','4',390,-354,'22','28','-6.58'
'BAKE-USDT','5m','-dW6n','2021-09-11','2021-10-11','55','-14.29','-24.28',-81,'36','-0.17','-1.6','-3.34','3','5',513,-356,'20','35','-6.58'
'BAKE-USDT','5m','-VUWv','2021-09-11','2021-10-11','54','-12.97','-21.62',-73,'39','-0.16','-1.33','-3.36','3','5',382,-360,'21','33','-6.58'
'BAKE-USDT','5m','ePPWb','2021-09-11','2021-10-11','51','-17.83','-24.96',-86,'37','-0.22','-2.21','-3.45','3','7',380,-400,'19','32','-6.58'
'BAKE-USDT','5m','ePPW\\','2021-09-11','2021-10-11','51','-17.83','-24.96',-86,'37','-0.22','-2.21','-3.45','3','7',380,-400,'19','32','-6.58'
'BAKE-USDT','5m','`RNWv','2021-09-11','2021-10-11','50','-15.98','-23.47',-81,'40','-0.19','-1.7','-3.45','3','7',382,-385,'20','30','-6.58'
'BAKE-USDT','5m','cRNWv','2021-09-11','2021-10-11','50','-15.98','-23.47',-81,'40','-0.19','-1.7','-3.45','3','7',382,-385,'20','30','-6.58'
'BAKE-USDT','5m','\\RNWv','2021-09-11','2021-10-11','50','-15.98','-23.47',-81,'40','-0.19','-1.7','-3.45','3','7',382,-385,'20','30','-6.58'
'BAKE-USDT','5m','RNWv','2021-09-11','2021-10-11','50','-15.98','-23.47',-81,'40','-0.19','-1.7','-3.45','3','7',382,-385,'20','30','-6.58'
'BAKE-USDT','5m','aRNWv','2021-09-11','2021-10-11','50','-15.98','-23.47',-81,'40','-0.19','-1.7','-3.45','3','7',382,-385,'20','30','-6.58'
'BAKE-USDT','5m','^RNWv','2021-09-11','2021-10-11','50','-15.98','-23.47',-81,'40','-0.19','-1.7','-3.45','3','7',382,-385,'20','30','-6.58'
'BAKE-USDT','5m','_RNWv','2021-09-11','2021-10-11','50','-15.98','-23.47',-81,'40','-0.19','-1.7','-3.45','3','7',382,-385,'20','30','-6.58'
'BAKE-USDT','5m','@VW*A','2021-09-11','2021-10-11','38','-8.56','-17.97',-62,'34','-0.17','-1.28','-3.46','3','7',500,-302,'13','25','-6.58'
'BAKE-USDT','5m','@VW)?','2021-09-11','2021-10-11','36','-7.91','-17.2',-60,'33','-0.18','-1.07','-3.48','3','7',525,-301,'12','24','-6.58'
'BAKE-USDT','5m','eRQWv','2021-09-11','2021-10-11','51','-16.98','-23.82',-84,'39','-0.21','-1.98','-3.52','3','7',379,-401,'20','31','-6.58'
'BAKE-USDT','5m','tbik','2021-09-11','2021-10-11','37','-8.88','-15.61',-55,'43','-0.25','-1.03','-3.53','3','4',331,-523,'16','21','-6.58'
'BAKE-USDT','5m','eVkWv','2021-09-11','2021-10-11','25','-19.15','-24.46',-86,'32','-0.2','-2.77','-3.53','2','7',383,-504,'8','17','-6.58'
'BAKE-USDT','5m','@VW*F','2021-09-11','2021-10-11','45','-21.71','-26.67',-94,'31','-0.21','-3.3','-3.53','3','8',480,-327,'14','31','-6.58'
'BAKE-USDT','5m','YOR9c','2021-09-11','2021-10-11','48','-19.34','-25.44',-91,'35','-0.28','-2.37','-3.57','3','6',446,-376,'17','31','-6.58'
'BAKE-USDT','5m','QYRcn','2021-09-11','2021-10-11','48','-17.87','-23.29',-84,'35','-0.21','-2.06','-3.61','3','7',393,-372,'17','31','-6.58'
'BAKE-USDT','5m','@VW.?','2021-09-11','2021-10-11','37','-12.64','-20.08',-78,'32','-0.2','-2.21','-3.9','2','7',443,-301,'12','25','-6.58'
'BAKE-USDT','5m','3eWXn','2021-09-11','2021-10-11','55','-17.62','-21.92',-86,'36','-0.19','-2.27','-3.91','3','5',374,-343,'20','35','-6.58'
'BAKE-USDT','5m','?VuWv','2021-09-11','2021-10-11','19','-12.7','-19.31',-75,'32','-0.18','-2.38','-3.91','2','6',377,-493,'6','13','-6.58'
'BAKE-USDT','5m','FVW*?','2021-09-11','2021-10-11','31','-9.77','-17.29',-69,'32','-0.18','-1.75','-3.99','2','7',478,-303,'10','21','-6.58'
'BAKE-USDT','5m','hPPHs','2021-09-11','2021-10-11','50','-18.13','-21.44',-86,'46','-0.26','-2.41','-3.99','3','5',306,-395,'23','27','-6.58'
'BAKE-USDT','5m','ePPHa','2021-09-11','2021-10-11','50','-18.13','-21.44',-86,'46','-0.26','-2.41','-3.99','3','5',306,-395,'23','27','-6.58'
'BAKE-USDT','5m','ePPH','2021-09-11','2021-10-11','50','-18.13','-21.44',-86,'46','-0.26','-2.41','-3.99','3','5',306,-395,'23','27','-6.58'
'BAKE-USDT','5m','ePPHt','2021-09-11','2021-10-11','50','-18.13','-21.44',-86,'46','-0.26','-2.41','-3.99','3','5',306,-395,'23','27','-6.58'
'BAKE-USDT','5m','-VW;v','2021-09-11','2021-10-11','48','-14.16','-19.43',-79,'40','-0.25','-1.7','-4.08','3','4',421,-340,'19','29','-6.58'
'BAKE-USDT','5m','HPqWv','2021-09-11','2021-10-11','20','-12.07','-17.97',-73,'35','-0.2','-2.29','-4.08','2','5',373,-502,'7','13','-6.58'
'BAKE-USDT','5m','o4,@X','2021-09-11','2021-10-11','53','-11.7','-17.26',-71,'40','-0.22','-1.29','-4.09','4','5',389,-393,'21','32','-6.58'
'BAKE-USDT','5m','3OWXE','2021-09-11','2021-10-11','40','-8.61','-13.04',-54,'40','-0.33','-0.92','-4.14','3','4',369,-322,'16','24','-6.58'
'BAKE-USDT','5m','@VWF?','2021-09-11','2021-10-11','37','-13.45','-18.12',-75,'38','-0.17','-2.31','-4.15','2','4',373,-305,'14','23','-6.58'
'BAKE-USDT','5m','wVW*?','2021-09-11','2021-10-11','31','-8.7','-14.98',-63,'35','-0.22','-1.42','-4.18','2','6',474,-296,'11','20','-6.58'
'BAKE-USDT','5m','3OWXC','2021-09-11','2021-10-11','39','-15.65','-18.73',-79,'33','-0.22','-2.41','-4.21','2','5',375,-308,'13','26','-6.58'
'BAKE-USDT','5m','eEsWv','2021-09-11','2021-10-11','10','-7.3','-12.84',-55,'40','-0.15','-1.75','-4.26','2','3',375,-648,'4','6','-6.58'
'BAKE-USDT','5m','O=ITi','2021-09-11','2021-10-11','53','-13.91','-17.58',-76,'42','-0.25','-1.67','-4.32','3','5',315,-370,'22','31','-6.58'
'BAKE-USDT','5m','eVswv','2021-09-11','2021-10-11','19','-10.66','-11.97',-53,'53','-0.28','-1.91','-4.43','2','3',242,-504,'10','9','-6.58'
'BAKE-USDT','5m','LewDb','2021-09-11','2021-10-11','19','-13.3','-15.37',-68,'42','-0.21','-2.2','-4.44','4','4',339,-492,'8','11','-6.58'
'BAKE-USDT','5m','@VW4?','2021-09-11','2021-10-11','37','-15.05','-18.54',-83,'38','-0.24','-2.93','-4.48','2','4',344,-301,'14','23','-6.58'
'BAKE-USDT','5m','@VX*?','2021-09-11','2021-10-11','30','-6.42','-11.13',-51,'33','-0.44','-0.75','-4.56','2','4',465,-301,'10','20','-6.58'
'BAKE-USDT','5m','3fWHn','2021-09-11','2021-10-11','50','-18.75','-18.2',-83,'40','-0.25','-2.14','-4.58','3','5',294,-354,'20','30','-6.58'
'BAKE-USDT','5m','@TW*?','2021-09-11','2021-10-11','32','-10.25','-14.36',-70,'31','-0.31','-1.56','-4.88','3','4',475,-292,'10','22','-6.58'
'BAKE-USDT','5m','q9da','2021-09-11','2021-10-11','16','-7.52','-12.3',-61,'56','-0.28','-2.72','-4.99','3','2',272,-445,'9','7','-6.58'
'BAKE-USDT','5m','E^cA','2021-09-11','2021-10-11','26','-11.41','-11.89',-69,'38','-0.36','-1.97','-5.8','2','3',395,-316,'10','16','-6.58'
'BAKE-USDT','5m','vNqn','2021-09-11','2021-10-11','12','-8.85','-10.41',-68,'50','-0.34','-4.03','-6.49','2','3',365,-464,'6','6','-6.58'
