'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'BTC-USDT','5m','vNqn','2021-09-11','2021-10-11','5','13.25','-0.68',355,'100','115.67','7.26','523.31','5','0',383,0,'5','0','21.78'
'BTC-USDT','5m','LewDb','2021-09-11','2021-10-11','7','12.49','-1.11',319,'86','68.59','7.07','286.49','5','1',341,-236,'6','1','21.78'
'BTC-USDT','5m','\\sta','2021-09-11','2021-10-11','7','7.91','-1.13',152,'71','32.4','6.1','135.08','3','1',260,-224,'5','2','21.78'
'BTC-USDT','5m','eVswv','2021-09-11','2021-10-11','7','6.84','-1.08',124,'71','15.78','5.72','114.56','4','2',229,-50,'5','2','21.78'
'BTC-USDT','5m','hPmHf','2021-09-11','2021-10-11','7','9.6','-1.87',205,'71','19.42','5.8','109.62','3','1',311,-236,'5','2','21.78'
'BTC-USDT','5m','7Fpob','2021-09-11','2021-10-11','5','7.05','-2.87',129,'80','1.77','4.13','44.89','4','1',352,-241,'4','1','21.78'
'BTC-USDT','5m','wVW*?','2021-09-11','2021-10-11','14','9.42','-5.31',199,'50','1.99','3.1','37.48','3','2',491,-314,'7','7','21.78'
'BTC-USDT','5m','ePPWb','2021-09-11','2021-10-11','20','8.77','-5.29',178,'55','1.62','2.95','33.68','6','2',357,-364,'11','9','21.78'
'BTC-USDT','5m','ePPW\\','2021-09-11','2021-10-11','20','8.77','-5.29',178,'55','1.62','2.95','33.68','6','2',357,-364,'11','9','21.78'
'BTC-USDT','5m','q9da','2021-09-11','2021-10-11','5','5.81','-2.99',99,'80','1.23','3.75','33.03','4','1',280,-287,'4','1','21.78'
'BTC-USDT','5m','-dW6n','2021-09-11','2021-10-11','21','9.63','-6.4',207,'57','1.56','2.72','32.27','4','2',485,-353,'12','9','21.78'
'BTC-USDT','5m','ePRWv','2021-09-11','2021-10-11','20','8.34','-5.16',165,'55','1.57','2.82','31.98','6','2',357,-349,'11','9','21.78'
'BTC-USDT','5m','3eWXn','2021-09-11','2021-10-11','21','8.74','-5.81',179,'57','1.44','2.74','30.85','4','2',367,-352,'12','9','21.78'
'BTC-USDT','5m','VsWv','2021-09-11','2021-10-11','7','6.35','-3.66',111,'57','1.45','3.2','30.44','3','2',358,-205,'4','3','21.78'
'BTC-USDT','5m','WVsWv','2021-09-11','2021-10-11','7','6.35','-3.66',111,'57','1.45','3.2','30.44','3','2',358,-205,'4','3','21.78'
'BTC-USDT','5m','3OWXE','2021-09-11','2021-10-11','21','8.23','-5.38',162,'57','1.38','2.69','30.05','5','3',383,-303,'12','9','21.78'
'BTC-USDT','5m','tbik','2021-09-11','2021-10-11','13','5.32','-3.03',88,'62','1.71','2.62','29.02','3','1',318,-267,'8','5','21.78'
'BTC-USDT','5m','MVsWv','2021-09-11','2021-10-11','8','5.18','-3.03',85,'50','1.5','2.77','28.02','3','2',358,-226,'4','4','21.78'
'BTC-USDT','5m','g^VGt','2021-09-11','2021-10-11','20','7.57','-5.17',143,'60','1.54','2.75','27.66','6','2',348,-318,'12','8','21.78'
'BTC-USDT','5m','3OWXC','2021-09-11','2021-10-11','20','7.67','-5.38',146,'55','1.27','2.56','27.1','4','3',383,-303,'11','9','21.78'
'BTC-USDT','5m','eVkWv','2021-09-11','2021-10-11','9','6.28','-4.32',110,'56','1.4','3.1','25.43','2','2',350,-262,'5','4','21.78'
'BTC-USDT','5m','?VW2v','2021-09-11','2021-10-11','20','7.63','-5.79',145,'60','1.3','2.42','25.0','5','2',397,-362,'12','8','21.78'
'BTC-USDT','5m','o4,@X','2021-09-11','2021-10-11','34','7.96','-7.64',188,'41','0.99','2.56','24.62','3','5',422,-242,'14','20','21.78'
'BTC-USDT','5m','-SUNv','2021-09-11','2021-10-11','23','7.46','-5.73',140,'52','1.1','2.2','24.43','4','3',387,-365,'12','11','21.78'
'BTC-USDT','5m','eRQWv','2021-09-11','2021-10-11','21','6.96','-5.19',127,'52','1.25','2.51','24.4','6','2',357,-348,'11','10','21.78'
'BTC-USDT','5m','XRV.a','2021-09-11','2021-10-11','19','7.46','-6.02',140,'53','1.23','2.34','23.27','4','2',436,-363,'10','9','21.78'
'BTC-USDT','5m','BVV.a','2021-09-11','2021-10-11','20','7.02','-5.66',128,'50','1.25','2.18','22.65','4','2',436,-362,'10','10','21.78'
'BTC-USDT','5m','<VV.a','2021-09-11','2021-10-11','20','7.02','-5.66',128,'50','1.25','2.18','22.65','4','2',436,-362,'10','10','21.78'
'BTC-USDT','5m','?^WWv','2021-09-11','2021-10-11','19','6.27','-4.94',110,'53','1.26','2.22','22.2','6','2',350,-342,'10','9','21.78'
'BTC-USDT','5m','hPPHs','2021-09-11','2021-10-11','19','6.21','-4.89',108,'58','1.24','2.49','22.09','5','2',298,-364,'11','8','21.78'
'BTC-USDT','5m','ePPHa','2021-09-11','2021-10-11','19','6.21','-4.89',108,'58','1.24','2.49','22.09','5','2',298,-364,'11','8','21.78'
'BTC-USDT','5m','ePPH','2021-09-11','2021-10-11','19','6.21','-4.89',108,'58','1.24','2.49','22.09','5','2',298,-364,'11','8','21.78'
'BTC-USDT','5m','ePPHt','2021-09-11','2021-10-11','19','6.21','-4.89',108,'58','1.24','2.49','22.09','5','2',298,-364,'11','8','21.78'
