'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'BZRX-USDT','5m','@XW*?','2021-09-11','2021-10-11','28','28.31','-5.26',2085,'46','10.84','6.76','396.3','4','5',632,-397,'13','15','-6.09'
'BZRX-USDT','5m','wVW*?','2021-09-11','2021-10-11','22','24.95','-5.96',1845,'45','7.63','5.43','309.66','2','4',619,-349,'10','12','-6.09'
'BZRX-USDT','5m','@TW*?','2021-09-11','2021-10-11','29','24.54','-6.21',1450,'48','6.65','4.02','233.6','5','4',575,-368,'14','15','-6.09'
'BZRX-USDT','5m','o4,@X','2021-09-11','2021-10-11','52','21.08','-7.54',1702,'46','4.17','4.94','225.7','5','4',504,-413,'24','28','-6.09'
'BZRX-USDT','5m','@VWF?','2021-09-11','2021-10-11','32','16.98','-4.73',721,'56','5.01','4.35','152.33','6','4',443,-372,'18','14','-6.09'
'BZRX-USDT','5m','@VW)?','2021-09-11','2021-10-11','32','18.58','-5.84',741,'44','3.61','3.44','126.83','5','4',625,-367,'14','18','-6.09'
'BZRX-USDT','5m','@VW*A','2021-09-11','2021-10-11','38','21.27','-8.54',1012,'45','2.6','3.46','118.55','3','5',608,-367,'17','21','-6.09'
'BZRX-USDT','5m','@VW.?','2021-09-11','2021-10-11','31','17.44','-6.44',669,'48','3.15','3.62','103.78','5','4',529,-367,'15','16','-6.09'
'BZRX-USDT','5m','@VW4?','2021-09-11','2021-10-11','31','15.21','-6.27',578,'52','2.9','3.95','92.16','5','4',416,-357,'16','15','-6.09'
'BZRX-USDT','5m','FVW*?','2021-09-11','2021-10-11','27','15.41','-7.52',490,'44','1.4','3.48','65.12','3','6',580,-348,'12','15','-6.09'
'BZRX-USDT','5m','@VX*?','2021-09-11','2021-10-11','30','12.86','-5.84',363,'43','2.79','2.83','62.06','4','4',552,-348,'13','17','-6.09'
'BZRX-USDT','5m','E^cA','2021-09-11','2021-10-11','16','11.29','-5.43',305,'62','1.47','3.84','56.18','5','2',423,-323,'10','6','-6.09'
'BZRX-USDT','5m','3OWXC','2021-09-11','2021-10-11','33','8.22','-9.59',221,'48','1.03','2.06','23.09','4','7',412,-363,'16','17','-6.09'
'BZRX-USDT','5m','@VW*F','2021-09-11','2021-10-11','45','10.23','-14.01',261,'40','0.6','1.99','18.62','3','7',589,-401,'18','27','-6.09'
'BZRX-USDT','5m','ui*5<','2021-09-11','2021-10-11','29','6.43','-9.57',153,'31','0.7','2.51','15.99','2','5',562,-287,'9','20','-6.09'
'BZRX-USDT','5m','3OWXE','2021-09-11','2021-10-11','34','5.33','-9.71',136,'47','0.64','1.58','14.0','3','7',402,-363,'16','18','-6.09'
'BZRX-USDT','5m','ePPW\\','2021-09-11','2021-10-11','53','5.44','-22.92',240,'43','0.2','1.88','10.48','5','9',483,-619,'23','30','-6.09'
'BZRX-USDT','5m','ftUQf','2021-09-11','2021-10-11','47','3.47','-17.3',178,'40','0.3','1.73','10.3','3','8',497,-572,'19','28','-6.09'
'BZRX-USDT','5m','@_W*?','2021-09-11','2021-10-11','38','5.13','-13.73',114,'34','0.24','1.48','8.27','4','8',546,-347,'13','25','-6.09'
'BZRX-USDT','5m','ePPWb','2021-09-11','2021-10-11','54','2.04','-22.92',149,'43','0.15','1.49','6.5','5','9',471,-603,'23','31','-6.09'
'BZRX-USDT','5m','WrVZ;','2021-09-11','2021-10-11','33','-3.82','-10.53',22,'33','0.07','0.66','2.04','2','6',340,-275,'11','22','-6.09'
'BZRX-USDT','5m','eRQWv','2021-09-11','2021-10-11','55','-3.59','-18.15',32,'40','0.08','0.72','1.77','4','9',421,-574,'22','33','-6.09'
'BZRX-USDT','5m','ePPH','2021-09-11','2021-10-11','52','-4.37','-23.71',35,'48','0.04','0.74','1.46','4','5',380,-592,'25','27','-6.09'
'BZRX-USDT','5m','_W6,U','2021-09-11','2021-10-11','51','-3.29','-16.63',-6,'31','-0.02','0.24','-0.35','2','9',577,-474,'16','35','-6.09'
'BZRX-USDT','5m','@^W*?','2021-09-11','2021-10-11','39','-1.71','-14.24',-6,'36','-0.02','0.21','-0.42','2','7',519,-331,'14','25','-6.09'
'BZRX-USDT','5m','eRNWZ','2021-09-11','2021-10-11','57','-7.43','-24.6',-27,'39','-0.04','-0.09','-1.11','3','6',422,-493,'22','35','-6.09'
'BZRX-USDT','5m','ePPHa','2021-09-11','2021-10-11','51','-12.56','-23.71',-47,'45','-0.08','-0.62','-1.99','4','5',352,-548,'23','28','-6.09'
'BZRX-USDT','5m','BVV.a','2021-09-11','2021-10-11','54','-9.83','-27.88',-64,'39','-0.1','-0.65','-2.29','4','8',523,-533,'21','33','-6.09'
'BZRX-USDT','5m','<VV.a','2021-09-11','2021-10-11','54','-9.83','-27.88',-64,'39','-0.1','-0.65','-2.29','4','8',523,-533,'21','33','-6.09'
'BZRX-USDT','5m','eSNWd','2021-09-11','2021-10-11','58','-11.9','-23.96',-55,'38','-0.09','-0.79','-2.29','3','6',407,-431,'22','36','-6.09'
'BZRX-USDT','5m','@cW*?','2021-09-11','2021-10-11','46','-6.08','-18.76',-44,'30','-0.1','-0.55','-2.32','2','8',526,-332,'14','32','-6.09'
'BZRX-USDT','5m','-VW.v','2021-09-11','2021-10-11','61','-34.99','-39.15',-99,'34','-0.18','-4.64','-2.53','4','9',452,-565,'21','40','-6.09'
'BZRX-USDT','5m','XRV.a','2021-09-11','2021-10-11','52','-12.91','-25.45',-65,'37','-0.13','-0.46','-2.55','3','8',503,-491,'19','33','-6.09'
'BZRX-USDT','5m','-VUWv','2021-09-11','2021-10-11','63','-34.64','-38.01',-98,'37','-0.15','-3.7','-2.57','3','7',391,-585,'23','40','-6.09'
'BZRX-USDT','5m','eRNWk','2021-09-11','2021-10-11','58','-13.69','-24.6',-65,'38','-0.12','-0.97','-2.62','3','6',398,-574,'22','36','-6.09'
'BZRX-USDT','5m','-SUNv','2021-09-11','2021-10-11','62','-32.69','-37.61',-99,'32','-0.16','-4.17','-2.62','4','9',411,-562,'20','42','-6.09'
'BZRX-USDT','5m','-VW=v','2021-09-11','2021-10-11','61','-36.9','-36.82',-99,'39','-0.18','-5.28','-2.69','4','9',370,-544,'24','37','-6.09'
'BZRX-USDT','5m','-VW;v','2021-09-11','2021-10-11','58','-35.11','-36.69',-99,'40','-0.17','-5.19','-2.7','3','8',423,-552,'23','35','-6.09'
'BZRX-USDT','5m','hPPHs','2021-09-11','2021-10-11','56','-15.58','-23.71',-65,'46','-0.15','-0.87','-2.75','5','5',340,-572,'26','30','-6.09'
'BZRX-USDT','5m','ePPHt','2021-09-11','2021-10-11','56','-15.58','-23.71',-65,'46','-0.15','-0.87','-2.75','5','5',340,-572,'26','30','-6.09'
'BZRX-USDT','5m','-VWMv','2021-09-11','2021-10-11','61','-33.53','-35.82',-99,'33','-0.18','-4.38','-2.75','4','9',430,-542,'20','41','-6.09'
'BZRX-USDT','5m','-VWLv','2021-09-11','2021-10-11','61','-34.05','-35.33',-99,'33','-0.19','-4.36','-2.79','4','9',478,-532,'20','41','-6.09'
'BZRX-USDT','5m','-VWWa','2021-09-11','2021-10-11','60','-25.67','-32.95',-93,'35','-0.14','-2.99','-2.84','4','9',401,-438,'21','39','-6.09'
'BZRX-USDT','5m','ePRWv','2021-09-11','2021-10-11','56','-20.77','-29.16',-83,'36','-0.18','-1.4','-2.85','3','9',399,-544,'20','36','-6.09'
'BZRX-USDT','5m','CMNWv','2021-09-11','2021-10-11','62','-25.96','-33.27',-95,'40','-0.2','-2.74','-2.85','4','6',398,-562,'25','37','-6.09'
'BZRX-USDT','5m','-VW?v','2021-09-11','2021-10-11','61','-34.79','-34.13',-99,'36','-0.2','-4.52','-2.89','4','9',456,-546,'22','39','-6.09'
'BZRX-USDT','5m','-VWW^','2021-09-11','2021-10-11','59','-24.11','-31.64',-92,'36','-0.13','-2.66','-2.9','4','8',401,-438,'21','38','-6.09'
'BZRX-USDT','5m','-VWWl','2021-09-11','2021-10-11','61','-32.48','-33.56',-98,'34','-0.17','-4.2','-2.91','4','9',372,-553,'21','40','-6.09'
'BZRX-USDT','5m','-VWWu','2021-09-11','2021-10-11','61','-33.51','-33.56',-98,'34','-0.18','-4.47','-2.92','4','9',371,-546,'21','40','-6.09'
'BZRX-USDT','5m',',VWWv','2021-09-11','2021-10-11','61','-33.51','-33.56',-98,'34','-0.18','-4.47','-2.92','4','9',371,-546,'21','40','-6.09'
'BZRX-USDT','5m','-VWWs','2021-09-11','2021-10-11','61','-33.51','-33.56',-98,'34','-0.18','-4.47','-2.92','4','9',371,-546,'21','40','-6.09'
'BZRX-USDT','5m','-VW<v','2021-09-11','2021-10-11','60','-32.12','-33.5',-98,'40','-0.17','-4.36','-2.93','4','9',368,-557,'24','36','-6.09'
'BZRX-USDT','5m','?^WWv','2021-09-11','2021-10-11','61','-32.45','-33.41',-98,'41','-0.23','-3.97','-2.94','4','6',365,-472,'25','36','-6.09'
'BZRX-USDT','5m','`RNWv','2021-09-11','2021-10-11','61','-19.36','-27.09',-81,'38','-0.14','-1.72','-2.98','4','6',396,-568,'23','38','-6.09'
'BZRX-USDT','5m','cRNWv','2021-09-11','2021-10-11','61','-19.36','-27.09',-81,'38','-0.14','-1.72','-2.98','4','6',396,-568,'23','38','-6.09'
'BZRX-USDT','5m','\\RNWv','2021-09-11','2021-10-11','61','-19.36','-27.09',-81,'38','-0.14','-1.72','-2.98','4','6',396,-568,'23','38','-6.09'
'BZRX-USDT','5m','RNWv','2021-09-11','2021-10-11','61','-19.36','-27.09',-81,'38','-0.14','-1.72','-2.98','4','6',396,-568,'23','38','-6.09'
'BZRX-USDT','5m','aRNWv','2021-09-11','2021-10-11','61','-19.36','-27.09',-81,'38','-0.14','-1.72','-2.98','4','6',396,-568,'23','38','-6.09'
