'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'CELR-USDT','5m','?VW.v','2021-09-11','2021-10-11','82','38.46','-15.33',9958,'50','2.16','4.94','649.37','8','4',637,-848,'41','41','168.6'
'CELR-USDT','5m',':VWWv','2021-09-11','2021-10-11','89','16.55','-11.89',2826,'49','1.77','4.52','237.76','5','4',462,-707,'44','45','168.6'
'CELR-USDT','5m','7VWWv','2021-09-11','2021-10-11','89','16.55','-11.89',2826,'49','1.77','4.52','237.76','5','4',462,-707,'44','45','168.6'
'CELR-USDT','5m','HPqWv','2021-09-11','2021-10-11','49','26.6','-19.95',3028,'61','0.72','4.19','151.82','5','4',504,-832,'30','19','168.6'
'CELR-USDT','5m','MVsWv','2021-09-11','2021-10-11','50','24.51','-19.99',2756,'60','0.65','4.54','137.87','5','4',479,-800,'30','20','168.6'
'CELR-USDT','5m','-VWMv','2021-09-11','2021-10-11','88','13.71','-14.83',1957,'47','1.45','4.08','132.01','6','4',519,-734,'41','47','168.6'
'CELR-USDT','5m','3OW5n','2021-09-11','2021-10-11','86','24.97','-26.82',3478,'47','0.69','3.92','129.65','5','5',757,-710,'40','46','168.6'
'CELR-USDT','5m','-VWWl','2021-09-11','2021-10-11','85','1.15','-12.8',1421,'46','1.41','3.87','110.96','4','4',439,-563,'39','46','168.6'
'CELR-USDT','5m','-VWWs','2021-09-11','2021-10-11','85','1.15','-12.8',1421,'46','1.41','3.87','110.96','4','4',439,-563,'39','46','168.6'
'CELR-USDT','5m','IVWWv','2021-09-11','2021-10-11','85','9.16','-16.86',1757,'48','0.78','3.73','104.18','5','5',452,-688,'41','44','168.6'
'CELR-USDT','5m','wVW*?','2021-09-11','2021-10-11','21','9.86','-4.25',341,'48','3.74','4.69','80.24','4','4',538,-277,'10','11','168.6'
'CELR-USDT','5m','?VW2v','2021-09-11','2021-10-11','86','17.25','-21.0',1564,'52','0.55','3.37','74.48','8','4',524,-726,'45','41','168.6'
'CELR-USDT','5m','-VW.v','2021-09-11','2021-10-11','90','10.01','-16.69',1192,'47','0.97','3.43','71.41','5','4',531,-720,'42','48','168.6'
'CELR-USDT','5m','3eWXn','2021-09-11','2021-10-11','87','0.11','-16.67',1058,'49','0.66','3.19','63.44','5','6',461,-695,'43','44','168.6'
'CELR-USDT','5m','-VWWu','2021-09-11','2021-10-11','88','-1.79','-12.8',577,'47','0.91','3.05','45.06','5','4',408,-672,'41','47','168.6'
'CELR-USDT','5m',',VWWv','2021-09-11','2021-10-11','88','-1.79','-12.8',577,'47','0.91','3.05','45.06','5','4',408,-672,'41','47','168.6'
'CELR-USDT','5m','CMNWv','2021-09-11','2021-10-11','93','4.36','-17.67',757,'48','0.59','2.99','42.83','5','4',435,-615,'45','48','168.6'
'CELR-USDT','5m','-VW=v','2021-09-11','2021-10-11','90','-4.76','-16.2',660,'49','0.71','3.19','40.77','5','4',447,-717,'44','46','168.6'
'CELR-USDT','5m','-VWLv','2021-09-11','2021-10-11','90','6.37','-18.55',747,'46','0.68','2.93','40.28','5','4',601,-751,'41','49','168.6'
'CELR-USDT','5m','VsWv','2021-09-11','2021-10-11','52','12.18','-28.03',1026,'58','0.22','3.11','36.58','5','7',492,-792,'30','22','168.6'
'CELR-USDT','5m','WVsWv','2021-09-11','2021-10-11','52','12.18','-28.03',1026,'58','0.22','3.11','36.58','5','7',492,-792,'30','22','168.6'
'CELR-USDT','5m','\\sta','2021-09-11','2021-10-11','33','4.67','-13.73',485,'64','0.46','3.43','35.34','6','3',299,-562,'21','12','168.6'
'CELR-USDT','5m','3OW?n','2021-09-11','2021-10-11','85','3.87','-24.34',820,'47','0.39','2.78','33.71','5','5',648,-684,'40','45','168.6'
'CELR-USDT','5m','-VW?v','2021-09-11','2021-10-11','89','2.27','-20.34',679,'47','0.54','2.87','33.39','5','4',590,-768,'42','47','168.6'
'CELR-USDT','5m','-dW6n','2021-09-11','2021-10-11','89','6.4','-23.65',704,'46','0.41','2.4','29.76','5','6',593,-675,'41','48','168.6'
'CELR-USDT','5m','?dpMr','2021-09-11','2021-10-11','65','19.64','-38.49',1129,'54','0.16','2.77','29.33','5','10',684,-1044,'35','30','168.6'
'CELR-USDT','5m','BVV.a','2021-09-11','2021-10-11','82','7.87','-17.09',462,'43','0.74','2.12','27.04','5','7',531,-608,'35','47','168.6'
'CELR-USDT','5m','<VV.a','2021-09-11','2021-10-11','82','7.87','-17.09',462,'43','0.74','2.12','27.04','5','7',531,-608,'35','47','168.6'
'CELR-USDT','5m','vNqn','2021-09-11','2021-10-11','18','9.94','-13.54',313,'61','0.32','3.03','23.1','4','3',439,-582,'11','7','168.6'
'CELR-USDT','5m','-VW;v','2021-09-11','2021-10-11','85','-2.19','-18.16',372,'48','0.43','2.4','20.47','5','4',499,-707,'41','44','168.6'
'CELR-USDT','5m','-VW<v','2021-09-11','2021-10-11','81','-6.46','-15.0',236,'48','0.42','2.02','15.72','5','4',415,-683,'39','42','168.6'
'CELR-USDT','5m','YOR9c','2021-09-11','2021-10-11','77','1.58','-17.62',243,'45','0.42','1.72','13.81','4','5',504,-534,'35','42','168.6'
'CELR-USDT','5m','?^WWv','2021-09-11','2021-10-11','91','-2.35','-21.09',266,'46','0.2','1.82','12.61','5','5',421,-599,'42','49','168.6'
'CELR-USDT','5m','eRQWv','2021-09-11','2021-10-11','80','-5.38','-22.27',267,'49','0.19','2.11','12.0','4','3',436,-666,'39','41','168.6'
'CELR-USDT','5m','eRNDv','2021-09-11','2021-10-11','82','-9.17','-19.42',214,'49','0.21','1.74','11.03','4','4',389,-687,'40','42','168.6'
'CELR-USDT','5m',':YY:_','2021-09-11','2021-10-11','75','-2.89','-18.7',193,'44','0.26','1.6','10.29','6','7',506,-612,'33','42','168.6'
'CELR-USDT','5m','q9da','2021-09-11','2021-10-11','25','-0.91','-15.25',131,'56','0.17','1.82','8.56','6','4',313,-568,'14','11','168.6'
'CELR-USDT','5m','=bVNC','2021-09-11','2021-10-11','54','-2.54','-11.49',80,'37','0.29','1.12','7.01','4','6',427,-343,'20','34','168.6'
'CELR-USDT','5m','eEsWv','2021-09-11','2021-10-11','36','5.05','-28.18',193,'56','0.08','1.84','6.84','4','4',467,-772,'20','16','168.6'
'CELR-USDT','5m','FVW*?','2021-09-11','2021-10-11','40','0.6','-13.26',70,'38','0.18','1.05','5.28','3','7',554,-334,'15','25','168.6'
'CELR-USDT','5m','eVkWv','2021-09-11','2021-10-11','57','1.19','-29.9',135,'54','0.07','1.41','4.52','5','5',452,-613,'31','26','168.6'
'CELR-USDT','5m','-SUNv','2021-09-11','2021-10-11','90','-6.6','-18.67',75,'44','0.12','1.1','4.02','5','9',444,-687,'40','50','168.6'
'CELR-USDT','5m','hPPHs','2021-09-11','2021-10-11','77','-19.96','-19.85',41,'49','0.06','0.8','2.04','5','6',340,-648,'38','39','168.6'
'CELR-USDT','5m','ePPHt','2021-09-11','2021-10-11','77','-19.96','-19.85',41,'49','0.06','0.8','2.04','5','6',340,-648,'38','39','168.6'
'CELR-USDT','5m','`RNWv','2021-09-11','2021-10-11','87','-14.49','-16.25',28,'45','0.06','0.69','1.75','4','4',381,-582,'39','48','168.6'
'CELR-USDT','5m','cRNWv','2021-09-11','2021-10-11','87','-14.49','-16.25',28,'45','0.06','0.69','1.75','4','4',381,-582,'39','48','168.6'
'CELR-USDT','5m','\\RNWv','2021-09-11','2021-10-11','87','-14.49','-16.25',28,'45','0.06','0.69','1.75','4','4',381,-582,'39','48','168.6'
'CELR-USDT','5m','RNWv','2021-09-11','2021-10-11','87','-14.49','-16.25',28,'45','0.06','0.69','1.75','4','4',381,-582,'39','48','168.6'
'CELR-USDT','5m','aRNWv','2021-09-11','2021-10-11','87','-14.49','-16.25',28,'45','0.06','0.69','1.75','4','4',381,-582,'39','48','168.6'
'CELR-USDT','5m','^RNWv','2021-09-11','2021-10-11','87','-14.49','-16.25',28,'45','0.06','0.69','1.75','4','4',381,-582,'39','48','168.6'
'CELR-USDT','5m','_RNWv','2021-09-11','2021-10-11','87','-14.49','-16.25',28,'45','0.06','0.69','1.75','4','4',381,-582,'39','48','168.6'
'CELR-USDT','5m','3fWHn','2021-09-11','2021-10-11','86','-25.41','-22.06',35,'47','0.03','0.77','1.61','5','7',339,-583,'40','46','168.6'
'CELR-USDT','5m','eVswv','2021-09-11','2021-10-11','45','-13.38','-22.93',30,'58','0.02','0.71','1.32','6','6',264,-663,'26','19','168.6'
'CELR-USDT','5m','-VUWv','2021-09-11','2021-10-11','94','-17.91','-20.22',23,'46','0.03','0.62','1.12','5','6',410,-683,'43','51','168.6'
'CELR-USDT','5m','?VuWv','2021-09-11','2021-10-11','49','-4.07','-28.84',12,'55','0.01','0.54','0.43','6','7',441,-699,'27','22','168.6'
'CELR-USDT','5m','hPmHf','2021-09-11','2021-10-11','36','-4.45','-22.97',5,'58','0.01','0.4','0.21','4','5',344,-556,'21','15','168.6'
'CELR-USDT','5m','=ptVt','2021-09-11','2021-10-11','57','-9.6','-33.27',7,'51','0.0','0.47','0.2','4','5',518,-609,'29','28','168.6'
'CELR-USDT','5m','@XW*?','2021-09-11','2021-10-11','44','-3.61','-16.12',3,'34','0.01','0.4','0.16','3','9',562,-334,'15','29','168.6'
'CELR-USDT','5m','LewDb','2021-09-11','2021-10-11','38','-9.22','-21.86',-13,'55','-0.01','0.08','-0.61','4','5',402,-587,'21','17','168.6'
'CELR-USDT','5m','ePjWv','2021-09-11','2021-10-11','57','-7.75','-34.81',-23,'53','-0.02','0.15','-0.66','5','5',440,-745,'30','27','168.6'
'CELR-USDT','5m','g^VGt','2021-09-11','2021-10-11','75','-21.32','-22.58',-51,'49','-0.08','-0.5','-2.24','4','7',371,-674,'37','38','168.6'
'CELR-USDT','5m','fVPWv','2021-09-11','2021-10-11','83','-26.18','-31.89',-80,'43','-0.08','-1.16','-2.5','4','7',397,-520,'36','47','168.6'
'CELR-USDT','5m','gVPWv','2021-09-11','2021-10-11','83','-26.18','-31.89',-80,'43','-0.08','-1.16','-2.5','4','7',397,-520,'36','47','168.6'
'CELR-USDT','5m','O=ITi','2021-09-11','2021-10-11','88','-35.26','-37.57',-97,'45','-0.12','-3.32','-2.58','4','6',311,-550,'40','48','168.6'
'CELR-USDT','5m','ePRWv','2021-09-11','2021-10-11','83','-21.21','-25.94',-68,'46','-0.1','-0.91','-2.64','4','4',390,-539,'38','45','168.6'
'CELR-USDT','5m','@VW.?','2021-09-11','2021-10-11','48','-9.78','-15.85',-42,'35','-0.14','-0.36','-2.67','4','9',496,-340,'17','31','168.6'
'CELR-USDT','5m','@VW*F','2021-09-11','2021-10-11','54','-10.7','-20.06',-57,'37','-0.13','-0.46','-2.83','4','8',556,-380,'20','34','168.6'
'CELR-USDT','5m','-VWW^','2021-09-11','2021-10-11','78','-26.19','-27.57',-78,'40','-0.13','-1.21','-2.83','5','8',383,-485,'31','47','168.6'
'CELR-USDT','5m','@VWF?','2021-09-11','2021-10-11','48','-13.07','-13.14',-38,'38','-0.15','-0.4','-2.89','4','7',409,-335,'18','30','168.6'
'CELR-USDT','5m','@VW)?','2021-09-11','2021-10-11','48','-9.88','-18.94',-55,'35','-0.16','-0.58','-2.9','4','9',591,-346,'17','31','168.6'
'CELR-USDT','5m','XRV.a','2021-09-11','2021-10-11','72','-17.78','-27.79',-81,'40','-0.13','-1.62','-2.93','4','5',477,-506,'29','43','168.6'
'CELR-USDT','5m','ftUQf','2021-09-11','2021-10-11','67','-28.65','-32.07',-94,'40','-0.14','-3.03','-2.94','3','5',417,-521,'27','40','168.6'
'CELR-USDT','5m','_W6,U','2021-09-11','2021-10-11','53','-30.41','-33.17',-98,'26','-0.15','-4.43','-2.95','2','9',504,-343,'14','39','168.6'
'CELR-USDT','5m','eRNWZ','2021-09-11','2021-10-11','75','-30.51','-31.2',-92,'36','-0.15','-1.93','-2.95','5','7',390,-458,'27','48','168.6'
