'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'DOT-USDT','5m','@VW4?','2021-09-11','2021-10-11','32','26.67','-5.68',2810,'59','15.39','7.48','494.73','3','3',449,-398,'19','13','17.62'
'DOT-USDT','5m','@VX*?','2021-09-11','2021-10-11','30','29.97','-6.97',3434,'57','7.45','6.69','492.55','2','4',610,-404,'17','13','17.62'
'DOT-USDT','5m','HPqWv','2021-09-11','2021-10-11','22','29.52','-4.64',2228,'64','8.7','6.81','480.59','3','2',433,-585,'14','8','17.62'
'DOT-USDT','5m','@VW.?','2021-09-11','2021-10-11','32','27.19','-6.65',2844,'59','9.49','6.77','427.73','3','3',557,-398,'19','13','17.62'
'DOT-USDT','5m','@cW*?','2021-09-11','2021-10-11','33','28.1','-4.88',1997,'52','9.11','5.35','409.63','4','3',541,-342,'17','16','17.62'
'DOT-USDT','5m','@^W*?','2021-09-11','2021-10-11','34','32.13','-7.84',2930,'53','5.18','6.14','373.91','4','4',601,-362,'18','16','17.62'
'DOT-USDT','5m','@VW)?','2021-09-11','2021-10-11','30','27.05','-6.97',2071,'57','5.83','5.7','297.06','3','5',639,-388,'17','13','17.62'
'DOT-USDT','5m','@_W*?','2021-09-11','2021-10-11','35','29.91','-8.99',2369,'54','3.67','5.65','263.61','4','5',577,-363,'19','16','17.62'
'DOT-USDT','5m','@VWF?','2021-09-11','2021-10-11','32','21.78','-6.28',1541,'69','7.96','6.4','245.37','7','3',455,-381,'22','10','17.62'
'DOT-USDT','5m','@VW*A','2021-09-11','2021-10-11','33','22.5','-7.4',1639,'55','5.1','5.41','221.43','3','5',592,-388,'18','15','17.62'
'DOT-USDT','5m','@TW*?','2021-09-11','2021-10-11','31','21.76','-6.98',1529,'52','4.78','5.53','219.0','2','5',596,-377,'16','15','17.62'
'DOT-USDT','5m','IVWWv','2021-09-11','2021-10-11','42','15.67','-5.52',986,'60','6.94','4.44','178.52','4','4',423,-614,'25','17','17.62'
'DOT-USDT','5m','O=ITi','2021-09-11','2021-10-11','47','21.19','-6.63',1068,'57','5.67','4.9','161.03','3','4',369,-463,'27','20','17.62'
'DOT-USDT','5m','=ptVt','2021-09-11','2021-10-11','27','19.07','-6.42',930,'63','5.18','4.66','144.78','4','3',438,-502,'17','10','17.62'
'DOT-USDT','5m','@XW*?','2021-09-11','2021-10-11','33','19.9','-7.31',1040,'55','3.55','5.05','142.22','3','4',571,-368,'18','15','17.62'
'DOT-USDT','5m','FVW*?','2021-09-11','2021-10-11','30','21.01','-8.94',1202,'53','2.03','5.19','134.45','4','6',576,-337,'16','14','17.62'
'DOT-USDT','5m','=bVNC','2021-09-11','2021-10-11','39','24.58','-11.75',1550,'51','2.25','4.7','131.98','3','6',434,-371,'20','19','17.62'
