'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'EOS-USDT','5m','WrVZ;','2021-09-11','2021-10-11','29','0.34','-8.72',42,'38','0.24','1.11','4.82','2','6',329,-287,'11','18','0.15'
'EOS-USDT','5m','eRNWZ','2021-09-11','2021-10-11','44','-4.33','-12.69',-11,'39','-0.04','0.05','-0.86','3','7',354,-457,'17','27','0.15'
'EOS-USDT','5m','ePjWv','2021-09-11','2021-10-11','21','-3.1','-13.76',-22,'48','-0.08','-0.28','-1.59','6','7',335,-461,'10','11','0.15'
'EOS-USDT','5m','eSNWd','2021-09-11','2021-10-11','46','-6.3','-17.2',-31,'39','-0.06','-0.35','-1.8','3','7',347,-466,'18','28','0.15'
'EOS-USDT','5m','eRNWk','2021-09-11','2021-10-11','46','-6.47','-17.2',-32,'39','-0.07','-0.39','-1.89','3','7',346,-467,'18','28','0.15'
'EOS-USDT','5m','`RNWv','2021-09-11','2021-10-11','48','-7.18','-18.37',-40,'40','-0.08','-0.53','-2.17','4','7',344,-463,'19','29','0.15'
'EOS-USDT','5m','cRNWv','2021-09-11','2021-10-11','48','-7.18','-18.37',-40,'40','-0.08','-0.53','-2.17','4','7',344,-463,'19','29','0.15'
'EOS-USDT','5m','\\RNWv','2021-09-11','2021-10-11','48','-7.18','-18.37',-40,'40','-0.08','-0.53','-2.17','4','7',344,-463,'19','29','0.15'
'EOS-USDT','5m','RNWv','2021-09-11','2021-10-11','48','-7.18','-18.37',-40,'40','-0.08','-0.53','-2.17','4','7',344,-463,'19','29','0.15'
'EOS-USDT','5m','aRNWv','2021-09-11','2021-10-11','48','-7.18','-18.37',-40,'40','-0.08','-0.53','-2.17','4','7',344,-463,'19','29','0.15'
'EOS-USDT','5m','^RNWv','2021-09-11','2021-10-11','48','-7.18','-18.37',-40,'40','-0.08','-0.53','-2.17','4','7',344,-463,'19','29','0.15'
'EOS-USDT','5m','_RNWv','2021-09-11','2021-10-11','48','-7.18','-18.37',-40,'40','-0.08','-0.53','-2.17','4','7',344,-463,'19','29','0.15'
'EOS-USDT','5m','fVPWv','2021-09-11','2021-10-11','46','-7.49','-17.57',-42,'39','-0.09','-0.62','-2.36','3','7',342,-466,'18','28','0.15'
'EOS-USDT','5m','eVPWc','2021-09-11','2021-10-11','46','-7.49','-17.57',-42,'39','-0.09','-0.62','-2.36','3','7',342,-466,'18','28','0.15'
'EOS-USDT','5m','gVPWv','2021-09-11','2021-10-11','46','-7.49','-17.57',-42,'39','-0.09','-0.62','-2.36','3','7',342,-466,'18','28','0.15'
'EOS-USDT','5m','eRNDv','2021-09-11','2021-10-11','42','-8.81','-14.3',-41,'40','-0.12','-0.63','-2.9','3','6',316,-470,'17','25','0.15'
'EOS-USDT','5m','@cW*?','2021-09-11','2021-10-11','38','-6.41','-15.73',-48,'34','-0.13','-0.82','-3.04','3','7',469,-288,'13','25','0.15'
'EOS-USDT','5m','-dW6n','2021-09-11','2021-10-11','47','-12.54','-22.43',-75,'36','-0.19','-1.45','-3.35','4','8',447,-519,'17','30','0.15'
'EOS-USDT','5m','eVkWv','2021-09-11','2021-10-11','22','-8.04','-17.22',-58,'41','-0.19','-1.45','-3.4','3','8',321,-457,'9','13','0.15'
'EOS-USDT','5m','-VUWv','2021-09-11','2021-10-11','48','-12.61','-18.45',-65,'44','-0.18','-1.31','-3.52','4','6',349,-541,'21','27','0.15'
'EOS-USDT','5m','?^WWv','2021-09-11','2021-10-11','45','-14.83','-22.03',-79,'38','-0.13','-2.11','-3.58','3','8',314,-511,'17','28','0.15'
'EOS-USDT','5m','FVW*?','2021-09-11','2021-10-11','38','-28.0','-26.91',-98,'26','-0.18','-6.26','-3.63','2','7',406,-276,'10','28','0.15'
'EOS-USDT','5m','3eWXn','2021-09-11','2021-10-11','47','-13.43','-19.71',-72,'38','-0.17','-1.59','-3.64','4','8',340,-524,'18','29','0.15'
'EOS-USDT','5m','3OW5n','2021-09-11','2021-10-11','43','-17.26','-22.88',-87,'40','-0.18','-2.71','-3.78','4','7',461,-528,'17','26','0.15'
'EOS-USDT','5m','=ptVt','2021-09-11','2021-10-11','24','-22.21','-24.68',-95,'33','-0.13','-5.34','-3.83','2','5',326,-497,'8','16','0.15'
'EOS-USDT','5m','CMNWv','2021-09-11','2021-10-11','50','-21.01','-23.95',-92,'38','-0.17','-3.25','-3.85','4','8',313,-520,'19','31','0.15'
'EOS-USDT','5m','3OW?n','2021-09-11','2021-10-11','43','-17.4','-21.68',-85,'40','-0.17','-2.73','-3.91','4','7',408,-532,'17','26','0.15'
'EOS-USDT','5m','q9da','2021-09-11','2021-10-11','16','-4.81','-8.68',-34,'56','-0.37','-1.03','-3.95','4','2',272,-439,'9','7','0.15'
'EOS-USDT','5m','ui*5<','2021-09-11','2021-10-11','34','-4.83','-7.68',-31,'29','-0.26','-0.43','-3.98','2','5',494,-268,'10','24','0.15'
'EOS-USDT','5m','ePRWv','2021-09-11','2021-10-11','44','-12.97','-18.2',-73,'39','-0.17','-1.88','-4.03','3','6',335,-469,'17','27','0.15'
'EOS-USDT','5m','eRQWv','2021-09-11','2021-10-11','44','-12.2','-17.13',-69,'36','-0.19','-1.54','-4.05','3','6',335,-468,'16','28','0.15'
'EOS-USDT','5m','ePPWb','2021-09-11','2021-10-11','44','-12.4','-17.16',-70,'36','-0.2','-1.58','-4.09','4','6',334,-468,'16','28','0.15'
'EOS-USDT','5m','-VW.v','2021-09-11','2021-10-11','45','-17.08','-21.12',-87,'36','-0.23','-2.47','-4.12','3','7',407,-521,'16','29','0.15'
'EOS-USDT','5m','?VW.v','2021-09-11','2021-10-11','45','-17.86','-21.58',-89,'38','-0.23','-2.69','-4.12','3','7',407,-510,'17','28','0.15'
