'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ETH-USDT','5m','eVswv','2021-09-11','2021-10-11','9','10.24','-0.77',228,'89','24.12','8.27','296.1','8','1',248,-61,'8','1','6.23'
'ETH-USDT','5m','7Fpob','2021-09-11','2021-10-11','10','9.17','-1.37',220,'60','8.95','6.62','160.07','3','1',343,-236,'6','4','6.23'
'ETH-USDT','5m','VsWv','2021-09-11','2021-10-11','11','8.15','-2.76',160,'64','2.7','3.92','57.88','3','1',383,-495,'7','4','6.23'
'ETH-USDT','5m','WVsWv','2021-09-11','2021-10-11','11','8.15','-2.76',160,'64','2.7','3.92','57.88','3','1',383,-495,'7','4','6.23'
'ETH-USDT','5m','hPmHf','2021-09-11','2021-10-11','11','7.23','-2.72',134,'73','1.87','3.52','49.15','4','1',318,-491,'8','3','6.23'
'ETH-USDT','5m','=ptVt','2021-09-11','2021-10-11','16','9.74','-5.0',214,'56','1.75','3.76','42.77','4','3',432,-498,'9','7','6.23'
'ETH-USDT','5m','tbik','2021-09-11','2021-10-11','22','7.74','-5.51',209,'50','2.61','3.47','37.97','3','4',356,-499,'11','11','6.23'
'ETH-USDT','5m','eVkWv','2021-09-11','2021-10-11','12','6.0','-2.8',106,'58','2.08','2.83','37.97','3','2',375,-489,'7','5','6.23'
'ETH-USDT','5m','@cW*?','2021-09-11','2021-10-11','33','14.34','-11.3',426,'45','1.33','3.29','37.73','3','7',584,-316,'15','18','6.23'
'ETH-USDT','5m','?^WWv','2021-09-11','2021-10-11','35','10.85','-9.06',326,'49','1.67','3.29','35.97','3','3',419,-370,'17','18','6.23'
'ETH-USDT','5m','@^W*?','2021-09-11','2021-10-11','32','12.44','-10.04',344,'44','1.47','3.12','34.25','3','6',568,-316,'14','18','6.23'
'ETH-USDT','5m','@_W*?','2021-09-11','2021-10-11','32','12.16','-9.86',329,'44','1.43','3.05','33.37','3','6',566,-313,'14','18','6.23'
'ETH-USDT','5m','q9da','2021-09-11','2021-10-11','9','5.07','-2.54',83,'67','1.76','2.94','32.48','3','1',278,-263,'6','3','6.23'
'ETH-USDT','5m','MVsWv','2021-09-11','2021-10-11','10','4.89','-2.66',79,'60','1.48','2.7','29.62','3','1',353,-471,'6','4','6.23'
'ETH-USDT','5m','?dpMr','2021-09-11','2021-10-11','17','8.16','-5.56',160,'47','0.99','3.06','28.75','3','4',458,-499,'8','9','6.23'
'ETH-USDT','5m','`RNWv','2021-09-11','2021-10-11','38','9.02','-9.5',261,'50','1.27','2.94','27.5','3','3',414,-354,'19','19','6.23'
'ETH-USDT','5m','cRNWv','2021-09-11','2021-10-11','38','9.02','-9.5',261,'50','1.27','2.94','27.5','3','3',414,-354,'19','19','6.23'
'ETH-USDT','5m','\\RNWv','2021-09-11','2021-10-11','38','9.02','-9.5',261,'50','1.27','2.94','27.5','3','3',414,-354,'19','19','6.23'
'ETH-USDT','5m','RNWv','2021-09-11','2021-10-11','38','9.02','-9.5',261,'50','1.27','2.94','27.5','3','3',414,-354,'19','19','6.23'
'ETH-USDT','5m','aRNWv','2021-09-11','2021-10-11','38','9.02','-9.5',261,'50','1.27','2.94','27.5','3','3',414,-354,'19','19','6.23'
'ETH-USDT','5m','^RNWv','2021-09-11','2021-10-11','38','9.02','-9.5',261,'50','1.27','2.94','27.5','3','3',414,-354,'19','19','6.23'
'ETH-USDT','5m','_RNWv','2021-09-11','2021-10-11','38','9.02','-9.5',261,'50','1.27','2.94','27.5','3','3',414,-354,'19','19','6.23'
'ETH-USDT','5m','fVPWv','2021-09-11','2021-10-11','37','9.75','-10.32',281,'51','1.12','2.86','27.23','3','3',420,-359,'19','18','6.23'
'ETH-USDT','5m','gVPWv','2021-09-11','2021-10-11','37','9.75','-10.32',281,'51','1.12','2.86','27.23','3','3',420,-359,'19','18','6.23'
'ETH-USDT','5m','eRNDv','2021-09-11','2021-10-11','37','7.62','-9.04',213,'49','1.16','2.59','23.59','3','4',376,-352,'18','19','6.23'
'ETH-USDT','5m','vNqn','2021-09-11','2021-10-11','7','4.1','-2.71',63,'71','1.39','2.57','23.31','3','1',365,-279,'5','2','6.23'
