'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'FTM-USDT','5m','eEsWv','2021-09-11','2021-10-11','29','15.0','-10.44',702,'52','1.58','3.52','67.22','4','4',446,-588,'15','14','35.16'
'FTM-USDT','5m','LewDb','2021-09-11','2021-10-11','34','11.23','-9.52',542,'62','1.73','2.9','56.92','6','3',371,-514,'21','13','35.16'
'FTM-USDT','5m','MVsWv','2021-09-11','2021-10-11','40','4.2','-10.91',235,'55','0.58','2.22','21.55','5','3',387,-514,'22','18','35.16'
'FTM-USDT','5m','@^W*?','2021-09-11','2021-10-11','48','2.2','-12.66',83,'33','0.19','1.24','6.58','3','5',527,-320,'16','32','35.16'
'FTM-USDT','5m','HPqWv','2021-09-11','2021-10-11','42','3.1','-14.07',84,'52','0.21','1.2','5.99','5','3',359,-624,'22','20','35.16'
'FTM-USDT','5m','@VWF?','2021-09-11','2021-10-11','33','-5.26','-8.84',36,'39','0.16','0.92','4.05','3','6',378,-299,'13','20','35.16'
'FTM-USDT','5m','@_W*?','2021-09-11','2021-10-11','44','-0.27','-13.18',38,'34','0.11','0.79','2.89','3','6',527,-313,'15','29','35.16'
'FTM-USDT','5m','hPmHf','2021-09-11','2021-10-11','35','-6.84','-9.4',20,'54','0.08','0.59','2.14','5','3',320,-559,'19','16','35.16'
'FTM-USDT','5m','?VuWv','2021-09-11','2021-10-11','42','-8.82','-14.83',2,'48','0.0','0.36','0.13','4','4',350,-613,'20','22','35.16'
'FTM-USDT','5m','@VW4?','2021-09-11','2021-10-11','31','-7.13','-11.05',-4,'39','-0.02','0.13','-0.36','2','4',348,-290,'12','19','35.16'
'FTM-USDT','5m','VsWv','2021-09-11','2021-10-11','41','-10.89','-10.83',-4,'46','-0.02','0.23','-0.39','3','4',360,-555,'19','22','35.16'
'FTM-USDT','5m','WVsWv','2021-09-11','2021-10-11','41','-10.89','-10.83',-4,'46','-0.02','0.23','-0.39','3','4',360,-555,'19','22','35.16'
'FTM-USDT','5m','ePjWv','2021-09-11','2021-10-11','45','-11.4','-9.33',-7,'44','-0.04','0.24','-0.75','3','4',352,-519,'20','25','35.16'
'FTM-USDT','5m','_W6,U','2021-09-11','2021-10-11','67','-7.62','-21.11',-26,'33','-0.05','-0.07','-1.23','3','6',605,-436,'22','45','35.16'
'FTM-USDT','5m','q9da','2021-09-11','2021-10-11','25','-9.73','-13.34',-18,'56','-0.04','-0.09','-1.35','3','3',280,-510,'14','11','35.16'
'FTM-USDT','5m','@VW*F','2021-09-11','2021-10-11','46','-6.64','-13.8',-26,'33','-0.16','-0.08','-1.88','3','9',474,-352,'15','31','35.16'
'FTM-USDT','5m','-VUWv','2021-09-11','2021-10-11','86','-56.2','-49.45',-100,'40','-0.11','-8.86','-2.02','3','6',407,-608,'34','52','35.16'
'FTM-USDT','5m','3eWXn','2021-09-11','2021-10-11','89','-57.06','-47.77',-100,'38','-0.11','-9.03','-2.09','3','6',412,-620,'34','55','35.16'
'FTM-USDT','5m','3fWHn','2021-09-11','2021-10-11','84','-57.91','-47.42',-100,'39','-0.1','-8.58','-2.11','3','6',329,-608,'33','51','35.16'
'FTM-USDT','5m','-dW6n','2021-09-11','2021-10-11','88','-50.29','-46.75',-100,'34','-0.11','-8.66','-2.14','3','8',550,-634,'30','58','35.16'
'FTM-USDT','5m','eRNWk','2021-09-11','2021-10-11','84','-55.87','-45.7',-100,'32','-0.1','-8.62','-2.19','3','8',366,-538,'27','57','35.16'
'FTM-USDT','5m','-VW=v','2021-09-11','2021-10-11','83','-50.32','-45.16',-100,'42','-0.11','-7.35','-2.21','3','6',428,-624,'35','48','35.16'
'FTM-USDT','5m','3OW5n','2021-09-11','2021-10-11','82','-43.95','-45.01',-100,'38','-0.1','-7.12','-2.22','3','7',583,-609,'31','51','35.16'
'FTM-USDT','5m','-VW<v','2021-09-11','2021-10-11','80','-55.26','-44.79',-100,'40','-0.11','-7.78','-2.23','3','6',414,-618,'32','48','35.16'
'FTM-USDT','5m','3OW?n','2021-09-11','2021-10-11','84','-45.52','-44.68',-100,'40','-0.09','-7.76','-2.23','3','6',515,-604,'34','50','35.16'
'FTM-USDT','5m','-VW?v','2021-09-11','2021-10-11','83','-47.56','-44.31',-100,'42','-0.11','-7.85','-2.25','3','6',520,-615,'35','48','35.16'
'FTM-USDT','5m','-VW.v','2021-09-11','2021-10-11','82','-46.54','-43.96',-100,'39','-0.1','-7.26','-2.27','3','6',501,-618,'32','50','35.16'
'FTM-USDT','5m','-VWLv','2021-09-11','2021-10-11','82','-44.86','-43.64',-100,'39','-0.11','-7.48','-2.29','3','6',538,-611,'32','50','35.16'
'FTM-USDT','5m','-VWWu','2021-09-11','2021-10-11','83','-48.76','-42.69',-100,'42','-0.11','-7.46','-2.33','3','6',404,-604,'35','48','35.16'
'FTM-USDT','5m',',VWWv','2021-09-11','2021-10-11','83','-48.76','-42.69',-100,'42','-0.11','-7.46','-2.33','3','6',404,-604,'35','48','35.16'
'FTM-USDT','5m','-VWWs','2021-09-11','2021-10-11','83','-48.76','-42.69',-100,'42','-0.11','-7.46','-2.33','3','6',404,-604,'35','48','35.16'
'FTM-USDT','5m','-SUNv','2021-09-11','2021-10-11','82','-44.95','-42.72',-100,'39','-0.11','-7.98','-2.33','3','6',434,-599,'32','50','35.16'
'FTM-USDT','5m','-VW;v','2021-09-11','2021-10-11','80','-45.62','-42.21',-100,'42','-0.12','-6.86','-2.36','3','6',482,-622,'34','46','35.16'
'FTM-USDT','5m','?^WWv','2021-09-11','2021-10-11','82','-49.18','-41.33',-100,'38','-0.14','-6.83','-2.41','3','7',387,-588,'31','51','35.16'
'FTM-USDT','5m','CMNWv','2021-09-11','2021-10-11','88','-49.39','-41.23',-100,'39','-0.13','-6.81','-2.42','3','7',382,-570,'34','54','35.16'
'FTM-USDT','5m','fVPWv','2021-09-11','2021-10-11','84','-47.85','-40.82',-100,'36','-0.1','-6.62','-2.44','3','8',377,-563,'30','54','35.16'
'FTM-USDT','5m','gVPWv','2021-09-11','2021-10-11','84','-47.85','-40.82',-100,'36','-0.1','-6.62','-2.44','3','8',377,-563,'30','54','35.16'
'FTM-USDT','5m','g^VGt','2021-09-11','2021-10-11','77','-51.76','-40.68',-100,'38','-0.12','-8.8','-2.45','3','7',350,-537,'29','48','35.16'
'FTM-USDT','5m','-VWMv','2021-09-11','2021-10-11','82','-43.79','-40.12',-99,'39','-0.12','-6.69','-2.48','3','6',471,-608,'32','50','35.16'
'FTM-USDT','5m','ePPHa','2021-09-11','2021-10-11','70','-42.82','-39.59',-99,'40','-0.1','-5.77','-2.5','3','7',330,-447,'28','42','35.16'
'FTM-USDT','5m','-VWW^','2021-09-11','2021-10-11','76','-40.58','-39.2',-99,'39','-0.11','-5.37','-2.52','3','6',404,-481,'30','46','35.16'
'FTM-USDT','5m','eRNDv','2021-09-11','2021-10-11','82','-50.28','-39.42',-100,'38','-0.1','-8.37','-2.53','3','8',334,-526,'31','51','35.16'
