'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'LINK-USDT','5m','@_W*?','2021-09-11','2021-10-11','36','22.79','-10.66',1135,'44','2.38','4.58','106.49','4','6',625,-377,'16','20','-3.37'
'LINK-USDT','5m','@VW4?','2021-09-11','2021-10-11','35','17.74','-7.41',758,'51','3.98','4.49','102.27','5','4',425,-339,'18','17','-3.37'
'LINK-USDT','5m','@VWF?','2021-09-11','2021-10-11','35','16.92','-8.29',653,'66','3.04','4.35','78.76','7','4',449,-339,'23','12','-3.37'
'LINK-USDT','5m','@VW*A','2021-09-11','2021-10-11','34','18.54','-10.78',726,'41','2.13','3.75','67.34','4','6',604,-351,'14','20','-3.37'
'LINK-USDT','5m','@VW)?','2021-09-11','2021-10-11','35','16.96','-10.78',601,'40','2.02','3.35','55.78','4','6',632,-346,'14','21','-3.37'
'LINK-USDT','5m','@XW*?','2021-09-11','2021-10-11','35','16.18','-10.67',542,'40','1.91','3.3','50.86','4','6',591,-342,'14','21','-3.37'
'LINK-USDT','5m','@VW.?','2021-09-11','2021-10-11','35','15.17','-9.94',496,'51','2.02','3.36','49.91','5','4',526,-339,'18','17','-3.37'
'LINK-USDT','5m','YOR9c','2021-09-11','2021-10-11','43','15.06','-10.7',459,'53','0.8','3.11','42.9','5','4',535,-574,'23','20','-3.37'
'LINK-USDT','5m','@^W*?','2021-09-11','2021-10-11','37','13.38','-9.36',370,'41','1.42','3.3','39.5','3','6',569,-342,'15','22','-3.37'
'LINK-USDT','5m','HPqWv','2021-09-11','2021-10-11','21','12.68','-9.74',339,'67','0.69','3.66','34.85','5','2',396,-550,'14','7','-3.37'
'LINK-USDT','5m','_W6,U','2021-09-11','2021-10-11','50','9.83','-10.08',218,'48','0.7','2.15','21.67','4','5',597,-389,'24','26','-3.37'
'LINK-USDT','5m','MVsWv','2021-09-11','2021-10-11','21','7.34','-7.04',143,'57','0.8','2.09','20.34','3','3',368,-512,'12','9','-3.37'
'LINK-USDT','5m','ePjWv','2021-09-11','2021-10-11','24','9.35','-11.37',214,'62','0.35','2.89','18.86','6','4',399,-509,'15','9','-3.37'
'LINK-USDT','5m','VsWv','2021-09-11','2021-10-11','22','7.37','-7.86',144,'64','0.7','2.08','18.31','5','3',367,-501,'14','8','-3.37'
'LINK-USDT','5m','WVsWv','2021-09-11','2021-10-11','22','7.37','-7.86',144,'64','0.7','2.08','18.31','5','3',367,-501,'14','8','-3.37'
'LINK-USDT','5m','eVkWv','2021-09-11','2021-10-11','24','9.0','-11.89',211,'58','0.35','2.65','17.73','3','4',394,-504,'14','10','-3.37'
'LINK-USDT','5m','?VW2v','2021-09-11','2021-10-11','45','7.72','-9.35',157,'56','0.7','1.87','16.78','4','4',443,-483,'25','20','-3.37'
'LINK-USDT','5m','@cW*?','2021-09-11','2021-10-11','37','9.59','-13.37',210,'38','0.59','2.24','15.69','4','7',582,-341,'14','23','-3.37'
'LINK-USDT','5m','tbik','2021-09-11','2021-10-11','33','7.51','-14.4',217,'61','0.19','2.69','15.09','4','5',373,-504,'20','13','-3.37'
'LINK-USDT','5m','@VX*?','2021-09-11','2021-10-11','36','8.8','-14.25',191,'39','0.42','1.94','13.37','4','6',578,-344,'14','22','-3.37'
'LINK-USDT','5m','eVswv','2021-09-11','2021-10-11','20','2.28','-4.33',55,'70','0.64','1.76','12.74','5','2',235,-361,'14','6','-3.37'
'LINK-USDT','5m','@VW*F','2021-09-11','2021-10-11','39','7.47','-13.06',144,'38','0.36','1.75','11.0','4','6',562,-412,'15','24','-3.37'
'LINK-USDT','5m','?VW.v','2021-09-11','2021-10-11','45','5.65','-11.58',103,'56','0.29','1.39','8.9','4','4',499,-491,'25','20','-3.37'
'LINK-USDT','5m','?VuWv','2021-09-11','2021-10-11','22','6.8','-15.04',129,'59','0.12','2.03','8.55','5','4',395,-522,'13','9','-3.37'
'LINK-USDT','5m','BVV.a','2021-09-11','2021-10-11','44','5.53','-12.14',100,'55','0.25','1.36','8.26','4','4',499,-494,'24','20','-3.37'
'LINK-USDT','5m','<VV.a','2021-09-11','2021-10-11','44','5.53','-12.14',100,'55','0.25','1.36','8.26','4','4',499,-494,'24','20','-3.37'
'LINK-USDT','5m','eRNWZ','2021-09-11','2021-10-11','48','4.6','-13.49',106,'48','0.19','1.49','7.88','3','5',401,-507,'23','25','-3.37'
'LINK-USDT','5m','eVPWc','2021-09-11','2021-10-11','48','3.91','-13.51',93,'50','0.18','1.38','6.86','3','3',392,-493,'24','24','-3.37'
'LINK-USDT','5m','?dpMr','2021-09-11','2021-10-11','30','4.11','-11.51',78,'53','0.17','1.3','6.79','4','4',449,-519,'16','14','-3.37'
'LINK-USDT','5m','QYRcn','2021-09-11','2021-10-11','48','2.22','-9.7',62,'50','0.23','1.14','6.44','3','5',409,-492,'24','24','-3.37'
'LINK-USDT','5m','ePPHa','2021-09-11','2021-10-11','45','3.03','-9.7',60,'53','0.24','1.3','6.19','4','4',317,-488,'24','21','-3.37'
'LINK-USDT','5m','ePPH','2021-09-11','2021-10-11','45','3.03','-9.7',60,'53','0.24','1.3','6.19','4','4',317,-488,'24','21','-3.37'
'LINK-USDT','5m','eSNWd','2021-09-11','2021-10-11','49','3.1','-13.37',73,'47','0.15','1.19','5.46','3','5',395,-499,'23','26','-3.37'
'LINK-USDT','5m','=ptVt','2021-09-11','2021-10-11','29','3.56','-13.46',68,'55','0.11','1.21','5.04','4','4',431,-540,'16','13','-3.37'
'LINK-USDT','5m','hPmHf','2021-09-11','2021-10-11','21','3.41','-11.67',52,'62','0.09','1.3','4.45','5','4',323,-499,'13','8','-3.37'
'LINK-USDT','5m','eEsWv','2021-09-11','2021-10-11','15','2.19','-8.87',33,'53','0.14','0.87','3.77','3','3',356,-484,'8','7','-3.37'
'LINK-USDT','5m','ftUQf','2021-09-11','2021-10-11','44','0.24','-16.71',62,'45','0.07','1.09','3.71','3','6',474,-472,'20','24','-3.37'
'LINK-USDT','5m','@TW*?','2021-09-11','2021-10-11','36','2.84','-17.4',47,'36','0.1','0.89','2.72','4','6',567,-334,'13','23','-3.37'
'LINK-USDT','5m','WrVZ;','2021-09-11','2021-10-11','38','-0.96','-7.84',21,'37','0.13','0.67','2.7','3','5',332,-254,'14','24','-3.37'
'LINK-USDT','5m','o4,@X','2021-09-11','2021-10-11','53','1.15','-10.62',23,'49','0.08','0.66','2.15','4','4',435,-403,'26','27','-3.37'
'LINK-USDT','5m','`RNWv','2021-09-11','2021-10-11','49','-0.17','-16.85',32,'47','0.04','0.74','1.88','3','5',401,-510,'23','26','-3.37'
'LINK-USDT','5m','cRNWv','2021-09-11','2021-10-11','49','-0.17','-16.85',32,'47','0.04','0.74','1.88','3','5',401,-510,'23','26','-3.37'
'LINK-USDT','5m','\\RNWv','2021-09-11','2021-10-11','49','-0.17','-16.85',32,'47','0.04','0.74','1.88','3','5',401,-510,'23','26','-3.37'
'LINK-USDT','5m','RNWv','2021-09-11','2021-10-11','49','-0.17','-16.85',32,'47','0.04','0.74','1.88','3','5',401,-510,'23','26','-3.37'
'LINK-USDT','5m','aRNWv','2021-09-11','2021-10-11','49','-0.17','-16.85',32,'47','0.04','0.74','1.88','3','5',401,-510,'23','26','-3.37'
'LINK-USDT','5m','^RNWv','2021-09-11','2021-10-11','49','-0.17','-16.85',32,'47','0.04','0.74','1.88','3','5',401,-510,'23','26','-3.37'
'LINK-USDT','5m','_RNWv','2021-09-11','2021-10-11','49','-0.17','-16.85',32,'47','0.04','0.74','1.88','3','5',401,-510,'23','26','-3.37'
'LINK-USDT','5m','?^WWv','2021-09-11','2021-10-11','48','0.5','-13.05',24,'54','0.05','0.65','1.85','4','3',402,-527,'26','22','-3.37'
'LINK-USDT','5m','=bVNC','2021-09-11','2021-10-11','40','0.41','-11.15',17,'38','0.11','0.55','1.54','3','5',423,-321,'15','25','-3.37'
'LINK-USDT','5m','ePPWb','2021-09-11','2021-10-11','47','0.42','-13.05',19,'49','0.04','0.57','1.46','3','5',393,-497,'23','24','-3.37'
'LINK-USDT','5m','ePPW\\','2021-09-11','2021-10-11','47','0.42','-13.05',19,'49','0.04','0.57','1.46','3','5',393,-497,'23','24','-3.37'
'LINK-USDT','5m','eRNWk','2021-09-11','2021-10-11','49','-0.03','-17.11',23,'47','0.03','0.62','1.33','3','5',401,-507,'23','26','-3.37'
'LINK-USDT','5m','XRV.a','2021-09-11','2021-10-11','44','1.32','-19.38',23,'45','0.03','0.62','1.19','5','5',526,-558,'20','24','-3.37'
'LINK-USDT','5m','fVPWv','2021-09-11','2021-10-11','49','-0.66','-17.1',15,'49','0.02','0.52','0.87','3','3',392,-493,'24','25','-3.37'
'LINK-USDT','5m','gVPWv','2021-09-11','2021-10-11','49','-0.66','-17.1',15,'49','0.02','0.52','0.87','3','3',392,-493,'24','25','-3.37'
'LINK-USDT','5m','wVW*?','2021-09-11','2021-10-11','29','-1.51','-18.66',-14,'38','-0.02','0.02','-0.73','5','8',566,-361,'11','18','-3.37'
'LINK-USDT','5m','IVWWv','2021-09-11','2021-10-11','45','-2.12','-13.27',-11,'51','-0.03','0.08','-0.81','5','4',398,-470,'23','22','-3.37'
'LINK-USDT','5m','-dW6n','2021-09-11','2021-10-11','49','-1.63','-14.55',-12,'47','-0.02','0.07','-0.84','4','5',531,-500,'23','26','-3.37'
'LINK-USDT','5m','hPPHs','2021-09-11','2021-10-11','46','-2.04','-14.05',-12,'52','-0.03','-0.04','-0.88','4','4',317,-488,'24','22','-3.37'
'LINK-USDT','5m','ePPHt','2021-09-11','2021-10-11','46','-2.04','-14.05',-12,'52','-0.03','-0.04','-0.88','4','4',317,-488,'24','22','-3.37'
'LINK-USDT','5m','eRNDv','2021-09-11','2021-10-11','47','-2.57','-14.12',-15,'49','-0.03','-0.0','-1.06','3','5',356,-501,'23','24','-3.37'
'LINK-USDT','5m',':YY:_','2021-09-11','2021-10-11','44','-2.23','-14.57',-18,'52','-0.04','-0.03','-1.25','5','4',458,-520,'23','21','-3.37'
'LINK-USDT','5m','LewDb','2021-09-11','2021-10-11','24','-1.76','-13.48',-19,'58','-0.05','-0.16','-1.41','4','4',337,-492,'14','10','-3.37'
'LINK-USDT','5m','FVW*?','2021-09-11','2021-10-11','37','-3.41','-19.68',-31,'35','-0.06','-0.27','-1.59','4','9',548,-337,'13','24','-3.37'
'LINK-USDT','5m','g^VGt','2021-09-11','2021-10-11','46','-3.51','-13.72',-27,'54','-0.07','-0.28','-1.96','4','3',368,-466,'25','21','-3.37'
'LINK-USDT','5m','eRQWv','2021-09-11','2021-10-11','48','-4.6','-16.64',-35,'48','-0.06','-0.39','-2.11','3','5',389,-491,'23','25','-3.37'
'LINK-USDT','5m','O=ITi','2021-09-11','2021-10-11','49','-2.77','-10.07',-23,'51','-0.17','-0.21','-2.24','6','5',308,-480,'25','24','-3.37'
'LINK-USDT','5m','CMNWv','2021-09-11','2021-10-11','50','-3.79','-12.7',-29,'52','-0.09','-0.33','-2.26','5','5',384,-492,'26','24','-3.37'
'LINK-USDT','5m','ePRWv','2021-09-11','2021-10-11','46','-5.97','-17.75',-45,'50','-0.07','-0.78','-2.52','3','3',392,-498,'23','23','-3.37'
'LINK-USDT','5m','-VW;v','2021-09-11','2021-10-11','47','-3.42','-11.58',-30,'49','-0.12','-0.33','-2.57','3','5',447,-486,'23','24','-3.37'
'LINK-USDT','5m','-VW*9','2021-09-11','2021-10-11','30','-4.71','-15.51',-44,'33','-0.14','-0.79','-2.83','3','6',521,-285,'10','20','-3.37'
'LINK-USDT','5m',':VWWv','2021-09-11','2021-10-11','46','-4.93','-12.13',-37,'50','-0.14','-0.53','-3.08','3','5',385,-494,'23','23','-3.37'
'LINK-USDT','5m','7VWWv','2021-09-11','2021-10-11','46','-4.93','-12.13',-37,'50','-0.14','-0.53','-3.08','3','5',385,-494,'23','23','-3.37'
'LINK-USDT','5m','3eWXn','2021-09-11','2021-10-11','49','-5.19','-12.62',-40,'49','-0.12','-0.73','-3.14','4','5',385,-471,'24','25','-3.37'
'LINK-USDT','5m','3fWHn','2021-09-11','2021-10-11','49','-5.14','-12.38',-39,'55','-0.13','-0.8','-3.17','7','4',304,-453,'27','22','-3.37'
