'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'MATIC-USDT','5m','ePjWv','2021-09-11','2021-10-11','18','23.43','-2.07',1224,'67','27.3','7.75','590.5','3','2',429,-466,'12','6','-4.67'
'MATIC-USDT','5m','hPmHf','2021-09-11','2021-10-11','16','17.31','-2.11',833,'75','14.91','8.59','395.17','5','2',334,-506,'12','4','-4.67'
'MATIC-USDT','5m','WrVZ;','2021-09-11','2021-10-11','28','20.64','-4.29',1399,'57','15.02','6.22','325.83','4','2',393,-275,'16','12','-4.67'
'MATIC-USDT','5m','eVswv','2021-09-11','2021-10-11','15','7.5','-1.49',318,'67','12.8','8.74','214.03','3','2',241,-297,'10','5','-4.67'
'MATIC-USDT','5m','\\sta','2021-09-11','2021-10-11','17','9.88','-2.53',377,'71','6.81','6.67','148.92','4','1',264,-360,'12','5','-4.67'
'MATIC-USDT','5m','ui*5<','2021-09-11','2021-10-11','32','20.66','-7.05',977,'47','2.71','4.34','138.54','3','3',620,-302,'15','17','-4.67'
'MATIC-USDT','5m','LewDb','2021-09-11','2021-10-11','16','14.89','-4.08',445,'62','4.84','5.95','108.94','3','3',356,-505,'10','6','-4.67'
'MATIC-USDT','5m','eRNWZ','2021-09-11','2021-10-11','43','18.99','-9.74',890,'51','3.4','3.77','91.38','5','4',408,-436,'22','21','-4.67'
'MATIC-USDT','5m','ftUQf','2021-09-11','2021-10-11','36','17.27','-7.31',667,'56','3.83','3.65','91.24','4','4',466,-380,'20','16','-4.67'
'MATIC-USDT','5m','eSNWd','2021-09-11','2021-10-11','43','18.63','-9.73',855,'51','3.36','3.75','87.79','5','4',407,-434,'22','21','-4.67'
'MATIC-USDT','5m','BVV.a','2021-09-11','2021-10-11','39','20.1','-10.03',863,'51','1.9','3.81','86.05','7','3',536,-476,'20','19','-4.67'
'MATIC-USDT','5m','<VV.a','2021-09-11','2021-10-11','39','20.1','-10.03',863,'51','1.9','3.81','86.05','7','3',536,-476,'20','19','-4.67'
'MATIC-USDT','5m','eRNWk','2021-09-11','2021-10-11','43','18.35','-9.74',827,'51','3.25','3.71','84.9','5','4',406,-434,'22','21','-4.67'
'MATIC-USDT','5m','eVkWv','2021-09-11','2021-10-11','19','15.31','-5.64',479,'63','4.22','4.75','84.82','3','3',401,-455,'12','7','-4.67'
'MATIC-USDT','5m','?VW.v','2021-09-11','2021-10-11','39','19.9','-10.03',843,'51','1.89','3.73','84.1','7','3',535,-475,'20','19','-4.67'
'MATIC-USDT','5m','@VX*?','2021-09-11','2021-10-11','30','16.43','-6.88',565,'43','4.95','3.66','82.15','3','4',561,-352,'13','17','-4.67'
'MATIC-USDT','5m','7Fpob','2021-09-11','2021-10-11','15','6.21','-2.11',155,'60','7.53','4.96','73.41','4','2',348,-315,'9','6','-4.67'
'MATIC-USDT','5m','`RNWv','2021-09-11','2021-10-11','43','17.34','-9.85',696,'51','2.74','3.41','70.68','5','4',409,-441,'22','21','-4.67'
'MATIC-USDT','5m','cRNWv','2021-09-11','2021-10-11','43','17.34','-9.85',696,'51','2.74','3.41','70.68','5','4',409,-441,'22','21','-4.67'
'MATIC-USDT','5m','\\RNWv','2021-09-11','2021-10-11','43','17.34','-9.85',696,'51','2.74','3.41','70.68','5','4',409,-441,'22','21','-4.67'
'MATIC-USDT','5m','RNWv','2021-09-11','2021-10-11','43','17.34','-9.85',696,'51','2.74','3.41','70.68','5','4',409,-441,'22','21','-4.67'
'MATIC-USDT','5m','aRNWv','2021-09-11','2021-10-11','43','17.34','-9.85',696,'51','2.74','3.41','70.68','5','4',409,-441,'22','21','-4.67'
'MATIC-USDT','5m','^RNWv','2021-09-11','2021-10-11','43','17.34','-9.85',696,'51','2.74','3.41','70.68','5','4',409,-441,'22','21','-4.67'
'MATIC-USDT','5m','_RNWv','2021-09-11','2021-10-11','43','17.34','-9.85',696,'51','2.74','3.41','70.68','5','4',409,-441,'22','21','-4.67'
'MATIC-USDT','5m','?dpMr','2021-09-11','2021-10-11','22','15.19','-6.69',472,'50','1.65','4.28','70.51','2','2',474,-450,'11','11','-4.67'
