'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'REN-USDT','5m','ftUQf','2021-09-11','2021-10-11','50','29.3','-9.24',5352,'52','5.9','5.64','579.48','8','7',581,-535,'26','24','42.75'
'REN-USDT','5m','wVW*?','2021-09-11','2021-10-11','32','33.33','-6.11',3448,'50','6.53','5.96','564.02','3','4',651,-399,'16','16','42.75'
'REN-USDT','5m','@VX*?','2021-09-11','2021-10-11','36','34.02','-9.47',4523,'44','3.9','5.88','477.72','5','6',640,-414,'16','20','42.75'
'REN-USDT','5m','eVPWc','2021-09-11','2021-10-11','64','22.03','-8.79',3763,'47','4.56','5.05','428.25','4','5',509,-639,'30','34','42.75'
'REN-USDT','5m','@TW*?','2021-09-11','2021-10-11','37','30.31','-9.2',3179,'46','6.09','5.16','345.47','5','6',616,-396,'17','20','42.75'
'REN-USDT','5m','fVPWv','2021-09-11','2021-10-11','66','15.45','-12.71',3133,'45','2.54','4.78','246.52','4','5',502,-653,'30','36','42.75'
'REN-USDT','5m','gVPWv','2021-09-11','2021-10-11','66','15.45','-12.71',3133,'45','2.54','4.78','246.52','4','5',502,-653,'30','36','42.75'
'REN-USDT','5m','ePRWv','2021-09-11','2021-10-11','67','16.16','-14.47',3444,'48','2.49','4.55','238.07','4','4',516,-633,'32','35','42.75'
'REN-USDT','5m','eSNWd','2021-09-11','2021-10-11','65','15.8','-8.55',1975,'46','3.88','4.31','230.86','4','5',484,-603,'30','35','42.75'
'REN-USDT','5m','q9da','2021-09-11','2021-10-11','27','8.66','-4.94',1107,'67','4.6','6.05','224.28','7','2',337,-614,'18','9','42.75'
'REN-USDT','5m','FVW*?','2021-09-11','2021-10-11','34','27.1','-9.43',1918,'47','2.48','5.01','203.42','5','5',604,-367,'16','18','42.75'
'REN-USDT','5m','@VW*F','2021-09-11','2021-10-11','49','28.68','-11.66',2182,'43','2.01','4.54','187.16','5','6',650,-453,'21','28','42.75'
'REN-USDT','5m','-VW*9','2021-09-11','2021-10-11','26','21.21','-6.89',1193,'42','5.22','5.58','173.1','4','5',570,-310,'11','15','42.75'
'REN-USDT','5m','-VW*=','2021-09-11','2021-10-11','34','21.43','-8.14',1227,'41','3.09','4.42','150.73','4','5',589,-361,'14','20','42.75'
'REN-USDT','5m','@VW)?','2021-09-11','2021-10-11','40','25.13','-12.04',1508,'42','1.31','4.38','125.26','5','6',658,-397,'17','23','42.75'
'REN-USDT','5m','3OW5n','2021-09-11','2021-10-11','62','22.09','-15.04',1869,'44','2.14','3.62','124.22','6','5',712,-569,'27','35','42.75'
'REN-USDT','5m','eRNWZ','2021-09-11','2021-10-11','64','14.35','-8.57',972,'47','3.25','3.47','113.4','4','4',458,-556,'30','34','42.75'
'REN-USDT','5m','eRQWv','2021-09-11','2021-10-11','68','4.44','-13.31',1002,'46','1.43','3.38','75.28','4','5',462,-616,'31','37','42.75'
'REN-USDT','5m','-VWWs','2021-09-11','2021-10-11','67','3.52','-13.56',1014,'45','1.65','3.8','74.77','5','4',468,-774,'30','37','42.75'
'REN-USDT','5m','XRV.a','2021-09-11','2021-10-11','64','11.42','-13.03',793,'42','1.71','3.07','60.84','5','4',561,-545,'27','37','42.75'
'REN-USDT','5m','ePPWb','2021-09-11','2021-10-11','67','4.87','-9.91',582,'48','1.59','2.73','58.71','5','5',444,-567,'32','35','42.75'
'REN-USDT','5m','-VW.v','2021-09-11','2021-10-11','68','4.74','-12.97',729,'43','1.45','2.99','56.18','5','5',551,-781,'29','39','42.75'
'REN-USDT','5m',':VWWv','2021-09-11','2021-10-11','67','1.15','-13.81',762,'46','1.33','3.27','55.19','4','4',467,-560,'31','36','42.75'
'REN-USDT','5m','7VWWv','2021-09-11','2021-10-11','67','1.15','-13.81',762,'46','1.33','3.27','55.19','4','4',467,-560,'31','36','42.75'
'REN-USDT','5m','@VW*A','2021-09-11','2021-10-11','44','18.85','-14.33',778,'41','0.93','3.44','54.29','3','6',623,-389,'18','26','42.75'
'REN-USDT','5m','@VW.?','2021-09-11','2021-10-11','39','16.23','-11.53',555,'44','0.85','3.35','48.17','5','5',537,-380,'17','22','42.75'
'REN-USDT','5m','@VWF?','2021-09-11','2021-10-11','40','12.31','-9.66',428,'50','0.8','3.3','44.3','7','5',441,-363,'20','20','42.75'
'REN-USDT','5m','BVV.a','2021-09-11','2021-10-11','66','10.14','-13.24',542,'41','1.31','2.51','40.96','4','6',556,-524,'27','39','42.75'
'REN-USDT','5m','<VV.a','2021-09-11','2021-10-11','66','10.14','-13.24',542,'41','1.31','2.51','40.96','4','6',556,-524,'27','39','42.75'
'REN-USDT','5m','@cW*?','2021-09-11','2021-10-11','46','15.9','-13.9',530,'39','1.03','2.68','38.15','5','6',585,-378,'18','28','42.75'
'REN-USDT','5m','-VWWu','2021-09-11','2021-10-11','69','-3.54','-13.56',476,'43','1.08','2.77','35.06','4','5',451,-774,'30','39','42.75'
'REN-USDT','5m',',VWWv','2021-09-11','2021-10-11','69','-3.54','-13.56',476,'43','1.08','2.77','35.06','4','5',451,-774,'30','39','42.75'
'REN-USDT','5m','-VWMv','2021-09-11','2021-10-11','69','-0.11','-13.42',465,'41','1.09','2.63','34.67','3','5',523,-775,'28','41','42.75'
'REN-USDT','5m','@XW*?','2021-09-11','2021-10-11','42','14.32','-13.27',449,'38','0.66','2.99','33.83','4','6',610,-382,'16','26','42.75'
'REN-USDT','5m','-VW?v','2021-09-11','2021-10-11','69','3.73','-12.93',430,'42','1.05','2.43','33.28','4','6',568,-771,'29','40','42.75'
'REN-USDT','5m','`RNWv','2021-09-11','2021-10-11','70','-4.14','-12.62',414,'40','1.23','2.51','32.85','4','6',440,-546,'28','42','42.75'
'REN-USDT','5m','cRNWv','2021-09-11','2021-10-11','70','-4.14','-12.62',414,'40','1.23','2.51','32.85','4','6',440,-546,'28','42','42.75'
'REN-USDT','5m','\\RNWv','2021-09-11','2021-10-11','70','-4.14','-12.62',414,'40','1.23','2.51','32.85','4','6',440,-546,'28','42','42.75'
'REN-USDT','5m','RNWv','2021-09-11','2021-10-11','70','-4.14','-12.62',414,'40','1.23','2.51','32.85','4','6',440,-546,'28','42','42.75'
'REN-USDT','5m','aRNWv','2021-09-11','2021-10-11','70','-4.14','-12.62',414,'40','1.23','2.51','32.85','4','6',440,-546,'28','42','42.75'
'REN-USDT','5m','^RNWv','2021-09-11','2021-10-11','70','-4.14','-12.62',414,'40','1.23','2.51','32.85','4','6',440,-546,'28','42','42.75'
'REN-USDT','5m','_RNWv','2021-09-11','2021-10-11','70','-4.14','-12.62',414,'40','1.23','2.51','32.85','4','6',440,-546,'28','42','42.75'
'REN-USDT','5m','-VWW^','2021-09-11','2021-10-11','64','2.01','-12.29',402,'45','1.31','2.58','32.74','5','4',439,-525,'29','35','42.75'
'REN-USDT','5m','@^W*?','2021-09-11','2021-10-11','50','18.24','-22.14',710,'40','0.48','3.07','32.06','3','6',649,-413,'20','30','42.75'
'REN-USDT','5m','o4,@X','2021-09-11','2021-10-11','56','8.1','-13.77',415,'41','1.22','2.68','30.15','4','5',491,-443,'23','33','42.75'
'REN-USDT','5m','-VW;v','2021-09-11','2021-10-11','61','5.01','-13.3',400,'46','0.8','2.65','30.11','4','5',513,-602,'28','33','42.75'
'REN-USDT','5m','CMNWv','2021-09-11','2021-10-11','73','0.88','-16.75',498,'44','0.96','2.48','29.75','5','5',464,-755,'32','41','42.75'
'REN-USDT','5m','YOR9c','2021-09-11','2021-10-11','59','4.18','-11.78',348,'44','1.1','2.19','29.58','5','4',533,-454,'26','33','42.75'
'REN-USDT','5m','vNqn','2021-09-11','2021-10-11','20','4.09','-3.87',113,'45','1.91','2.18','29.12','3','3',394,-511,'9','11','42.75'
'REN-USDT','5m','-VW<v','2021-09-11','2021-10-11','64','-3.28','-13.06',357,'47','1.02','2.45','27.37','5','5',445,-764,'30','34','42.75'
'REN-USDT','5m','-VWLv','2021-09-11','2021-10-11','69','3.06','-13.49',348,'39','0.89','2.22','25.83','3','6',587,-764,'27','42','42.75'
'REN-USDT','5m','-VWWa','2021-09-11','2021-10-11','66','-0.4','-12.29',311,'44','1.12','2.33','25.34','5','4',432,-520,'29','37','42.75'
'REN-USDT','5m','eRNWk','2021-09-11','2021-10-11','66','-1.12','-12.5',292,'44','0.95','2.07','23.35','4','5',421,-549,'29','37','42.75'
'REN-USDT','5m','=bVNC','2021-09-11','2021-10-11','51','7.76','-8.77',194,'39','1.04','1.8','22.12','3','6',441,-348,'20','31','42.75'
'REN-USDT','5m','WrVZ;','2021-09-11','2021-10-11','41','2.29','-6.29',123,'44','1.26','2.19','19.57','4','4',338,-274,'18','23','42.75'
'REN-USDT','5m','@VW4?','2021-09-11','2021-10-11','40','9.92','-12.03',233,'48','0.42','2.33','19.34','5','5',413,-361,'19','21','42.75'
'REN-USDT','5m','3OW?n','2021-09-11','2021-10-11','65','4.07','-14.84',279,'42','0.8','1.93','18.83','6','5',556,-727,'27','38','42.75'
'REN-USDT','5m','eRNDv','2021-09-11','2021-10-11','63','-6.22','-13.39',246,'44','0.53','2.04','18.41','5','6',390,-564,'28','35','42.75'
'REN-USDT','5m','IVWWv','2021-09-11','2021-10-11','64','-1.79','-18.67',343,'41','0.5','2.48','18.37','4','5',459,-509,'26','38','42.75'
'REN-USDT','5m','-VW=v','2021-09-11','2021-10-11','69','-3.38','-13.27',227,'49','0.65','2.04','17.13','4','4',450,-752,'34','35','42.75'
'REN-USDT','5m','-VWWl','2021-09-11','2021-10-11','67','-2.8','-13.56',214,'43','0.73','1.94','15.77','5','4',422,-516,'29','38','42.75'
'REN-USDT','5m','tbik','2021-09-11','2021-10-11','45','-5.75','-10.84',159,'51','0.5','1.8','14.67','4','5',374,-635,'23','22','42.75'
'REN-USDT','5m','@_W*?','2021-09-11','2021-10-11','50','11.28','-22.09',286,'38','0.29','2.18','12.93','6','6',634,-402,'19','31','42.75'
'REN-USDT','5m','-VUWv','2021-09-11','2021-10-11','72','-10.03','-14.54',188,'42','0.64','1.71','12.92','5','5',428,-719,'30','42','42.75'
'REN-USDT','5m','-SUNv','2021-09-11','2021-10-11','70','-8.29','-14.68',190,'40','0.56','1.76','12.91','3','6',464,-728,'28','42','42.75'
'REN-USDT','5m','ePPW\\','2021-09-11','2021-10-11','66','0.91','-11.51',146,'47','0.51','1.45','12.71','5','5',409,-509,'31','35','42.75'
'REN-USDT','5m','E^cA','2021-09-11','2021-10-11','27','3.97','-11.13',101,'52','0.53','1.57','9.05','4','4',426,-348,'14','13','42.75'
'REN-USDT','5m',':YY:_','2021-09-11','2021-10-11','56','-0.79','-12.39',92,'46','0.44','1.23','7.42','5','4',469,-478,'26','30','42.75'
'REN-USDT','5m','?VW2v','2021-09-11','2021-10-11','67','-5.38','-15.88',109,'49','0.3','1.29','6.83','6','4',477,-750,'33','34','42.75'
'REN-USDT','5m','hPPHs','2021-09-11','2021-10-11','66','-11.15','-15.65',89,'48','0.19','1.23','5.71','5','6',352,-555,'32','34','42.75'
'REN-USDT','5m','ePPHt','2021-09-11','2021-10-11','66','-11.15','-15.65',89,'48','0.19','1.23','5.71','5','6',352,-555,'32','34','42.75'
'REN-USDT','5m','g^VGt','2021-09-11','2021-10-11','66','-9.0','-19.59',110,'48','0.14','1.29','5.6','6','6',431,-591,'32','34','42.75'
'REN-USDT','5m','ui*5<','2021-09-11','2021-10-11','30','1.71','-12.63',70,'30','0.17','1.21','5.57','3','10',560,-298,'9','21','42.75'
'REN-USDT','5m','?^WWv','2021-09-11','2021-10-11','73','-9.31','-13.5',71,'44','0.32','1.02','5.28','4','6',406,-713,'32','41','42.75'
'REN-USDT','5m','?VW.v','2021-09-11','2021-10-11','66','-5.84','-17.25',89,'39','0.22','1.15','5.18','3','6',531,-757,'26','40','42.75'
'REN-USDT','5m','3OWXC','2021-09-11','2021-10-11','45','0.38','-17.08',86,'44','0.15','1.19','5.01','5','5',429,-360,'20','25','42.75'
'REN-USDT','5m','?dpMr','2021-09-11','2021-10-11','47','-7.46','-20.17',96,'40','0.15','1.22','4.76','3','6',513,-643,'19','28','42.75'
'REN-USDT','5m','ePPHa','2021-09-11','2021-10-11','65','-11.06','-13.74',28,'48','0.08','0.69','2.05','5','6',334,-525,'31','34','42.75'
'REN-USDT','5m','3OWXE','2021-09-11','2021-10-11','48','-2.84','-19.87',34,'44','0.05','0.74','1.7','5','7',429,-387,'21','27','42.75'
'REN-USDT','5m','_W6,U','2021-09-11','2021-10-11','55','0.19','-13.47',20,'36','0.11','0.62','1.46','4','5',561,-372,'20','35','42.75'
'REN-USDT','5m','=ptVt','2021-09-11','2021-10-11','49','-12.45','-16.64',23,'45','0.06','0.62','1.36','3','5',455,-598,'22','27','42.75'
'REN-USDT','5m','O=ITi','2021-09-11','2021-10-11','68','-7.52','-15.69',-6,'47','-0.03','0.27','-0.4','4','4',344,-465,'32','36','42.75'
'REN-USDT','5m','ePPH','2021-09-11','2021-10-11','63','-12.01','-16.09',-10,'48','-0.04','0.25','-0.65','5','6',306,-482,'30','33','42.75'
'REN-USDT','5m','eEsWv','2021-09-11','2021-10-11','25','-4.63','-8.91',-9,'40','-0.06','0.12','-0.96','2','5',363,-560,'10','15','42.75'
'REN-USDT','5m','QYRcn','2021-09-11','2021-10-11','67','-12.05','-15.3',-26,'37','-0.13','-0.04','-1.72','3','6',400,-447,'25','42','42.75'
'REN-USDT','5m','-dW6n','2021-09-11','2021-10-11','75','-7.66','-16.86',-33,'39','-0.13','0.08','-1.93','4','8',532,-428,'29','46','42.75'
'REN-USDT','5m','?VuWv','2021-09-11','2021-10-11','42','-11.49','-13.38',-36,'43','-0.11','-0.42','-2.7','3','5',377,-548,'18','24','42.75'
'REN-USDT','5m','3eWXn','2021-09-11','2021-10-11','75','-13.51','-14.77',-46,'43','-0.26','-0.33','-3.14','4','8',391,-425,'32','43','42.75'
'REN-USDT','5m','7Fpob','2021-09-11','2021-10-11','37','-14.51','-18.02',-65,'43','-0.19','-1.54','-3.58','4','6',363,-542,'16','21','42.75'
'REN-USDT','5m','eVkWv','2021-09-11','2021-10-11','45','-21.81','-22.23',-86,'44','-0.18','-2.03','-3.85','4','5',378,-622,'20','25','42.75'
'REN-USDT','5m','\\sta','2021-09-11','2021-10-11','30','-12.61','-11.18',-48,'53','-0.15','-1.39','-4.27','3','3',254,-495,'16','14','42.75'
'REN-USDT','5m','3fWHn','2021-09-11','2021-10-11','69','-24.49','-19.83',-85,'42','-0.4','-2.01','-4.27','4','7',303,-422,'29','40','42.75'
'REN-USDT','5m','eVswv','2021-09-11','2021-10-11','34','-22.27','-16.1',-72,'53','-0.18','-2.22','-4.45','4','5',235,-505,'18','16','42.75'
'REN-USDT','5m','ePjWv','2021-09-11','2021-10-11','44','-22.27','-19.67',-90,'45','-0.22','-3.26','-4.6','4','4',360,-568,'20','24','42.75'
'REN-USDT','5m','hPmHf','2021-09-11','2021-10-11','35','-19.2','-13.47',-63,'49','-0.16','-1.44','-4.71','4','6',312,-535,'17','18','42.75'
'REN-USDT','5m','LewDb','2021-09-11','2021-10-11','32','-24.58','-18.71',-91,'44','-0.27','-4.1','-4.88','3','4',302,-482,'14','18','42.75'
