'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'SOL-USDT','5m','ui*5<','2021-09-11','2021-10-11','30','42.92','-8.64',8391,'50','5.79','7.21','970.78','3','4',722,-363,'15','15','-18.22'
'SOL-USDT','5m','7Fpob','2021-09-11','2021-10-11','21','18.4','-5.04',912,'67','11.76','5.95','180.95','5','2',389,-536,'14','7','-18.22'
'SOL-USDT','5m','vNqn','2021-09-11','2021-10-11','15','11.51','-4.42',301,'67','2.03','3.91','68.2','5','1',420,-392,'10','5','-18.22'
'SOL-USDT','5m','3fWHn','2021-09-11','2021-10-11','58','9.34','-12.16',764,'50','1.0','3.36','62.77','6','5',356,-454,'29','29','-18.22'
'SOL-USDT','5m','tbik','2021-09-11','2021-10-11','40','11.06','-9.46',466,'50','1.22','3.26','49.25','4','4',364,-521,'20','20','-18.22'
'SOL-USDT','5m','ftUQf','2021-09-11','2021-10-11','49','9.44','-7.25',350,'49','1.64','2.64','48.3','7','5',440,-431,'24','25','-18.22'
'SOL-USDT','5m','-VW*9','2021-09-11','2021-10-11','24','6.71','-5.37',252,'50','3.88','3.05','47.03','2','2',520,-294,'12','12','-18.22'
'SOL-USDT','5m','3eWXn','2021-09-11','2021-10-11','58','7.6','-11.22',476,'50','0.99','2.84','42.4','6','6',418,-442,'29','29','-18.22'
'SOL-USDT','5m','g^VGt','2021-09-11','2021-10-11','57','4.8','-10.31',347,'54','0.81','2.41','33.69','7','6',388,-453,'31','26','-18.22'
'SOL-USDT','5m','hPPHs','2021-09-11','2021-10-11','55','0.52','-10.58',260,'49','0.67','2.22','24.56','4','5',328,-437,'27','28','-18.22'
'SOL-USDT','5m','ePPHt','2021-09-11','2021-10-11','55','0.52','-10.58',260,'49','0.67','2.22','24.56','4','5',328,-437,'27','28','-18.22'
'SOL-USDT','5m','CMNWv','2021-09-11','2021-10-11','59','4.08','-11.47',274,'44','0.78','2.25','23.93','4','6',368,-530,'26','33','-18.22'
'SOL-USDT','5m','O=ITi','2021-09-11','2021-10-11','56','6.63','-10.51',247,'50','0.79','2.16','23.51','4','5',336,-362,'28','28','-18.22'
'SOL-USDT','5m','eRQWv','2021-09-11','2021-10-11','57','2.79','-11.29',259,'44','0.69','2.3','22.96','4','5',396,-438,'25','32','-18.22'
'SOL-USDT','5m','ePPHa','2021-09-11','2021-10-11','54','4.34','-10.58',225,'50','0.54','2.13','21.26','4','4',325,-437,'27','27','-18.22'
'SOL-USDT','5m','ePPH','2021-09-11','2021-10-11','54','4.34','-10.58',225,'50','0.54','2.13','21.26','4','4',325,-437,'27','27','-18.22'
'SOL-USDT','5m','@VWF?','2021-09-11','2021-10-11','36','1.08','-6.03',126,'47','2.04','2.14','20.88','3','6',380,-296,'17','19','-18.22'
'SOL-USDT','5m','QYRcn','2021-09-11','2021-10-11','55','4.78','-10.37',210,'45','0.72','2.13','20.29','4','5',405,-431,'25','30','-18.22'
'SOL-USDT','5m','ePRWv','2021-09-11','2021-10-11','57','2.03','-11.49',210,'46','0.63','2.16','18.3','4','5',400,-440,'26','31','-18.22'
'SOL-USDT','5m','?VuWv','2021-09-11','2021-10-11','28','1.75','-7.88',135,'46','0.75','1.8','17.08','4','2',396,-489,'13','15','-18.22'
'SOL-USDT','5m','-VUWv','2021-09-11','2021-10-11','57','-1.25','-12.83',165,'46','0.54','1.62','12.89','4','6',367,-422,'26','31','-18.22'
'SOL-USDT','5m','eRNDv','2021-09-11','2021-10-11','59','-1.82','-13.17',166,'44','0.34','1.83','12.62','4','5',356,-451,'26','33','-18.22'
'SOL-USDT','5m','@VX*?','2021-09-11','2021-10-11','34','2.01','-6.76',72,'47','0.87','1.31','10.59','3','4',499,-298,'16','18','-18.22'
'SOL-USDT','5m','_W6,U','2021-09-11','2021-10-11','54','6.08','-13.31',132,'41','0.32','1.48','9.9','3','5',577,-437,'22','32','-18.22'
'SOL-USDT','5m','o4,@X','2021-09-11','2021-10-11','60','3.44','-10.77',104,'45','0.34','1.38','9.63','4','6',432,-440,'27','33','-18.22'
'SOL-USDT','5m','@TW*?','2021-09-11','2021-10-11','34','1.58','-7.15',63,'50','0.69','1.2','8.78','3','4',498,-298,'17','17','-18.22'
'SOL-USDT','5m','WrVZ;','2021-09-11','2021-10-11','39','0.63','-9.62',76,'41','0.23','1.36','7.88','5','5',340,-274,'16','23','-18.22'
'SOL-USDT','5m','-VW=v','2021-09-11','2021-10-11','57','-4.97','-13.0',94,'46','0.33','1.23','7.26','4','6',385,-430,'26','31','-18.22'
'SOL-USDT','5m','eRNWZ','2021-09-11','2021-10-11','58','0.89','-12.88',93,'43','0.23','1.32','7.19','4','5',376,-452,'25','33','-18.22'
'SOL-USDT','5m','-dW6n','2021-09-11','2021-10-11','59','1.34','-13.3',94,'46','0.26','1.25','7.08','4','6',525,-409,'27','32','-18.22'
'SOL-USDT','5m','eRNWk','2021-09-11','2021-10-11','58','0.08','-12.88',88,'43','0.22','1.28','6.81','4','5',375,-452,'25','33','-18.22'
'SOL-USDT','5m','eEsWv','2021-09-11','2021-10-11','18','-1.85','-7.6',51,'44','0.34','1.18','6.66','4','4',357,-473,'8','10','-18.22'
'SOL-USDT','5m','@VW.?','2021-09-11','2021-10-11','34','0.3','-8.26',48,'44','0.44','1.01','5.84','3','4',453,-299,'15','19','-18.22'
'SOL-USDT','5m','3OWXC','2021-09-11','2021-10-11','38','-1.79','-9.26',54,'47','0.33','1.04','5.81','3','3',373,-341,'18','20','-18.22'
'SOL-USDT','5m','-VW<v','2021-09-11','2021-10-11','54','-2.12','-13.0',56,'46','0.2','0.95','4.28','4','5',360,-418,'25','29','-18.22'
'SOL-USDT','5m','@VW4?','2021-09-11','2021-10-11','36','-1.16','-7.13',28,'47','0.33','0.74','3.87','3','4',358,-302,'17','19','-18.22'
'SOL-USDT','5m','fVPWv','2021-09-11','2021-10-11','60','-7.72','-15.2',52,'40','0.12','0.95','3.41','3','6',378,-442,'24','36','-18.22'
'SOL-USDT','5m','gVPWv','2021-09-11','2021-10-11','60','-7.72','-15.2',52,'40','0.12','0.95','3.41','3','6',378,-442,'24','36','-18.22'
'SOL-USDT','5m','q9da','2021-09-11','2021-10-11','20','-1.3','-8.26',22,'65','0.12','0.68','2.71','4','3',282,-510,'13','7','-18.22'
'SOL-USDT','5m','`RNWv','2021-09-11','2021-10-11','61','-5.92','-15.43',41,'41','0.09','0.82','2.65','4','8',366,-362,'25','36','-18.22'
'SOL-USDT','5m','cRNWv','2021-09-11','2021-10-11','61','-5.92','-15.43',41,'41','0.09','0.82','2.65','4','8',366,-362,'25','36','-18.22'
'SOL-USDT','5m','\\RNWv','2021-09-11','2021-10-11','61','-5.92','-15.43',41,'41','0.09','0.82','2.65','4','8',366,-362,'25','36','-18.22'
'SOL-USDT','5m','RNWv','2021-09-11','2021-10-11','61','-5.92','-15.43',41,'41','0.09','0.82','2.65','4','8',366,-362,'25','36','-18.22'
'SOL-USDT','5m','aRNWv','2021-09-11','2021-10-11','61','-5.92','-15.43',41,'41','0.09','0.82','2.65','4','8',366,-362,'25','36','-18.22'
'SOL-USDT','5m','^RNWv','2021-09-11','2021-10-11','61','-5.92','-15.43',41,'41','0.09','0.82','2.65','4','8',366,-362,'25','36','-18.22'
'SOL-USDT','5m','_RNWv','2021-09-11','2021-10-11','61','-5.92','-15.43',41,'41','0.09','0.82','2.65','4','8',366,-362,'25','36','-18.22'
'SOL-USDT','5m','-SUNv','2021-09-11','2021-10-11','58','-6.49','-14.27',25,'40','0.09','0.66','1.77','3','6',389,-406,'23','35','-18.22'
'SOL-USDT','5m','ePPWb','2021-09-11','2021-10-11','56','-2.41','-13.28',22,'43','0.07','0.62','1.67','4','4',361,-440,'24','32','-18.22'
'SOL-USDT','5m','ePPW\\','2021-09-11','2021-10-11','56','-2.41','-13.28',22,'43','0.07','0.62','1.67','4','4',361,-440,'24','32','-18.22'
'SOL-USDT','5m','eVswv','2021-09-11','2021-10-11','24','-3.58','-6.97',11,'62','0.05','0.48','1.54','5','2',247,-518,'15','9','-18.22'
'SOL-USDT','5m','?^WWv','2021-09-11','2021-10-11','59','-6.28','-14.52',22,'44','0.05','0.61','1.49','4','6',348,-464,'26','33','-18.22'
