'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'SUSHI-USDT','5m','vNqn','2021-09-11','2021-10-11','14','23.11','-5.29',1357,'71','14.95','6.64','256.48','5','2',443,-376,'10','4','1.12'
'SUSHI-USDT','5m','WrVZ;','2021-09-11','2021-10-11','33','11.13','-5.71',630,'45','4.31','4.86','110.35','4','4',376,-299,'15','18','1.12'
'SUSHI-USDT','5m','E^cA','2021-09-11','2021-10-11','18','14.6','-5.47',470,'67','2.98','3.92','85.87','6','3',437,-320,'12','6','1.12'
'SUSHI-USDT','5m','@TW*?','2021-09-11','2021-10-11','35','19.02','-12.4',768,'46','0.97','3.43','61.9','6','5',638,-382,'16','19','1.12'
'SUSHI-USDT','5m','FVW*?','2021-09-11','2021-10-11','34','16.25','-9.13',551,'41','1.41','3.59','60.37','5','4',602,-366,'14','20','1.12'
'SUSHI-USDT','5m','wVW*?','2021-09-11','2021-10-11','34','13.44','-8.91',527,'41','2.02','3.11','59.17','3','5',585,-353,'14','20','1.12'
'SUSHI-USDT','5m','hPPHs','2021-09-11','2021-10-11','54','3.74','-9.99',519,'50','1.09','3.69','51.92','3','5',350,-434,'27','27','1.12'
'SUSHI-USDT','5m','ePPHa','2021-09-11','2021-10-11','54','3.74','-9.99',519,'50','1.09','3.69','51.92','3','5',350,-434,'27','27','1.12'
'SUSHI-USDT','5m','ePPH','2021-09-11','2021-10-11','54','3.74','-9.99',519,'50','1.09','3.69','51.92','3','5',350,-434,'27','27','1.12'
'SUSHI-USDT','5m','ePPHt','2021-09-11','2021-10-11','54','3.74','-9.99',519,'50','1.09','3.69','51.92','3','5',350,-434,'27','27','1.12'
'SUSHI-USDT','5m','@VX*?','2021-09-11','2021-10-11','36','17.48','-13.32',652,'44','0.78','3.22','48.97','4','4',638,-384,'16','20','1.12'
'SUSHI-USDT','5m','eEsWv','2021-09-11','2021-10-11','18','6.31','-5.65',200,'56','0.98','3.14','35.43','6','3',416,-505,'10','8','1.12'
'SUSHI-USDT','5m','=bVNC','2021-09-11','2021-10-11','50','7.1','-10.2',303,'40','1.09','2.6','29.71','3','5',471,-389,'20','30','1.12'
'SUSHI-USDT','5m','q9da','2021-09-11','2021-10-11','18','8.36','-7.9',178,'72','0.46','2.61','22.48','6','2',303,-546,'13','5','1.12'
'SUSHI-USDT','5m','ePPWb','2021-09-11','2021-10-11','57','-0.9','-10.48',215,'46','0.68','2.1','20.56','3','5',423,-425,'26','31','1.12'
'SUSHI-USDT','5m','@XW*?','2021-09-11','2021-10-11','36','9.39','-10.62',210,'39','0.65','2.1','19.75','5','5',575,-349,'14','22','1.12'
'SUSHI-USDT','5m','YOR9c','2021-09-11','2021-10-11','57','1.56','-8.46',148,'47','0.75','1.75','17.45','5','5',498,-423,'27','30','1.12'
'SUSHI-USDT','5m','O=ITi','2021-09-11','2021-10-11','61','3.74','-17.16',239,'51','0.58','2.09','13.92','6','6',312,-450,'31','30','1.12'
'SUSHI-USDT','5m','@cW*?','2021-09-11','2021-10-11','45','5.42','-17.37',167,'40','0.2','1.71','9.63','3','5',611,-382,'18','27','1.12'
'SUSHI-USDT','5m','-VW=v','2021-09-11','2021-10-11','56','0.52','-13.54',115,'48','0.57','1.5','8.51','5','7',408,-550,'27','29','1.12'
'SUSHI-USDT','5m','-VW;v','2021-09-11','2021-10-11','55','1.36','-13.66',112,'47','0.35','1.43','8.23','5','7',484,-573,'26','29','1.12'
'SUSHI-USDT','5m','VsWv','2021-09-11','2021-10-11','27','4.55','-10.6',86,'52','0.32','1.37','8.07','4','5',396,-575,'14','13','1.12'
'SUSHI-USDT','5m','WVsWv','2021-09-11','2021-10-11','27','4.55','-10.6',86,'52','0.32','1.37','8.07','4','5',396,-575,'14','13','1.12'
'SUSHI-USDT','5m','ePPW\\','2021-09-11','2021-10-11','57','-1.92','-10.48',82,'46','0.33','1.26','7.82','3','5',404,-414,'26','31','1.12'
'SUSHI-USDT','5m','-VW*9','2021-09-11','2021-10-11','30','5.44','-13.72',107,'40','0.19','1.58','7.82','4','6',576,-310,'12','18','1.12'
'SUSHI-USDT','5m','BVV.a','2021-09-11','2021-10-11','55','0.39','-9.4',70,'42','0.34','1.12','7.45','4','7',498,-489,'23','32','1.12'
'SUSHI-USDT','5m','<VV.a','2021-09-11','2021-10-11','55','0.39','-9.4',70,'42','0.34','1.12','7.45','4','7',498,-489,'23','32','1.12'
