'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'THETA-USDT','5m','-VW*9','2021-09-11','2021-10-11','25','29.04','-4.55',2135,'56','15.09','5.4','469.0','3','2',587,-325,'14','11','-2.09'
'THETA-USDT','5m','@VW.?','2021-09-11','2021-10-11','30','25.36','-6.29',2506,'53','9.11','5.46','398.25','4','4',556,-379,'16','14','-2.09'
'THETA-USDT','5m','@VW)?','2021-09-11','2021-10-11','30','24.72','-6.03',1935,'50','8.09','4.63','321.14','4','4',646,-376,'15','15','-2.09'
'THETA-USDT','5m','@VW4?','2021-09-11','2021-10-11','30','20.46','-6.02',1603,'57','6.95','5.4','266.4','4','4',424,-359,'17','13','-2.09'
'THETA-USDT','5m','@TW*?','2021-09-11','2021-10-11','29','21.14','-6.29',1499,'52','6.73','4.74','238.32','3','4',596,-347,'15','14','-2.09'
'THETA-USDT','5m','@VWF?','2021-09-11','2021-10-11','30','16.15','-6.48',941,'57','4.98','4.47','145.35','4','4',436,-351,'17','13','-2.09'
'THETA-USDT','5m','@VW*A','2021-09-11','2021-10-11','33','17.15','-7.83',953,'45','3.63','3.68','121.57','4','4',565,-370,'15','18','-2.09'
'THETA-USDT','5m','-VW*=','2021-09-11','2021-10-11','31','17.04','-8.7',936,'45','3.13','3.84','107.57','3','4',575,-305,'14','17','-2.09'
'THETA-USDT','5m','?VW.v','2021-09-11','2021-10-11','40','18.26','-11.9',1173,'48','1.97','3.84','98.58','3','3',508,-482,'19','21','-2.09'
'THETA-USDT','5m','wVW*?','2021-09-11','2021-10-11','20','14.96','-7.42',450,'50','2.18','3.87','60.65','3','3',513,-290,'10','10','-2.09'
'THETA-USDT','5m','IVWWv','2021-09-11','2021-10-11','40','12.74','-11.09',626,'55','1.34','3.45','56.4','4','3',390,-488,'22','18','-2.09'
'THETA-USDT','5m','@VW*F','2021-09-11','2021-10-11','35','10.22','-7.83',432,'40','2.82','2.74','55.18','2','4',552,-351,'14','21','-2.09'
'THETA-USDT','5m','@XW*?','2021-09-11','2021-10-11','31','10.18','-8.29',407,'42','1.6','2.94','49.05','3','4',541,-308,'13','18','-2.09'
'THETA-USDT','5m','@^W*?','2021-09-11','2021-10-11','38','12.03','-10.94',505,'42','1.3','2.66','46.19','4','4',521,-326,'16','22','-2.09'
'THETA-USDT','5m','?VW2v','2021-09-11','2021-10-11','39','11.89','-12.24',524,'54','1.15','3.06','42.84','4','3',435,-480,'21','18','-2.09'
'THETA-USDT','5m','ui*5<','2021-09-11','2021-10-11','34','11.76','-8.37',355,'41','1.25','3.07','42.43','3','4',535,-279,'14','20','-2.09'
'THETA-USDT','5m','-VWW^','2021-09-11','2021-10-11','42','6.91','-9.4',387,'50','1.82','2.65','41.15','4','4',393,-392,'21','21','-2.09'
'THETA-USDT','5m',':YY:_','2021-09-11','2021-10-11','42','8.86','-10.39',413,'50','1.74','2.58','39.79','4','4',446,-393,'21','21','-2.09'
'THETA-USDT','5m','@_W*?','2021-09-11','2021-10-11','37','11.06','-12.53',442,'41','0.93','2.54','35.29','4','4',517,-324,'15','22','-2.09'
