'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'AAVE-USDT','5m','wVW*?','2021-09-11','2021-10-11','25','23.67','-4.83',1623,'48','10.85','6.04','335.85','3','3',591,-317,'12','13','-8.0'
'AAVE-USDT','5m','ftUQf','2021-09-11','2021-10-11','38','26.68','-8.26',2194,'58','3.24','6.14','265.65','6','5',519,-512,'22','16','-8.0'
'AAVE-USDT','5m','ui*5<','2021-09-11','2021-10-11','40','22.85','-7.33',1223,'48','3.16','5.05','166.81','4','6',623,-298,'19','21','-8.0'
'AAVE-USDT','5m','-SUNv','2021-09-11','2021-10-11','46','19.26','-9.25',1040,'52','4.63','4.13','112.38','4','4',434,-487,'24','22','-8.0'
'AAVE-USDT','5m',':YY:_','2021-09-11','2021-10-11','43','14.12','-7.85',627,'51','3.04','3.51','79.91','4','3',445,-429,'22','21','-8.0'
'AAVE-USDT','5m','@_W*?','2021-09-11','2021-10-11','38','14.89','-8.15',591,'45','2.62','3.27','72.59','4','5',550,-356,'17','21','-8.0'
'AAVE-USDT','5m',':VWWv','2021-09-11','2021-10-11','45','12.01','-9.47',498,'51','2.26','3.3','52.62','4','3',398,-463,'23','22','-8.0'
'AAVE-USDT','5m','7VWWv','2021-09-11','2021-10-11','45','12.01','-9.47',498,'51','2.26','3.3','52.62','4','3',398,-463,'23','22','-8.0'
'AAVE-USDT','5m','q9da','2021-09-11','2021-10-11','14','6.16','-3.53',159,'64','3.63','3.38','45.1','4','1',289,-484,'9','5','-8.0'
'AAVE-USDT','5m','eVswv','2021-09-11','2021-10-11','15','5.13','-2.76',117,'67','2.45','3.4','42.22','4','2',240,-382,'10','5','-8.0'
'AAVE-USDT','5m','-VUWv','2021-09-11','2021-10-11','48','12.07','-10.44',431,'50','1.75','2.95','41.27','6','4',374,-446,'24','24','-8.0'
'AAVE-USDT','5m','@TW*?','2021-09-11','2021-10-11','30','9.1','-6.96',265,'50','2.13','2.53','38.07','4','3',515,-328,'15','15','-8.0'
'AAVE-USDT','5m','@^W*?','2021-09-11','2021-10-11','42','9.68','-8.14',296,'43','1.01','2.44','36.37','4','5',548,-347,'18','24','-8.0'
'AAVE-USDT','5m','_W6,U','2021-09-11','2021-10-11','44','13.06','-9.9',355,'48','1.32','2.76','35.88','4','5',592,-448,'21','23','-8.0'
'AAVE-USDT','5m','-VW*9','2021-09-11','2021-10-11','28','12.79','-11.86',345,'46','0.64','3.04','29.11','3','4',559,-311,'13','15','-8.0'
'AAVE-USDT','5m','@cW*?','2021-09-11','2021-10-11','45','9.35','-9.78',277,'47','0.88','2.47','28.34','5','5',542,-342,'21','24','-8.0'
'AAVE-USDT','5m','3OWXC','2021-09-11','2021-10-11','39','5.51','-5.74',149,'49','1.77','2.14','26.01','3','3',373,-318,'19','20','-8.0'
'AAVE-USDT','5m','3OWXE','2021-09-11','2021-10-11','39','5.58','-5.74',148,'51','1.72','2.12','25.88','3','3',373,-318,'20','19','-8.0'
'AAVE-USDT','5m','tbik','2021-09-11','2021-10-11','27','7.22','-8.11',205,'59','0.7','2.75','25.26','4','3',356,-475,'16','11','-8.0'
'AAVE-USDT','5m','-VW<v','2021-09-11','2021-10-11','47','7.75','-11.77',286,'49','0.93','2.54','24.28','4','4',394,-462,'23','24','-8.0'
'AAVE-USDT','5m','-VWMv','2021-09-11','2021-10-11','48','8.0','-10.89',258,'46','1.06','2.33','23.65','3','4',455,-465,'22','26','-8.0'
'AAVE-USDT','5m','-VW.v','2021-09-11','2021-10-11','48','8.44','-11.64',274,'46','0.99','2.3','23.52','4','4',477,-463,'22','26','-8.0'
'AAVE-USDT','5m','7Fpob','2021-09-11','2021-10-11','17','8.6','-8.43',194,'53','0.97','2.72','22.99','3','4',359,-433,'9','8','-8.0'
'AAVE-USDT','5m','3OW?n','2021-09-11','2021-10-11','44','9.73','-11.3',254,'55','0.58','2.28','22.46','4','4',507,-480,'24','20','-8.0'
'AAVE-USDT','5m','-VWWu','2021-09-11','2021-10-11','48','6.61','-10.85',228,'50','1.05','2.28','21.02','4','4',385,-457,'24','24','-8.0'
'AAVE-USDT','5m',',VWWv','2021-09-11','2021-10-11','48','6.61','-10.85',228,'50','1.05','2.28','21.02','4','4',385,-457,'24','24','-8.0'
'AAVE-USDT','5m','-VWWs','2021-09-11','2021-10-11','48','6.61','-10.85',228,'50','1.05','2.28','21.02','4','4',385,-457,'24','24','-8.0'
'AAVE-USDT','5m','vNqn','2021-09-11','2021-10-11','13','5.04','-4.01',82,'54','1.42','1.84','20.44','2','2',385,-513,'7','6','-8.0'
'AAVE-USDT','5m','-VWWl','2021-09-11','2021-10-11','48','6.43','-11.0',221,'50','0.99','2.25','20.13','4','4',385,-456,'24','24','-8.0'
'AAVE-USDT','5m','-VWWa','2021-09-11','2021-10-11','48','6.43','-11.0',221,'50','0.99','2.25','20.13','4','4',385,-456,'24','24','-8.0'
'AAVE-USDT','5m','-VWW^','2021-09-11','2021-10-11','48','6.43','-11.0',221,'50','0.99','2.25','20.13','4','4',385,-456,'24','24','-8.0'
'AAVE-USDT','5m','3OW5n','2021-09-11','2021-10-11','46','8.97','-12.43',240,'52','0.5','2.12','19.28','4','4',575,-483,'24','22','-8.0'
'AAVE-USDT','5m','-VWLv','2021-09-11','2021-10-11','48','6.79','-11.49',183,'46','0.49','1.9','15.94','3','4',526,-469,'22','26','-8.0'
'AAVE-USDT','5m','=ptVt','2021-09-11','2021-10-11','30','7.89','-11.86',162,'53','0.27','2.09','13.69','5','5',433,-438,'16','14','-8.0'
'AAVE-USDT','5m','g^VGt','2021-09-11','2021-10-11','45','3.1','-10.26',120,'53','0.24','1.78','11.69','3','4',390,-418,'24','21','-8.0'
'AAVE-USDT','5m','HPqWv','2021-09-11','2021-10-11','19','6.5','-10.67',124,'47','0.27','2.09','11.63','2','4',395,-422,'9','10','-8.0'
'AAVE-USDT','5m','-VW=v','2021-09-11','2021-10-11','46','3.72','-12.24',140,'48','0.4','1.7','11.43','5','4',397,-451,'22','24','-8.0'
'AAVE-USDT','5m','-VW?v','2021-09-11','2021-10-11','48','4.97','-12.58',132,'50','0.29','1.6','10.51','4','4',500,-459,'24','24','-8.0'
'AAVE-USDT','5m','eRQWv','2021-09-11','2021-10-11','47','1.04','-8.05',78,'51','0.35','1.33','9.65','3','4',385,-395,'24','23','-8.0'
