'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'AVAX-USDT','5m','BVV.a','2021-09-11','2021-10-11','75','-48.58','-48.25',-100,'33','-0.11','-8.22','-2.07','3','7',405,-461,'25','50','13.87'
'AVAX-USDT','5m','<VV.a','2021-09-11','2021-10-11','75','-48.58','-48.25',-100,'33','-0.11','-8.22','-2.07','3','7',405,-461,'25','50','13.87'
'AVAX-USDT','5m','?VW.v','2021-09-11','2021-10-11','76','-48.24','-47.8',-100,'34','-0.12','-8.27','-2.09','3','12',426,-537,'26','50','13.87'
'AVAX-USDT','5m','hPmHf','2021-09-11','2021-10-11','27','-11.07','-22.39',-47,'52','-0.07','-0.81','-2.1','4','4',355,-582,'14','13','13.87'
'AVAX-USDT','5m','eRQWv','2021-09-11','2021-10-11','74','-49.4','-47.05',-100,'35','-0.1','-9.04','-2.12','3','5',344,-484,'26','48','13.87'
'AVAX-USDT','5m','CMNWv','2021-09-11','2021-10-11','84','-50.27','-46.58',-100,'33','-0.11','-8.18','-2.15','3','6',338,-445,'28','56','13.87'
'AVAX-USDT','5m','3OW5n','2021-09-11','2021-10-11','75','-45.11','-46.16',-100,'33','-0.13','-5.87','-2.16','2','5',567,-431,'25','50','13.87'
'AVAX-USDT','5m','?^WWv','2021-09-11','2021-10-11','79','-50.36','-45.96',-100,'34','-0.11','-8.34','-2.17','3','8',338,-480,'27','52','13.87'
'AVAX-USDT','5m','?VW2v','2021-09-11','2021-10-11','75','-46.92','-46.1',-100,'41','-0.12','-8.0','-2.17','4','5',387,-535,'31','44','13.87'
'AVAX-USDT','5m','IVWWv','2021-09-11','2021-10-11','74','-50.22','-45.9',-100,'35','-0.11','-8.61','-2.18','3','10',332,-468,'26','48','13.87'
'AVAX-USDT','5m',':YY:_','2021-09-11','2021-10-11','73','-46.98','-45.87',-100,'37','-0.1','-8.83','-2.18','3','9',409,-456,'27','46','13.87'
'AVAX-USDT','5m','3OW?n','2021-09-11','2021-10-11','73','-46.71','-45.38',-100,'34','-0.13','-6.61','-2.2','3','5',483,-423,'25','48','13.87'
'AVAX-USDT','5m','-VW.v','2021-09-11','2021-10-11','78','-42.35','-44.99',-99,'37','-0.12','-4.86','-2.21','3','5',491,-424,'29','49','13.87'
'AVAX-USDT','5m','-VWLv','2021-09-11','2021-10-11','78','-41.62','-44.84',-99,'36','-0.12','-5.01','-2.22','3','10',530,-433,'28','50','13.87'
'AVAX-USDT','5m','ui*5<','2021-09-11','2021-10-11','35','-3.99','-10.96',-24,'31','-0.09','-0.37','-2.23','2','4',514,-239,'11','24','13.87'
'AVAX-USDT','5m','-VW<v','2021-09-11','2021-10-11','77','-45.39','-44.57',-100,'39','-0.12','-5.38','-2.23','3','5',398,-411,'30','47','13.87'
'AVAX-USDT','5m','-VWWl','2021-09-11','2021-10-11','79','-47.73','-44.59',-100,'37','-0.12','-5.37','-2.23','3','5',398,-408,'29','50','13.87'
'AVAX-USDT','5m','-SUNv','2021-09-11','2021-10-11','81','-46.27','-44.76',-100,'35','-0.13','-5.26','-2.23','3','9',434,-422,'28','53','13.87'
'AVAX-USDT','5m','-VWMv','2021-09-11','2021-10-11','78','-42.51','-43.49',-99,'36','-0.12','-4.87','-2.28','3','10',466,-432,'28','50','13.87'
'AVAX-USDT','5m','-VUWv','2021-09-11','2021-10-11','81','-46.6','-43.24',-100,'38','-0.14','-6.63','-2.31','3','5',361,-532,'31','50','13.87'
'AVAX-USDT','5m','-VW=v','2021-09-11','2021-10-11','78','-42.79','-42.82',-99,'41','-0.12','-5.14','-2.32','3','5',405,-425,'32','46','13.87'
'AVAX-USDT','5m','-VW?v','2021-09-11','2021-10-11','74','-39.14','-42.49',-99,'39','-0.12','-5.32','-2.34','3','5',483,-428,'29','45','13.87'
'AVAX-USDT','5m','-VWWs','2021-09-11','2021-10-11','78','-44.59','-42.08',-99,'38','-0.12','-4.94','-2.36','3','5',398,-427,'30','48','13.87'
'AVAX-USDT','5m','-VWWu','2021-09-11','2021-10-11','78','-43.29','-41.46',-99,'38','-0.12','-4.85','-2.39','3','5',398,-431,'30','48','13.87'
'AVAX-USDT','5m',',VWWv','2021-09-11','2021-10-11','78','-43.29','-41.46',-99,'38','-0.12','-4.85','-2.39','3','5',398,-431,'30','48','13.87'
'AVAX-USDT','5m',':VWWv','2021-09-11','2021-10-11','78','-48.15','-41.58',-100,'36','-0.12','-7.82','-2.4','3','7',357,-490,'28','50','13.87'
'AVAX-USDT','5m','7VWWv','2021-09-11','2021-10-11','78','-48.15','-41.58',-100,'36','-0.12','-7.82','-2.4','3','7',357,-490,'28','50','13.87'
'AVAX-USDT','5m','-dW6n','2021-09-11','2021-10-11','82','-42.71','-41.13',-100,'33','-0.16','-6.0','-2.42','3','11',484,-475,'27','55','13.87'
'AVAX-USDT','5m','3fWHn','2021-09-11','2021-10-11','81','-47.88','-41.28',-100,'40','-0.14','-6.81','-2.42','3','5',295,-406,'32','49','13.87'
'AVAX-USDT','5m','-VW;v','2021-09-11','2021-10-11','71','-37.66','-40.95',-99,'41','-0.13','-5.18','-2.42','3','5',441,-437,'29','42','13.87'
'AVAX-USDT','5m','ePRWv','2021-09-11','2021-10-11','68','-42.0','-39.85',-100,'40','-0.14','-6.87','-2.5','3','4',331,-470,'27','41','13.87'
'AVAX-USDT','5m','3eWXn','2021-09-11','2021-10-11','82','-44.58','-38.82',-100,'38','-0.15','-6.29','-2.56','3','5',357,-477,'31','51','13.87'
'AVAX-USDT','5m','-VWWa','2021-09-11','2021-10-11','76','-40.66','-38.49',-98,'37','-0.12','-4.37','-2.56','3','5',398,-405,'28','48','13.87'
'AVAX-USDT','5m','-VWW^','2021-09-11','2021-10-11','76','-40.66','-38.49',-98,'37','-0.12','-4.37','-2.56','3','5',398,-405,'28','48','13.87'
'AVAX-USDT','5m','=bVNC','2021-09-11','2021-10-11','60','-45.26','-38.32',-100,'18','-0.13','-7.91','-2.6','2','11',350,-274,'11','49','13.87'
'AVAX-USDT','5m','ePPHt','2021-09-11','2021-10-11','67','-42.53','-38.25',-99,'42','-0.1','-7.11','-2.6','4','4',287,-507,'28','39','13.87'
'AVAX-USDT','5m','hPPHs','2021-09-11','2021-10-11','64','-41.74','-37.62',-99,'41','-0.11','-7.07','-2.64','4','4',287,-507,'26','38','13.87'
'AVAX-USDT','5m','O=ITi','2021-09-11','2021-10-11','78','-45.32','-37.2',-100,'37','-0.1','-8.99','-2.68','3','5',291,-413,'29','49','13.87'
'AVAX-USDT','5m','LewDb','2021-09-11','2021-10-11','28','-31.73','-36.51',-98,'32','-0.11','-5.88','-2.69','2','8',360,-563,'9','19','13.87'
'AVAX-USDT','5m','@cW*?','2021-09-11','2021-10-11','49','-37.66','-36.82',-100,'16','-0.09','-8.66','-2.7','2','13',433,-274,'8','41','13.87'
'AVAX-USDT','5m','g^VGt','2021-09-11','2021-10-11','68','-38.69','-35.54',-99,'44','-0.15','-5.62','-2.78','4','5',351,-552,'30','38','13.87'
'AVAX-USDT','5m','`RNWv','2021-09-11','2021-10-11','77','-37.85','-35.41',-99,'38','-0.14','-6.18','-2.8','3','6',353,-503,'29','48','13.87'
'AVAX-USDT','5m','cRNWv','2021-09-11','2021-10-11','77','-37.85','-35.41',-99,'38','-0.14','-6.18','-2.8','3','6',353,-503,'29','48','13.87'
'AVAX-USDT','5m','\\RNWv','2021-09-11','2021-10-11','77','-37.85','-35.41',-99,'38','-0.14','-6.18','-2.8','3','6',353,-503,'29','48','13.87'
'AVAX-USDT','5m','RNWv','2021-09-11','2021-10-11','77','-37.85','-35.41',-99,'38','-0.14','-6.18','-2.8','3','6',353,-503,'29','48','13.87'
'AVAX-USDT','5m','aRNWv','2021-09-11','2021-10-11','77','-37.85','-35.41',-99,'38','-0.14','-6.18','-2.8','3','6',353,-503,'29','48','13.87'
'AVAX-USDT','5m','^RNWv','2021-09-11','2021-10-11','77','-37.85','-35.41',-99,'38','-0.14','-6.18','-2.8','3','6',353,-503,'29','48','13.87'
'AVAX-USDT','5m','_RNWv','2021-09-11','2021-10-11','77','-37.85','-35.41',-99,'38','-0.14','-6.18','-2.8','3','6',353,-503,'29','48','13.87'
'AVAX-USDT','5m','ePPH','2021-09-11','2021-10-11','66','-39.87','-34.34',-99,'41','-0.13','-5.64','-2.88','3','4',287,-483,'27','39','13.87'
'AVAX-USDT','5m','ePPW\\','2021-09-11','2021-10-11','67','-37.2','-33.81',-99,'37','-0.14','-5.66','-2.92','3','5',345,-483,'25','42','13.87'
'AVAX-USDT','5m','ePPHa','2021-09-11','2021-10-11','66','-39.35','-33.82',-99,'41','-0.13','-5.54','-2.92','3','4',287,-483,'27','39','13.87'
'AVAX-USDT','5m','YOR9c','2021-09-11','2021-10-11','68','-35.46','-33.48',-99,'40','-0.17','-4.55','-2.94','4','9',412,-479,'27','41','13.87'
'AVAX-USDT','5m','XRV.a','2021-09-11','2021-10-11','65','-34.36','-33.53',-99,'37','-0.18','-4.77','-2.95','3','10',404,-472,'24','41','13.87'
