'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'AXS-USDT','5m','vNqn','2021-09-11','2021-10-11','15','15.36','-3.95',606,'67','9.55','5.1','153.39','3','1',425,-431,'10','5','77.03'
'AXS-USDT','5m','?VuWv','2021-09-11','2021-10-11','31','15.14','-10.07',1283,'55','2.32','4.53','127.4','4','3',400,-579,'17','14','77.03'
'AXS-USDT','5m','3OWXC','2021-09-11','2021-10-11','36','14.32','-8.29',726,'50','1.7','3.95','87.57','3','5',423,-293,'18','18','77.03'
'AXS-USDT','5m','HPqWv','2021-09-11','2021-10-11','31','11.23','-11.35',821,'52','1.35','3.88','72.26','4','3',397,-564,'16','15','77.03'
'AXS-USDT','5m','@^W*?','2021-09-11','2021-10-11','43','18.79','-12.44',833,'42','1.06','2.96','66.95','4','5',570,-332,'18','25','77.03'
'AXS-USDT','5m','3OW5n','2021-09-11','2021-10-11','57','17.18','-14.56',839,'46','1.04','2.65','57.6','6','6',627,-621,'26','31','77.03'
'AXS-USDT','5m','E^cA','2021-09-11','2021-10-11','16','9.67','-5.45',254,'62','2.77','3.31','46.56','4','2',430,-319,'10','6','77.03'
'AXS-USDT','5m','7Fpob','2021-09-11','2021-10-11','23','5.91','-5.95',274,'52','2.15','3.44','46.13','3','3',374,-412,'12','11','77.03'
'AXS-USDT','5m','eVswv','2021-09-11','2021-10-11','26','8.43','-7.38',321,'69','1.44','4.08','43.5','6','2',245,-454,'18','8','77.03'
'AXS-USDT','5m','3OW?n','2021-09-11','2021-10-11','59','12.24','-14.72',627,'47','0.85','2.52','42.62','6','6',539,-602,'28','31','77.03'
'AXS-USDT','5m','@cW*?','2021-09-11','2021-10-11','44','12.8','-14.26',479,'41','0.71','2.42','33.57','4','5',555,-327,'18','26','77.03'
'AXS-USDT','5m','q9da','2021-09-11','2021-10-11','20','3.11','-4.44',148,'65','2.21','3.04','33.37','3','3',288,-506,'13','7','77.03'
'AXS-USDT','5m','wVW*?','2021-09-11','2021-10-11','24','10.5','-7.86',257,'42','1.08','2.2','32.75','4','4',562,-360,'10','14','77.03'
'AXS-USDT','5m','LewDb','2021-09-11','2021-10-11','21','6.65','-8.27',241,'52','1.48','2.83','29.2','3','2',343,-555,'11','10','77.03'
'AXS-USDT','5m','\\sta','2021-09-11','2021-10-11','24','2.06','-6.93',151,'67','0.86','2.4','21.76','4','4',275,-502,'16','8','77.03'
'AXS-USDT','5m','YOR9c','2021-09-11','2021-10-11','55','7.77','-16.07',339,'47','0.55','2.04','21.08','4','5',483,-448,'26','29','77.03'
'AXS-USDT','5m','@_W*?','2021-09-11','2021-10-11','41','10.35','-14.73',289,'39','0.39','1.98','19.64','4','5',527,-308,'16','25','77.03'
'AXS-USDT','5m','@VW*A','2021-09-11','2021-10-11','39','10.56','-16.3',312,'44','0.5','2.11','19.14','3','6',519,-343,'17','22','77.03'
