'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'BCH-USDT','5m','vNqn','2021-09-11','2021-10-11','7','5.52','-5.06',92,'57','0.83','2.36','18.24','3','2',385,-449,'4','3','-7.04'
'BCH-USDT','5m','LewDb','2021-09-11','2021-10-11','9','4.67','-4.36',74,'67','0.7','1.88','17.01','4','1',349,-427,'6','3','-7.04'
'BCH-USDT','5m','q9da','2021-09-11','2021-10-11','9','5.04','-5.79',82,'67','0.47','2.23','14.17','4','2',279,-441,'6','3','-7.04'
'BCH-USDT','5m','7Fpob','2021-09-11','2021-10-11','8','2.91','-3.78',53,'50','0.56','1.76','14.08','3','2',353,-327,'4','4','-7.04'
'BCH-USDT','5m','\\sta','2021-09-11','2021-10-11','7','1.31','-4.59',17,'57','0.13','0.78','3.73','3','2',258,-416,'4','3','-7.04'
'BCH-USDT','5m','@VX*?','2021-09-11','2021-10-11','22','2.01','-10.45',28,'36','0.14','0.72','2.69','4','5',506,-285,'8','14','-7.04'
'BCH-USDT','5m','3OW?n','2021-09-11','2021-10-11','27','0.28','-11.29',16,'56','0.06','0.53','1.44','7','5',462,-359,'15','12','-7.04'
'BCH-USDT','5m','3OW5n','2021-09-11','2021-10-11','27','0.32','-11.9',13,'41','0.05','0.47','1.08','5','6',523,-358,'11','16','-7.04'
'BCH-USDT','5m','@VW4?','2021-09-11','2021-10-11','22','0.73','-9.96',10,'41','0.05','0.42','1.0','4','5',360,-281,'9','13','-7.04'
'BCH-USDT','5m','@XW*?','2021-09-11','2021-10-11','23','0.62','-10.17',8,'39','0.04','0.4','0.83','4','5',496,-280,'9','14','-7.04'
'BCH-USDT','5m','@VWF?','2021-09-11','2021-10-11','22','0.23','-10.38',4,'50','0.02','0.28','0.34','5','5',382,-281,'11','11','-7.04'
'BCH-USDT','5m','@VW*A','2021-09-11','2021-10-11','21','-0.04','-12.23',0,'38','0.0','0.24','0.01','4','5',505,-282,'8','13','-7.04'
'BCH-USDT','5m','@VW)?','2021-09-11','2021-10-11','21','-0.16','-12.55',-1,'38','-0.0','0.21','-0.11','4','5',537,-282,'8','13','-7.04'
'BCH-USDT','5m','3OWXC','2021-09-11','2021-10-11','25','-1.87','-10.79',-4,'48','-0.02','0.13','-0.36','7','5',378,-301,'12','13','-7.04'
'BCH-USDT','5m','3OWXE','2021-09-11','2021-10-11','25','-2.16','-10.79',-7,'48','-0.03','0.05','-0.67','7','5',377,-300,'12','13','-7.04'
'BCH-USDT','5m','@VW.?','2021-09-11','2021-10-11','21','-0.92','-12.5',-10,'38','-0.04','0.01','-0.8','4','5',452,-281,'8','13','-7.04'
'BCH-USDT','5m','FVW*?','2021-09-11','2021-10-11','22','-2.03','-12.33',-22,'41','-0.1','-0.27','-1.75','4','5',491,-281,'9','13','-7.04'
'BCH-USDT','5m','eVkWv','2021-09-11','2021-10-11','13','-1.42','-6.78',-14,'46','-0.08','-0.15','-2.05','2','2',360,-570,'6','7','-7.04'
'BCH-USDT','5m','O=ITi','2021-09-11','2021-10-11','33','-4.71','-12.48',-28,'42','-0.09','-0.51','-2.2','2','7',324,-371,'14','19','-7.04'
'BCH-USDT','5m','wVW*?','2021-09-11','2021-10-11','23','-4.12','-13.67',-39,'39','-0.14','-0.69','-2.88','4','6',467,-293,'9','14','-7.04'
'BCH-USDT','5m','=bVNC','2021-09-11','2021-10-11','30','-3.27','-8.72',-26,'37','-0.18','-0.4','-2.99','3','5',370,-248,'11','19','-7.04'
'BCH-USDT','5m','eRNWZ','2021-09-11','2021-10-11','34','-5.29','-10.38',-32,'35','-0.2','-0.6','-3.11','2','7',356,-284,'12','22','-7.04'
'BCH-USDT','5m','@TW*?','2021-09-11','2021-10-11','21','-3.52','-11.15',-35,'38','-0.18','-0.74','-3.13','3','5',482,-270,'8','13','-7.04'
'BCH-USDT','5m',':YY:_','2021-09-11','2021-10-11','28','-5.22','-14.71',-47,'43','-0.15','-0.94','-3.2','4','6',410,-420,'12','16','-7.04'
'BCH-USDT','5m','YOR9c','2021-09-11','2021-10-11','29','-6.99','-15.68',-54,'38','-0.14','-1.27','-3.47','2','8',457,-411,'11','18','-7.04'
'BCH-USDT','5m','WrVZ;','2021-09-11','2021-10-11','27','-3.93','-7.48',-27,'37','-0.21','-0.59','-3.61','4','4',301,-273,'10','17','-7.04'
'BCH-USDT','5m','XRV.a','2021-09-11','2021-10-11','27','-7.51','-16.45',-61,'41','-0.17','-1.37','-3.69','2','7',450,-457,'11','16','-7.04'
'BCH-USDT','5m','@VW*F','2021-09-11','2021-10-11','25','-4.98','-11.25',-46,'36','-0.27','-0.97','-4.07','2','6',490,-324,'9','16','-7.04'
'BCH-USDT','5m','-VWWl','2021-09-11','2021-10-11','32','-8.7','-15.14',-64,'38','-0.21','-1.68','-4.25','2','7',350,-359,'12','20','-7.04'
'BCH-USDT','5m','-VWWa','2021-09-11','2021-10-11','32','-8.91','-15.14',-65,'38','-0.21','-1.74','-4.31','2','7',350,-359,'12','20','-7.04'
'BCH-USDT','5m','-VWW^','2021-09-11','2021-10-11','32','-8.91','-15.14',-65,'38','-0.21','-1.74','-4.31','2','7',350,-359,'12','20','-7.04'
'BCH-USDT','5m','BVV.a','2021-09-11','2021-10-11','28','-10.42','-16.51',-73,'36','-0.22','-2.14','-4.44','2','7',439,-395,'10','18','-7.04'
