'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'CHR-USDT','5m','FVW*?','2021-09-11','2021-10-11','31','34.73','-8.82',4005,'48','4.49','6.55','453.96','4','4',646,-381,'15','16','-6.93'
'CHR-USDT','5m','@XW*?','2021-09-11','2021-10-11','34','28.75','-7.67',2336,'50','4.75','5.82','304.6','4','4',599,-358,'17','17','-6.93'
'CHR-USDT','5m','@VX*?','2021-09-11','2021-10-11','32','26.76','-8.51',1934,'50','2.62','5.59','227.4','4','4',621,-359,'16','16','-6.93'
'CHR-USDT','5m','@VW*F','2021-09-11','2021-10-11','39','27.24','-10.14',2069,'49','2.69','4.93','203.99','4','5',621,-397,'19','20','-6.93'
'CHR-USDT','5m','eEsWv','2021-09-11','2021-10-11','23','21.42','-6.38',1049,'61','3.03','5.73','164.46','5','3',445,-502,'14','9','-6.93'
'CHR-USDT','5m','VsWv','2021-09-11','2021-10-11','29','19.46','-6.2',970,'59','6.27','5.19','156.42','4','3',423,-476,'17','12','-6.93'
'CHR-USDT','5m','WVsWv','2021-09-11','2021-10-11','29','19.46','-6.2',970,'59','6.27','5.19','156.42','4','3',423,-476,'17','12','-6.93'
'CHR-USDT','5m','@VW)?','2021-09-11','2021-10-11','33','24.69','-10.19',1575,'48','1.98','4.96','154.58','4','4',657,-360,'16','17','-6.93'
'CHR-USDT','5m','@VWF?','2021-09-11','2021-10-11','34','18.07','-7.84',1151,'53','2.67','5.87','146.8','4','4',451,-381,'18','16','-6.93'
'CHR-USDT','5m','-VW*9','2021-09-11','2021-10-11','22','19.89','-7.47',894,'50','2.5','5.08','119.76','3','4',587,-294,'11','11','-6.93'
'CHR-USDT','5m','@VW.?','2021-09-11','2021-10-11','34','20.75','-9.62',1128,'50','1.76','4.88','117.23','3','4',541,-385,'17','17','-6.93'
'CHR-USDT','5m','@VW4?','2021-09-11','2021-10-11','34','17.01','-9.01',1039,'50','1.97','5.39','115.25','3','4',425,-380,'17','17','-6.93'
