'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'COTI-USDT','5m','@VW*F','2021-09-11','2021-10-11','43','53.01','-13.33',27014,'49','2.7','9.1','2026.21','3','9',792,-565,'21','22','70.05'
'COTI-USDT','5m','@VW4?','2021-09-11','2021-10-11','36','20.24','-2.97',3980,'47','38.18','9.62','1340.24','3','4',430,-376,'17','19','70.05'
'COTI-USDT','5m','@VW*A','2021-09-11','2021-10-11','34','35.75','-6.82',6380,'47','11.08','8.29','935.38','2','7',670,-392,'16','18','70.05'
'COTI-USDT','5m','-VW*9','2021-09-11','2021-10-11','16','32.08','-4.17',3511,'69','12.34','8.7','841.77','4','2',598,-320,'11','5','70.05'
'COTI-USDT','5m','ui*5<','2021-09-11','2021-10-11','25','25.88','-3.45',1972,'48','8.35','6.71','572.04','4','6',627,-284,'12','13','70.05'
'COTI-USDT','5m','@VWF?','2021-09-11','2021-10-11','36','15.42','-4.1',1915,'47','19.64','7.98','466.93','3','4',457,-359,'17','19','70.05'
'COTI-USDT','5m','@VW.?','2021-09-11','2021-10-11','36','22.08','-5.68',2641,'47','14.65','7.23','465.26','3','4',553,-363,'17','19','70.05'
'COTI-USDT','5m','-VW*=','2021-09-11','2021-10-11','27','30.85','-7.59',3271,'59','3.67','7.85','430.81','4','2',630,-402,'16','11','70.05'
'COTI-USDT','5m','@_W*?','2021-09-11','2021-10-11','41','30.55','-8.58',3683,'51','2.49','6.15','429.33','5','4',653,-393,'21','20','70.05'
'COTI-USDT','5m','@VW)?','2021-09-11','2021-10-11','35','25.64','-7.49',2697,'43','6.16','6.67','360.23','3','8',690,-369,'15','20','70.05'
'COTI-USDT','5m','@XW*?','2021-09-11','2021-10-11','36','19.23','-7.75',1471,'42','5.38','6.21','189.78','3','7',586,-372,'15','21','70.05'
'COTI-USDT','5m','3OWXC','2021-09-11','2021-10-11','34','16.82','-8.37',1335,'56','2.59','6.5','159.49','4','3',443,-370,'19','15','70.05'
'COTI-USDT','5m','@^W*?','2021-09-11','2021-10-11','43','23.66','-12.99',1896,'49','1.06','5.22','145.9','6','4',649,-403,'21','22','70.05'
'COTI-USDT','5m','3OWXE','2021-09-11','2021-10-11','38','13.07','-9.69',964,'53','1.5','4.96','99.5','4','4',453,-406,'20','18','70.05'
'COTI-USDT','5m','-VW;v','2021-09-11','2021-10-11','68','11.0','-14.68',1019,'53','1.09','3.53','69.38','5','5',555,-809,'36','32','70.05'
'COTI-USDT','5m','WrVZ;','2021-09-11','2021-10-11','33','5.56','-7.17',425,'45','2.28','4.2','59.33','4','6',347,-300,'15','18','70.05'
'COTI-USDT','5m','@cW*?','2021-09-11','2021-10-11','49','10.05','-8.1',465,'41','1.74','3.48','57.41','4','5',508,-319,'20','29','70.05'
'COTI-USDT','5m','-VWWa','2021-09-11','2021-10-11','73','4.18','-17.91',1000,'48','0.58','3.74','55.84','5','5',510,-624,'35','38','70.05'
'COTI-USDT','5m','-VWWl','2021-09-11','2021-10-11','74','8.04','-20.17',982,'49','0.45','3.6','48.67','4','5',524,-843,'36','38','70.05'
'COTI-USDT','5m','=bVNC','2021-09-11','2021-10-11','52','6.87','-10.46',498,'44','1.71','3.79','47.63','4','5',424,-344,'23','29','70.05'
'COTI-USDT','5m','-VWW^','2021-09-11','2021-10-11','71','2.88','-21.21',769,'48','0.33','3.25','36.26','7','5',483,-658,'34','37','70.05'
'COTI-USDT','5m','-VW=v','2021-09-11','2021-10-11','75','0.41','-22.43',529,'55','0.27','2.56','23.59','6','6',508,-846,'41','34','70.05'
'COTI-USDT','5m','q9da','2021-09-11','2021-10-11','19','9.51','-14.32',300,'68','0.42','3.19','20.93','9','2',328,-544,'13','6','70.05'
'COTI-USDT','5m','eEsWv','2021-09-11','2021-10-11','29','9.36','-16.37',340,'59','0.35','2.35','20.76','11','2',455,-630,'17','12','70.05'
'COTI-USDT','5m','-VW?v','2021-09-11','2021-10-11','76','-5.51','-23.39',413,'47','0.23','2.28','17.65','6','6',638,-864,'36','40','70.05'
'COTI-USDT','5m','3OW?n','2021-09-11','2021-10-11','74','-1.2','-22.37',275,'47','0.22','1.9','12.27','3','5',606,-802,'35','39','70.05'
'COTI-USDT','5m','MVsWv','2021-09-11','2021-10-11','43','7.5','-19.43',223,'56','0.26','1.77','11.47','7','3',458,-833,'24','19','70.05'
'COTI-USDT','5m','-VUWv','2021-09-11','2021-10-11','78','-12.77','-20.78',209,'49','0.15','1.86','10.04','5','7',473,-776,'38','40','70.05'
'COTI-USDT','5m','-VWMv','2021-09-11','2021-10-11','76','-3.59','-27.07',254,'47','0.13','1.84','9.37','6','6',597,-879,'36','40','70.05'
'COTI-USDT','5m','E^cA','2021-09-11','2021-10-11','12','3.25','-9.71',90,'50','0.19','2.03','9.23','3','5',429,-324,'6','6','70.05'
