'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'CRV-USDT','5m','3fWHn','2021-09-11','2021-10-11','70','16.94','-14.13',2378,'51','1.43','5.7','168.29','5','7',425,-739,'36','34','25.68'
'CRV-USDT','5m','g^VGt','2021-09-11','2021-10-11','65','12.15','-8.6',1384,'52','3.23','4.8','160.94','5','6',442,-479,'34','31','25.68'
'CRV-USDT','5m','hPPHs','2021-09-11','2021-10-11','64','12.96','-14.83',2302,'50','1.55','5.59','155.17','5','6',425,-738,'32','32','25.68'
'CRV-USDT','5m','ePPHt','2021-09-11','2021-10-11','64','12.96','-14.83',2302,'50','1.55','5.59','155.17','5','6',425,-738,'32','32','25.68'
'CRV-USDT','5m','3OW5n','2021-09-11','2021-10-11','63','24.27','-10.46',1588,'48','2.59','3.91','151.79','4','5',656,-637,'30','33','25.68'
'CRV-USDT','5m','eSNWd','2021-09-11','2021-10-11','66','16.85','-12.15',1665,'47','1.8','4.62','137.05','4','6',471,-481,'31','35','25.68'
'CRV-USDT','5m','3eWXn','2021-09-11','2021-10-11','69','17.92','-16.21',1669,'52','0.83','4.79','102.99','5','7',516,-698,'36','33','25.68'
'CRV-USDT','5m','-VW;v','2021-09-11','2021-10-11','62','17.68','-11.15',1054,'53','1.49','4.22','94.52','3','6',526,-639,'33','29','25.68'
'CRV-USDT','5m','eEsWv','2021-09-11','2021-10-11','30','17.72','-9.32',776,'53','1.7','3.58','83.26','7','4',451,-615,'16','14','25.68'
'CRV-USDT','5m','eRNDv','2021-09-11','2021-10-11','65','5.17','-9.77',714,'48','1.86','4.21','73.11','2','6',394,-639,'31','34','25.68'
'CRV-USDT','5m','ePPH','2021-09-11','2021-10-11','61','5.11','-12.7',906,'46','1.47','4.64','71.29','4','6',382,-485,'28','33','25.68'
'CRV-USDT','5m','-VWWa','2021-09-11','2021-10-11','67','13.82','-10.99',699,'49','1.07','4.07','63.6','3','6',452,-618,'33','34','25.68'
'CRV-USDT','5m','eVPWc','2021-09-11','2021-10-11','65','11.14','-11.6',734,'48','1.39','3.58','63.24','4','5',437,-443,'31','34','25.68'
'CRV-USDT','5m','-VW<v','2021-09-11','2021-10-11','66','13.92','-11.16',697,'55','0.95','3.86','62.44','3','5',453,-727,'36','30','25.68'
'CRV-USDT','5m','fVPWv','2021-09-11','2021-10-11','67','8.56','-11.6',644,'46','1.22','3.64','55.52','3','6',435,-439,'31','36','25.68'
'CRV-USDT','5m','gVPWv','2021-09-11','2021-10-11','67','8.56','-11.6',644,'46','1.22','3.64','55.52','3','6',435,-439,'31','36','25.68'
'CRV-USDT','5m','eRNWk','2021-09-11','2021-10-11','67','8.86','-12.03',651,'46','1.14','3.47','54.1','3','6',439,-652,'31','36','25.68'
'CRV-USDT','5m','-dW6n','2021-09-11','2021-10-11','70','16.49','-16.75',904,'46','0.81','3.38','53.94','5','7',646,-667,'32','38','25.68'
'CRV-USDT','5m','-VWW^','2021-09-11','2021-10-11','67','11.9','-11.81',614,'48','0.88','3.85','51.98','3','6',452,-618,'32','35','25.68'
'CRV-USDT','5m','-VW?v','2021-09-11','2021-10-11','68','13.48','-12.66',607,'50','0.89','3.32','47.96','3','4',577,-715,'34','34','25.68'
'CRV-USDT','5m','@^W*?','2021-09-11','2021-10-11','44','14.27','-13.42',614,'39','1.15','3.04','45.76','3','5',606,-373,'17','27','25.68'
'CRV-USDT','5m','eVkWv','2021-09-11','2021-10-11','38','11.33','-16.11',702,'45','0.51','3.57','43.56','8','5',479,-469,'17','21','25.68'
'CRV-USDT','5m','3OW?n','2021-09-11','2021-10-11','67','12.36','-11.25',450,'51','1.1','2.75','40.03','4','4',540,-649,'34','33','25.68'
'CRV-USDT','5m','-VW=v','2021-09-11','2021-10-11','69','10.22','-13.22',519,'52','0.59','3.32','39.29','3','6',469,-725,'36','33','25.68'
