'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ETC-USDT','5m','WrVZ;','2021-09-11','2021-10-11','25','-0.99','-9.02',85,'44','0.54','1.72','9.39','2','6',346,-293,'11','14','-6.26'
'ETC-USDT','5m','\\sta','2021-09-11','2021-10-11','11','0.85','-2.82',20,'64','0.3','1.0','7.16','5','1',246,-331,'7','4','-6.26'
'ETC-USDT','5m','QYRcn','2021-09-11','2021-10-11','32','-7.18','-12.36',-38,'38','-0.11','-0.84','-3.04','6','6',371,-430,'12','20','-6.26'
'ETC-USDT','5m','eRNWk','2021-09-11','2021-10-11','35','-11.33','-17.87',-61,'34','-0.14','-1.52','-3.41','2','6',375,-441,'12','23','-6.26'
'ETC-USDT','5m','3OW5n','2021-09-11','2021-10-11','36','-29.43','-28.59',-98,'33','-0.18','-6.46','-3.44','2','5',455,-551,'12','24','-6.26'
'ETC-USDT','5m','3OW?n','2021-09-11','2021-10-11','36','-29.36','-28.11',-98,'33','-0.18','-6.52','-3.49','2','5',405,-551,'12','24','-6.26'
'ETC-USDT','5m','o4,@X','2021-09-11','2021-10-11','47','-28.07','-25.97',-97,'26','-0.19','-7.72','-3.75','2','7',360,-299,'12','35','-6.26'
'ETC-USDT','5m','ftUQf','2021-09-11','2021-10-11','30','-10.54','-13.87',-55,'33','-0.21','-1.71','-3.94','2','4',412,-352,'10','20','-6.26'
'ETC-USDT','5m','`RNWv','2021-09-11','2021-10-11','36','-14.66','-17.52',-69,'36','-0.18','-1.66','-3.94','4','6',370,-657,'13','23','-6.26'
'ETC-USDT','5m','cRNWv','2021-09-11','2021-10-11','36','-14.66','-17.52',-69,'36','-0.18','-1.66','-3.94','4','6',370,-657,'13','23','-6.26'
'ETC-USDT','5m','\\RNWv','2021-09-11','2021-10-11','36','-14.66','-17.52',-69,'36','-0.18','-1.66','-3.94','4','6',370,-657,'13','23','-6.26'
'ETC-USDT','5m','RNWv','2021-09-11','2021-10-11','36','-14.66','-17.52',-69,'36','-0.18','-1.66','-3.94','4','6',370,-657,'13','23','-6.26'
'ETC-USDT','5m','aRNWv','2021-09-11','2021-10-11','36','-14.66','-17.52',-69,'36','-0.18','-1.66','-3.94','4','6',370,-657,'13','23','-6.26'
'ETC-USDT','5m','^RNWv','2021-09-11','2021-10-11','36','-14.66','-17.52',-69,'36','-0.18','-1.66','-3.94','4','6',370,-657,'13','23','-6.26'
'ETC-USDT','5m','_RNWv','2021-09-11','2021-10-11','36','-14.66','-17.52',-69,'36','-0.18','-1.66','-3.94','4','6',370,-657,'13','23','-6.26'
'ETC-USDT','5m','?dpMr','2021-09-11','2021-10-11','21','-24.94','-24.14',-97,'19','-0.09','-9.88','-4.0','1','5',385,-471,'4','17','-6.26'
'ETC-USDT','5m','ePPW\\','2021-09-11','2021-10-11','33','-15.91','-18.95',-77,'33','-0.18','-2.57','-4.05','2','6',375,-434,'11','22','-6.26'
'ETC-USDT','5m','ePPWb','2021-09-11','2021-10-11','33','-14.98','-18.46',-75,'33','-0.18','-2.43','-4.06','2','6',375,-434,'11','22','-6.26'
