'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'FIL-USDT','5m','WrVZ;','2021-09-11','2021-10-11','22','16.64','-3.58',655,'55','10.26','5.8','183.0','3','3',363,-269,'12','10','-15.34'
'FIL-USDT','5m','vNqn','2021-09-11','2021-10-11','11','10.82','-5.84',249,'82','2.78','4.17','42.64','5','1',394,-549,'9','2','-15.34'
'FIL-USDT','5m','eRNWZ','2021-09-11','2021-10-11','43','11.17','-8.49',311,'49','1.45','2.79','36.6','4','6',387,-475,'21','22','-15.34'
'FIL-USDT','5m','hPmHf','2021-09-11','2021-10-11','19','12.57','-9.08',322,'74','0.74','3.46','35.49','10','2',330,-538,'14','5','-15.34'
'FIL-USDT','5m','@_W*?','2021-09-11','2021-10-11','32','11.57','-11.4',298,'47','0.65','2.28','26.17','4','6',525,-309,'15','17','-15.34'
'FIL-USDT','5m','ftUQf','2021-09-11','2021-10-11','32','5.73','-10.46',215,'56','1.06','2.24','20.53','3','3',434,-550,'18','14','-15.34'
'FIL-USDT','5m','@TW*?','2021-09-11','2021-10-11','29','7.59','-10.01',156,'41','0.52','1.76','15.61','3','4',507,-306,'12','17','-15.34'
'FIL-USDT','5m','eRNWk','2021-09-11','2021-10-11','44','5.46','-8.49',118,'48','0.57','1.58','13.84','3','6',368,-550,'21','23','-15.34'
'FIL-USDT','5m','@^W*?','2021-09-11','2021-10-11','32','6.94','-11.05',145,'41','0.38','1.67','13.13','3','6',504,-302,'13','19','-15.34'
'FIL-USDT','5m','=bVNC','2021-09-11','2021-10-11','38','7.11','-11.87',156,'47','0.36','1.82','13.11','3','3',402,-299,'18','20','-15.34'
'FIL-USDT','5m','FVW*?','2021-09-11','2021-10-11','28','5.41','-9.62',102,'39','0.49','1.45','10.62','3','5',496,-295,'11','17','-15.34'
'FIL-USDT','5m','3fWHn','2021-09-11','2021-10-11','45','5.97','-11.75',105,'60','0.32','1.38','8.93','5','3',314,-548,'27','18','-15.34'
'FIL-USDT','5m','O=ITi','2021-09-11','2021-10-11','43','-0.56','-11.4',80,'49','0.24','1.27','7.0','3','3',314,-428,'21','22','-15.34'
'FIL-USDT','5m','QYRcn','2021-09-11','2021-10-11','40','4.59','-14.83',102,'48','0.2','1.35','6.91','3','7',390,-531,'19','21','-15.34'
'FIL-USDT','5m','@VX*?','2021-09-11','2021-10-11','28','3.35','-9.32',58,'39','0.23','1.0','6.27','3','4',487,-307,'11','17','-15.34'
'FIL-USDT','5m','3eWXn','2021-09-11','2021-10-11','44','3.15','-12.32',58,'57','0.17','0.97','4.71','7','3',376,-537,'25','19','-15.34'
'FIL-USDT','5m','eVPWc','2021-09-11','2021-10-11','43','3.0','-12.08',56,'49','0.13','1.01','4.63','4','6',358,-521,'21','22','-15.34'
'FIL-USDT','5m','YOR9c','2021-09-11','2021-10-11','41','1.82','-14.82',66,'49','0.15','0.98','4.42','4','7',443,-549,'20','21','-15.34'
'FIL-USDT','5m','_W6,U','2021-09-11','2021-10-11','48','1.27','-14.51',55,'42','0.18','0.93','3.82','3','5',523,-397,'20','28','-15.34'
'FIL-USDT','5m','@VW*A','2021-09-11','2021-10-11','29','1.51','-10.32',28,'34','0.13','0.68','2.69','3','4',478,-307,'10','19','-15.34'
'FIL-USDT','5m','@cW*?','2021-09-11','2021-10-11','35','1.73','-11.83',30,'46','0.07','0.69','2.51','3','3',472,-299,'16','19','-15.34'
'FIL-USDT','5m','-VUWv','2021-09-11','2021-10-11','44','-0.27','-12.77',30,'52','0.09','0.69','2.32','4','5',365,-429,'23','21','-15.34'
'FIL-USDT','5m','CMNWv','2021-09-11','2021-10-11','47','-1.06','-14.19',28,'51','0.08','0.67','1.98','4','5',371,-446,'24','23','-15.34'
