'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ICP-USDT','5m','ePPHt','2021-09-11','2021-10-11','45','15.23','-13.28',630,'56','1.12','3.51','47.46','4','4',343,-469,'25','20','-21.2'
'ICP-USDT','5m','@VW4?','2021-09-11','2021-10-11','34','6.69','-7.41',277,'50','1.4','2.8','37.35','5','3',379,-331,'17','17','-21.2'
'ICP-USDT','5m','hPPHs','2021-09-11','2021-10-11','47','12.46','-13.28',445,'55','0.9','2.97','33.51','4','4',334,-451,'26','21','-21.2'
'ICP-USDT','5m','?^WWv','2021-09-11','2021-10-11','50','6.39','-8.88',277,'44','1.13','2.17','31.21','3','5',388,-512,'22','28','-21.2'
'ICP-USDT','5m','WrVZ;','2021-09-11','2021-10-11','36','5.41','-9.02',230,'47','0.88','2.69','25.53','5','5',354,-285,'17','19','-21.2'
'ICP-USDT','5m','ePRWv','2021-09-11','2021-10-11','44','9.16','-12.35',262,'48','0.82','2.28','21.19','4','4',388,-457,'21','23','-21.2'
'ICP-USDT','5m','ftUQf','2021-09-11','2021-10-11','44','3.51','-11.6',146,'45','0.53','1.79','12.61','4','4',426,-476,'20','24','-21.2'
'ICP-USDT','5m','7Fpob','2021-09-11','2021-10-11','17','3.27','-4.03',48,'47','0.63','1.28','11.87','2','3',350,-423,'8','9','-21.2'
'ICP-USDT','5m','ePPHa','2021-09-11','2021-10-11','45','6.19','-17.99',192,'51','0.26','1.96','10.69','4','5',321,-443,'23','22','-21.2'
'ICP-USDT','5m','ePPH','2021-09-11','2021-10-11','45','6.19','-17.99',192,'51','0.26','1.96','10.69','4','5',321,-443,'23','22','-21.2'
'ICP-USDT','5m','eRQWv','2021-09-11','2021-10-11','48','5.1','-13.17',134,'48','0.46','1.62','10.17','3','4',374,-459,'23','25','-21.2'
'ICP-USDT','5m','fVPWv','2021-09-11','2021-10-11','52','2.4','-10.86',94,'48','0.5','1.34','8.65','4','4',373,-461,'25','27','-21.2'
'ICP-USDT','5m','gVPWv','2021-09-11','2021-10-11','52','2.4','-10.86',94,'48','0.5','1.34','8.65','4','4',373,-461,'25','27','-21.2'
'ICP-USDT','5m','ePPWb','2021-09-11','2021-10-11','47','4.31','-17.03',118,'45','0.24','1.45','6.94','3','5',373,-452,'21','26','-21.2'
'ICP-USDT','5m','ePPW\\','2021-09-11','2021-10-11','47','4.31','-17.03',118,'45','0.24','1.45','6.94','3','5',373,-452,'21','26','-21.2'
'ICP-USDT','5m',':VWWv','2021-09-11','2021-10-11','50','-0.46','-14.07',77,'48','0.28','1.11','5.47','3','4',365,-491,'24','26','-21.2'
'ICP-USDT','5m','7VWWv','2021-09-11','2021-10-11','50','-0.46','-14.07',77,'48','0.28','1.11','5.47','3','4',365,-491,'24','26','-21.2'
'ICP-USDT','5m','@TW*?','2021-09-11','2021-10-11','34','2.86','-11.18',58,'41','0.31','1.03','5.21','3','6',504,-303,'14','20','-21.2'
'ICP-USDT','5m','eRNDv','2021-09-11','2021-10-11','52','1.96','-12.51',63,'50','0.26','1.04','5.05','4','4',338,-455,'26','26','-21.2'
'ICP-USDT','5m','?VW2v','2021-09-11','2021-10-11','48','0.08','-14.76',73,'50','0.24','1.07','4.91','3','4',407,-491,'24','24','-21.2'
'ICP-USDT','5m','-VUWv','2021-09-11','2021-10-11','54','-1.87','-12.65',60,'43','0.26','0.97','4.78','3','5',370,-406,'23','31','-21.2'
'ICP-USDT','5m','?VW.v','2021-09-11','2021-10-11','48','1.09','-15.38',73,'44','0.24','1.05','4.77','3','5',443,-483,'21','27','-21.2'
'ICP-USDT','5m','?VuWv','2021-09-11','2021-10-11','21','3.0','-9.13',43,'52','0.24','0.92','4.74','3','3',368,-527,'11','10','-21.2'
'ICP-USDT','5m','3fWHn','2021-09-11','2021-10-11','51','-3.89','-11.0',47,'47','0.18','0.89','4.3','3','5',318,-492,'24','27','-21.2'
'ICP-USDT','5m','3eWXn','2021-09-11','2021-10-11','53','-1.93','-12.03',50,'47','0.22','0.9','4.13','3','5',384,-498,'25','28','-21.2'
'ICP-USDT','5m','-dW6n','2021-09-11','2021-10-11','51','0.23','-12.53',48,'45','0.19','0.86','3.81','3','5',489,-485,'23','28','-21.2'
'ICP-USDT','5m','CMNWv','2021-09-11','2021-10-11','57','-1.86','-13.49',48,'46','0.18','0.86','3.54','6','5',359,-477,'26','31','-21.2'
'ICP-USDT','5m','@XW*?','2021-09-11','2021-10-11','33','0.43','-11.36',18,'39','0.08','0.57','1.6','3','6',516,-323,'13','20','-21.2'
