'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'IOTX-USDT','5m','-VW*=','2021-09-11','2021-10-11','32','11.08','-6.51',763,'44','4.43','3.55','117.22','4','4',565,-334,'14','18','13.37'
'IOTX-USDT','5m','VsWv','2021-09-11','2021-10-11','22','18.5','-9.25',978,'59','4.29','4.48','105.78','5','3',437,-552,'13','9','13.37'
'IOTX-USDT','5m','WVsWv','2021-09-11','2021-10-11','22','18.5','-9.25',978,'59','4.29','4.48','105.78','5','3',437,-552,'13','9','13.37'
'IOTX-USDT','5m','HPqWv','2021-09-11','2021-10-11','23','12.58','-9.68',466,'57','1.54','3.96','48.18','4','3',420,-528,'13','10','13.37'
'IOTX-USDT','5m','MVsWv','2021-09-11','2021-10-11','23','13.24','-12.75',517,'57','1.62','3.43','40.58','4','4',415,-491,'13','10','13.37'
'IOTX-USDT','5m','q9da','2021-09-11','2021-10-11','14','3.05','-3.46',110,'64','3.44','2.62','31.73','4','2',282,-375,'9','5','13.37'
'IOTX-USDT','5m','eVswv','2021-09-11','2021-10-11','20','4.54','-6.57',171,'60','1.03','2.74','25.97','9','3',250,-492,'12','8','13.37'
'IOTX-USDT','5m','E^cA','2021-09-11','2021-10-11','19','4.83','-7.32',121,'53','0.43','2.41','16.52','4','4',402,-309,'10','9','13.37'
'IOTX-USDT','5m','?VuWv','2021-09-11','2021-10-11','22','7.75','-11.28',185,'55','0.65','2.33','16.43','4','4',421,-533,'12','10','13.37'
'IOTX-USDT','5m','`RNWv','2021-09-11','2021-10-11','58','0.03','-16.32',248,'48','0.44','2.08','15.21','4','5',387,-424,'28','30','13.37'
'IOTX-USDT','5m','cRNWv','2021-09-11','2021-10-11','58','0.03','-16.32',248,'48','0.44','2.08','15.21','4','5',387,-424,'28','30','13.37'
'IOTX-USDT','5m','\\RNWv','2021-09-11','2021-10-11','58','0.03','-16.32',248,'48','0.44','2.08','15.21','4','5',387,-424,'28','30','13.37'
'IOTX-USDT','5m','RNWv','2021-09-11','2021-10-11','58','0.03','-16.32',248,'48','0.44','2.08','15.21','4','5',387,-424,'28','30','13.37'
'IOTX-USDT','5m','aRNWv','2021-09-11','2021-10-11','58','0.03','-16.32',248,'48','0.44','2.08','15.21','4','5',387,-424,'28','30','13.37'
'IOTX-USDT','5m','^RNWv','2021-09-11','2021-10-11','58','0.03','-16.32',248,'48','0.44','2.08','15.21','4','5',387,-424,'28','30','13.37'
'IOTX-USDT','5m','_RNWv','2021-09-11','2021-10-11','58','0.03','-16.32',248,'48','0.44','2.08','15.21','4','5',387,-424,'28','30','13.37'
'IOTX-USDT','5m','o4,@X','2021-09-11','2021-10-11','65','0.86','-9.26',122,'46','0.52','1.67','13.21','4','5',431,-433,'30','35','13.37'
'IOTX-USDT','5m','\\sta','2021-09-11','2021-10-11','20','0.24','-10.2',101,'60','0.46','2.07','9.93','5','2',275,-430,'12','8','13.37'
'IOTX-USDT','5m','eRNDv','2021-09-11','2021-10-11','57','-3.83','-15.1',144,'47','0.3','1.75','9.53','4','5',344,-430,'27','30','13.37'
'IOTX-USDT','5m','fVPWv','2021-09-11','2021-10-11','57','-1.95','-15.6',147,'46','0.3','1.65','9.42','3','7',379,-458,'26','31','13.37'
'IOTX-USDT','5m','gVPWv','2021-09-11','2021-10-11','57','-1.95','-15.6',147,'46','0.3','1.65','9.42','3','7',379,-458,'26','31','13.37'
'IOTX-USDT','5m','?dpMr','2021-09-11','2021-10-11','35','3.01','-14.69',125,'46','0.32','1.47','8.52','5','5',468,-502,'16','19','13.37'
'IOTX-USDT','5m','3OWXC','2021-09-11','2021-10-11','42','-1.86','-12.0',92,'43','0.32','1.45','7.67','4','5',384,-333,'18','24','13.37'
'IOTX-USDT','5m','3OWXE','2021-09-11','2021-10-11','42','-1.86','-12.0',92,'43','0.32','1.45','7.67','4','5',384,-333,'18','24','13.37'
'IOTX-USDT','5m','=ptVt','2021-09-11','2021-10-11','34','1.69','-12.08',44,'50','0.17','0.86','3.61','5','4',432,-496,'17','17','13.37'
'IOTX-USDT','5m','g^VGt','2021-09-11','2021-10-11','54','-6.05','-11.85',40,'52','0.17','0.83','3.38','4','4',354,-481,'28','26','13.37'
'IOTX-USDT','5m','eEsWv','2021-09-11','2021-10-11','15','0.19','-7.28',10,'47','0.11','0.43','1.42','2','2',367,-382,'7','8','13.37'
'IOTX-USDT','5m','wVW*?','2021-09-11','2021-10-11','24','-0.33','-10.7',15,'33','0.05','0.51','1.4','2','6',504,-305,'8','16','13.37'
'IOTX-USDT','5m','=bVNC','2021-09-11','2021-10-11','45','-3.94','-12.71',16,'36','0.07','0.52','1.24','2','5',378,-311,'16','29','13.37'
'IOTX-USDT','5m','ePPHt','2021-09-11','2021-10-11','57','-8.18','-16.22',12,'51','0.03','0.47','0.72','4','5',304,-450,'29','28','13.37'
'IOTX-USDT','5m','CMNWv','2021-09-11','2021-10-11','61','-10.12','-19.06',-2,'46','-0.0','0.27','-0.1','4','5',355,-403,'28','33','13.37'
'IOTX-USDT','5m','hPPHs','2021-09-11','2021-10-11','57','-11.96','-16.22',-7,'49','-0.02','0.17','-0.46','4','5',304,-450,'28','29','13.37'
'IOTX-USDT','5m','IVWWv','2021-09-11','2021-10-11','55','-7.18','-12.85',-7,'51','-0.03','0.11','-0.58','4','4',366,-600,'28','27','13.37'
'IOTX-USDT','5m','@cW*?','2021-09-11','2021-10-11','42','-3.97','-15.18',-14,'31','-0.04','0.07','-0.91','3','5',463,-304,'13','29','13.37'
'IOTX-USDT','5m','BVV.a','2021-09-11','2021-10-11','56','-6.3','-16.2',-24,'48','-0.09','0.01','-1.49','4','6',457,-477,'27','29','13.37'
'IOTX-USDT','5m','<VV.a','2021-09-11','2021-10-11','56','-6.3','-16.2',-24,'48','-0.09','0.01','-1.49','4','6',457,-477,'27','29','13.37'
'IOTX-USDT','5m','?VW2v','2021-09-11','2021-10-11','57','-8.16','-18.67',-32,'49','-0.06','-0.32','-1.73','4','6',399,-457,'28','29','13.37'
'IOTX-USDT','5m','?VW.v','2021-09-11','2021-10-11','56','-10.64','-16.18',-31,'50','-0.1','-0.22','-1.92','4','6',428,-465,'28','28','13.37'
'IOTX-USDT','5m','ePPHa','2021-09-11','2021-10-11','56','-14.39','-16.22',-33,'48','-0.07','-0.37','-2.04','4','5',304,-450,'27','29','13.37'
'IOTX-USDT','5m','ePPH','2021-09-11','2021-10-11','56','-14.39','-16.22',-33,'48','-0.07','-0.37','-2.04','4','5',304,-450,'27','29','13.37'
'IOTX-USDT','5m','-VWWu','2021-09-11','2021-10-11','58','-10.88','-19.14',-42,'50','-0.08','-0.44','-2.18','4','6',360,-402,'29','29','13.37'
'IOTX-USDT','5m',',VWWv','2021-09-11','2021-10-11','58','-10.88','-19.14',-42,'50','-0.08','-0.44','-2.18','4','6',360,-402,'29','29','13.37'
'IOTX-USDT','5m','-VWWs','2021-09-11','2021-10-11','58','-10.88','-19.14',-42,'50','-0.08','-0.44','-2.18','4','6',360,-402,'29','29','13.37'
'IOTX-USDT','5m',':VWWv','2021-09-11','2021-10-11','58','-14.1','-19.0',-46,'47','-0.1','-0.64','-2.4','4','6',360,-431,'27','31','13.37'
'IOTX-USDT','5m','7VWWv','2021-09-11','2021-10-11','58','-14.1','-19.0',-46,'47','-0.1','-0.64','-2.4','4','6',360,-431,'27','31','13.37'
'IOTX-USDT','5m','-VW=v','2021-09-11','2021-10-11','59','-13.19','-23.65',-58,'47','-0.09','-0.86','-2.46','4','6',375,-416,'28','31','13.37'
'IOTX-USDT','5m','?^WWv','2021-09-11','2021-10-11','55','-11.38','-16.1',-40,'45','-0.11','-0.6','-2.47','4','6',378,-478,'25','30','13.37'
'IOTX-USDT','5m','3OW5n','2021-09-11','2021-10-11','61','-39.94','-40.38',-100,'31','-0.13','-6.16','-2.47','2','7',493,-449,'19','42','13.37'
'IOTX-USDT','5m','eRQWv','2021-09-11','2021-10-11','58','-13.0','-17.22',-44,'45','-0.12','-0.53','-2.57','3','6',354,-436,'26','32','13.37'
'IOTX-USDT','5m','-VW;v','2021-09-11','2021-10-11','59','-13.09','-23.3',-63,'47','-0.12','-0.97','-2.71','4','6',421,-416,'28','31','13.37'
'IOTX-USDT','5m','-VW?v','2021-09-11','2021-10-11','57','-11.22','-20.81',-58,'47','-0.15','-0.66','-2.79','4','6',453,-426,'27','30','13.37'
'IOTX-USDT','5m','-VWWl','2021-09-11','2021-10-11','60','-28.34','-34.13',-95,'45','-0.12','-3.43','-2.79','4','6',360,-467,'27','33','13.37'
'IOTX-USDT','5m','-VW.v','2021-09-11','2021-10-11','59','-12.9','-23.7',-68,'49','-0.13','-1.08','-2.88','4','6',440,-421,'29','30','13.37'
'IOTX-USDT','5m','eVPWc','2021-09-11','2021-10-11','57','-13.97','-15.6',-45,'42','-0.15','-0.6','-2.88','3','7',355,-420,'24','33','13.37'
'IOTX-USDT','5m','-SUNv','2021-09-11','2021-10-11','58','-18.15','-27.47',-82,'45','-0.11','-1.82','-2.99','4','8',381,-552,'26','32','13.37'
'IOTX-USDT','5m','-VWMv','2021-09-11','2021-10-11','59','-14.2','-23.38',-70,'44','-0.13','-1.24','-3.0','4','6',416,-416,'26','33','13.37'
'IOTX-USDT','5m','tbik','2021-09-11','2021-10-11','39','-9.37','-18.57',-56,'49','-0.18','-0.97','-3.01','6','4',318,-509,'19','20','13.37'
'IOTX-USDT','5m','eRNWZ','2021-09-11','2021-10-11','59','-15.3','-16.41',-50,'41','-0.14','-0.74','-3.02','4','7',352,-416,'24','35','13.37'
'IOTX-USDT','5m','-VWWa','2021-09-11','2021-10-11','58','-21.29','-28.59',-87,'47','-0.14','-2.24','-3.05','4','6',360,-402,'27','31','13.37'
'IOTX-USDT','5m','-VWW^','2021-09-11','2021-10-11','57','-17.78','-25.72',-79,'47','-0.14','-1.64','-3.08','4','6',360,-402,'27','30','13.37'
'IOTX-USDT','5m','3fWHn','2021-09-11','2021-10-11','60','-22.91','-25.72',-80,'43','-0.12','-1.78','-3.1','6','7',316,-470,'26','34','13.37'
'IOTX-USDT','5m','-VWLv','2021-09-11','2021-10-11','59','-14.06','-23.36',-73,'44','-0.16','-1.24','-3.12','4','6',470,-413,'26','33','13.37'
'IOTX-USDT','5m','-dW6n','2021-09-11','2021-10-11','63','-28.5','-30.61',-97,'38','-0.19','-3.69','-3.16','4','7',487,-431,'24','39','13.37'
'IOTX-USDT','5m','O=ITi','2021-09-11','2021-10-11','61','-31.37','-30.08',-96,'43','-0.12','-4.65','-3.18','4','5',316,-478,'26','35','13.37'
'IOTX-USDT','5m','LewDb','2021-09-11','2021-10-11','22','-11.12','-18.09',-58,'50','-0.2','-1.26','-3.21','5','5',351,-448,'11','11','13.37'
'IOTX-USDT','5m','-VW*9','2021-09-11','2021-10-11','23','-6.58','-14.23',-46,'30','-0.16','-1.07','-3.24','1','7',519,-296,'7','16','13.37'
'IOTX-USDT','5m','3eWXn','2021-09-11','2021-10-11','63','-27.22','-28.7',-93,'43','-0.15','-3.25','-3.25','6','7',376,-417,'27','36','13.37'
'IOTX-USDT','5m','@_W*?','2021-09-11','2021-10-11','40','-6.39','-10.31',-34,'32','-0.16','-0.46','-3.3','2','5',460,-299,'13','27','13.37'
'IOTX-USDT','5m','-VUWv','2021-09-11','2021-10-11','64','-19.12','-21.65',-72,'44','-0.11','-1.52','-3.31','4','6',350,-444,'28','36','13.37'
'IOTX-USDT','5m','ePjWv','2021-09-11','2021-10-11','29','-8.16','-15.2',-51,'45','-0.17','-0.65','-3.33','5','5',360,-461,'13','16','13.37'
'IOTX-USDT','5m','FVW*?','2021-09-11','2021-10-11','35','-7.57','-12.7',-42,'34','-0.2','-0.54','-3.35','3','6',486,-304,'12','23','13.37'
'IOTX-USDT','5m','eSNWd','2021-09-11','2021-10-11','58','-16.29','-16.64',-56,'41','-0.14','-0.94','-3.35','4','7',352,-416,'24','34','13.37'
'IOTX-USDT','5m','3OW?n','2021-09-11','2021-10-11','57','-27.4','-27.66',-94,'37','-0.14','-3.69','-3.41','4','7',440,-429,'21','36','13.37'
'IOTX-USDT','5m','XRV.a','2021-09-11','2021-10-11','53','-21.49','-26.68',-92,'45','-0.17','-2.87','-3.43','4','6',418,-385,'24','29','13.37'
'IOTX-USDT','5m','-VW<v','2021-09-11','2021-10-11','54','-12.92','-16.39',-57,'48','-0.13','-0.97','-3.48','4','6',365,-403,'26','28','13.37'
'IOTX-USDT','5m',':YY:_','2021-09-11','2021-10-11','53','-17.51','-21.96',-82,'45','-0.19','-1.8','-3.73','4','6',410,-424,'24','29','13.37'
'IOTX-USDT','5m','@VW*F','2021-09-11','2021-10-11','43','-23.17','-24.8',-94,'30','-0.16','-4.68','-3.79','3','7',437,-317,'13','30','13.37'
'IOTX-USDT','5m','eRNWk','2021-09-11','2021-10-11','59','-18.49','-17.37',-66,'41','-0.16','-1.35','-3.82','4','7',352,-428,'24','35','13.37'
'IOTX-USDT','5m','ftUQf','2021-09-11','2021-10-11','54','-15.51','-13.72',-55,'35','-0.21','-1.33','-4.0','2','5',418,-446,'19','35','13.37'
'IOTX-USDT','5m','@^W*?','2021-09-11','2021-10-11','40','-9.18','-13.28',-54,'30','-0.19','-1.08','-4.04','2','6',441,-286,'12','28','13.37'
'IOTX-USDT','5m','eVkWv','2021-09-11','2021-10-11','29','-7.94','-13.72',-56,'45','-0.23','-0.84','-4.08','4','4',368,-463,'13','16','13.37'
'IOTX-USDT','5m','@VW)?','2021-09-11','2021-10-11','36','-21.65','-22.29',-93,'25','-0.19','-4.46','-4.17','2','8',452,-274,'9','27','13.37'
'IOTX-USDT','5m','ePPWb','2021-09-11','2021-10-11','59','-26.52','-21.76',-93,'39','-0.18','-3.97','-4.27','4','6',352,-432,'23','36','13.37'
'IOTX-USDT','5m','ePPW\\','2021-09-11','2021-10-11','59','-26.52','-21.76',-93,'39','-0.18','-3.97','-4.27','4','6',352,-432,'23','36','13.37'
'IOTX-USDT','5m','@VX*?','2021-09-11','2021-10-11','35','-17.79','-20.14',-87,'26','-0.22','-2.73','-4.32','2','10',440,-277,'9','26','13.37'
'IOTX-USDT','5m','@TW*?','2021-09-11','2021-10-11','34','-17.32','-19.65',-86,'26','-0.22','-2.61','-4.37','2','10',442,-280,'9','25','13.37'
'IOTX-USDT','5m','YOR9c','2021-09-11','2021-10-11','52','-21.21','-20.74',-91,'44','-0.22','-3.27','-4.38','4','5',419,-409,'23','29','13.37'
'IOTX-USDT','5m','_W6,U','2021-09-11','2021-10-11','60','-16.32','-17.91',-79,'35','-0.3','-1.78','-4.43','3','8',524,-375,'21','39','13.37'
'IOTX-USDT','5m','QYRcn','2021-09-11','2021-10-11','56','-17.89','-17.1',-76,'43','-0.25','-1.81','-4.45','4','7',369,-404,'24','32','13.37'
'IOTX-USDT','5m','@VWF?','2021-09-11','2021-10-11','37','-12.04','-13.02',-59,'38','-0.14','-1.75','-4.5','3','7',328,-287,'14','23','13.37'
'IOTX-USDT','5m','7Fpob','2021-09-11','2021-10-11','18','-15.13','-17.76',-80,'39','-0.21','-4.17','-4.52','2','4',345,-464,'7','11','13.37'
'IOTX-USDT','5m','@VW.?','2021-09-11','2021-10-11','37','-19.26','-19.12',-88,'38','-0.19','-3.89','-4.6','3','7',382,-280,'14','23','13.37'
'IOTX-USDT','5m','vNqn','2021-09-11','2021-10-11','16','-10.73','-13.81',-64,'38','-0.18','-2.92','-4.63','2','4',369,-380,'6','10','13.37'
'IOTX-USDT','5m','@VW4?','2021-09-11','2021-10-11','37','-14.07','-14.42',-67,'38','-0.17','-2.12','-4.65','3','7',311,-293,'14','23','13.37'
