'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'KAVA-USDT','5m','E^cA','2021-09-11','2021-10-11','20','17.35','-7.99',1122,'60','1.98','5.62','140.46','4','4',481,-352,'12','8','-2.54'
'KAVA-USDT','5m','@TW*?','2021-09-11','2021-10-11','33','14.36','-14.04',465,'39','0.8','3.06','33.12','3','9',603,-336,'13','20','-2.54'
'KAVA-USDT','5m','@VX*?','2021-09-11','2021-10-11','35','5.55','-14.04',114,'37','0.29','1.5','8.12','3','10',566,-308,'13','22','-2.54'
'KAVA-USDT','5m','3OWXE','2021-09-11','2021-10-11','40','2.45','-14.43',111,'48','0.34','1.66','7.7','3','6',437,-377,'19','21','-2.54'
'KAVA-USDT','5m','@VW*A','2021-09-11','2021-10-11','35','2.43','-14.29',49,'37','0.15','0.9','3.45','5','10',551,-300,'13','22','-2.54'
'KAVA-USDT','5m','@^W*?','2021-09-11','2021-10-11','37','-1.76','-17.71',45,'32','0.11','0.87','2.55','3','12',572,-307,'12','25','-2.54'
'KAVA-USDT','5m','ui*5<','2021-09-11','2021-10-11','36','0.87','-13.2',29,'33','0.07','0.7','2.16','4','7',529,-253,'12','24','-2.54'
'KAVA-USDT','5m','@VW)?','2021-09-11','2021-10-11','36','0.54','-14.29',20,'33','0.07','0.58','1.37','3','9',563,-296,'12','24','-2.54'
'KAVA-USDT','5m','@XW*?','2021-09-11','2021-10-11','35','0.54','-17.89',20,'31','0.05','0.58','1.1','2','12',565,-307,'11','24','-2.54'
'KAVA-USDT','5m','3OWXC','2021-09-11','2021-10-11','39','-2.85','-14.43',12,'46','0.05','0.46','0.83','3','6',415,-358,'18','21','-2.54'
'KAVA-USDT','5m','@_W*?','2021-09-11','2021-10-11','37','-4.01','-21.55',13,'30','0.02','0.49','0.6','3','14',582,-317,'11','26','-2.54'
'KAVA-USDT','5m','@VWF?','2021-09-11','2021-10-11','37','-3.24','-11.52',-3,'49','-0.01','0.18','-0.26','5','5',397,-299,'18','19','-2.54'
'KAVA-USDT','5m','-VW*=','2021-09-11','2021-10-11','39','-2.53','-18.27',-16,'31','-0.06','0.09','-0.89','2','12',551,-289,'12','27','-2.54'
'KAVA-USDT','5m',':YY:_','2021-09-11','2021-10-11','46','-3.03','-20.89',-21,'43','-0.05','-0.1','-1.02','7','13',477,-408,'20','26','-2.54'
'KAVA-USDT','5m','-VW*9','2021-09-11','2021-10-11','33','-2.71','-16.66',-18,'30','-0.06','-0.08','-1.11','2','10',552,-294,'10','23','-2.54'
'KAVA-USDT','5m','@VW4?','2021-09-11','2021-10-11','37','-4.59','-12.4',-15,'38','-0.07','-0.05','-1.19','3','10',376,-301,'14','23','-2.54'
'KAVA-USDT','5m',':VWWv','2021-09-11','2021-10-11','49','-4.07','-19.07',-24,'47','-0.06','-0.24','-1.24','4','12',410,-407,'23','26','-2.54'
'KAVA-USDT','5m','7VWWv','2021-09-11','2021-10-11','49','-4.07','-19.07',-24,'47','-0.06','-0.24','-1.24','4','12',410,-407,'23','26','-2.54'
'KAVA-USDT','5m','=bVNC','2021-09-11','2021-10-11','42','-8.35','-20.87',-36,'36','-0.09','-0.41','-1.71','3','12',437,-304,'15','27','-2.54'
'KAVA-USDT','5m','@VW*F','2021-09-11','2021-10-11','36','-3.56','-16.3',-28,'33','-0.08','-0.2','-1.72','3','10',520,-324,'12','24','-2.54'
'KAVA-USDT','5m','@VW.?','2021-09-11','2021-10-11','37','-3.82','-13.82',-26,'38','-0.11','-0.21','-1.87','3','10',468,-297,'14','23','-2.54'
'KAVA-USDT','5m','ftUQf','2021-09-11','2021-10-11','46','-6.97','-22.05',-43,'46','-0.1','-0.51','-1.95','7','10',459,-387,'21','25','-2.54'
'KAVA-USDT','5m','FVW*?','2021-09-11','2021-10-11','39','-3.89','-15.47',-32,'28','-0.13','-0.33','-2.1','2','11',522,-324,'11','28','-2.54'
'KAVA-USDT','5m','_W6,U','2021-09-11','2021-10-11','51','-5.56','-20.54',-47,'35','-0.11','-0.53','-2.31','3','12',566,-380,'18','33','-2.54'
'KAVA-USDT','5m','3fWHn','2021-09-11','2021-10-11','51','-10.28','-22.83',-54,'49','-0.15','-0.88','-2.35','7','5',339,-427,'25','26','-2.54'
'KAVA-USDT','5m','YOR9c','2021-09-11','2021-10-11','50','-8.1','-21.53',-58,'42','-0.15','-1.0','-2.7','6','12',481,-460,'21','29','-2.54'
'KAVA-USDT','5m','@cW*?','2021-09-11','2021-10-11','36','-10.12','-22.21',-68,'28','-0.18','-1.74','-3.07','2','12',516,-295,'10','26','-2.54'
'KAVA-USDT','5m','3eWXn','2021-09-11','2021-10-11','53','-13.75','-24.22',-75,'42','-0.22','-1.8','-3.1','7','13',402,-395,'22','31','-2.54'
'KAVA-USDT','5m','-dW6n','2021-09-11','2021-10-11','54','-14.29','-25.89',-81,'37','-0.24','-1.9','-3.12','7','16',526,-402,'20','34','-2.54'
'KAVA-USDT','5m','-VUWv','2021-09-11','2021-10-11','53','-15.04','-25.78',-82,'43','-0.25','-2.3','-3.17','8','10',397,-389,'23','30','-2.54'
'KAVA-USDT','5m','-VW?v','2021-09-11','2021-10-11','53','-13.4','-23.06',-74,'40','-0.22','-2.0','-3.23','4','9',498,-392,'21','32','-2.54'
'KAVA-USDT','5m','-VW;v','2021-09-11','2021-10-11','50','-12.71','-23.58',-77,'40','-0.22','-2.06','-3.27','7','9',457,-389,'20','30','-2.54'
'KAVA-USDT','5m','wVW*?','2021-09-11','2021-10-11','27','-5.91','-14.33',-47,'30','-0.22','-0.61','-3.3','2','8',498,-292,'8','19','-2.54'
'KAVA-USDT','5m','BVV.a','2021-09-11','2021-10-11','50','-15.1','-25.55',-85,'36','-0.24','-2.65','-3.31','4','15',473,-419,'18','32','-2.54'
'KAVA-USDT','5m','<VV.a','2021-09-11','2021-10-11','50','-15.1','-25.55',-85,'36','-0.24','-2.65','-3.31','4','15',473,-419,'18','32','-2.54'
'KAVA-USDT','5m','?VW2v','2021-09-11','2021-10-11','48','-11.71','-22.26',-74,'40','-0.2','-1.94','-3.31','4','13',434,-429,'19','29','-2.54'
'KAVA-USDT','5m','tbik','2021-09-11','2021-10-11','36','-30.22','-29.53',-98,'36','-0.12','-9.17','-3.33','3','7',285,-415,'13','23','-2.54'
'KAVA-USDT','5m','o4,@X','2021-09-11','2021-10-11','64','-15.73','-24.91',-84,'38','-0.13','-2.42','-3.37','5','7',383,-321,'24','40','-2.54'
'KAVA-USDT','5m','-VWLv','2021-09-11','2021-10-11','53','-14.74','-23.76',-81,'36','-0.25','-2.39','-3.42','4','9',509,-381,'19','34','-2.54'
'KAVA-USDT','5m','CMNWv','2021-09-11','2021-10-11','57','-19.0','-26.02',-90,'42','-0.24','-3.22','-3.45','8','12',377,-381,'24','33','-2.54'
'KAVA-USDT','5m','?VW.v','2021-09-11','2021-10-11','48','-12.38','-22.26',-78,'38','-0.22','-2.17','-3.49','4','13',468,-422,'18','30','-2.54'
'KAVA-USDT','5m','eRNWZ','2021-09-11','2021-10-11','53','-26.96','-27.4',-97,'38','-0.19','-5.57','-3.54','4','13',318,-464,'20','33','-2.54'
'KAVA-USDT','5m','-VW<v','2021-09-11','2021-10-11','51','-16.07','-23.58',-84,'39','-0.25','-2.65','-3.56','7','9',383,-378,'20','31','-2.54'
'KAVA-USDT','5m','-VW.v','2021-09-11','2021-10-11','53','-18.23','-24.96',-90,'36','-0.28','-3.25','-3.6','4','9',454,-375,'19','34','-2.54'
'KAVA-USDT','5m','-VWMv','2021-09-11','2021-10-11','53','-17.07','-23.76',-86,'36','-0.27','-3.0','-3.64','4','9',437,-379,'19','34','-2.54'
'KAVA-USDT','5m','-SUNv','2021-09-11','2021-10-11','53','-21.84','-25.31',-93,'32','-0.29','-4.21','-3.69','3','10',387,-381,'17','36','-2.54'
'KAVA-USDT','5m','eSNWd','2021-09-11','2021-10-11','54','-25.26','-25.82',-96,'39','-0.21','-4.98','-3.72','4','13',329,-463,'21','33','-2.54'
'KAVA-USDT','5m','-VW=v','2021-09-11','2021-10-11','53','-17.6','-23.29',-87,'38','-0.27','-3.21','-3.72','4','9',387,-380,'20','33','-2.54'
'KAVA-USDT','5m','-VWWu','2021-09-11','2021-10-11','53','-17.18','-22.66',-85,'40','-0.27','-3.03','-3.74','4','9',376,-382,'21','32','-2.54'
'KAVA-USDT','5m',',VWWv','2021-09-11','2021-10-11','53','-17.18','-22.66',-85,'40','-0.27','-3.03','-3.74','4','9',376,-382,'21','32','-2.54'
'KAVA-USDT','5m','IVWWv','2021-09-11','2021-10-11','53','-24.65','-25.56',-96,'42','-0.21','-5.52','-3.75','5','13',343,-396,'22','31','-2.54'
'KAVA-USDT','5m','eRNWk','2021-09-11','2021-10-11','55','-24.2','-24.98',-95,'40','-0.21','-4.83','-3.82','4','13',328,-464,'22','33','-2.54'
'KAVA-USDT','5m','XRV.a','2021-09-11','2021-10-11','49','-22.91','-24.54',-95,'33','-0.28','-4.99','-3.86','3','13',419,-461,'16','33','-2.54'
