'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'LUNA-USDT','5m','eEsWv','2021-09-11','2021-10-11','23','31.78','-4.42',2825,'65','15.94','8.62','639.38','3','2',458,-681,'15','8','-9.56'
'LUNA-USDT','5m','q9da','2021-09-11','2021-10-11','23','6.2','-5.73',185,'70','1.4','2.9','32.33','6','2',283,-455,'16','7','-9.56'
'LUNA-USDT','5m','eVswv','2021-09-11','2021-10-11','34','1.0','-9.04',248,'65','0.68','3.01','27.46','5','2',254,-601,'22','12','-9.56'
'LUNA-USDT','5m','ui*5<','2021-09-11','2021-10-11','24','7.85','-9.25',183,'38','0.58','2.45','19.81','3','5',522,-261,'9','15','-9.56'
'LUNA-USDT','5m','o4,@X','2021-09-11','2021-10-11','53','3.8','-14.12',121,'45','0.17','1.57','8.6','6','6',406,-382,'24','29','-9.56'
'LUNA-USDT','5m','vNqn','2021-09-11','2021-10-11','20','1.9','-8.89',72,'50','0.36','1.28','8.1','3','3',379,-442,'10','10','-9.56'
'LUNA-USDT','5m','_W6,U','2021-09-11','2021-10-11','49','3.66','-17.7',90,'39','0.12','1.24','5.07','4','4',531,-372,'19','30','-9.56'
'LUNA-USDT','5m','-VW*9','2021-09-11','2021-10-11','25','3.3','-13.49',63,'44','0.12','1.28','4.65','3','4',502,-256,'11','14','-9.56'
'LUNA-USDT','5m','VsWv','2021-09-11','2021-10-11','36','-5.74','-9.05',-4,'47','-0.02','0.23','-0.39','4','5',365,-648,'17','19','-9.56'
'LUNA-USDT','5m','WVsWv','2021-09-11','2021-10-11','36','-5.74','-9.05',-4,'47','-0.02','0.23','-0.39','4','5',365,-648,'17','19','-9.56'
'LUNA-USDT','5m','ePPW\\','2021-09-11','2021-10-11','62','-10.77','-18.12',-13,'39','-0.03','0.14','-0.73','6','6',347,-430,'24','38','-9.56'
'LUNA-USDT','5m','E^cA','2021-09-11','2021-10-11','19','-2.47','-7.59',-13,'42','-0.08','-0.25','-1.75','2','4',384,-279,'8','11','-9.56'
'LUNA-USDT','5m','ePPHa','2021-09-11','2021-10-11','63','-13.01','-19.47',-45,'46','-0.07','-0.62','-2.3','7','4',285,-457,'29','34','-9.56'
'LUNA-USDT','5m','3fWHn','2021-09-11','2021-10-11','71','-42.5','-43.01',-100,'41','-0.09','-7.91','-2.32','5','5',302,-520,'29','42','-9.56'
'LUNA-USDT','5m','-VWWa','2021-09-11','2021-10-11','63','-10.17','-18.6',-45,'43','-0.09','-0.4','-2.43','7','5',355,-457,'27','36','-9.56'
'LUNA-USDT','5m','-VWW^','2021-09-11','2021-10-11','63','-10.17','-18.6',-45,'43','-0.09','-0.4','-2.43','7','5',355,-457,'27','36','-9.56'
'LUNA-USDT','5m','-VW*=','2021-09-11','2021-10-11','33','-6.56','-18.88',-49,'36','-0.08','-0.94','-2.59','3','6',504,-253,'12','21','-9.56'
'LUNA-USDT','5m','-dW6n','2021-09-11','2021-10-11','72','-28.43','-36.66',-97,'36','-0.12','-3.59','-2.65','7','7',492,-531,'26','46','-9.56'
