'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'MASK-USDT','5m','VsWv','2021-09-11','2021-10-11','29','22.79','-8.23',3583,'55','5.18','5.62','435.25','5','3',528,-813,'16','13','14.36'
'MASK-USDT','5m','WVsWv','2021-09-11','2021-10-11','29','22.79','-8.23',3583,'55','5.18','5.62','435.25','5','3',528,-813,'16','13','14.36'
'MASK-USDT','5m','hPmHf','2021-09-11','2021-10-11','26','14.39','-4.05',1345,'58','7.56','5.4','331.91','5','3',369,-500,'15','11','14.36'
'MASK-USDT','5m','ePjWv','2021-09-11','2021-10-11','31','21.54','-6.61',1778,'55','4.56','4.84','268.94','6','4',477,-645,'17','14','14.36'
'MASK-USDT','5m','LewDb','2021-09-11','2021-10-11','23','14.98','-6.04',1231,'57','5.01','6.31','203.88','8','3',424,-645,'13','10','14.36'
'MASK-USDT','5m','MVsWv','2021-09-11','2021-10-11','31','13.54','-8.16',1415,'48','3.49','4.43','173.36','4','3',491,-753,'15','16','14.36'
'MASK-USDT','5m','7Fpob','2021-09-11','2021-10-11','23','19.38','-6.45',903,'65','2.16','5.5','139.98','7','3',425,-626,'15','8','14.36'
'MASK-USDT','5m','eVswv','2021-09-11','2021-10-11','26','10.14','-5.61',497,'73','2.4','4.54','88.61','8','2',267,-707,'19','7','14.36'
'MASK-USDT','5m','=ptVt','2021-09-11','2021-10-11','44','15.73','-13.65',824,'50','0.89','3.81','60.32','4','4',523,-720,'22','22','14.36'
'MASK-USDT','5m','\\sta','2021-09-11','2021-10-11','22','6.39','-8.3',369,'68','0.8','4.38','44.46','7','2',306,-591,'15','7','14.36'
'MASK-USDT','5m','HPqWv','2021-09-11','2021-10-11','34','6.31','-13.14',564,'47','1.0','3.05','42.94','5','4',466,-710,'16','18','14.36'
'MASK-USDT','5m','eVkWv','2021-09-11','2021-10-11','35','8.37','-11.78',389,'51','0.52','2.71','33.02','5','4',444,-717,'18','17','14.36'
'MASK-USDT','5m','tbik','2021-09-11','2021-10-11','43','3.39','-14.77',386,'53','0.55','2.83','26.1','3','3',396,-684,'23','20','14.36'
'MASK-USDT','5m','?VuWv','2021-09-11','2021-10-11','32','4.3','-12.57',298,'47','0.64','2.29','23.68','5','6',449,-654,'15','17','14.36'
'MASK-USDT','5m','eEsWv','2021-09-11','2021-10-11','24','3.65','-7.63',175,'46','0.49','2.05','22.89','4','4',402,-585,'11','13','14.36'
'MASK-USDT','5m','3OWXC','2021-09-11','2021-10-11','33','4.28','-11.37',131,'45','0.32','1.91','11.54','4','3',412,-354,'15','18','14.36'
'MASK-USDT','5m','q9da','2021-09-11','2021-10-11','17','-5.51','-4.48',47,'53','0.62','1.44','10.57','2','2',288,-448,'9','8','14.36'
'MASK-USDT','5m','_W6,U','2021-09-11','2021-10-11','53','2.27','-17.76',120,'36','0.16','1.38','6.75','2','6',606,-385,'19','34','14.36'
'MASK-USDT','5m','3OW5n','2021-09-11','2021-10-11','63','-2.29','-35.16',110,'43','0.07','1.17','3.14','5','7',759,-672,'27','36','14.36'
'MASK-USDT','5m','ftUQf','2021-09-11','2021-10-11','53','-14.15','-22.7',-18,'36','-0.03','0.03','-0.79','3','7',475,-506,'19','34','14.36'
'MASK-USDT','5m','ui*5<','2021-09-11','2021-10-11','32','-2.92','-14.05',-12,'34','-0.03','0.03','-0.86','2','4',556,-303,'11','21','14.36'
'MASK-USDT','5m','-SUNv','2021-09-11','2021-10-11','71','-7.97','-30.85',-38,'41','-0.05','-0.11','-1.22','6','7',488,-678,'29','42','14.36'
'MASK-USDT','5m','3OW?n','2021-09-11','2021-10-11','68','-8.85','-32.12',-47,'41','-0.06','-0.14','-1.47','5','7',592,-648,'28','40','14.36'
'MASK-USDT','5m','3OWXE','2021-09-11','2021-10-11','37','-6.6','-17.34',-28,'41','-0.04','-0.36','-1.6','4','4',402,-359,'15','22','14.36'
'MASK-USDT','5m','-VW<v','2021-09-11','2021-10-11','60','-13.0','-32.27',-58,'43','-0.07','-0.5','-1.8','5','7',452,-678,'26','34','14.36'
