'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ONE-USDT','5m','@VW*F','2021-09-11','2021-10-11','42','26.24','-7.59',2305,'43','7.38','4.72','303.53','3','3',645,-412,'18','24','49.75'
'ONE-USDT','5m','ePPW\\','2021-09-11','2021-10-11','62','7.15','-7.19',1227,'47','4.54','3.79','170.57','3','5',452,-493,'29','33','49.75'
'ONE-USDT','5m','ePPH','2021-09-11','2021-10-11','52','7.22','-4.89',626,'54','6.86','4.31','128.01','4','3',348,-551,'28','24','49.75'
'ONE-USDT','5m','ePPHa','2021-09-11','2021-10-11','57','5.82','-8.52',1071,'53','4.71','4.01','125.61','4','3',353,-551,'30','27','49.75'
'ONE-USDT','5m','-VWWl','2021-09-11','2021-10-11','73','7.82','-9.88',1076,'48','3.16','3.82','108.91','3','4',455,-497,'35','38','49.75'
'ONE-USDT','5m','=bVNC','2021-09-11','2021-10-11','50','7.4','-10.36',790,'44','1.8','3.04','76.23','4','5',448,-517,'22','28','49.75'
'ONE-USDT','5m','-VW<v','2021-09-11','2021-10-11','68','2.48','-9.27',412,'50','1.75','2.57','44.45','4','4',423,-703,'34','34','49.75'
'ONE-USDT','5m','-VW;v','2021-09-11','2021-10-11','67','8.31','-9.57',410,'52','1.5','2.42','42.82','4','3',492,-699,'35','32','49.75'
'ONE-USDT','5m','@VW4?','2021-09-11','2021-10-11','34','8.4','-7.47',297,'50','2.25','2.7','39.82','4','3',395,-352,'17','17','49.75'
'ONE-USDT','5m','-VW.v','2021-09-11','2021-10-11','75','4.65','-10.68',414,'47','1.24','2.37','38.82','3','4',518,-681,'35','40','49.75'
'ONE-USDT','5m','-VWMv','2021-09-11','2021-10-11','75','2.63','-9.94',366,'44','1.42','2.33','36.81','3','4',491,-684,'33','42','49.75'
'ONE-USDT','5m','-VW=v','2021-09-11','2021-10-11','75','-0.47','-11.62',422,'51','0.96','2.44','36.35','4','4',433,-675,'38','37','49.75'
'ONE-USDT','5m','@VWF?','2021-09-11','2021-10-11','34','4.56','-6.67',210,'50','2.16','2.42','31.5','4','3',408,-344,'17','17','49.75'
'ONE-USDT','5m','BVV.a','2021-09-11','2021-10-11','68','6.2','-12.5',297,'47','1.08','2.02','23.8','4','5',550,-502,'32','36','49.75'
'ONE-USDT','5m','<VV.a','2021-09-11','2021-10-11','68','6.2','-12.5',297,'47','1.08','2.02','23.8','4','5',550,-502,'32','36','49.75'
'ONE-USDT','5m','-VWWu','2021-09-11','2021-10-11','74','1.04','-11.7',278,'47','0.69','2.16','23.77','3','3',414,-661,'35','39','49.75'
'ONE-USDT','5m',',VWWv','2021-09-11','2021-10-11','74','1.04','-11.7',278,'47','0.69','2.16','23.77','3','3',414,-661,'35','39','49.75'
'ONE-USDT','5m','-VWWs','2021-09-11','2021-10-11','74','1.04','-11.7',278,'47','0.69','2.16','23.77','3','3',414,-661,'35','39','49.75'
'ONE-USDT','5m','-VWLv','2021-09-11','2021-10-11','75','1.36','-9.41',222,'44','0.94','1.81','23.57','3','4',540,-692,'33','42','49.75'
'ONE-USDT','5m','QYRcn','2021-09-11','2021-10-11','62','0.33','-8.77',203,'45','0.99','1.91','23.09','4','8',444,-564,'28','34','49.75'
'ONE-USDT','5m','@VW.?','2021-09-11','2021-10-11','34','7.72','-8.74',199,'41','1.4','2.03','22.75','2','3',488,-347,'14','20','49.75'
'ONE-USDT','5m','-VW?v','2021-09-11','2021-10-11','71','-0.41','-9.78',181,'48','0.84','1.68','18.51','3','4',512,-713,'34','37','49.75'
'ONE-USDT','5m','-VW*=','2021-09-11','2021-10-11','30','9.25','-13.25',238,'40','0.43','2.12','17.94','2','5',541,-304,'12','18','49.75'
'ONE-USDT','5m','@_W*?','2021-09-11','2021-10-11','41','5.4','-10.77',173,'39','0.45','1.64','16.07','2','6',521,-609,'16','25','49.75'
'ONE-USDT','5m','eRNWZ','2021-09-11','2021-10-11','69','-3.6','-14.07',226,'43','0.44','1.83','16.04','3','5',405,-420,'30','39','49.75'
'ONE-USDT','5m',':YY:_','2021-09-11','2021-10-11','62','0.28','-9.38',135,'52','0.77','1.5','14.36','3','3',451,-524,'32','30','49.75'
'ONE-USDT','5m','eRNWk','2021-09-11','2021-10-11','75','-7.45','-11.84',166,'45','0.39','1.61','14.02','3','5',400,-584,'34','41','49.75'
'ONE-USDT','5m','-VW*9','2021-09-11','2021-10-11','22','4.08','-5.56',77,'36','0.72','1.35','13.93','3','3',508,-266,'8','14','49.75'
