'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'RAY-USDT','5m','?dpMr','2021-09-11','2021-10-11','35','33.46','-5.0',3721,'63','18.9','7.09','744.56','5','2',535,-497,'22','13','-33.91'
'RAY-USDT','5m','ui*5<','2021-09-11','2021-10-11','25','33.04','-5.5',3240,'44','10.48','6.44','588.92','3','4',619,-278,'11','14','-33.91'
'RAY-USDT','5m','=ptVt','2021-09-11','2021-10-11','35','29.05','-5.93',2896,'60','8.21','6.81','488.35','5','3',473,-538,'21','14','-33.91'
'RAY-USDT','5m','ePjWv','2021-09-11','2021-10-11','25','23.91','-5.15',2467,'64','18.38','8.3','479.22','5','2',462,-484,'16','9','-33.91'
'RAY-USDT','5m','?VuWv','2021-09-11','2021-10-11','28','23.04','-4.68',1508,'61','15.11','6.29','322.47','3','3',440,-532,'17','11','-33.91'
'RAY-USDT','5m','HPqWv','2021-09-11','2021-10-11','28','23.3','-5.19',1533,'61','6.76','5.94','295.27','5','3',442,-533,'17','11','-33.91'
'RAY-USDT','5m','eVkWv','2021-09-11','2021-10-11','26','19.45','-5.9',1565,'62','7.69','6.73','265.25','4','2',453,-463,'16','10','-33.91'
'RAY-USDT','5m','YOR9c','2021-09-11','2021-10-11','47','23.81','-7.96',1307,'53','3.71','4.71','164.1','6','5',486,-459,'25','22','-33.91'
'RAY-USDT','5m','@VX*?','2021-09-11','2021-10-11','37','20.1','-6.49',868,'51','3.97','4.63','133.68','4','3',537,-313,'19','18','-33.91'
'RAY-USDT','5m','3OWXC','2021-09-11','2021-10-11','46','15.12','-4.67',540,'54','4.46','4.49','115.68','6','4',400,-354,'25','21','-33.91'
'RAY-USDT','5m','wVW*?','2021-09-11','2021-10-11','28','20.83','-8.55',948,'54','1.75','5.22','110.9','5','4',556,-329,'15','13','-33.91'
'RAY-USDT','5m','7Fpob','2021-09-11','2021-10-11','22','12.81','-5.09',545,'55','8.2','4.66','106.94','2','3',381,-336,'12','10','-33.91'
'RAY-USDT','5m','eVswv','2021-09-11','2021-10-11','27','7.1','-4.81',500,'59','4.85','5.76','104.06','5','4',266,-497,'16','11','-33.91'
'RAY-USDT','5m','@VW4?','2021-09-11','2021-10-11','38','16.61','-6.49',661,'53','3.01','4.46','101.88','4','4',372,-301,'20','18','-33.91'
'RAY-USDT','5m','MVsWv','2021-09-11','2021-10-11','27','15.36','-7.42',652,'56','3.39','4.63','87.87','4','4',416,-508,'15','12','-33.91'
'RAY-USDT','5m','tbik','2021-09-11','2021-10-11','39','13.26','-11.38',971,'54','1.51','4.81','85.36','6','3',376,-447,'21','18','-33.91'
'RAY-USDT','5m','@^W*?','2021-09-11','2021-10-11','40','18.03','-8.76',695,'48','2.56','3.44','79.4','7','3',514,-304,'19','21','-33.91'
'RAY-USDT','5m','ePRWv','2021-09-11','2021-10-11','49','19.41','-12.41',934,'53','2.17','4.04','75.2','6','5',390,-441,'26','23','-33.91'
'RAY-USDT','5m','@XW*?','2021-09-11','2021-10-11','40','16.06','-7.65',538,'48','2.24','3.44','70.32','4','4',519,-298,'19','21','-33.91'
'RAY-USDT','5m','@TW*?','2021-09-11','2021-10-11','38','13.75','-6.09',403,'50','2.76','3.49','66.11','4','3',514,-305,'19','19','-33.91'
'RAY-USDT','5m','FVW*?','2021-09-11','2021-10-11','36','12.89','-7.05',446,'50','1.68','2.98','63.21','4','3',519,-316,'18','18','-33.91'
'RAY-USDT','5m','vNqn','2021-09-11','2021-10-11','16','12.15','-4.83',304,'62','2.71','3.6','62.9','4','2',410,-501,'10','6','-33.91'
'RAY-USDT','5m','@VW.?','2021-09-11','2021-10-11','39','13.71','-7.17',413,'51','1.96','3.39','57.56','4','4',456,-301,'20','19','-33.91'
'RAY-USDT','5m','g^VGt','2021-09-11','2021-10-11','52','9.42','-9.73',553,'54','1.62','3.82','56.78','4','3',364,-496,'28','24','-33.91'
'RAY-USDT','5m','3OWXE','2021-09-11','2021-10-11','47','11.22','-5.76',322,'53','2.6','3.45','55.97','6','4',387,-342,'25','22','-33.91'
