'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'XLM-USDT','5m','WrVZ;','2021-09-11','2021-10-11','26','32.61','-2.48',4572,'58','45.09','12.0','1843.68','5','3',411,-277,'15','11','4.43'
'XLM-USDT','5m','g^VGt','2021-09-11','2021-10-11','30','24.73','-4.0',1375,'73','13.71','6.95','343.78','5','2',418,-387,'22','8','4.43'
'XLM-USDT','5m','ftUQf','2021-09-11','2021-10-11','29','19.94','-3.26',1065,'55','11.9','7.34','326.52','5','3',491,-401,'16','13','4.43'
'XLM-USDT','5m','hPPHs','2021-09-11','2021-10-11','34','22.16','-5.18',1109,'65','7.61','6.01','214.12','5','2',368,-385,'22','12','4.43'
'XLM-USDT','5m','ePPHt','2021-09-11','2021-10-11','34','22.16','-5.18',1109,'65','7.61','6.01','214.12','5','2',368,-385,'22','12','4.43'
'XLM-USDT','5m','eRQWv','2021-09-11','2021-10-11','34','20.9','-5.57',915,'59','7.16','5.33','164.35','5','3',428,-378,'20','14','4.43'
'XLM-USDT','5m','wVW*?','2021-09-11','2021-10-11','23','18.89','-4.83',723,'57','3.78','5.05','149.65','3','2',541,-308,'13','10','4.43'
'XLM-USDT','5m','ePPHa','2021-09-11','2021-10-11','36','18.79','-7.06',859,'61','4.18','5.14','121.64','5','3',379,-385,'22','14','4.43'
'XLM-USDT','5m','ePPH','2021-09-11','2021-10-11','36','18.79','-7.06',859,'61','4.18','5.14','121.64','5','3',379,-385,'22','14','4.43'
'XLM-USDT','5m','ePPWb','2021-09-11','2021-10-11','36','19.39','-7.74',869,'56','4.27','4.86','112.29','5','5',452,-380,'20','16','4.43'
'XLM-USDT','5m','ePPW\\','2021-09-11','2021-10-11','36','19.39','-7.74',869,'56','4.27','4.86','112.29','5','5',452,-380,'20','16','4.43'
'XLM-USDT','5m','@cW*?','2021-09-11','2021-10-11','30','15.17','-7.73',472,'47','2.28','3.98','61.06','3','4',562,-323,'14','16','4.43'
'XLM-USDT','5m','eRNDv','2021-09-11','2021-10-11','35','14.35','-9.39',436,'57','2.12','3.61','46.49','5','3',400,-396,'20','15','4.43'
'XLM-USDT','5m','@_W*?','2021-09-11','2021-10-11','30','12.29','-6.95',312,'47','1.6','3.33','44.9','3','3',538,-314,'14','16','4.43'
'XLM-USDT','5m','=bVNC','2021-09-11','2021-10-11','31','14.23','-10.06',434,'48','1.68','3.65','43.17','4','5',460,-386,'15','16','4.43'
'XLM-USDT','5m','fVPWv','2021-09-11','2021-10-11','35','13.3','-9.3',394,'57','2.07','3.49','42.4','5','3',425,-386,'20','15','4.43'
'XLM-USDT','5m','gVPWv','2021-09-11','2021-10-11','35','13.3','-9.3',394,'57','2.07','3.49','42.4','5','3',425,-386,'20','15','4.43'
'XLM-USDT','5m','eSNWd','2021-09-11','2021-10-11','35','12.98','-9.26',373,'57','2.06','3.36','40.27','5','3',425,-384,'20','15','4.43'
'XLM-USDT','5m','eRNWk','2021-09-11','2021-10-11','35','12.87','-9.25',367,'57','2.04','3.34','39.7','5','3',424,-384,'20','15','4.43'
'XLM-USDT','5m','eRNWZ','2021-09-11','2021-10-11','35','12.87','-9.25',367,'57','2.04','3.34','39.7','5','3',424,-384,'20','15','4.43'
'XLM-USDT','5m','-dW6n','2021-09-11','2021-10-11','36','12.89','-9.66',340,'58','1.09','2.99','35.15','5','3',527,-327,'21','15','4.43'
'XLM-USDT','5m','3eWXn','2021-09-11','2021-10-11','37','12.48','-10.16',341,'57','0.86','3.31','33.51','5','3',402,-325,'21','16','4.43'
'XLM-USDT','5m','FVW*?','2021-09-11','2021-10-11','27','9.13','-5.99',190,'44','1.26','2.39','31.78','3','3',523,-318,'12','15','4.43'
'XLM-USDT','5m','`RNWv','2021-09-11','2021-10-11','35','10.78','-8.88',273,'57','1.75','2.88','30.7','5','3',416,-390,'20','15','4.43'
'XLM-USDT','5m','cRNWv','2021-09-11','2021-10-11','35','10.78','-8.88',273,'57','1.75','2.88','30.7','5','3',416,-390,'20','15','4.43'
'XLM-USDT','5m','\\RNWv','2021-09-11','2021-10-11','35','10.78','-8.88',273,'57','1.75','2.88','30.7','5','3',416,-390,'20','15','4.43'
'XLM-USDT','5m','RNWv','2021-09-11','2021-10-11','35','10.78','-8.88',273,'57','1.75','2.88','30.7','5','3',416,-390,'20','15','4.43'
