'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'XTZ-USDT','5m','@_W*?','2021-09-11','2021-10-11','38','38.04','-6.35',8230,'53','11.76','7.14','1295.78','4','3',660,-413,'20','18','12.04'
'XTZ-USDT','5m','ui*5<','2021-09-11','2021-10-11','34','39.43','-5.52',6773,'50','17.88','7.52','1226.81','4','3',702,-395,'17','17','12.04'
'XTZ-USDT','5m','-VW*9','2021-09-11','2021-10-11','18','31.45','-2.65',2822,'61','41.74','7.84','1063.82','3','2',574,-279,'11','7','12.04'
'XTZ-USDT','5m','=bVNC','2021-09-11','2021-10-11','48','32.15','-7.36',5390,'48','6.46','6.73','732.13','5','4',529,-420,'23','25','12.04'
'XTZ-USDT','5m','@^W*?','2021-09-11','2021-10-11','34','23.13','-6.35',2788,'53','7.63','6.35','439.25','5','4',608,-378,'18','16','12.04'
'XTZ-USDT','5m','-VW*=','2021-09-11','2021-10-11','26','20.62','-5.82',939,'50','7.41','4.91','161.28','3','3',529,-342,'13','13','12.04'
'XTZ-USDT','5m','@VW4?','2021-09-11','2021-10-11','30','14.53','-6.51',1029,'53','4.78','5.88','158.09','4','5',404,-304,'16','14','12.04'
'XTZ-USDT','5m','@TW*?','2021-09-11','2021-10-11','25','20.08','-7.91',1165,'44','2.82','5.19','147.41','3','4',554,-363,'11','14','12.04'
'XTZ-USDT','5m','WrVZ;','2021-09-11','2021-10-11','30','12.21','-7.68',871,'47','3.18','6.49','113.36','4','6',396,-349,'14','16','12.04'
'XTZ-USDT','5m','3OWXE','2021-09-11','2021-10-11','42','14.34','-7.66',824,'50','2.82','4.36','107.51','4','4',438,-389,'21','21','12.04'
'XTZ-USDT','5m','@cW*?','2021-09-11','2021-10-11','42','15.68','-11.03',956,'43','2.34','3.78','86.67','3','5',601,-393,'18','24','12.04'
'XTZ-USDT','5m','@VWF?','2021-09-11','2021-10-11','30','10.53','-6.9',544,'53','2.6','4.82','78.87','3','5',406,-297,'16','14','12.04'
'XTZ-USDT','5m','@VW.?','2021-09-11','2021-10-11','30','13.74','-8.86',650,'50','1.98','4.49','73.33','4','5',483,-294,'15','15','12.04'
'XTZ-USDT','5m','3OWXC','2021-09-11','2021-10-11','38','11.41','-9.22',568,'50','1.7','4.01','61.57','5','4',434,-385,'19','19','12.04'
'XTZ-USDT','5m','@VW)?','2021-09-11','2021-10-11','30','12.6','-9.64',462,'43','1.24','3.62','47.93','2','5',556,-296,'13','17','12.04'
'XTZ-USDT','5m','@VX*?','2021-09-11','2021-10-11','26','12.18','-12.46',582,'42','0.81','4.05','46.72','3','5',540,-326,'11','15','12.04'
'XTZ-USDT','5m','wVW*?','2021-09-11','2021-10-11','13','9.0','-5.71',228,'38','1.36','3.3','39.89','3','3',500,-292,'5','8','12.04'
'XTZ-USDT','5m','ePPHa','2021-09-11','2021-10-11','60','-0.58','-14.11',560,'52','1.02','3.15','39.7','6','7',366,-504,'31','29','12.04'
'XTZ-USDT','5m','@XW*?','2021-09-11','2021-10-11','37','12.7','-13.52',491,'49','0.82','3.32','36.3','4','7',535,-304,'18','19','12.04'
'XTZ-USDT','5m','E^cA','2021-09-11','2021-10-11','16','7.88','-4.49',158,'62','1.62','2.63','35.16','4','2',392,-319,'10','6','12.04'
'XTZ-USDT','5m','@VW*F','2021-09-11','2021-10-11','44','7.59','-8.19',268,'41','0.9','2.66','32.74','2','5',533,-375,'18','26','12.04'
'XTZ-USDT','5m','ePPH','2021-09-11','2021-10-11','59','-2.74','-14.11',425,'51','0.85','2.85','30.15','6','7',351,-502,'30','29','12.04'
'XTZ-USDT','5m','o4,@X','2021-09-11','2021-10-11','65','4.16','-9.62',288,'46','0.78','2.4','29.97','5','4',432,-393,'30','35','12.04'
'XTZ-USDT','5m','ftUQf','2021-09-11','2021-10-11','62','2.09','-20.88',328,'45','0.41','2.09','15.69','6','8',531,-587,'28','34','12.04'
'XTZ-USDT','5m','@VW*A','2021-09-11','2021-10-11','34','3.46','-8.21',119,'41','0.6','1.8','14.55','2','5',507,-340,'14','20','12.04'
'XTZ-USDT','5m','eVPWc','2021-09-11','2021-10-11','69','-1.78','-14.35',177,'43','0.57','1.83','12.31','4','8',413,-505,'30','39','12.04'
'XTZ-USDT','5m','XRV.a','2021-09-11','2021-10-11','63','3.98','-17.16',205,'46','0.54','1.71','11.96','4','7',485,-532,'29','34','12.04'
'XTZ-USDT','5m','_W6,U','2021-09-11','2021-10-11','66','4.14','-10.61',106,'42','0.58','1.27','10.03','3','6',551,-459,'28','38','12.04'
'XTZ-USDT','5m','ePPWb','2021-09-11','2021-10-11','65','-4.95','-15.29',144,'43','0.44','1.54','9.43','4','7',395,-494,'28','37','12.04'
'XTZ-USDT','5m','eSNWd','2021-09-11','2021-10-11','71','-4.9','-13.4',115,'42','0.51','1.47','8.59','4','8',400,-485,'30','41','12.04'
'XTZ-USDT','5m','ePPW\\','2021-09-11','2021-10-11','65','-5.21','-15.52',118,'43','0.37','1.4','7.6','4','7',395,-494,'28','37','12.04'
'XTZ-USDT','5m','?^WWv','2021-09-11','2021-10-11','71','-4.14','-12.54',92,'46','0.31','1.23','7.33','4','5',386,-502,'33','38','12.04'
'XTZ-USDT','5m',':YY:_','2021-09-11','2021-10-11','65','-1.26','-13.75',92,'45','0.19','1.22','6.69','4','7',420,-486,'29','36','12.04'
'XTZ-USDT','5m','g^VGt','2021-09-11','2021-10-11','66','-9.89','-20.63',94,'52','0.15','1.19','4.58','6','6',418,-667,'34','32','12.04'
'XTZ-USDT','5m','hPPHs','2021-09-11','2021-10-11','63','-13.52','-18.39',73,'51','0.17','1.09','3.99','6','8',346,-599,'32','31','12.04'
'XTZ-USDT','5m','ePPHt','2021-09-11','2021-10-11','63','-13.52','-18.39',73,'51','0.17','1.09','3.99','6','8',346,-599,'32','31','12.04'
'XTZ-USDT','5m','-VW<v','2021-09-11','2021-10-11','72','-7.54','-16.06',57,'44','0.14','0.94','3.58','6','9',410,-538,'32','40','12.04'
'XTZ-USDT','5m','eRNWk','2021-09-11','2021-10-11','71','-7.83','-14.66',50,'42','0.18','0.92','3.41','4','7',404,-489,'30','41','12.04'
'XTZ-USDT','5m','LewDb','2021-09-11','2021-10-11','34','0.5','-8.2',27,'62','0.14','0.72','3.28','4','2',347,-507,'21','13','12.04'
'XTZ-USDT','5m','hPmHf','2021-09-11','2021-10-11','34','0.12','-10.11',18,'62','0.07','0.57','1.79','4','3',311,-513,'21','13','12.04'
