Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
ETH-USDT	5m	'3OfXn'	2021-08-12	2021-10-11	19	100	0	24.08	-3.1	263.61	74	17.35	5.76	85.03	5	2	441.12	-233.54	14	5	168.45	8.28
ETH-USDT	5m	'3OfXn'	2020-06-12	2020-08-11	13	100	0	20.47	-2.6	204.71	69	16.87	4.7	78.6	4	2	440.86	-317.81	9	4	117.65	72.06
ETH-USDT	5m	'3OfXn'	2020-06-16	2020-08-15	15	100	0	21.72	-2.6	224.24	67	16.67	4.94	86.1	4	2	440.86	-317.81	10	5	136.71	90.04
ETH-USDT	5m	'3OfXn'	2020-09-30	2020-11-29	17	100	0	23.16	-2.6	255.49	76	11.89	6.18	98.15	6	2	405.73	-295.02	13	4	153.44	49.37
ETH-USDT	5m	'3OfXn'	2020-06-29	2020-08-28	15	100	0	17.67	-2.6	164.71	60	11.39	4.18	63.25	3	2	428.39	-308.82	9	6	134.41	70.34
ETH-USDT	5m	'3OfXn'	2021-08-02	2021-10-01	21	100	0	21.9	-4.04	227.1	67	11.33	4.98	56.2	5	2	396.49	-324.27	14	7	181.69	17.67
ETH-USDT	5m	'3OfXn'	2021-07-11	2021-09-09	27	100	0	20.64	-4.04	218.55	63	10.99	4.77	54.06	5	2	420.25	-344.48	17	10	235.84	65.27
ETH-USDT	5m	'3OfXn'	2021-07-10	2021-09-08	26	100	0	20.38	-4.04	214.5	62	10.86	4.71	53.06	5	2	420.25	-344.48	16	10	226.16	60.2
ETH-USDT	5m	'3OfXn'	2020-07-01	2020-08-30	15	100	0	17.67	-2.6	164.71	60	10.67	4.18	63.25	3	2	428.39	-308.82	9	6	134.41	76.99
ETH-USDT	5m	'3OfXn'	2021-07-31	2021-09-29	22	100	0	18.84	-4.03	182.72	64	9.32	4.37	45.37	5	2	392.74	-321.38	14	8	186.84	14.26
ETH-USDT	5m	'3OfXn'	2021-08-28	2021-10-27	19	100	0	19.73	-3.35	203.8	63	8.8	4.74	60.77	5	2	434.72	-296.62	12	7	169.63	26.25
ETH-USDT	5m	'3OfXn'	2021-08-23	2021-10-22	21	100	0	19.72	-3.35	203.65	62	8.59	4.65	60.72	5	2	434.72	-296.62	13	8	185.62	25.1
ETH-USDT	5m	'3OfXn'	2020-07-13	2020-09-11	19	100	0	17.27	-3.63	159.44	58	8.57	3.76	43.97	3	2	426.15	-369.22	11	8	169.69	51.15
ETH-USDT	5m	'3OfXn'	2020-07-14	2020-09-12	19	100	0	17.27	-3.63	159.44	58	8.57	3.76	43.97	3	2	426.15	-369.22	11	8	169.69	55.93
ETH-USDT	5m	'3OfXn'	2021-09-09	2021-11-08	17	100	0	16.2	-3.35	153.74	65	7.73	4.09	45.83	5	2	411.67	-280.87	11	6	148.39	32.06
ETH-USDT	5m	'3OfXn'	2020-07-19	2020-09-17	20	100	0	16.98	-3.63	155.61	55	7.6	3.63	42.92	3	2	426.15	-369.22	11	9	179.05	54.94
ETH-USDT	5m	'3OfXn'	2020-09-25	2020-11-24	16	100	0	22.77	-2.6	248.52	81	6.61	5.91	95.49	6	1	395.53	-287.52	13	3	138.1	74.66
ETH-USDT	5m	'3OfXn'	2020-10-07	2020-12-06	21	100	0	20.7	-4.17	237.78	71	6.05	5.08	57.04	6	2	405.73	-406.58	15	6	193.12	75.44
ETH-USDT	5m	'3OfXn'	2021-09-08	2021-11-07	18	100	0	15.3	-3.36	142.2	61	5.96	3.86	42.34	5	2	408.59	-278.74	11	7	155.19	31.19
ETH-USDT	5m	'3OfXn'	2021-09-03	2021-11-02	18	100	0	14.82	-3.35	136.34	61	5.78	3.86	40.66	5	2	413.2	-281.93	11	7	155.68	13.99
ETH-USDT	5m	'3OfXn'	2021-02-24	2021-04-25	25	100	0	24.27	-6.25	281.1	68	4.38	4.26	44.98	7	2	443.66	-462.58	17	8	229.15	40.0
ETH-USDT	5m	'3OfXn'	2020-12-14	2021-02-12	43	100	0	25.3	-6.87	330.11	60	4.13	3.74	48.07	4	2	470.62	-596.95	26	17	400.5	203.22
ETH-USDT	5m	'3OfXn'	2021-03-07	2021-05-06	25	100	0	22.69	-6.25	262.51	68	4.04	4.4	42.01	7	2	405.51	-423.37	17	8	225.44	113.12
ETH-USDT	5m	'3OfXn'	2020-12-22	2021-02-20	44	100	0	26.54	-6.87	355.23	59	3.98	3.92	51.71	4	3	467.23	-592.91	26	18	411.97	221.53
ETH-USDT	5m	'3OfXn'	2020-12-25	2021-02-23	43	100	0	25.79	-6.87	338.92	58	3.86	3.86	49.35	4	3	460.44	-584.26	25	18	400.41	189.85
ETH-USDT	5m	'3OfXn'	2021-02-20	2021-04-21	24	100	0	21.72	-5.19	237.77	62	3.75	4.22	45.81	5	3	420.44	-383.71	15	9	201.4	18.74
ETH-USDT	5m	'3OfXn'	2020-12-18	2021-02-16	43	100	0	23.22	-6.87	289.38	58	3.62	3.55	42.12	4	3	467.23	-592.91	25	18	401.81	176.68
ETH-USDT	5m	'3OfXn'	2020-12-27	2021-02-25	44	100	0	23.34	-6.87	298.3	59	3.48	3.59	43.43	4	3	466.1	-591.76	26	18	417.02	154.07
ETH-USDT	5m	'3OfXn'	2021-02-25	2021-04-26	24	100	0	21.35	-6.25	230.54	67	3.4	3.87	36.91	7	2	432.88	-451.38	16	8	215.86	42.41
ETH-USDT	5m	'3OfXn'	2021-07-06	2021-09-04	29	100	0	16.12	-4.04	153.61	55	3.17	3.71	38.02	5	4	405.24	-331.97	16	13	241.83	79.68
ETH-USDT	5m	'3OfXn'	2020-01-10	2020-03-10	22	100	0	13.6	-5.39	123.76	64	3.11	3.37	22.97	4	3	411.63	-512.69	14	8	187.59	47.36
ETH-USDT	5m	'3OfXn'	2021-04-01	2021-05-31	43	100	0	13.81	-7.41	166.64	58	3.06	2.23	22.48	7	3	434.14	-479.93	25	18	372.54	23.32
ETH-USDT	5m	'3OfXn'	2020-09-22	2020-11-21	14	100	0	15.64	-3.34	144.07	79	2.93	4.54	43.08	5	1	402.38	-292.52	11	3	119.62	49.85
ETH-USDT	5m	'3OfXn'	2020-11-14	2021-01-13	33	100	0	21.85	-5.11	289.09	61	2.78	4.34	56.59	5	2	461.44	-655.78	20	13	303.36	119.88
ETH-USDT	5m	'3OfXn'	2020-09-10	2020-11-09	14	100	0	13.36	-3.34	116.82	71	2.7	4.35	34.94	5	1	409.39	-260.68	10	4	118.63	29.55
ETH-USDT	5m	'3OfXn'	2019-12-22	2020-02-20	24	100	0	10.77	-5.39	92.81	62	2.5	2.71	17.22	4	3	419.7	-522.82	15	9	205.75	103.5
ETH-USDT	5m	'3OfXn'	2020-08-26	2020-10-25	13	100	0	12.29	-3.63	100.13	69	2.44	3.58	27.61	4	1	402.06	-321.81	9	4	107.92	7.73
ETH-USDT	5m	'3OfXn'	2020-08-28	2020-10-27	13	100	0	12.29	-3.63	100.13	69	2.44	3.58	27.61	4	1	402.06	-321.81	9	4	107.92	2.21
ETH-USDT	5m	'3OfXn'	2020-11-26	2021-01-25	40	100	0	17.16	-5.11	203.0	57	2.4	3.14	39.75	4	2	442.68	-575.61	23	17	340.89	145.5
ETH-USDT	5m	'3OfXn'	2020-08-24	2020-10-23	14	100	0	11.7	-3.63	93.85	64	2.23	3.34	25.88	4	1	399.89	-320.0	9	5	115.31	5.96
ETH-USDT	5m	'3OfXn'	2020-01-02	2020-03-02	23	100	0	9.93	-5.39	84.05	61	2.13	2.54	15.6	4	3	407.32	-507.31	14	9	192.76	67.17
ETH-USDT	5m	'3OfXn'	2019-12-30	2020-02-28	23	100	0	9.93	-5.39	84.05	61	2.13	2.54	15.6	4	3	407.32	-507.31	14	9	192.76	69.81
