Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
BTC-USDT	5m	'eEsWv'	2021-05-01	2021-08-01	11	100	0	19.57	-1.49	101.69	82	30.03	4.13	68.16	5	1	393.98	-291.96	9	2	93.37	-27.96
BTC-USDT	5m	'vNqn]'	2021-05-01	2021-08-01	15	100	0	20.15	-3.64	105.56	60	15.66	4.09	29.04	5	4	412.55	-306.81	9	6	125.81	-27.96
BTC-USDT	5m	'\\7gAL'	2021-05-01	2021-08-01	10	100	0	14.68	-2.3	71.16	70	13.94	3.4	30.98	4	2	427.43	-275.17	7	3	83.09	-27.96
BTC-USDT	5m	'e/_ev'	2021-05-01	2021-08-01	21	100	0	18.6	-3.64	95.32	62	5.76	3.06	26.2	6	2	368.19	-373.46	13	8	175.58	-27.96
BTC-USDT	5m	'7Fpob'	2021-05-01	2021-08-01	19	100	0	13.72	-5.94	65.63	63	3.41	2.55	11.05	7	3	354.81	-382.86	12	7	155.12	-27.96
BTC-USDT	5m	'5l324'	2021-05-01	2021-08-01	49	100	0	18.52	-8.37	103.1	41	1.8	2.55	12.31	4	5	446.57	-256.27	20	29	419.75	-27.96
BTC-USDT	5m	'3OfXn'	2021-05-01	2021-08-01	35	100	0	16.54	-7.14	89.97	60	3.73	2.42	12.6	8	3	420.88	-416.83	21	14	286.46	-27.96
BTC-USDT	5m	'@+W*?'	2021-05-01	2021-08-01	18	100	0	14.01	-4.67	67.95	61	1.2	2.4	14.57	6	2	491.75	-279.06	11	7	142.04	-27.96
BTC-USDT	5m	'C8]k_'	2021-05-01	2021-08-01	30	100	0	15.23	-8.83	76.01	67	1.21	2.33	8.61	10	3	289.14	-357.73	20	10	235.09	-27.96
BTC-USDT	5m	'ePjWv'	2021-05-01	2021-08-01	28	100	0	17.56	-6.2	89.4	54	2.31	2.3	14.41	5	3	396.77	-444.35	15	13	226.15	-27.96
BTC-USDT	5m	'ePjWu'	2021-05-01	2021-08-01	28	100	0	17.56	-6.2	89.4	54	2.31	2.3	14.41	5	3	396.77	-444.35	15	13	226.15	-27.96
BTC-USDT	5m	'X)XB['	2021-05-01	2021-08-01	25	100	0	15.95	-6.85	78.74	60	1.52	2.25	11.49	9	3	409.97	-364.19	15	10	200.62	-27.96
BTC-USDT	5m	'?VuWv'	2021-05-01	2021-08-01	20	100	0	13.37	-8.98	63.61	60	0.62	2.21	7.09	8	3	362.61	-376.78	12	8	158.95	-27.96
BTC-USDT	5m	'@_W*?'	2021-05-01	2021-08-01	52	100	0	20.27	-14.29	120.25	46	0.84	2.2	8.42	4	8	536.48	-273.67	24	28	407.53	-27.96
BTC-USDT	5m	')QjFa'	2021-05-01	2021-08-01	30	100	0	15.36	-12.32	75.24	63	0.58	2.18	6.11	10	3	381.42	-458.06	19	11	228.34	-27.96
BTC-USDT	5m	'RIlVK'	2021-05-01	2021-08-01	14	100	0	10.85	-4.0	49.85	57	1.26	2.17	12.47	5	3	392.66	-318.86	8	6	109.68	-27.96
BTC-USDT	5m	'_0U,B'	2021-05-01	2021-08-01	24	100	0	13.38	-10.67	63.99	50	0.25	2.12	6.0	3	4	560.93	-305.44	12	12	185.27	-27.96
BTC-USDT	5m	'-kT.?'	2021-05-01	2021-08-01	51	100	0	19.16	-14.34	100.36	47	0.84	2.11	7.0	5	8	497.51	-307.08	24	27	423.77	-27.96
