Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
ETH-USDT	5m	'J,MHt'	2021-04-01	2021-08-01	93	100	0	51.16	-15.66	265.85	60	2.36	3.63	16.97	9	4	436.84	-516.56	56	37	905.44	30.78
ETH-USDT	5m	'7/Wev'	2021-04-01	2021-08-01	74	100	0	37.96	-9.5	202.46	62	2.98	3.51	21.31	9	4	469.46	-490.84	46	28	722.64	30.78
ETH-USDT	5m	'e4NHt'	2021-04-01	2021-08-01	89	100	0	41.09	-13.05	248.07	58	4.94	3.27	19.01	6	5	439.8	-520.33	52	37	883.85	30.78
ETH-USDT	5m	'j4NHq'	2021-04-01	2021-08-01	89	100	0	41.09	-13.05	248.07	58	4.94	3.27	19.01	6	5	439.8	-520.33	52	37	883.85	30.78
ETH-USDT	5m	'e4NHq'	2021-04-01	2021-08-01	89	100	0	41.09	-13.05	248.07	58	4.94	3.27	19.01	6	5	439.8	-520.33	52	37	883.85	30.78
ETH-USDT	5m	'h(NHd'	2021-04-01	2021-08-01	78	100	0	38.84	-10.75	206.45	63	3.86	3.23	19.21	10	4	427.72	-536.68	49	29	792.89	30.78
ETH-USDT	5m	'j-NHq'	2021-04-01	2021-08-01	81	100	0	34.37	-10.23	196.14	60	3.58	3.15	19.17	7	3	415.01	-521.36	49	32	797.61	30.78
ETH-USDT	5m	'h-NHs'	2021-04-01	2021-08-01	81	100	0	34.37	-10.23	196.14	60	3.58	3.15	19.17	7	3	415.01	-521.36	49	32	797.61	30.78
ETH-USDT	5m	'e-NHt'	2021-04-01	2021-08-01	81	100	0	34.37	-10.23	196.14	60	3.58	3.15	19.17	7	3	415.01	-521.36	49	32	797.61	30.78
ETH-USDT	5m	')QjFa'	2021-04-01	2021-08-01	74	100	0	32.25	-10.83	157.49	66	1.92	3.08	14.54	9	4	502.48	-476.02	49	25	699.56	30.78
ETH-USDT	5m	'-.WWv'	2021-04-01	2021-08-01	84	100	0	32.79	-8.93	175.6	61	3.13	3.06	19.66	9	4	491.85	-661.23	51	33	821.13	30.78
ETH-USDT	5m	'?0WWv'	2021-04-01	2021-08-01	78	100	0	37.75	-10.21	175.87	64	2.52	3.04	17.23	9	5	494.25	-735.61	50	28	770.27	30.78
