iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_len,parameters.ott_percent,parameters.ott_bw,parameters.tps_qty_index,parameters.max_risk
60,NKg8L,0.7167915677129485,76,21,33.19,57,7,0.2,30,195,140,25,38
60,>2WpP,0.6749134305122716,74,27,26.71,60,10,-0.83,28,164,120,114,40
60,=ptVt,0.616324267146105,73,26,30.29,50,8,1.89,28,241,156,73,63
60,7HgfU,0.6064608219743098,69,23,23.07,42,7,-1.84,27,191,140,98,43
60,R:inl,0.5778169575400967,66,15,15.11,40,5,-2.01,30,174,142,111,58
60,K;eUR,0.5665295537729826,78,14,20.85,40,5,-2.09,29,175,137,71,42
60,)Zwhj,0.5564741536418504,68,19,16.47,57,7,1.07,25,214,160,101,57
60,?dpMr,0.5175557818687823,61,26,28.05,50,8,2.43,28,226,151,59,62
60,6ZqSa,0.5135629774233612,71,21,23.78,57,7,2.92,27,214,152,68,51
60,a4TTT,0.5060088496921675,66,30,26.46,40,10,-4.88,32,166,116,70,43
60,)QjFa,0.48994806393175255,70,27,20.1,55,9,1.47,25,202,144,47,51
60,(ev0m,0.482709391219024,64,25,28.36,42,7,-0.36,25,227,159,13,59
60,_LbD_,0.4801463045634756,72,25,23.07,40,10,-3.93,32,196,134,44,50
60,/cqmh,0.47742936485426096,67,28,21.02,40,10,-7.06,26,225,152,109,56
60,m)C^V,0.4751238966457874,60,53,27.68,42,14,-3.55,34,152,95,85,44
60,RIlVK,0.46788020406297376,76,13,16.5,50,4,-1.62,30,192,146,73,37
60,a-Hnj,0.46589356317403724,57,47,21.77,58,12,-0.88,32,157,101,111,57
60,QJ^Fp,0.46383461855706604,63,33,23.55,40,10,-4.48,30,194,129,47,61
60,_CYnv,0.46301216122432526,56,37,20.33,36,11,-6.65,32,185,122,111,64
60,<\TjS,0.44871753026209216,56,66,21.6,46,13,-2.7,28,216,116,104,42
