'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'BTC-USDT','1h','m(+r','2021-04-01','2021-08-01','62','79.8','-12.11',470,'42','3.3','38.84','4','5',335,-50,'26','36','-29.61'
'BTC-USDT','1h','m(*r','2021-04-01','2021-08-01','62','79.8','-12.11',470,'42','3.3','38.84','4','5',335,-50,'26','36','-29.61'
'BTC-USDT','1h','m(5r','2021-04-01','2021-08-01','62','76.85','-12.01',443,'42','3.16','36.88','4','5',326,-55,'26','36','-29.61'
'BTC-USDT','1h','m(4r','2021-04-01','2021-08-01','62','76.85','-12.01',443,'42','3.16','36.88','4','5',326,-55,'26','36','-29.61'
'BTC-USDT','1h','m(,r','2021-04-01','2021-08-01','62','76.2','-12.23',437,'42','3.17','35.74','4','5',332,-58,'26','36','-29.61'
'BTC-USDT','1h','m(Gw','2021-04-01','2021-08-01','62','76.46','-12.38',439,'42','3.11','35.5','4','5',332,-49,'26','36','-29.61'
'BTC-USDT','1h','h)Ar','2021-04-01','2021-08-01','36','73.02','-11.99',409,'50','3.64','34.09','6','6',435,-83,'18','18','-29.61'
'BTC-USDT','1h','f)7r','2021-04-01','2021-08-01','36','58.85','-11.71',295,'50','3.13','25.19','6','6',317,-83,'18','18','-29.61'
'BTC-USDT','1h','r(7r','2021-04-01','2021-08-01','62','66.55','-14.85',354,'44','3.0','23.86','3','5',315,-50,'27','35','-29.61'
'BTC-USDT','1h','o(7r','2021-04-01','2021-08-01','62','66.55','-14.85',354,'44','3.0','23.86','3','5',315,-50,'27','35','-29.61'
'BTC-USDT','1h','?0Lv','2021-04-01','2021-08-01','34','55.99','-11.54',274,'53','2.96','23.75','3','3',232,-73,'18','16','-29.61'
'BTC-USDT','1h','*Gr','2021-04-01','2021-08-01','34','57.51','-13.13',285,'56','3.02','21.71','6','4',327,-103,'19','15','-29.61'
'BTC-USDT','1h','*Hr','2021-04-01','2021-08-01','34','57.5','-13.13',285,'56','3.02','21.7','6','4',327,-103,'19','15','-29.61'
'BTC-USDT','1h','*Ir','2021-04-01','2021-08-01','34','57.5','-13.13',285,'56','3.02','21.7','6','4',327,-103,'19','15','-29.61'
'BTC-USDT','1h','*Ar','2021-04-01','2021-08-01','34','57.36','-13.13',284,'56','3.02','21.62','6','4',327,-103,'19','15','-29.61'
'BTC-USDT','1h','*@r','2021-04-01','2021-08-01','34','57.36','-13.13',284,'56','3.02','21.62','6','4',327,-103,'19','15','-29.61'
'BTC-USDT','1h','*7r','2021-04-01','2021-08-01','34','57.27','-13.15',283,'56','2.98','21.54','6','4',317,-103,'19','15','-29.61'
'BTC-USDT','1h','q(1r','2021-04-01','2021-08-01','62','63.22','-15.99',328,'44','2.73','20.51','3','5',318,-68,'27','35','-29.61'
'BTC-USDT','1h','>)l@','2021-04-01','2021-08-01','94','45.39','-11.05',204,'40','2.69','18.43','3','7',120,-50,'38','56','-29.61'
'BTC-USDT','1h','>*1*','2021-04-01','2021-08-01','80','40.65','-9.63',175,'45','3.07','18.19','4','8',77,-32,'36','44','-29.61'
'BTC-USDT','1h','W*Er','2021-04-01','2021-08-01','36','50.3','-13.42',235,'50','2.53','17.52','3','4',322,-103,'18','18','-29.61'
'BTC-USDT','1h','?*,*','2021-04-01','2021-08-01','80','34.1','-9.87',139,'46','2.72','14.07','5','8',76,-29,'37','43','-29.61'
'BTC-USDT','1h','p)Ue','2021-04-01','2021-08-01','32','37.08','-11.21',155,'50','2.41','13.82','4','4',173,-58,'16','16','-29.61'
'BTC-USDT','1h','=)b6','2021-04-01','2021-08-01','102','43.55','-14.46',192,'41','2.57','13.3','7','8',133,-57,'42','60','-29.61'
'BTC-USDT','1h','>)lc','2021-04-01','2021-08-01','94','34.66','-11.6',142,'44','1.9','12.23','4','5',198,-69,'41','53','-29.61'
'BTC-USDT','1h','>)ld','2021-04-01','2021-08-01','94','34.66','-11.6',142,'44','1.9','12.23','4','5',198,-69,'41','53','-29.61'
'BTC-USDT','1h','X*Fb','2021-04-01','2021-08-01','34','37.92','-13.45',160,'62','2.39','11.87','6','3',177,-103,'21','13','-29.61'
'BTC-USDT','1h','>)lf','2021-04-01','2021-08-01','94','33.37','-11.68',135,'44','1.88','11.56','4','4',196,-57,'41','53','-29.61'
'BTC-USDT','1h','>)le','2021-04-01','2021-08-01','94','33.37','-11.68',135,'44','1.88','11.56','4','4',196,-57,'41','53','-29.61'
'BTC-USDT','1h','7.9D','2021-04-01','2021-08-01','52','35.4','-12.67',146,'60','2.34','11.51','7','5',91,-67,'31','21','-29.61'
