Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
BTC-USDT	1h	'I)q7'	2021-07-20	2021-11-12	56	50	50	19.34	-3.85	74.43	61	7.72	3.36	19.32	6	5	497.74	-124.96	34	22	243.85	110.26
BTC-USDT	1h	'>*7/'	2021-07-20	2021-11-12	60	50	50	18.06	-4.48	68.62	48	4.43	3.08	15.33	5	6	512.43	-114.16	29	31	265.32	110.26
BTC-USDT	1h	'?*,*'	2021-07-20	2021-11-12	60	50	50	15.19	-4.3	56.06	52	3.4	2.94	13.02	7	6	524.68	-107.2	31	29	267.04	110.26
BTC-USDT	1h	'>*7.'	2021-07-20	2021-11-12	60	50	50	14.34	-3.95	52.46	52	4.2	2.92	13.27	3	6	495.39	-106.29	31	29	262.25	110.26
BTC-USDT	1h	'P)^@'	2021-07-20	2021-11-12	47	51	49	20.2	-4.23	78.43	51	4.3	2.88	18.53	4	4	582.57	-145.45	24	23	202.18	110.26
BTC-USDT	1h	'?*j7'	2021-07-20	2021-11-12	60	50	50	16.63	-4.67	62.28	53	3.44	2.74	13.35	6	6	516.4	-130.96	32	28	262.62	110.26
BTC-USDT	1h	'W*/@'	2021-07-20	2021-11-12	38	50	50	19.65	-6.73	75.84	58	2.93	2.66	11.27	5	6	531.02	-159.79	22	16	165.42	110.26
BTC-USDT	1h	'>*g='	2021-07-20	2021-11-12	60	50	50	17.99	-6.26	68.29	47	2.31	2.57	10.91	5	6	585.17	-142.27	28	32	264.37	110.26
BTC-USDT	1h	'>*fM'	2021-07-20	2021-11-12	60	50	50	23.19	-7.62	92.77	43	2.1	2.53	12.18	3	6	1134.18	-212.54	26	34	280.19	110.26
BTC-USDT	1h	'>*l>'	2021-07-20	2021-11-12	60	50	50	17.2	-6.29	64.77	47	2.24	2.48	10.3	5	6	583.52	-138.9	28	32	262.21	110.26
BTC-USDT	1h	'@*l='	2021-07-20	2021-11-12	60	50	50	17.2	-6.29	64.77	47	2.24	2.48	10.3	5	6	583.52	-138.9	28	32	262.21	110.26
BTC-USDT	1h	'>*l='	2021-07-20	2021-11-12	60	50	50	17.2	-6.29	64.77	47	2.24	2.48	10.3	5	6	583.52	-138.9	28	32	262.21	110.26
BTC-USDT	1h	'>*1*'	2021-07-20	2021-11-12	60	50	50	10.54	-3.87	37.08	47	2.32	2.44	9.58	7	6	521.24	-88.55	28	32	261.46	110.26
BTC-USDT	1h	')7hP'	2021-07-20	2021-11-12	50	50	50	17.82	-8.27	67.51	44	0.69	2.42	8.16	4	5	1093.87	-170.37	22	28	222.26	110.26
BTC-USDT	1h	'7.92'	2021-07-20	2021-11-12	42	50	50	14.14	-5.14	51.63	52	2.15	2.42	10.05	9	8	543.67	-183.87	22	20	178.31	110.26
BTC-USDT	1h	'B*7C'	2021-07-20	2021-11-12	46	50	50	17.36	-5.16	65.49	57	2.88	2.4	12.69	4	4	536.71	-216.07	26	20	199.56	110.26
BTC-USDT	1h	'C*7C'	2021-07-20	2021-11-12	46	50	50	17.36	-5.16	65.49	57	2.88	2.4	12.69	4	4	536.71	-216.07	26	20	199.56	110.26
BTC-USDT	1h	')J2,'	2021-07-20	2021-11-12	18	50	50	9.25	-2.39	32.11	61	7.16	2.38	13.45	3	3	429.3	-87.04	11	7	73.88	110.26
BTC-USDT	1h	'>*qN'	2021-07-20	2021-11-12	60	50	50	21.2	-7.13	83.14	40	1.97	2.35	11.66	3	6	1149.28	-217.5	24	36	275.15	110.26
BTC-USDT	1h	'?*sr'	2021-07-20	2021-11-12	60	50	50	23.94	-9.13	96.46	40	1.68	2.29	10.56	3	6	1086.81	-290.4	24	36	287.01	110.26
