iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_len,parameters.ott_percent,parameters.ce_atr_len,parameters.ce_mult
60,<*3R,0.5962279611362881,52,55,63.23,30.0,10.0,-7.88,7,11,6,31
60,20/U,0.5599050365354127,58,41,63.84,42.0,7.0,-2.51,4,41,4,33
60,F(++,0.47590676547302846,51,106,27.17,28.0,28.0,-11.4,10,1,2,12
60,I)E],0.44826379895751917,53,45,35.94,33.0,6.0,1.98,11,6,15,37
60,I)q7,0.4277143887062279,50,61,21.81,50.0,10.0,2.45,11,6,37,18
60,-4Pg,0.4194738589797246,48,35,42.64,42.0,7.0,-2.44,3,62,21,42
60,)AVw,0.3969287771795146,44,25,43.53,100.0,2.0,2.75,1,127,24,50
60,BBi_,0.3644624756586322,64,14,44.13,50.0,2.0,0.45,9,132,33,38
60,*@q/,0.3642525224392918,64,25,16.65,50.0,2.0,-0.51,2,122,37,14
60,.<^N,0.363542386058542,53,30,28.18,33.0,6.0,-6.52,3,102,28,29
60,2-NS,0.3625719830741003,44,52,25.49,57.0,7.0,0.54,4,26,20,32
60,"Y,.q",0.35733944757785496,52,23,35.92,60.0,5.0,-3.81,16,21,4,47
60,D0+[,0.3534532794573634,51,29,30.3,50.0,6.0,-6.58,10,41,2,36
60,94g@,0.32478862002842235,52,40,16.23,50.0,6.0,-1.4,6,62,32,22
60,053],0.3221115529073148,48,35,23.7,50.0,4.0,-1.49,3,67,6,37
60,=GZ^,0.3169118784090016,54,11,36.44,50.0,2.0,1.64,7,158,26,37
60,j*uS,0.30611607882928105,58,29,20.91,50.0,6.0,-4.04,21,11,39,32
60,0?tj,0.2999542281518399,50,20,23.27,66.0,3.0,-0.04,3,117,39,43
60,X*Fb,0.27995151349241376,53,28,22.27,75.0,4.0,5.54,16,11,16,39
60,l*a^,0.26495008497435957,59,27,17.28,60.0,5.0,0.95,22,11,29,37
60,")J2,",0.2614837277415463,52,25,9.53,100.0,2.0,2.03,1,173,6,12
60,"7,>_",0.25917777504097456,46,45,14.94,40.0,5.0,3.03,6,21,12,38
60,W(MW,0.2575587850577087,30,53,13.0,20.0,10.0,-7.46,15,1,19,34
60,8TgR,0.2569126043361465,61,18,16.37,50.0,2.0,-0.11,6,223,32,31
60,C2]1,0.253164837411128,55,34,10.67,16.0,6.0,-2.82,9,52,27,15
60,5Kog,0.2442434694239089,38,13,27.78,100.0,2.0,0.77,5,178,36,42
60,e6dd,0.23526738286443863,53,15,22.13,50.0,2.0,0.39,20,72,31,40
60,l14v,0.2286376139205859,50,16,21.84,40.0,5.0,-2.87,22,46,7,49
60,/i1?,0.21682445334662337,54,24,11.94,,,,3,329,5,22
60,*u@n,0.2132652707111658,42,19,17.0,,,,2,390,13,45
60,<*3R,0.5962279611362881,52,55,63.23,30.0,10.0,-7.88,7,11,6,31
60,20/U,0.5599050365354127,58,41,63.84,42.0,7.0,-2.51,4,41,4,33
60,F(++,0.47590676547302846,51,106,27.17,28.0,28.0,-11.4,10,1,2,12
60,I)E],0.44826379895751917,53,45,35.94,33.0,6.0,1.98,11,6,15,37
60,I)q7,0.4277143887062279,50,61,21.81,50.0,10.0,2.45,11,6,37,18
60,-4Pg,0.4194738589797246,48,35,42.64,42.0,7.0,-2.44,3,62,21,42
60,)AVw,0.3969287771795146,44,25,43.53,100.0,2.0,2.75,1,127,24,50
60,BBi_,0.3644624756586322,64,14,44.13,50.0,2.0,0.45,9,132,33,38
60,*@q/,0.3642525224392918,64,25,16.65,50.0,2.0,-0.51,2,122,37,14
60,.<^N,0.363542386058542,53,30,28.18,33.0,6.0,-6.52,3,102,28,29
60,2-NS,0.3625719830741003,44,52,25.49,57.0,7.0,0.54,4,26,20,32
60,"Y,.q",0.35733944757785496,52,23,35.92,60.0,5.0,-3.81,16,21,4,47
60,D0+[,0.3534532794573634,51,29,30.3,50.0,6.0,-6.58,10,41,2,36
60,94g@,0.32478862002842235,52,40,16.23,50.0,6.0,-1.4,6,62,32,22
60,053],0.3221115529073148,48,35,23.7,50.0,4.0,-1.49,3,67,6,37
60,=GZ^,0.3169118784090016,54,11,36.44,50.0,2.0,1.64,7,158,26,37
60,j*uS,0.30611607882928105,58,29,20.91,50.0,6.0,-4.04,21,11,39,32
60,0?tj,0.2999542281518399,50,20,23.27,66.0,3.0,-0.04,3,117,39,43
60,X*Fb,0.27995151349241376,53,28,22.27,75.0,4.0,5.54,16,11,16,39
60,l*a^,0.26495008497435957,59,27,17.28,60.0,5.0,0.95,22,11,29,37
60,")J2,",0.2614837277415463,52,25,9.53,100.0,2.0,2.03,1,173,6,12
60,"7,>_",0.25917777504097456,46,45,14.94,40.0,5.0,3.03,6,21,12,38
60,W(MW,0.2575587850577087,30,53,13.0,20.0,10.0,-7.46,15,1,19,34
60,8TgR,0.2569126043361465,61,18,16.37,50.0,2.0,-0.11,6,223,32,31
60,C2]1,0.253164837411128,55,34,10.67,16.0,6.0,-2.82,9,52,27,15
60,5Kog,0.2442434694239089,38,13,27.78,100.0,2.0,0.77,5,178,36,42
60,e6dd,0.23526738286443863,53,15,22.13,50.0,2.0,0.39,20,72,31,40
60,l14v,0.2286376139205859,50,16,21.84,40.0,5.0,-2.87,22,46,7,49
60,/i1?,0.21682445334662337,54,24,11.94,,,,3,329,5,22
60,*u@n,0.2132652707111658,42,19,17.0,,,,2,390,13,45
