['Pair', 'TF', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['ETC-USD', '15m', '2021-04-21', '2021-05-11', '301', '20.53', '-9.62', 2466, '29', '4.6', '256.42', '9', '25', 2046, -36, '86', '215', '33.04']
['ETC-USD', '15m', '2021-04-15', '2021-05-05', '269', '12.54', '-9.58', 680, '30', '3.44', '70.94', '8', '25', 672, -35, '81', '188', '14.0']
['ETC-USD', '15m', '2021-05-12', '2021-06-01', '180', '70.08', '-8.18', 1020884, '47', '10.83', '124827.56', '12', '26', 404, -48, '85', '95', '-32.81']
['ETC-USD', '15m', '2021-04-27', '2021-05-17', '278', '23.81', '-9.44', 3997, '31', '5.18', '423.31', '15', '25', 1976, -37, '85', '193', '36.24']
['ETC-USD', '15m', '2021-04-19', '2021-05-09', '281', '13.14', '-9.62', 755, '27', '3.25', '78.45', '7', '25', 2037, -36, '75', '206', '37.02']
['ETC-USD', '15m', '2021-07-09', '2021-07-29', '286', '11.14', '-9.65', 527, '37', '3.05', '54.63', '16', '53', 205, -39, '106', '180', '2.2']
['ETC-USD', '15m', '2021-03-22', '2021-04-11', '286', '25.46', '-4.87', 5055, '36', '6.07', '1038.92', '13', '17', 486, -40, '102', '184', '44.02']
['ETC-USD', '15m', '2021-07-13', '2021-08-02', '298', '12.68', '-10.64', 697, '40', '3.7', '65.47', '16', '34', 246, -39, '118', '180', '10.24']
['ETC-USD', '15m', '2021-07-03', '2021-07-23', '263', '10.88', '-7.83', 502, '38', '3.79', '64.07', '12', '52', 207, -36, '100', '163', '-10.11']
['ETC-USD', '15m', '2021-02-13', '2021-03-05', '226', '13.04', '-8.22', 742, '30', '3.03', '90.25', '11', '19', 1447, -38, '67', '159', '-0.35']
['ETC-USD', '15m', '2021-04-14', '2021-05-04', '269', '19.56', '-9.55', 2132, '31', '4.79', '223.26', '8', '25', 1151, -39, '83', '186', '21.54']
['ETC-USD', '15m', '2021-03-20', '2021-04-09', '284', '27.99', '-3.33', 7194, '37', '6.73', '2160.65', '13', '16', 497, -41, '106', '178', '35.11']
['ETC-USD', '15m', '2021-02-18', '2021-03-10', '265', '-2.27', '-13.96', -33, '28', '-0.49', '-2.35', '11', '19', 301, -33, '73', '192', '13.08']
['ETC-USD', '15m', '2021-05-25', '2021-06-14', '292', '40.81', '-8.15', 38230, '40', '6.31', '4688.09', '18', '32', 304, -42, '117', '175', '-6.3']
['ETC-USD', '15m', '2021-06-02', '2021-06-22', '288', '76.03', '-5.25', 1856572, '43', '8.03', '353459.87', '18', '32', 427, -43, '123', '165', '-32.5']
['ETC-USD', '15m', '2021-07-26', '2021-08-15', '355', '3.94', '-11.75', 96, '33', '1.23', '8.14', '15', '34', 242, -33, '116', '239', '51.76']
['ETC-USD', '15m', '2021-08-28', '2021-09-17', '305', '-10.14', '-11.14', -84, '21', '-2.69', '-7.58', '9', '31', 241, -32, '65', '240', '15.52']
['ETC-USD', '15m', '2021-05-01', '2021-05-21', '224', '38.16', '-7.23', 27446, '33', '8.48', '3796.96', '12', '23', 2018, -41, '73', '151', '-4.44']
['ETC-USD', '15m', '2021-06-29', '2021-07-19', '282', '-3.83', '-13.42', -49, '37', '-1.28', '-3.67', '12', '52', 122, -31, '104', '178', '-10.55']
