['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USD', '15m', 'BTC-USD', '2021-05-01', '2021-09-25', '110', '45.96', '-18.35', 154, '37', '2.13', '8.4', '4', '7', 1444, -372, '41', '69', '-25.67']
['ETH-USD', '15m', 'ETH-USD', '2021-05-01', '2021-09-25', '91', '104.03', '-11.89', 480, '40', '3.45', '40.41', '4', '7', 1973, -467, '36', '55', '5.7']
['SOL-USD', '15m', 'SOL-USD', '2021-05-01', '2021-09-25', '70', '60.89', '-11.41', 223, '34', '2.02', '19.55', '3', '5', 2860, -438, '24', '46', '225.29']
['AVAX-USD', '15m', 'AVAX-USD', '2021-05-01', '2021-09-25', '87', '15.19', '-17.23', 42, '36', '0.88', '2.42', '2', '6', 1655, -337, '31', '56', '120.62']
['FTT-USD', '15m', 'FTT-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ATOM-USD', '15m', 'ATOM-USD', '2021-05-01', '2021-09-25', '84', '37.81', '-20.3', 121, '30', '1.49', '5.94', '4', '10', 1908, -401, '25', '59', '87.6']
['LUNA-USD', '15m', 'LUNA-USD', '2021-05-01', '2021-09-25', '98', '175.35', '-17.91', 1116, '33', '2.77', '62.31', '5', '11', 5177, -766, '32', '66', '140.82']
['ADA-USD', '15m', 'ADA-USD', '2021-05-01', '2021-09-25', '102', '39.35', '-21.28', 127, '34', '1.59', '5.95', '5', '13', 2304, -369, '35', '67', '68.67']
['DOT-USD', '15m', 'DOT-USD', '2021-05-01', '2021-09-25', '101', '164.15', '-25.63', 997, '36', '3.37', '38.92', '3', '10', 4557, -807, '36', '65', '-15.6']
['MATIC-USD', '15m', 'MATIC-USD', '2021-05-01', '2021-09-25', '106', '58.08', '-17.34', 209, '29', '2.03', '12.08', '2', '11', 2774, -444, '31', '75', '36.51']
['XRP-USD', '15m', 'XRP-USD', '2021-05-01', '2021-09-25', '101', '27.19', '-16.9', 81, '31', '1.27', '4.79', '3', '8', 2043, -382, '31', '70', '-40.92']
['LINK-USD', '15m', 'LINK-USD', '2021-05-01', '2021-09-25', '88', '74.74', '-18.17', 296, '38', '2.36', '16.29', '3', '9', 2210, -460, '33', '55', '-38.88']
['ALGO-USD', '15m', 'ALGO-USD', '2021-05-01', '2021-09-25', '96', '50.23', '-27.73', 173, '35', '1.84', '6.23', '3', '11', 1994, -382, '34', '62', '27.84']
['XTZ-USD', '15m', 'XTZ-USD', '2021-05-01', '2021-09-25', '100', '92.69', '-11.85', 404, '40', '2.53', '34.11', '3', '6', 3280, -510, '40', '60', '24.44']
['FTM-USD', '15m', 'FTM-USD', '2021-05-01', '2021-09-25', '56', '115.82', '-13.1', 567, '43', '3.16', '43.25', '3', '5', 3462, -615, '24', '32', '62.66']
['SRM-USD', '15m', 'SRM-USD', '2021-05-01', '2021-09-25', '74', '-18.4', '-33.13', -39, '27', '-0.71', '-1.19', '4', '9', 1744, -307, '20', '54', '-18.13']
['AXS-USD', '15m', 'AXS-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DOGE-USD', '15m', 'DOGE-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DYDX-USD', '15m', 'DYDX-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BNB-USD', '15m', 'BNB-USD', '2021-05-01', '2021-09-25', '107', '91.75', '-15.68', 398, '36', '2.44', '25.39', '8', '8', 3086, -497, '39', '68', '-42.95']
['SUSHI-USD', '15m', 'SUSHI-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['LTC-USD', '15m', 'LTC-USD', '2021-05-01', '2021-09-25', '117', '35.72', '-24.62', 112, '40', '1.67', '4.57', '7', '11', 2006, -395, '47', '70', '-43.98']
['EOS-USD', '15m', 'EOS-USD', '2021-05-01', '2021-09-25', '111', '-8.43', '-23.67', -20, '30', '-0.09', '-0.82', '3', '9', 1265, -296, '33', '78', '-37.61']
['NEAR-USD', '15m', 'NEAR-USD', '2021-05-01', '2021-09-25', '94', '-41.11', '-44.3', -73, '28', '-2.28', '-1.65', '2', '9', 955, -246, '26', '68', '43.24']
['SLP-USD', '15m', 'SLP-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BCH-USD', '15m', 'BCH-USD', '2021-05-01', '2021-09-25', '111', '16.07', '-16.36', 44, '37', '1.01', '2.72', '5', '10', 1180, -262, '41', '70', '-48.53']
['OMG-USD', '15m', 'OMG-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['UNI-USD', '15m', 'UNI-USD', '2021-05-01', '2021-09-25', '94', '5.37', '-19.58', 14, '33', '0.5', '0.7', '2', '8', 1104, -279, '31', '63', '-51.58']
['CRV-USD', '15m', 'CRV-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['RUNE-USD', '15m', 'RUNE-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['AAVE-USD', '15m', 'AAVE-USD', '2021-05-01', '2021-09-25', '99', '57.53', '-28.49', 207, '31', '1.83', '7.26', '4', '19', 3302, -481, '31', '68', '-36.82']
['FIL-USD', '15m', 'FIL-USD', '2021-05-01', '2021-09-25', '103', '129.08', '-15.19', 672, '36', '2.97', '44.26', '3', '7', 3393, -551, '37', '66', '-61.29']
['RAY-USD', '15m', 'RAY-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['EGLD-USD', '15m', 'EGLD-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['AR-USD', '15m', 'AR-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['VET-USD', '15m', 'VET-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['HBAR-USD', '15m', 'HBAR-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['XLM-USD', '15m', 'XLM-USD', '2021-05-01', '2021-09-25', '101', '59.52', '-16.56', 216, '37', '1.94', '13.06', '2', '7', 2864, -384, '37', '64', '-47.02']
['TRX-USD', '15m', 'TRX-USD', '2021-05-01', '2021-09-25', '129', '53.03', '-15.51', 186, '39', '1.93', '11.96', '4', '7', 2301, -366, '50', '79', '-30.27']
['THETA-USD', '15m', 'THETA-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DEFI-USD', '15m', 'DEFI-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['GRT-USD', '15m', 'GRT-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['1INCH-USD', '15m', '1INCH-USD', '2021-05-01', '2021-09-25', '78', '27.38', '-23.3', 82, '36', '1.35', '3.5', '2', '7', 2012, -407, '28', '50', '-54.89']
['FLOW-USD', '15m', 'FLOW-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['SAND-USD', '15m', 'SAND-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['COMP-USD', '15m', 'COMP-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['SNX-USD', '15m', 'SNX-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ALT-USD', '15m', 'ALT-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['CHZ-USD', '15m', 'CHZ-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ICP-USD', '15m', 'ICP-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['KSM-USD', '15m', 'KSM-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['STEP-USD', '15m', 'STEP-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ETC-USD', '15m', 'ETC-USD', '2021-05-01', '2021-09-25', '97', '336.06', '-23.57', 3678, '32', '3.45', '156.07', '2', '9', 17340, -1365, '31', '66', '31.11']
['SXP-USD', '15m', 'SXP-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ENJ-USD', '15m', 'ENJ-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['AGLD-USD', '15m', 'AGLD-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['AUDIO-USD', '15m', 'AUDIO-USD', '2021-05-01', '2021-09-25', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['NEO-USD', '15m', 'NEO-USD', '2021-05-01', '2021-09-25', '98', '104.6', '-20.1', 484, '36', '2.75', '24.11', '5', '9', 3652, -507, '35', '63', '-59.13']
