'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ETH-USDT','15m','M*Ov0Dmt4','2021-05-16','2021-05-22','2','3.6','0.0',532,'100','10.4','nan','2','0',350,0,'2','0','-33.65'
'ETH-USDT','15m','L@XDd,WW4','2021-05-16','2021-05-22','4','21.27','-2.03',2326634,'75','11.85','1143681.13','2','1',1128,-27,'3','1','-33.65'
'ETH-USDT','15m','bcCna)MgD','2021-05-16','2021-05-22','4','21.26','-2.85',2318108,'75','11.06','812958.8','2','1',1040,-54,'3','1','-33.65'
'ETH-USDT','15m','RL-a^5inH','2021-05-16','2021-05-22','3','20.63','-3.43',1765779,'100','10.42','514520.28','3','0',962,0,'3','0','-33.65'
'ETH-USDT','15m',';B-G7cBD','2021-05-16','2021-05-22','5','19.37','-3.49',1020732,'60','9.8','292404.59','2','1',932,-139,'3','2','-33.65'
'ETH-USDT','15m','tLNH-f3GH','2021-05-16','2021-05-22','5','18.55','-3.68',714961,'60','9.21','194447.57','2','2',931,-96,'3','2','-33.65'
'ETH-USDT','15m','>ff:R)^qv','2021-05-16','2021-05-22','1','17.79','-3.17',509102,'100','11.13','160708.55','1','0',1779,0,'1','0','-33.65'
'ETH-USDT','15m','CTf:1Zgbf','2021-05-16','2021-05-22','3','18.57','-4.91',720358,'100','9.18','146844.22','3','0',822,0,'3','0','-33.65'
'ETH-USDT','15m','=9DfF2I@a','2021-05-16','2021-05-22','3','18.56','-4.93',717323,'100','9.17','145525.27','3','0',819,0,'3','0','-33.65'
'ETH-USDT','15m','hmd=I_?Tw','2021-05-16','2021-05-22','1','17.52','-3.22',451761,'100','10.77','140133.0','1','0',1752,0,'1','0','-33.65'
'ETH-USDT','15m','wHBjFMR@','2021-05-16','2021-05-22','3','18.54','-5.09',711328,'100','9.15','139762.87','3','0',800,0,'3','0','-33.65'
'ETH-USDT','15m','aUf=S?7PP','2021-05-16','2021-05-22','3','18.08','-4.62',579181,'100','8.86','125498.11','3','0',798,0,'3','0','-33.65'
'ETH-USDT','15m','G6GY58f2^','2021-05-16','2021-05-22','3','18.12','-5.1',589449,'100','8.98','115684.6','3','0',800,0,'3','0','-33.65'
'ETH-USDT','15m','fd`7BpA4X','2021-05-16','2021-05-22','3','17.96','-5.13',549605,'100','8.81','107049.05','3','0',763,0,'3','0','-33.65'
'ETH-USDT','15m','._;27jX.i','2021-05-16','2021-05-22','3','18.12','-5.54',590312,'100','8.79','106604.3','3','0',754,0,'3','0','-33.65'
'ETH-USDT','15m','E45Q05\\Y','2021-05-16','2021-05-22','3','17.71','-5.02',492925,'100','8.56','98229.85','3','0',760,0,'3','0','-33.65'
'ETH-USDT','15m','WXKD?.iIZ','2021-05-16','2021-05-22','3','17.76','-5.14',503649,'100','8.71','98037.53','3','0',763,0,'3','0','-33.65'
'ETH-USDT','15m','IlL6+tiB_','2021-05-16','2021-05-22','3','17.69','-4.98',486982,'100','8.66','97795.77','3','0',773,0,'3','0','-33.65'
'ETH-USDT','15m','HcDD?mXQ','2021-05-16','2021-05-22','3','17.69','-4.98',486982,'100','8.66','97795.77','3','0',773,0,'3','0','-33.65'
