'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'IOTA-USD','15m','IOTA-USD','2021-09-01','2021-09-25','12','71.43','-14.46',261562,'42','5.25','18085.34','3','5',5374,-468,'5','7','27.46'
'HUM-USD','15m','HUM-USD','2021-09-01','2021-09-25','13','56.08','-7.81',66395,'31','6.47','8505.74','1','3',2800,-403,'4','9','-6.98'
'OXY-USD','15m','OXY-USD','2021-09-01','2021-09-25','15','42.14','-3.61',16872,'47','8.96','4673.84','3','3',1256,-250,'7','8','0.89'
'BAL-USD','15m','BAL-USD','2021-09-01','2021-09-25','11','41.34','-3.45',15524,'55','6.29','4503.53','2','2',1972,-276,'6','5','-26.85'
'HBAR-USD','15m','HBAR-USD','2021-09-01','2021-09-25','7','35.52','-2.97',8354,'57','6.52','2815.57','2','2',2449,-285,'4','3','39.47'
'HOLY-USD','15m','HOLY-USD','2021-09-01','2021-09-25','9','42.37','-8.54',17281,'44','7.37','2023.81','2','3',2118,-373,'4','5','11.08'
'BAO-USD','15m','BAO-USD','2021-09-01','2021-09-25','9','41.28','-8.92',15428,'22','4.26','1729.67','1','3',4100,-384,'2','7','-57.69'
'TOMO-USD','15m','TOMO-USD','2021-09-01','2021-09-25','12','40.04','-11.04',13552,'42','4.36','1227.81','2','5',3289,-358,'5','7','-26.83'
'STMX-USD','15m','STMX-USD','2021-09-01','2021-09-25','22','44.28','-18.09',21014,'23','3.42','1161.4','2','13',2906,-370,'5','17','-19.38'
'FIDA-USD','15m','FIDA-USD','2021-09-01','2021-09-25','11','34.57','-9.09',7530,'36','5.35','828.41','2','4',2282,-354,'4','7','18.98'
'MEDIA-USD','15m','MEDIA-USD','2021-09-01','2021-09-25','11','30.78','-6.25',4931,'36','5.45','788.9','1','2',3492,-335,'4','7','-1.8'
'EGLD-USD','15m','EGLD-USD','2021-09-01','2021-09-25','10','27.09','-4.31',3212,'40','4.78','744.4','2','3',2052,-266,'4','6','39.64'
'STEP-USD','15m','STEP-USD','2021-09-01','2021-09-25','4','29.2','-5.76',4113,'50','4.97','714.53','1','1',1996,-282,'2','2','24.73'
'UNISWAP-USD','15m','UNISWAP-USD','2021-09-01','2021-09-25','9','26.53','-5.18',3003,'78','5.99','579.75','3','1',1174,-254,'7','2','21.76'
'STORJ-USD','15m','STORJ-USD','2021-09-01','2021-09-25','13','31.05','-9.0',5083,'46','5.04','564.68','3','3',1871,-349,'6','7','-25.59'
'THETA-USD','15m','THETA-USD','2021-09-01','2021-09-25','7','21.81','-3.86',1683,'43','4.8','436.11','2','2',1920,-315,'3','4','-21.97'
'ALGO-USD','15m','ALGO-USD','2021-09-01','2021-09-25','7','22.01','-4.53',1726,'57','4.63','380.91','3','2',1619,-154,'4','3','60.73'
'ZEC-USD','15m','ZEC-USD','2021-09-01','2021-09-25','16','24.68','-6.99',2403,'44','5.49','343.48','2','3',1311,-280,'7','9','-23.0'
'TRX-USD','15m','TRX-USD','2021-09-01','2021-09-25','20','25.77','-8.66',2742,'50','4.61','316.72','3','3',1411,-301,'10','10','4.19'
'ORBS-USD','15m','ORBS-USD','2021-09-01','2021-09-25','10','18.63','-3.87',1112,'30','4.25','287.1','2','5',1843,-310,'3','7','-8.26'
'ROOK-USD','15m','ROOK-USD','2021-09-01','2021-09-25','8','21.03','-6.08',1522,'62','5.15','250.56','3','2',1118,-321,'5','3','-27.24'
'ETH-USD','15m','ETH-USD','2021-09-01','2021-09-25','14','20.69','-6.55',1457,'43','4.37','222.47','2','3',1167,-274,'6','8','-14.36'
'SECO-USD','15m','SECO-USD','2021-09-01','2021-09-25','8','23.82','-11.09',2162,'25','4.71','195.01','2','6',1973,-345,'2','6','16.26'
