Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
ETH-USDT	15m	'(]DQ8d)(q'	2019-12-20	2021-11-12	468	100	0	333.66	-12.83	116.32	29	14.15	2.56	9.07	4	18	4765.59	-234.45	138	330	4045.41	3575.51
ETH-USDT	15m	')eYta=8Sj'	2019-12-20	2021-11-12	286	100	0	339.75	-11.67	117.91	26	12.96	2.56	10.1	4	12	6770.15	-269.86	73	213	2723.55	3575.51
ETH-USDT	15m	'q/@,0Z1w`'	2019-12-20	2021-11-12	278	100	0	412.61	-20.81	136.21	38	10.56	2.55	6.55	7	9	5732.89	-1921.85	105	173	2597.27	3575.51
ETH-USDT	15m	'(iDLRUK`r'	2019-12-20	2021-11-12	152	100	0	233.08	-10.2	88.29	28	8.75	2.4	8.66	3	11	4460.21	-188.51	42	110	1093.02	3575.51
ETH-USDT	15m	'>+okl(8qr'	2019-12-20	2021-11-12	217	100	0	251.56	-14.07	93.71	33	8.75	2.26	6.66	5	13	4916.96	-533.9	71	146	1791.86	3575.51
ETH-USDT	15m	'*aoFg<s[w'	2019-12-20	2021-11-12	204	100	0	263.84	-19.96	97.24	25	4.15	2.24	4.87	3	13	7561.47	-236.4	51	153	1607.2	3575.51
ETH-USDT	15m	'6<nC_E8_j'	2019-12-20	2021-11-12	206	100	0	244.24	-13.02	91.58	33	8.47	2.17	7.03	3	8	3976.9	-399.3	67	139	1594.79	3575.51
ETH-USDT	15m	'7vPCW[5Ks'	2019-12-20	2021-11-12	128	100	0	194.25	-13.72	76.41	42	5.07	2.15	5.57	6	8	3704.41	-377.6	54	74	839.43	3575.51
ETH-USDT	15m	'pONvgE9*E'	2019-12-20	2021-11-12	244	100	0	174.21	-15.33	69.98	34	4.68	2.11	4.56	3	14	2028.52	-446.87	82	162	1612.31	3575.51
ETH-USDT	15m	'Tg9hGg9nr'	2019-12-20	2021-11-12	160	100	0	239.65	-16.39	90.23	39	5.18	2.11	5.51	5	8	5530.26	-872.84	62	98	1229.24	3575.51
ETH-USDT	15m	'hmd=I_?Tw'	2019-12-20	2021-11-12	147	100	0	224.99	-20.9	85.87	35	4.92	2.11	4.11	3	11	4425.61	-673.92	51	96	1063.5	3575.51
ETH-USDT	15m	'bg6vgBtDY'	2019-12-20	2021-11-12	175	100	0	179.17	-11.29	71.59	36	5.57	2.09	6.34	4	9	4403.93	-563.16	63	112	1247.02	3575.51
ETH-USDT	15m	'85bY@Y?wq'	2019-12-20	2021-11-12	178	100	0	229.47	-14.64	87.21	30	5.8	2.09	5.96	3	10	5532.4	-451.85	53	125	1432.42	3575.51
ETH-USDT	15m	'XJ?irD2?l'	2019-12-20	2021-11-12	170	100	0	206.86	-15.82	80.34	39	4.62	2.08	5.08	7	8	4073.96	-823.39	66	104	1191.49	3575.51
ETH-USDT	15m	'rfkfE2[Zc'	2019-12-20	2021-11-12	216	100	0	217.4	-13.28	83.57	30	6.29	2.07	6.29	4	14	4412.0	-1306.64	64	152	1715.1	3575.51
ETH-USDT	15m	'w@?-.N2Gc'	2019-12-20	2021-11-12	339	100	0	271.66	-18.07	99.46	32	6.19	2.07	5.5	5	11	5220.45	-1461.32	108	231	2835.48	3575.51
ETH-USDT	15m	'<]WSK/,ru'	2019-12-20	2021-11-12	365	100	0	332.77	-29.53	116.09	35	4.46	2.06	3.93	5	11	6731.04	-624.83	127	238	3149.25	3575.51
ETH-USDT	15m	'*UOIlBt=o'	2019-12-20	2021-11-12	160	100	0	161.98	-12.16	65.95	26	6.66	2.03	5.42	3	15	4004.02	-187.97	42	118	1099.82	3575.51
