'Pair','TF','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ADA-USDT','15m','2021-08-05','2021-08-19','216','177.67','-11.82',6201448134138,'49','12.88','524677052476.39','8','9',72,-6,'106','110','36.18'
'ADA-USDT','15m','2021-08-06','2021-08-20','205','157.15','-11.57',957563436682,'48','12.04','82796610590.81','8','9',71,-5,'99','106','41.72'
'ADA-USDT','15m','2021-06-11','2021-06-25','220','137.4','-16.18',136947433982,'44','5.8','8464374411.29','16','29',23,-8,'97','123','-20.02'
'ADA-USDT','15m','2021-07-25','2021-08-08','247','126.32','-6.79',42794523430,'43','15.28','6306032625.63','15','18',34,-9,'107','140','37.72'
'ADA-USDT','15m','2021-06-21','2021-07-05','224','133.18','-20.27',88514840855,'42','5.57','4365921182.8','16','29',24,-9,'94','130','-6.77'
'ADA-USDT','15m','2021-07-19','2021-08-02','218','110.46','-7.51',7312085926,'47','14.86','974054980.52','18','11',25,-5,'103','115','27.82'
'ADA-USDT','15m','2021-06-18','2021-07-02','225','109.79','-20.16',6764064811,'39','5.23','335459664.03','16','29',24,-10,'88','137','-18.82'
'ADA-USDT','15m','2021-07-16','2021-07-30','227','97.48','-7.97',1552250104,'46','11.38','194760208.75','18','11',33,-3,'105','122','16.35'
'ADA-USDT','15m','2021-07-22','2021-08-05','249','95.61','-6.73',1232249242,'44','13.41','182991106.03','18','18',31,-4,'110','139','35.38'
'ADA-USDT','15m','2021-08-13','2021-08-27','230','94.9','-11.78',1127365771,'38','10.44','95724164.65','17','16',92,-5,'87','143','17.89'
'ADA-USDT','15m','2021-07-14','2021-07-28','215','87.2','-8.18',422611066,'51','10.53','51676924.91','18','11',21,-3,'109','106','6.86'
'ADA-USDT','15m','2021-06-19','2021-07-03','235','94.31','-20.41',1047891126,'38','4.85','51337728.6','16','29',23,-10,'90','145','-12.25'
'ADA-USDT','15m','2021-07-15','2021-07-29','226','85.39','-8.2',333937306,'46','10.34','40733618.05','18','11',32,-3,'103','123','9.29'
'ADA-USDT','15m','2021-06-07','2021-06-21','212','66.98','-13.0',26193737,'42','7.0','2014799.7','11','19',15,-4,'88','124','-17.64'
'ADA-USDT','15m','2021-04-07','2021-04-21','217','52.12','-11.28',2712613,'30','8.72','240565.62','5','26',54,-6,'65','152','11.7'
