'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ETH-USD','15m','aqGsFW@c','2021-09-01','2021-09-25','8','6.71','-3.28',158,'62','3.22','48.22','3','2',655,-134,'5','3','-14.36'
'ETH-USD','15m','XqGsFW@c','2021-09-01','2021-09-25','8','6.71','-3.28',158,'62','3.22','48.22','3','2',655,-134,'5','3','-14.36'
'ETH-USD','15m','GqGsFW@c','2021-09-01','2021-09-25','8','6.71','-3.28',158,'62','3.22','48.22','3','2',655,-134,'5','3','-14.36'
'ETH-USD','15m','<DGsFV9@c','2021-09-01','2021-09-25','8','6.64','-3.35',156,'50','3.22','46.48','3','4',655,-145,'4','4','-14.36'
'ETH-USD','15m','pqGs>oW@r','2021-09-01','2021-09-25','5','6.87','-3.88',164,'60','3.17','42.18','2','1',633,-100,'3','2','-14.36'
'ETH-USD','15m','YDYB;3l2v','2021-09-01','2021-09-25','7','8.07','-5.03',211,'57','3.39','41.85','2','1',572,-65,'4','3','-14.36'
'ETH-USD','15m','YDYB;3r2v','2021-09-01','2021-09-25','7','8.07','-5.03',211,'57','3.39','41.85','2','1',572,-65,'4','3','-14.36'
'ETH-USD','15m','fqGsFVE@c','2021-09-01','2021-09-25','8','5.98','-3.28',134,'50','2.87','40.74','2','3',651,-134,'4','4','-14.36'
'ETH-USD','15m','cqGsFVJ@c','2021-09-01','2021-09-25','8','5.98','-3.28',134,'50','2.87','40.74','2','3',651,-134,'4','4','-14.36'
'ETH-USD','15m','YDTB;3i2v','2021-09-01','2021-09-25','8','7.78','-5.0',198,'62','3.21','39.69','3','1',572,-65,'5','3','-14.36'
'ETH-USD','15m','YDTB;3g2v','2021-09-01','2021-09-25','8','7.78','-5.0',198,'62','3.21','39.69','3','1',572,-65,'5','3','-14.36'
