'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'ADA-USD','15m','ADA-USD','2021-06-01','2021-09-25','43','51.92','-3.22',269,'67','4.95','83.44','12','4',1285,-219,'29','14','31.89'
'AAVE-USD','15m','AAVE-USD','2021-06-01','2021-09-25','56','83.72','-9.14',567,'46','5.02','62.01','3','7',1318,-245,'26','30','-26.18'
'FIL-USD','15m','FIL-USD','2021-06-01','2021-09-25','42','63.78','-6.05',366,'52','3.74','60.54','5','3',2562,-206,'22','20','-12.32'
'DOT-USD','15m','DOT-USD','2021-06-01','2021-09-25','52','55.9','-6.98',300,'46','3.49','42.95','4','5',1228,-241,'24','28','32.94'
'IOTA-USD','15m','IOTA-USD','2021-06-01','2021-09-25','53','49.84','-6.72',253,'36','2.93','37.64','3','6',3339,-241,'19','34','14.46'
'LINK-USD','15m','LINK-USD','2021-06-01','2021-09-25','45','42.8','-7.25',204,'53','4.06','28.11','3','7',870,-192,'24','21','-26.84'
'BCH-USD','15m','BCH-USD','2021-06-01','2021-09-25','60','30.65','-5.4',130,'43','3.3','24.13','5','7',907,-193,'26','34','-26.6'
'1INCH-USD','15m','1INCH-USD','2021-06-01','2021-09-25','48','36.21','-6.8',162,'42','2.86','23.85','3','6',1452,-208,'20','28','-20.22'
'UNI-USD','15m','UNI-USD','2021-06-01','2021-09-25','49','37.75','-8.83',172,'43','3.51','19.43','4','5',908,-215,'21','28','-30.11'
'TRX-USD','15m','TRX-USD','2021-06-01','2021-09-25','57','33.98','-8.49',149,'40','2.95','17.56','4','7',1012,-170,'23','34','20.83'
'ETH-USD','15m','ETH-USD','2021-06-01','2021-09-25','42','18.55','-4.58',70,'45','2.46','15.29','3','6',657,-182,'19','23','8.78'
'NEO-USD','15m','NEO-USD','2021-06-01','2021-09-25','49','27.81','-8.98',115,'37','2.35','12.81','4','6',1302,-195,'18','31','-28.29'
'BTC-USD','15m','BTC-USD','2021-06-01','2021-09-25','40','14.44','-4.11',52,'50','2.31','12.74','4','3',508,-174,'20','20','15.3'
'XRP-USD','15m','XRP-USD','2021-06-01','2021-09-25','43','16.84','-6.81',62,'40','2.09','9.18','3','5',1082,-187,'17','26','-8.62'
'LTC-USD','15m','LTC-USD','2021-06-01','2021-09-25','57','25.44','-12.31',103,'49','2.88','8.35','5','9',1034,-204,'28','29','-18.79'
'AVAX-USD','15m','AVAX-USD','2021-06-01','2021-09-25','44','15.98','-7.96',59,'41','1.54','7.39','3','4',932,-166,'18','26','300.83'
'BTT-USD','15m','BTT-USD','2021-06-01','2021-09-25','49','18.67','-12.46',71,'39','1.77','5.66','7','7',1153,-203,'19','30','-13.85'
'EOS-USD','15m','EOS-USD','2021-06-01','2021-09-25','51','14.63','-10.02',53,'43','1.67','5.3','6','5',1078,-190,'22','29','-38.81'
'ETC-USD','15m','ETC-USD','2021-06-01','2021-09-25','50','15.22','-13.89',56,'32','1.54','4.0','4','9',1131,-198,'16','34','-31.57'
'SOL-USD','15m','SOL-USD','2021-06-01','2021-09-25','44','11.46','-11.51',40,'41','1.23','3.5','4','7',887,-185,'18','26','327.25'
'FTM-USD','15m','FTM-USD','2021-06-01','2021-09-25','43','8.58','-8.48',29,'40','1.0','3.45','4','6',1152,-177,'17','26','277.26'
'MATIC-USD','15m','MATIC-USD','2021-06-01','2021-09-25','41','8.84','-11.1',30,'39','1.14','2.72','3','6',923,-178,'16','25','-39.38'
'ATOM-USD','15m','ATOM-USD','2021-06-01','2021-09-25','53','9.17','-16.38',32,'38','0.87','1.92','3','5',956,-180,'20','33','205.99'
'XLM-USD','15m','XLM-USD','2021-06-01','2021-09-25','61','5.51','-12.32',18,'48','0.75','1.48','4','4',555,-160,'29','32','-29.82'
