iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_ma_len,parameters.ott_percent,parameters.stop_loss,parameters.risk_reward,parameters.chop_bandwidth
100,p.Y@8,0.5270471156560939,48,83,66.66,50,8,0.66,96,1880,2241,504,1605
100,oSbtG,0.5114726454768119,46,49,71.23,20,5,1.17,95,4222,2468,1162,1985
100,fV3B1,0.49063700723157805,37,74,40.19,11,9,-5.52,83,4411,1278,529,1428
100,iX7nA,0.39616233841924997,36,60,47.71,11,9,-0.18,87,4538,1380,1086,1833
100,hJ[cG,0.3558380529793421,39,56,45.95,0,5,-5.12,86,3652,2291,947,1985
100,j/euK,0.3457723619625287,38,63,47.17,37,8,-6.04,89,1943,2544,1175,2086
100,o?ocH,0.284480403874077,43,57,52.04,33,6,2.77,95,2956,2797,947,2010
100,abF-r,0.2722229832088919,64,25,24.08,25,4,-0.39,77,5171,1759,263,3073
100,t(MQB,0.267663820811382,37,82,44.25,60,10,18.14,101,1500,1937,719,1858
100,e?jV-,0.25785053269860203,36,76,53.0,0,7,-7.4,82,2956,2671,782,1327
100,q081Q,0.2456400423986865,55,67,31.15,70,10,8.57,97,2006,1405,314,2238
100,k7DkB,0.2379382460797897,34,69,38.14,50,6,4.96,90,2449,1709,1048,1858
100,tE`b4,0.23262427946688533,34,63,37.83,14,7,4.68,101,3335,2418,934,1504
100,gZHcc,0.23147363050193695,39,33,43.79,0,4,-4.85,85,4665,1810,947,2694
100,p.mII,0.2246160679406798,49,67,41.73,57,7,5.2,96,1880,2747,618,2035
100,`Y()e,0.21078497484812847,65,44,10.08,33,6,-2.91,76,4601,1000,213,2744
100,IguPq,0.20985619390441348,44,34,24.36,0,4,-4.64,47,5487,2949,706,3048
100,-UBoP,0.20378359548303895,24,147,35.18,35,20,16.43,11,4348,1658,1099,2213
100,p=9i8,0.20360858922874006,38,76,40.44,22,9,1.97,96,2829,1430,1023,1605
100,)49Fw,0.18531196901931363,30,79,19.45,27,11,0.34,6,2259,1430,580,3200
100,m0SN4,0.18408571013505795,37,81,36.3,30,10,-0.56,92,2006,2089,681,1504
100,oJ^AW,0.18139556267386073,32,46,23.45,0,4,-6.57,95,3652,2367,516,2390
100,3_^Ts,0.18055653958356085,41,53,33.08,0,7,-6.14,19,4981,2367,757,3099
100,-qBf?,0.17542622902554295,23,134,36.1,7,13,-5.94,11,6120,1658,985,1782
100,1i[it,0.17173753690744165,36,58,43.23,0,8,-6.65,16,5614,2291,1023,3124
100,g[XL`,0.167710525890905,36,41,27.87,16,6,-0.06,85,4728,2215,656,2618
100,"ml,2o",0.1658966600225579,66,21,12.64,33,3,-1.1,92,5804,1101,327,2997
100,_;T^],0.16087638809961277,37,51,36.44,60,5,12.44,75,2703,2114,884,2542
100,fRMeH,0.16054067623463475,32,55,29.29,40,5,3.19,83,4158,1937,972,2010
100,EI0p],0.15240538444325583,37,75,23.09,37,8,0.15,42,3589,1203,1111,2542
100,p.Y@8,0.5270471156560939,48,83,66.66,50,8,0.66,96,1880,2241,504,1605
100,oSbtG,0.5114726454768119,46,49,71.23,20,5,1.17,95,4222,2468,1162,1985
100,fV3B1,0.49063700723157805,37,74,40.19,11,9,-5.52,83,4411,1278,529,1428
100,iX7nA,0.39616233841924997,36,60,47.71,11,9,-0.18,87,4538,1380,1086,1833
100,hJ[cG,0.3558380529793421,39,56,45.95,0,5,-5.12,86,3652,2291,947,1985
100,j/euK,0.3457723619625287,38,63,47.17,37,8,-6.04,89,1943,2544,1175,2086
100,o?ocH,0.284480403874077,43,57,52.04,33,6,2.77,95,2956,2797,947,2010
100,abF-r,0.2722229832088919,64,25,24.08,25,4,-0.39,77,5171,1759,263,3073
100,t(MQB,0.267663820811382,37,82,44.25,60,10,18.14,101,1500,1937,719,1858
100,e?jV-,0.25785053269860203,36,76,53.0,0,7,-7.4,82,2956,2671,782,1327
100,q081Q,0.2456400423986865,55,67,31.15,70,10,8.57,97,2006,1405,314,2238
100,k7DkB,0.2379382460797897,34,69,38.14,50,6,4.96,90,2449,1709,1048,1858
100,tE`b4,0.23262427946688533,34,63,37.83,14,7,4.68,101,3335,2418,934,1504
100,gZHcc,0.23147363050193695,39,33,43.79,0,4,-4.85,85,4665,1810,947,2694
100,p.mII,0.2246160679406798,49,67,41.73,57,7,5.2,96,1880,2747,618,2035
100,`Y()e,0.21078497484812847,65,44,10.08,33,6,-2.91,76,4601,1000,213,2744
100,IguPq,0.20985619390441348,44,34,24.36,0,4,-4.64,47,5487,2949,706,3048
100,-UBoP,0.20378359548303895,24,147,35.18,35,20,16.43,11,4348,1658,1099,2213
100,p=9i8,0.20360858922874006,38,76,40.44,22,9,1.97,96,2829,1430,1023,1605
100,)49Fw,0.18531196901931363,30,79,19.45,27,11,0.34,6,2259,1430,580,3200
100,m0SN4,0.18408571013505795,37,81,36.3,30,10,-0.56,92,2006,2089,681,1504
100,oJ^AW,0.18139556267386073,32,46,23.45,0,4,-6.57,95,3652,2367,516,2390
100,3_^Ts,0.18055653958356085,41,53,33.08,0,7,-6.14,19,4981,2367,757,3099
