iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_ma_len,parameters.ott_percent,parameters.stop_loss,parameters.risk_reward,parameters.chop_bandwidth
100,eiZ5;,0.44186105914354706,52,40,64.24,0,6,-10.57,858,5114,2449,532,1681
100,v6Ad@,0.36715523528794525,44,65,58.71,33,6,5.36,1087,1886,1975,1008,1808
100,"LVSE,",0.2993435959118728,37,81,48.03,42,7,1.74,523,3911,2316,694,1301
100,luRp1,0.2823774752455701,58,31,48.93,33,6,17.57,952,5873,2297,1129,1428
100,qYbKL,0.2812150203525941,51,29,62.54,16,6,-0.92,1019,4101,2601,754,2111
100,Ytl6>,0.1874593287994665,47,36,40.66,16,6,-1.78,697,5810,2791,542,1757
100,m6cVE,0.18714947657233824,50,59,38.19,66,6,12.75,966,1886,2620,866,1934
100,q6*hD,0.18591598032035367,40,69,55.72,55,9,9.04,1019,1886,1538,1048,1909
100,6*+uF,0.18472625670166745,33,218,27.91,26,34,-12.75,228,1127,1557,1180,1959
100,Vt4a:,0.17720211542711098,40,42,35.82,0,3,-6.02,657,5810,1728,977,1656
100,dY*g>,0.17274740494226226,41,39,45.92,14,7,-0.87,845,4101,1538,1038,1757
100,FO_9G,0.17221377647625044,38,73,34.5,55,9,10.0,443,3468,2544,572,1985
100,K>8k;,0.16323279602128574,33,116,45.0,35,17,-2.09,510,2392,1804,1078,1681
100,u-rRT,0.15723370067039752,42,59,33.96,16,6,-3.04,1073,1316,2905,825,2314
100,k+gn5,0.15695881187365665,43,92,30.15,33,15,5.36,939,1190,2696,1109,1529
100,nqI[(,0.15338023385415145,41,34,30.91,28,7,8.89,979,5620,2127,916,1200
100,UcA\7,0.14695956842371458,48,45,23.19,12,8,-8.67,644,4734,1975,927,1580
100,+k1`N,0.14659383901758105,26,126,24.47,15,19,-4.24,80,5241,1671,967,2162
100,nKKb<,0.14132051776528737,37,48,33.14,0,6,-6.23,979,3215,2165,987,1706
100,p\H)7,0.1412416632433557,44,43,29.26,33,6,2.75,1006,4291,2108,410,1580
100,h[DfK,0.1406699487285306,34,35,34.38,25,4,3.5,899,4228,2032,1028,2086
100,tf`p9,0.1388876293429577,53,30,36.27,33,3,2.51,1060,4924,2563,1129,1630
100,VE4`:,0.13592178899265248,33,86,25.52,37,8,0.4,657,2835,1728,967,1656
100,ho1L5,0.13426010852816528,47,40,40.29,0,8,-11.36,899,5494,1671,765,1529
100,",*QUp",0.13243099001895883,31,102,16.84,43,16,9.09,94,1127,2278,856,3023
100,=c;iB,0.1317722720945852,32,76,20.96,14,7,0.97,322,4734,1861,1058,1858
100,P^sU<,0.1317034435612719,43,51,27.5,33,6,14.76,577,4418,2924,856,1706
100,FV-n6,0.12592816723928255,30,84,25.54,28,7,3.28,443,3911,1595,1109,1554
100,s5Pw@,0.12335236364061776,35,60,27.95,55,9,21.34,1046,1823,2259,1200,1808
100,.t3sU,0.12253027848262657,30,91,28.99,0,9,-6.29,121,5810,1709,1159,2339
100,eiZ5;,0.44186105914354706,52,40,64.24,0,6,-10.57,858,5114,2449,532,1681
100,v6Ad@,0.36715523528794525,44,65,58.71,33,6,5.36,1087,1886,1975,1008,1808
100,"LVSE,",0.2993435959118728,37,81,48.03,42,7,1.74,523,3911,2316,694,1301
100,luRp1,0.2823774752455701,58,31,48.93,33,6,17.57,952,5873,2297,1129,1428
100,qYbKL,0.2812150203525941,51,29,62.54,16,6,-0.92,1019,4101,2601,754,2111
100,Ytl6>,0.1874593287994665,47,36,40.66,16,6,-1.78,697,5810,2791,542,1757
100,m6cVE,0.18714947657233824,50,59,38.19,66,6,12.75,966,1886,2620,866,1934
100,q6*hD,0.18591598032035367,40,69,55.72,55,9,9.04,1019,1886,1538,1048,1909
100,6*+uF,0.18472625670166745,33,218,27.91,26,34,-12.75,228,1127,1557,1180,1959
100,Vt4a:,0.17720211542711098,40,42,35.82,0,3,-6.02,657,5810,1728,977,1656
100,dY*g>,0.17274740494226226,41,39,45.92,14,7,-0.87,845,4101,1538,1038,1757
100,FO_9G,0.17221377647625044,38,73,34.5,55,9,10.0,443,3468,2544,572,1985
100,K>8k;,0.16323279602128574,33,116,45.0,35,17,-2.09,510,2392,1804,1078,1681
100,u-rRT,0.15723370067039752,42,59,33.96,16,6,-3.04,1073,1316,2905,825,2314
100,k+gn5,0.15695881187365665,43,92,30.15,33,15,5.36,939,1190,2696,1109,1529
100,nqI[(,0.15338023385415145,41,34,30.91,28,7,8.89,979,5620,2127,916,1200
100,UcA\7,0.14695956842371458,48,45,23.19,12,8,-8.67,644,4734,1975,927,1580
100,+k1`N,0.14659383901758105,26,126,24.47,15,19,-4.24,80,5241,1671,967,2162
100,nKKb<,0.14132051776528737,37,48,33.14,0,6,-6.23,979,3215,2165,987,1706
100,p\H)7,0.1412416632433557,44,43,29.26,33,6,2.75,1006,4291,2108,410,1580
100,h[DfK,0.1406699487285306,34,35,34.38,25,4,3.5,899,4228,2032,1028,2086
100,tf`p9,0.1388876293429577,53,30,36.27,33,3,2.51,1060,4924,2563,1129,1630
100,VE4`:,0.13592178899265248,33,86,25.52,37,8,0.4,657,2835,1728,967,1656
100,ho1L5,0.13426010852816528,47,40,40.29,0,8,-11.36,899,5494,1671,765,1529
100,",*QUp",0.13243099001895883,31,102,16.84,43,16,9.09,94,1127,2278,856,3023
100,=c;iB,0.1317722720945852,32,76,20.96,14,7,0.97,322,4734,1861,1058,1858
100,P^sU<,0.1317034435612719,43,51,27.5,33,6,14.76,577,4418,2924,856,1706
100,FV-n6,0.12592816723928255,30,84,25.54,28,7,3.28,443,3911,1595,1109,1554
100,s5Pw@,0.12335236364061776,35,60,27.95,55,9,21.34,1046,1823,2259,1200,1808
100,.t3sU,0.12253027848262657,30,91,28.99,0,9,-6.29,121,5810,1709,1159,2339
200,eiZ5;,0.44186105914354706,52,40,64.24,0,6,-10.57,858,5114,2449,532,1681
200,v6Ad@,0.36715523528794525,44,65,58.71,33,6,5.36,1087,1886,1975,1008,1808
200,"LVSE,",0.2993435959118728,37,81,48.03,42,7,1.74,523,3911,2316,694,1301
200,luRp1,0.2823774752455701,58,31,48.93,33,6,17.57,952,5873,2297,1129,1428
200,qYbKL,0.2812150203525941,51,29,62.54,16,6,-0.92,1019,4101,2601,754,2111
200,Vm4j:,0.21462472523977874,48,39,35.74,14,7,-0.08,657,5367,1728,1068,1656
200,Ytl6>,0.1874593287994665,47,36,40.66,16,6,-1.78,697,5810,2791,542,1757
200,m6cVE,0.18714947657233824,50,59,38.19,66,6,12.75,966,1886,2620,866,1934
200,q6*hD,0.18591598032035367,40,69,55.72,55,9,9.04,1019,1886,1538,1048,1909
200,6*+uF,0.18472625670166745,33,218,27.91,26,34,-12.75,228,1127,1557,1180,1959
200,Vt4a:,0.17720211542711098,40,42,35.82,0,3,-6.02,657,5810,1728,977,1656
200,dY*g>,0.17274740494226226,41,39,45.92,14,7,-0.87,845,4101,1538,1038,1757
200,FO_9G,0.17221377647625044,38,73,34.5,55,9,10.0,443,3468,2544,572,1985
200,K>8k;,0.16323279602128574,33,116,45.0,35,17,-2.09,510,2392,1804,1078,1681
200,u-rRT,0.15723370067039752,42,59,33.96,16,6,-3.04,1073,1316,2905,825,2314
200,nqI[(,0.15338023385415145,41,34,30.91,28,7,8.89,979,5620,2127,916,1200
200,UcA\7,0.14695956842371458,48,45,23.19,12,8,-8.67,644,4734,1975,927,1580
200,+k1`N,0.14659383901758105,26,126,24.47,15,19,-4.24,80,5241,1671,967,2162
200,nKKb<,0.14132051776528737,37,48,33.14,0,6,-6.23,979,3215,2165,987,1706
200,h[DfK,0.1406699487285306,34,35,34.38,25,4,3.5,899,4228,2032,1028,2086
200,tf`p9,0.1388876293429577,53,30,36.27,33,3,2.51,1060,4924,2563,1129,1630
200,VE4`:,0.13592178899265248,33,86,25.52,37,8,0.4,657,2835,1728,967,1656
200,ho1L5,0.13426010852816528,47,40,40.29,0,8,-11.36,899,5494,1671,765,1529
200,",*QUp",0.13243099001895883,31,102,16.84,43,16,9.09,94,1127,2278,856,3023
200,=c;iB,0.1317722720945852,32,76,20.96,14,7,0.97,322,4734,1861,1058,1858
200,P^sU<,0.1317034435612719,43,51,27.5,33,6,14.76,577,4418,2924,856,1706
200,FV-n6,0.12592816723928255,30,84,25.54,28,7,3.28,443,3911,1595,1109,1554
200,.t3sU,0.12253027848262657,30,91,28.99,0,9,-6.29,121,5810,1709,1159,2339
