Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
ETH-USDT	5m	'B(La]'	2021-05-13	2021-07-02	32	53	47	31.62	-5.17	614.43	50	10.41	3.94	118.93	4	4	989.17	-397.08	16	16	150.69	-44.99
ETH-USDT	5m	'B(La]'	2020-06-20	2020-08-09	11	45	55	17.82	-3.49	223.39	73	8.65	4.52	64.0	4	2	936.27	-94.48	8	3	46.14	73.7
ETH-USDT	5m	'B(La]'	2020-06-26	2020-08-15	13	46	54	14.41	-2.96	162.1	62	7.18	3.91	54.85	4	2	931.79	-193.46	8	5	55.33	88.98
ETH-USDT	5m	'B(La]'	2021-04-30	2021-06-19	28	54	46	21.06	-5.94	292.63	54	5.27	2.84	49.24	4	2	976.37	-318.93	15	13	121.89	-19.14
ETH-USDT	5m	'B(La]'	2021-08-24	2021-10-13	18	56	44	15.13	-5.44	174.17	56	4.82	3.39	32.0	3	3	904.95	-249.42	10	8	76.82	4.99
ETH-USDT	5m	'B(La]'	2021-06-02	2021-07-22	25	56	44	18.93	-4.78	245.83	44	4.79	3.97	51.47	4	4	594.06	-333.24	11	14	106.18	-24.51
ETH-USDT	5m	'B(La]'	2021-05-22	2021-07-11	30	57	43	19.47	-4.78	257.18	43	4.78	3.0	53.82	4	4	925.18	-371.32	13	17	137.85	-13.41
ETH-USDT	5m	'B(La]'	2020-07-05	2020-08-24	12	58	42	14.73	-3.05	167.35	58	4.61	4.11	54.83	4	3	937.46	-194.66	7	5	52.18	70.67
ETH-USDT	5m	'B(La]'	2020-07-12	2020-08-31	11	55	45	13.62	-3.05	149.38	55	3.2	3.87	48.93	3	3	927.92	-197.26	6	5	48.84	79.19
ETH-USDT	5m	'B(La]'	2020-01-02	2020-02-21	21	52	48	11.83	-5.23	122.58	48	2.36	2.41	23.45	3	5	942.82	-310.55	10	11	90.28	97.16
ETH-USDT	5m	'B(La]'	2021-08-31	2021-10-20	19	58	42	13.39	-6.63	145.81	53	2.33	3.05	22.01	3	3	926.07	-255.24	10	9	84.74	20.39
ETH-USDT	5m	'B(La]'	2020-10-19	2020-12-08	21	52	48	17.88	-7.45	224.63	52	2.14	3.84	30.15	4	5	1010.03	-260.56	11	10	96.82	56.44
ETH-USDT	5m	'B(La]'	2020-01-27	2020-03-17	20	45	55	16.55	-8.29	199.17	40	1.89	2.11	24.02	4	5	1076.11	-822.42	8	12	88.76	-34.06
ETH-USDT	5m	'B(La]'	2020-01-09	2020-02-28	18	56	44	13.12	-5.23	141.62	50	1.81	2.7	27.1	2	5	953.64	-314.07	9	9	79.74	62.21
ETH-USDT	5m	'B(La]'	2021-05-27	2021-07-16	27	56	44	10.4	-4.78	102.98	44	1.76	2.47	21.57	4	4	571.67	-329.32	12	15	111.67	-33.34
ETH-USDT	5m	'B(La]'	2021-04-23	2021-06-12	31	45	55	13.77	-8.17	151.8	45	1.41	1.94	18.58	4	3	930.66	-402.62	14	17	126.15	-1.99
ETH-USDT	5m	'B(La]'	2020-06-10	2020-07-30	9	44	56	5.48	-4.65	46.54	56	1.37	1.91	10.01	4	2	564.89	-100.2	5	4	36.26	30.35
ETH-USDT	5m	'B(La]'	2020-10-08	2020-11-27	21	57	43	16.05	-7.43	190.11	52	1.32	3.78	25.58	4	5	934.97	-234.99	11	10	86.43	52.11
ETH-USDT	5m	'B(La]'	2020-12-09	2021-01-28	22	59	41	11.16	-9.11	113.22	36	1.18	1.79	12.42	3	3	961.28	-879.93	8	14	94.28	123.06
ETH-USDT	5m	'B(La]'	2020-02-03	2020-03-24	21	43	57	16.38	-8.83	196.07	38	1.17	2.08	22.19	4	7	1074.66	-821.43	8	13	94.61	-27.83
ETH-USDT	5m	'B(La]'	2021-01-10	2021-03-01	21	52	48	11.56	-9.12	118.71	33	1.08	1.83	13.02	1	3	928.83	-390.64	7	14	88.78	10.04
ETH-USDT	5m	'B(La]'	2020-11-15	2021-01-04	20	65	35	15.32	-8.65	177.38	40	0.74	3.0	20.51	3	8	921.5	-230.27	8	12	85.78	112.83
ETH-USDT	5m	'B(La]'	2020-04-22	2020-06-11	19	58	42	8.59	-6.66	80.34	53	0.67	2.22	12.06	3	3	896.5	-276.14	10	9	78.2	45.66
ETH-USDT	5m	'B(La]'	2020-04-20	2020-06-09	20	60	40	6.91	-6.66	61.27	50	0.57	1.81	9.2	3	3	884.9	-272.62	10	10	81.13	37.26
ETH-USDT	5m	'B(La]'	2020-08-01	2020-09-20	15	40	60	4.11	-6.39	33.4	40	0.52	1.13	5.22	2	3	334.24	-171.14	6	9	60.68	10.97
ETH-USDT	5m	'B(La]'	2021-07-18	2021-09-06	24	62	38	7.35	-8.9	66.15	46	0.51	1.52	7.43	4	4	862.44	-386.52	11	13	100.33	108.42
ETH-USDT	5m	'B(La]'	2021-07-09	2021-08-28	23	65	35	6.22	-8.9	54.05	48	0.47	1.44	6.08	4	4	577.68	-388.46	11	12	95.99	54.57
ETH-USDT	5m	'B(La]'	2020-02-09	2020-03-30	22	41	59	7.8	-8.83	71.13	36	0.44	1.18	8.05	4	7	988.2	-755.25	8	14	91.4	-44.35
ETH-USDT	5m	'B(La]'	2020-02-19	2020-04-09	22	50	50	9.98	-12.38	97.58	41	0.38	1.45	7.88	4	7	1062.83	-812.32	9	13	99.94	-38.73
ETH-USDT	5m	'B(La]'	2021-06-30	2021-08-19	27	59	41	4.06	-8.91	32.93	41	0.31	1.0	3.7	4	4	567.58	-381.66	11	16	109.68	39.16
ETH-USDT	5m	'B(La]'	2020-11-14	2021-01-03	20	60	40	7.85	-8.65	71.74	40	0.3	2.02	8.29	3	8	904.11	-233.29	8	12	85.83	62.17
ETH-USDT	5m	'B(La]'	2020-02-20	2020-04-10	21	52	48	7.44	-12.38	67.11	38	0.26	1.16	5.42	4	7	1038.23	-793.46	8	13	93.82	-34.14
ETH-USDT	5m	'B(La]'	2020-11-12	2021-01-01	20	60	40	5.61	-8.65	47.81	35	0.22	1.5	5.53	3	8	895.77	-230.99	7	13	84.71	58.85
ETH-USDT	5m	'B(La]'	2020-11-11	2020-12-31	20	60	40	5.61	-8.65	47.81	35	0.22	1.5	5.53	3	8	895.77	-230.99	7	13	84.71	66.88
ETH-USDT	5m	'B(La]'	2020-05-23	2020-07-12	14	50	50	4.28	-8.75	35.01	50	0.15	1.25	4.0	2	2	867.05	-238.7	7	7	57.91	15.22
ETH-USDT	5m	'B(La]'	2021-02-23	2021-04-14	25	40	60	1.09	-6.18	8.07	40	0.07	0.4	1.31	2	3	515.59	-243.86	10	15	99.94	29.43
ETH-USDT	5m	'B(La]'	2021-04-01	2021-05-21	27	41	59	0.56	-10.65	4.11	37	0.02	0.3	0.39	4	3	809.96	-393.47	10	17	102.26	43.08
ETH-USDT	5m	'B(La]'	2020-09-17	2020-11-06	16	38	62	1.35	-12.17	10.09	50	0.02	0.57	0.83	4	6	345.86	-453.7	8	8	62.44	14.4
ETH-USDT	5m	'B(La]'	2020-09-27	2020-11-16	19	42	58	1.28	-12.17	9.54	42	0.02	0.48	0.78	4	6	833.65	-441.39	8	11	73.27	26.55
ETH-USDT	5m	'B(La]'	2020-04-01	2020-05-21	22	55	45	-0.66	-7.02	-4.66	32	-0.03	-0.07	-0.66	2	6	801.52	-271.44	7	15	85.53	57.96
ETH-USDT	5m	'B(La]'	2021-03-25	2021-05-14	26	42	58	-1.47	-12.24	-10.06	35	-0.04	-0.12	-0.82	2	3	525.35	-413.6	9	17	104.88	135.27
ETH-USDT	5m	'B(La]'	2021-03-27	2021-05-16	27	44	56	-1.61	-12.24	-10.95	37	-0.04	-0.14	-0.89	3	3	525.35	-413.6	10	17	108.87	113.77
ETH-USDT	5m	'B(La]'	2021-03-29	2021-05-18	29	45	55	-1.92	-12.23	-12.93	38	-0.05	-0.18	-1.06	4	3	529.26	-417.26	11	18	117.35	94.52
ETH-USDT	5m	'B(La]'	2020-03-18	2020-05-07	22	55	45	-1.46	-7.76	-9.96	32	-0.07	-0.35	-1.28	2	6	810.53	-175.72	7	15	86.56	71.46
ETH-USDT	5m	'B(La]'	2020-05-30	2020-07-19	11	45	55	-2.53	-8.75	-16.76	55	-0.07	-0.7	-1.91	3	2	169.4	-221.62	6	5	42.57	6.61
