Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
ETH-USDT	5m	'H398n'	2019-12-20	2021-11-01	131	47	53	117.08	-10.21	51.32	53	6.34	2.18	5.03	7	6	630.08	-912.95	70	61	793.56	3238.93
ETH-USDT	5m	'B(La]'	2019-12-20	2021-11-01	287	52	48	204.64	-13.78	81.36	43	8.33	1.78	5.91	4	8	2515.77	-1585.29	122	165	2269.93	3238.93
ETH-USDT	5m	'B(OgQ'	2019-12-20	2021-11-01	372	50	50	217.37	-19.51	85.37	41	6.71	1.66	4.38	5	8	2903.89	-1636.68	151	221	3207.84	3238.93
ETH-USDT	5m	'J8^V@'	2019-12-20	2021-11-01	302	49	51	232.26	-33.62	89.97	43	2.41	1.6	2.68	6	8	2829.15	-2496.97	130	172	2356.76	3238.93
ETH-USDT	5m	'J+<SH'	2019-12-20	2021-11-01	351	49	51	150.4	-21.65	63.32	42	2.28	1.52	2.92	9	12	1466.6	-1850.19	147	204	2321.7	3238.93
ETH-USDT	5m	',3LaR'	2019-12-20	2021-11-01	416	49	51	155.26	-19.65	65.0	39	3.01	1.47	3.31	5	9	2127.56	-1079.63	162	254	2651.16	3238.93
ETH-USDT	5m	'*9La]'	2019-12-20	2021-11-01	314	50	50	139.37	-17.56	59.43	42	3.89	1.47	3.38	4	9	1946.96	-1794.97	131	183	1934.64	3238.93
ETH-USDT	5m	'K3QgL'	2019-12-20	2021-11-01	276	47	53	154.3	-33.53	64.67	46	1.02	1.4	1.93	7	7	2419.27	-2015.86	127	149	1654.28	3238.93
ETH-USDT	5m	',3Sa]'	2019-12-20	2021-11-01	307	49	51	120.21	-17.16	52.48	39	2.76	1.39	3.06	4	8	1876.11	-970.77	119	188	1930.76	3238.93
ETH-USDT	5m	'B3Qa;'	2019-12-20	2021-11-01	398	51	49	177.38	-35.03	72.5	40	1.57	1.39	2.07	5	12	2829.92	-2408.52	159	239	3317.09	3238.93
ETH-USDT	5m	'H9Ua+'	2019-12-20	2021-11-01	356	50	50	179.76	-26.34	73.29	42	2.36	1.38	2.78	6	12	2796.44	-2037.93	150	206	2516.36	3238.93
ETH-USDT	5m	',3_a]'	2019-12-20	2021-11-01	307	49	51	121.4	-17.16	52.92	39	2.82	1.37	3.08	4	8	1924.5	-964.36	119	188	1937.81	3238.93
ETH-USDT	5m	'H9Qa+'	2019-12-20	2021-11-01	356	50	50	174.0	-27.57	71.37	42	2.08	1.37	2.59	6	12	2886.33	-2012.05	150	206	2466.25	3238.93
ETH-USDT	5m	'O3OgQ'	2019-12-20	2021-11-01	244	47	53	155.18	-37.94	64.98	43	0.71	1.37	1.71	5	12	2481.25	-1908.47	106	138	1631.97	3238.93
