iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_ma_len,parameters.ott_percent,parameters.stop_loss,parameters.risk_reward,parameters.chop_bandwidth
100,L._59,0.32635997428831015,43,106,83.79,55,18,19.91,956,1880,2392,365,1630
100,uf23U,0.2873853284414826,76,26,33.34,57,7,2.81,1475,5424,1253,339,2339
100,)9S@Z,0.25981163878926794,42,98,41.31,33,12,2.3,513,2576,2089,504,2466
100,?8ZV7,0.2566125225801494,41,89,58.21,57,14,10.51,791,2513,2266,782,1580
100,w`7X8,0.2296525654573813,55,38,59.15,33,6,-10.57,1500,5044,1380,808,1605
100,A>SRF,0.22728606047285446,42,71,47.25,46,13,10.27,816,2892,2089,732,1959
100,A8XV),0.2173514056532978,44,93,48.68,50,14,2.28,816,2513,2215,782,1225
100,N6G`-,0.2162294496202638,44,86,47.45,61,13,7.63,981,2386,1785,909,1327
100,?;`-;,0.21383989986573013,44,104,38.8,35,14,-2.82,791,2703,2418,263,1681
100,C7p+I,0.21351008970233562,46,90,37.54,41,12,6.26,842,2449,2823,238,2035
100,8>ST6,0.2125548565516683,41,96,52.0,33,15,-0.73,703,2892,2089,757,1554
100,t[.Fe,0.20818544277429477,69,26,37.99,50,6,4.23,1462,4728,1152,580,2744
100,7@(cF,0.20812800612122476,40,91,42.77,37,16,16.75,690,3019,1000,947,1959
100,",BNj,",0.20610909486914578,40,112,37.52,42,19,14.72,551,3146,1962,1035,1301
100,J+<SH,0.2024900444171723,39,96,40.08,37,16,11.65,930,1690,1506,744,2010
100,m(Pc\,0.1937861909920666,50,59,38.2,55,9,14.55,1373,1500,2013,947,2516
100,A<JTE,0.18964203913185412,41,81,40.89,46,15,15.92,816,2766,1861,757,1934
100,A8KVC,0.18585889890716178,42,80,42.35,36,11,6.66,816,2513,1886,782,1884
100,A8XV*,0.1858322756975576,43,92,37.66,64,14,11.43,816,2513,2215,782,1251
100,A8KV+,0.18010332935781945,40,93,33.72,42,14,5.23,816,2513,1886,782,1276
100,.EKLC,0.1794371677878395,36,97,27.1,53,15,16.97,576,3335,1886,656,1884
100,B3Q[J,0.178757229514763,48,82,39.8,18,11,-4.83,829,2196,2038,846,2061
100,>l4)V,0.17798089596899205,75,58,24.37,75,8,4.35,778,5804,1304,213,2365
100,"l.^5,",0.1777465146811859,50,78,33.28,61,13,16.09,1361,1880,2367,365,1301
100,O1]8I,0.1761777879171167,50,79,37.49,75,12,25.38,994,2070,2342,403,2035
100,;:MjZ,0.17532994769398508,40,67,30.42,20,10,-3.76,741,2639,1937,1035,2466
100,G@mQO,0.17048805068862635,44,69,45.98,50,12,2.87,892,3019,2747,719,2187
100,E-wF:,0.16878565538466173,44,100,28.37,43,16,9.99,867,1816,3000,580,1656
100,@8JJe,0.16737054869385073,42,56,23.05,44,9,6.45,804,2513,1861,630,2744
100,775PD,0.16551635591333397,44,103,28.56,40,20,21.48,690,2449,1329,706,1909
100,L._59,0.32635997428831015,43,106,83.79,55,18,19.91,956,1880,2392,365,1630
100,uf23U,0.2873853284414826,76,26,33.34,57,7,2.81,1475,5424,1253,339,2339
100,)9S@Z,0.25981163878926794,42,98,41.31,33,12,2.3,513,2576,2089,504,2466
100,?8ZV7,0.2566125225801494,41,89,58.21,57,14,10.51,791,2513,2266,782,1580
100,w`7X8,0.2296525654573813,55,38,59.15,33,6,-10.57,1500,5044,1380,808,1605
