['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USDT', '5m', 'BTC-USDT', '2021-04-01', '2021-11-18', '198', '3.87', '-23.88', 6, '33', '0.02', '0.36', '0.26', '3', '12', 283, -357, '66', '132', '2.52']
['ETH-USDT', '5m', 'ETH-USDT', '2021-04-01', '2021-11-18', '279', '-12.46', '-29.12', -19, '33', '-0.05', '-0.45', '-0.65', '6', '13', 261, -238, '91', '188', '121.61']
['SOL-USDT', '5m', 'SOL-USDT', '2021-04-01', '2021-11-18', '452', '-39.8', '-44.51', -55, '35', '-0.11', '-1.46', '-1.24', '6', '10', 233, -454, '160', '292', '1026.8']
['DYDX-USDT', '5m', 'DYDX-USDT', '2021-04-01', '2021-11-18', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FTM-USDT', '5m', 'FTM-USDT', '2021-04-01', '2021-11-18', '507', '-55.7', '-63.1', -72, '36', '-0.08', '-2.22', '-1.14', '7', '13', 228, -344, '180', '327', '405.36']
['AVAX-USDT', '5m', 'AVAX-USDT', '2021-04-01', '2021-11-18', '473', '-53.21', '-54.96', -70, '34', '-0.07', '-2.18', '-1.27', '7', '11', 217, -359, '162', '311', '273.08']
['LUNA-USDT', '5m', 'LUNA-USDT', '2021-04-01', '2021-11-18', '410', '-8.63', '-46.36', -13, '38', '-0.01', '-0.09', '-0.29', '10', '8', 338, -583, '155', '255', '130.76']
['FIL-USDT', '5m', 'FIL-USDT', '2021-04-01', '2021-11-18', '336', '-24.05', '-37.15', -35, '33', '-0.06', '-0.84', '-0.95', '5', '13', 263, -388, '111', '225', '-70.83']
['ADA-USDT', '5m', 'ADA-USDT', '2021-04-01', '2021-11-18', '306', '21.23', '-25.38', 35, '37', '0.26', '0.96', '1.39', '8', '9', 271, -278, '114', '192', '56.85']
['COTI-USDT', '5m', 'COTI-USDT', '2021-04-01', '2021-11-18', '476', '-32.99', '-44.98', -47, '37', '-0.07', '-1.07', '-1.04', '7', '9', 241, -316, '176', '300', '2.7']
['XRP-USDT', '5m', 'XRP-USDT', '2021-04-01', '2021-11-18', '334', '-17.38', '-30.85', -26, '36', '-0.07', '-0.51', '-0.84', '8', '9', 250, -484, '120', '214', '91.41']
