'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'LRC-USDT','5m','LRC-USDT','2021-10-01','2021-11-15','104','1336.64','-65.36',152516156694,'47','29.27','5.95','2333341068.49','5','4',74708,-97182,'49','55','737.62'
'TRB-USDT','5m','TRB-USDT','2021-10-01','2021-11-15','92','463.8','-45.16',91200992,'41','9.26','5.45','2019435.69','4','8',12673,-8153,'38','54','69.34'
'CRV-USDT','5m','CRV-USDT','2021-10-01','2021-11-15','92','302.26','-43.54',6260590,'46','7.23','4.54','143792.54','7','5',11113,-10442,'42','50','77.3'
'NKN-USDT','5m','NKN-USDT','2021-10-01','2021-11-15','100','330.15','-76.91',10655990,'45','2.43','4.7','138544.39','5','5',12193,-16415,'45','55','135.64'
'RUNE-USDT','5m','RUNE-USDT','2021-10-01','2021-11-15','91','263.97','-68.99',2831051,'40','2.1','4.36','41032.78','4','12',17702,-14072,'36','55','81.51'
'BNB-USDT','5m','BNB-USDT','2021-10-01','2021-11-15','59','217.31','-26.65',952966,'42','8.89','6.21','35764.99','3','6',5900,-2611,'25','34','67.93'
'ETH-USDT','5m','ETH-USDT','2021-10-01','2021-11-15','59','216.24','-34.63',927927,'37','5.43','4.95','26792.17','3','8',5710,-1758,'22','37','54.44'
'XLM-USDT','5m','XLM-USDT','2021-10-01','2021-11-15','68','174.04','-41.95',297753,'37','3.68','4.1','7097.62','3','5',5687,-2456,'25','43','35.49'
'BTCDOM-USDT','5m','BTCDOM-USDT','2021-10-01','2021-11-15','43','77.72','-29.96',9483,'40','1.75','3.56','316.57','4','6',3150,-1553,'17','26','4.9'
'KEEP-USDT','5m','KEEP-USDT','2021-10-01','2021-11-15','102','78.6','-71.87',9867,'36','0.87','2.81','137.28','9','9',8007,-8306,'37','65','140.2'
'MKR-USDT','5m','MKR-USDT','2021-10-01','2021-11-15','87','75.33','-64.24',8509,'33','0.94','2.61','132.46','4','9',3633,-1829,'29','58','33.38'
'FLM-USDT','5m','FLM-USDT','2021-10-01','2021-11-15','88','65.93','-56.23',5461,'42','0.77','2.73','97.12','7','7',4998,-4064,'37','51','56.87'
'ZIL-USDT','5m','ZIL-USDT','2021-10-01','2021-11-15','83','46.71','-38.81',1994,'33','0.78','2.39','51.37','4','8',4026,-4326,'27','56','18.46'
'SUSHI-USDT','5m','SUSHI-USDT','2021-10-01','2021-11-15','87','47.36','-46.66',2068,'37','0.52','2.43','44.33','3','9',4501,-2243,'32','55','9.0'
