Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
BTC-USDT	5m	'wLXY\\1'	2021-08-30	2021-11-01	22	41	59	83.98	-61.81	3135.76	45	0.77	2.57	50.74	4	3	6889.87	-2353.32	10	12	815.54	25.78
BTC-USDT	5m	'oMvHF`'	2021-08-30	2021-11-01	14	36	64	75.14	-61.05	2343.94	43	0.36	2.47	38.39	2	5	9160.26	-8756.16	6	8	815.9	25.78
BTC-USDT	5m	'2c0HI_'	2021-08-30	2021-11-01	20	20	80	43.51	-35.3	684.83	40	0.27	2.4	19.4	5	6	2832.89	-1825.96	8	12	1120.5	25.78
BTC-USDT	5m	'7R5S-h'	2021-08-30	2021-11-01	54	46	54	62.79	-53.25	1510.56	30	0.59	2.32	28.37	3	11	4645.87	-2718.79	16	38	2923.47	25.78
BTC-USDT	5m	'5H3VCa'	2021-08-30	2021-11-01	42	38	62	44.8	-37.58	725.97	33	0.55	2.02	19.32	4	6	4563.67	-5228.35	14	28	2392.8	25.78
BTC-USDT	5m	'1CndgF'	2021-08-30	2021-11-01	80	39	61	29.28	-53.02	332.51	34	0.34	1.94	6.27	3	7	7168.55	-3140.07	27	53	3392.34	25.78
BTC-USDT	5m	'^D+leP'	2021-08-30	2021-11-01	27	30	70	34.14	-36.22	433.88	33	0.28	1.88	11.98	2	4	2352.44	-1238.05	9	18	959.83	25.78
BTC-USDT	5m	'wK@GeQ'	2021-08-30	2021-11-01	17	29	71	33.84	-32.91	427.12	47	0.84	1.81	12.98	3	3	4080.07	-2816.04	8	9	934.88	25.78
BTC-USDT	5m	'5S=Q?i'	2021-08-30	2021-11-01	28	25	75	30.18	-38.66	350.04	36	0.55	1.69	9.05	2	4	3272.34	-2265.22	10	18	1170.02	25.78
BTC-USDT	5m	'4Ptp2B'	2021-08-30	2021-11-01	74	50	50	9.36	-51.24	66.6	27	0.14	1.58	1.3	3	9	5253.51	-2185.05	20	54	2703.15	25.78
BTC-USDT	5m	'oMWHF_'	2021-08-30	2021-11-01	15	33	67	23.22	-61.11	228.92	33	0.09	1.58	3.75	2	5	6942.0	-5605.73	5	10	786.88	25.78
BTC-USDT	5m	'5TKdDm'	2021-08-30	2021-11-01	15	20	80	24.03	-39.7	241.56	40	0.29	1.51	6.08	3	4	5891.05	-2840.45	6	9	698.92	25.78
BTC-USDT	5m	'4juD3['	2021-08-30	2021-11-01	28	46	54	17.56	-56.05	151.58	29	0.12	1.44	2.7	2	5	6788.23	-3786.12	8	20	1459.37	25.78
BTC-USDT	5m	'7P0n)2'	2021-08-30	2021-11-01	66	47	53	11.73	-43.77	88.29	23	0.21	1.4	2.02	2	7	3404.43	-1415.75	15	51	2563.54	25.78
BTC-USDT	5m	'OEJO,F'	2021-08-30	2021-11-01	43	44	56	-8.95	-51.23	-41.42	30	-0.1	1.34	-0.81	3	5	5616.9	-2615.18	13	30	1953.67	25.78
BTC-USDT	5m	'9YC;(q'	2021-08-30	2021-11-01	35	43	57	13.9	-43.44	110.09	34	0.19	1.27	2.53	2	5	3691.4	-2409.39	12	23	1814.77	25.78
BTC-USDT	5m	'fuPw5k'	2021-08-30	2021-11-01	5	20	80	13.52	-41.88	106.13	20	0.1	1.22	2.53	1	4	8895.87	-3832.72	1	4	279.92	25.78
BTC-USDT	5m	'5OCd3F'	2021-08-30	2021-11-01	76	49	51	-13.2	-54.64	-55.39	24	-0.15	1.14	-1.01	2	8	4813.18	-3953.08	18	58	2638.44	25.78
BTC-USDT	5m	'lR\\iHN'	2021-08-30	2021-11-01	15	40	60	-1.85	-60.29	-10.09	40	-0.01	1.13	-0.17	2	3	5032.37	-4373.38	6	9	613.91	25.78
BTC-USDT	5m	'RcvHf_'	2021-08-30	2021-11-01	9	0	100	3.51	-51.23	21.77	33	0.02	1.04	0.43	1	3	5271.95	-4031.83	3	6	407.15	25.78
BTC-USDT	5m	'/N7r.J'	2021-08-30	2021-11-01	94	48	52	-15.35	-53.12	-61.35	24	-0.13	1.04	-1.15	2	9	4041.68	-1343.95	23	71	3325.4	25.78
BTC-USDT	5m	'@Om:db'	2021-08-30	2021-11-01	14	14	86	3.39	-41.8	20.93	36	0.03	1.03	0.5	1	3	4228.36	-3940.84	5	9	605.53	25.78
BTC-USDT	5m	'oA0qI^'	2021-08-30	2021-11-01	21	19	81	4.43	-32.06	28.05	29	0.08	1.01	0.87	2	4	3189.45	-1642.52	6	15	829.73	25.78
