Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
ETH-USDT	5m	'a<<sMo'	2021-04-15	2021-08-15	14	100	0	32.63	-2.31	131.15	71	35.86	4.7	56.79	4	2	661.61	-213.34	10	4	66.46	33.53
ETH-USDT	5m	'oMWHF_'	2021-04-15	2021-08-15	27	100	0	44.56	-8.46	198.5	59	5.21	4.46	23.48	3	3	644.0	-351.59	16	11	127.12	33.53
ETH-USDT	5m	'qAAIr^'	2021-04-15	2021-08-15	6	100	0	16.23	-1.91	56.27	83	5.16	4.4	29.4	3	1	348.03	-18.62	5	1	26.09	33.53
ETH-USDT	5m	'+BFG)D'	2021-04-15	2021-08-15	336	100	0	65.21	-10.9	343.67	30	3.64	4.11	31.52	6	14	539.91	-230.53	101	235	1780.78	33.53
ETH-USDT	5m	'vBJh]Z'	2021-04-15	2021-08-15	26	100	0	40.22	-10.42	172.65	58	1.31	3.62	16.57	3	4	852.97	-330.99	15	11	115.36	33.53
ETH-USDT	5m	't;FMPb'	2021-04-15	2021-08-15	28	100	0	26.09	-3.9	98.97	54	6.81	3.61	25.36	4	2	473.07	-289.56	15	13	128.07	33.53
ETH-USDT	5m	'OXf+R_'	2021-04-15	2021-08-15	23	100	0	19.17	-2.84	68.27	65	6.57	3.56	24.08	4	2	241.22	-260.29	15	8	101.18	33.53
ETH-USDT	5m	'9.9F`9'	2021-04-15	2021-08-15	245	100	0	39.8	-10.5	170.24	36	2.33	3.22	16.21	4	6	312.59	-289.0	88	157	1141.49	33.53
ETH-USDT	5m	'07t1iJ'	2021-04-15	2021-08-15	125	100	0	32.46	-9.47	130.3	36	1.42	3.2	13.75	4	7	445.29	-264.3	45	80	602.4	33.53
ETH-USDT	5m	'75\\adC'	2021-04-15	2021-08-15	189	100	0	44.12	-9.78	195.79	36	2.61	3.03	20.01	4	8	958.23	-273.12	68	121	926.06	33.53
ETH-USDT	5m	'91u6iJ'	2021-04-15	2021-08-15	123	100	0	30.0	-9.93	117.83	36	1.26	2.81	11.87	4	9	530.67	-240.85	44	79	559.54	33.53
ETH-USDT	5m	';(o/-K'	2021-04-15	2021-08-15	285	100	0	35.49	-9.99	146.26	38	2.29	2.66	14.64	7	8	380.84	-293.09	107	178	1368.32	33.53
