Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
BNB-USDT	5m	'jVXfX<'	2018-02-15	2021-01-01	401	100	0	212.24	-30.01	48.45	32	1.21	1.33	1.61	6	14	2460.66	-605.62	127	274	2349.95	259.91
BNB-USDT	5m	'o:JK9p'	2018-02-15	2021-01-01	290	100	0	105.09	-19.81	28.3	38	0.79	1.27	1.43	5	9	837.24	-591.06	110	180	1709.41	259.91
BNB-USDT	5m	'tGVME/'	2018-02-15	2021-01-01	459	100	0	137.7	-21.52	35.04	31	1.24	1.16	1.63	3	9	1250.4	-621.36	141	318	2463.34	259.91
BNB-USDT	5m	'a<<sMo'	2018-02-15	2021-01-01	145	100	0	62.8	-15.96	18.42	35	0.6	1.12	1.15	4	12	844.13	-416.11	51	94	731.94	259.91
BNB-USDT	5m	'`Ol@gL'	2018-02-15	2021-01-01	411	100	0	108.54	-32.68	29.05	32	0.41	1.03	0.89	4	16	1089.15	-510.15	131	280	1894.74	259.91
BNB-USDT	5m	'SWJi?Y'	2018-02-15	2021-01-01	408	100	0	117.17	-24.44	30.87	30	0.71	1.03	1.26	4	10	1391.55	-504.45	124	284	2123.07	259.91
BNB-USDT	5m	'v@WLkU'	2018-02-15	2021-01-01	282	100	0	74.14	-32.52	21.22	34	0.24	0.95	0.65	4	9	980.53	-508.54	96	186	1437.02	259.91
BNB-USDT	5m	'lR\\iHN'	2018-02-15	2021-01-01	375	100	0	107.91	-31.04	28.91	31	0.37	0.94	0.93	4	14	1778.74	-558.99	118	257	2230.6	259.91
BNB-USDT	5m	'l7\\gc^'	2018-02-15	2021-01-01	193	100	0	61.69	-21.99	18.14	36	0.35	0.93	0.83	4	9	1469.78	-549.26	69	124	1003.72	259.91
BNB-USDT	5m	'wLXY\\1'	2018-02-15	2021-01-01	419	100	0	94.34	-27.64	25.93	32	0.53	0.88	0.94	4	14	1266.83	-488.53	133	286	2022.63	259.91
BNB-USDT	5m	'i7nMgb'	2018-02-15	2021-01-01	123	100	0	38.63	-11.38	12.0	40	0.79	0.77	1.05	4	6	1066.86	-459.45	49	74	600.04	259.91
BNB-USDT	5m	'F/0eI['	2018-02-15	2021-01-01	749	100	0	42.09	-25.92	12.96	34	0.17	0.66	0.5	6	13	377.38	-366.24	258	491	3146.86	259.91
BNB-USDT	5m	'\\ERgMp'	2018-02-15	2021-01-01	126	100	0	30.71	-17.91	9.74	34	0.18	0.64	0.54	4	9	955.06	-396.86	43	83	553.1	259.91
BNB-USDT	5m	'_7@QqN'	2018-02-15	2021-01-01	511	100	0	33.38	-36.26	10.51	31	0.08	0.54	0.29	4	13	464.17	-356.93	160	351	2154.76	259.91
BNB-USDT	5m	'OEJO,F'	2018-02-15	2021-01-01	636	100	0	36.27	-26.69	11.34	30	0.18	0.52	0.42	6	12	641.88	-418.0	188	448	2975.81	259.91
BNB-USDT	5m	'5swn)a'	2018-02-15	2021-01-01	597	100	0	30.36	-35.98	9.63	19	0.08	0.43	0.27	3	25	1714.56	-374.53	116	481	2568.4	259.91
BNB-USDT	5m	'4juD3['	2018-02-15	2021-01-01	744	100	0	26.94	-39.63	8.63	19	0.1	0.41	0.22	3	29	864.57	-374.87	141	603	2886.86	259.91
BNB-USDT	5m	'91u6iJ'	2018-02-15	2021-01-01	1060	100	0	22.58	-39.73	7.32	31	0.04	0.4	0.18	6	19	520.67	-217.53	324	736	3655.38	259.91
BNB-USDT	5m	'c3rg61'	2018-02-15	2021-01-01	782	100	0	20.52	-41.38	6.69	33	0.06	0.36	0.16	6	11	1320.47	-517.69	255	527	3142.86	259.91
BNB-USDT	5m	'\\BAZGb'	2018-02-15	2021-01-01	363	100	0	14.18	-28.24	4.71	30	0.05	0.32	0.17	4	19	519.56	-402.52	110	253	1463.3	259.91
BNB-USDT	5m	'H<XF,l'	2018-02-15	2021-01-01	688	100	0	14.8	-31.11	4.91	30	0.05	0.31	0.16	6	13	588.2	-375.91	208	480	2776.71	259.91
BNB-USDT	5m	'5Bl/TL'	2018-02-15	2021-01-01	1003	100	0	1.62	-42.31	0.56	26	0.0	0.14	0.01	5	14	349.16	-281.28	263	740	3662.04	259.91
BNB-USDT	5m	'DFRlX-'	2018-02-15	2021-01-01	874	100	0	-4.3	-46.93	-1.51	26	-0.01	0.13	-0.03	4	21	804.69	-381.83	224	650	2793.8	259.91
BNB-USDT	5m	'1EkquE'	2018-02-15	2021-01-01	1057	100	0	-2.06	-34.57	-0.72	23	-0.0	0.13	-0.02	3	19	1417.75	-293.94	239	818	4130.05	259.91
BNB-USDT	5m	'D9YmB.'	2018-02-15	2021-01-01	1060	100	0	-8.63	-49.06	-3.08	28	-0.01	0.09	-0.06	4	12	908.12	-328.57	299	761	3270.87	259.91
BNB-USDT	5m	'_(KrZG'	2018-02-15	2021-01-01	1031	100	0	-6.33	-47.21	-2.24	32	-0.01	0.08	-0.05	5	13	690.77	-264.7	335	696	3209.06	259.91
BNB-USDT	5m	'1CndgF'	2018-02-15	2021-01-01	1142	100	0	-7.05	-42.61	-2.5	24	-0.01	0.06	-0.06	4	17	1148.81	-256.5	272	870	3751.79	259.91
BNB-USDT	5m	'tutp,b'	2018-02-15	2021-01-01	178	100	0	-8.92	-32.75	-3.19	26	-0.02	0.03	-0.1	3	21	1319.34	-399.26	47	131	627.01	259.91
BNB-USDT	5m	'07t1iJ'	2018-02-15	2021-01-01	1092	100	0	-14.91	-39.42	-5.45	27	-0.02	-0.15	-0.14	4	19	350.86	-244.62	300	792	3469.91	259.91
BNB-USDT	5m	'75\\adC'	2018-02-15	2021-01-01	1528	100	0	-42.69	-63.33	-17.56	27	-0.02	-0.51	-0.28	4	17	870.09	-271.62	414	1114	3846.89	259.91
