Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
ETH-USDT	5m	'\\ERgMp'	2018-02-15	2021-01-01	131	100	0	75.12	-9.16	21.46	37	3.35	1.27	2.34	4	7	1238.0	-428.85	49	82	674.65	-19.72
ETH-USDT	5m	'v@WLkU'	2018-02-15	2021-01-01	263	100	0	67.17	-18.43	19.52	33	1.07	0.93	1.06	5	13	870.12	-424.05	87	176	1240.33	-19.72
ETH-USDT	5m	'07t1iJ'	2018-02-15	2021-01-01	1023	100	0	55.96	-22.92	16.67	25	0.3	0.81	0.73	5	23	535.35	-291.3	256	767	5005.17	-19.72
ETH-USDT	5m	'jVXfX<'	2018-02-15	2021-01-01	391	100	0	79.41	-36.68	22.48	26	0.26	0.8	0.61	4	18	1417.3	-383.25	103	288	1529.33	-19.72
ETH-USDT	5m	'l7\\gc^'	2018-02-15	2021-01-01	200	100	0	42.08	-18.52	12.96	33	0.33	0.79	0.7	4	11	1103.3	-406.19	66	134	852.43	-19.72
ETH-USDT	5m	'lR\\iHN'	2018-02-15	2021-01-01	369	100	0	77.22	-36.44	21.96	28	0.22	0.79	0.6	5	18	1546.66	-414.1	104	265	1470.73	-19.72
ETH-USDT	5m	'DFRlX-'	2018-02-15	2021-01-01	797	100	0	72.78	-32.16	20.89	25	0.4	0.74	0.65	4	19	1325.21	-405.93	201	596	3186.92	-19.72
ETH-USDT	5m	'i7nMgb'	2018-02-15	2021-01-01	132	100	0	29.97	-14.17	9.52	36	0.3	0.72	0.67	6	8	923.23	-387.86	48	84	577.46	-19.72
ETH-USDT	5m	'SWJi?Y'	2018-02-15	2021-01-01	382	100	0	45.98	-40.87	14.03	26	0.11	0.61	0.34	4	16	936.77	-359.81	100	282	1367.29	-19.72
ETH-USDT	5m	'F/0eI['	2018-02-15	2021-01-01	704	100	0	33.51	-23.58	10.55	30	0.19	0.6	0.45	6	14	354.76	-288.19	212	492	2979.31	-19.72
ETH-USDT	5m	'`Ol@gL'	2018-02-15	2021-01-01	391	100	0	37.61	-32.24	11.71	30	0.18	0.55	0.36	4	18	736.12	-459.1	117	274	1468.65	-19.72
ETH-USDT	5m	'\\BAZGb'	2018-02-15	2021-01-01	314	100	0	29.68	-23.66	9.44	32	0.18	0.54	0.4	5	10	555.17	-289.19	102	212	1314.26	-19.72
ETH-USDT	5m	'a<<sMo'	2018-02-15	2021-01-01	150	100	0	20.87	-17.16	6.8	33	0.13	0.52	0.4	4	13	596.79	-273.67	49	101	637.76	-19.72
ETH-USDT	5m	'wLXY\\1'	2018-02-15	2021-01-01	410	100	0	39.07	-40.55	12.12	28	0.07	0.52	0.3	4	13	907.15	-389.74	114	296	1535.95	-19.72
ETH-USDT	5m	'_(KrZG'	2018-02-15	2021-01-01	1011	100	0	34.23	-28.12	10.75	31	0.17	0.48	0.38	5	13	1022.04	-344.19	311	700	4386.42	-19.72
ETH-USDT	5m	'75\\adC'	2018-02-15	2021-01-01	1371	100	0	29.43	-35.15	9.36	26	0.09	0.44	0.27	4	18	871.02	-211.35	357	1014	5051.62	-19.72
ETH-USDT	5m	'tGVME/'	2018-02-15	2021-01-01	455	100	0	27.24	-39.32	8.72	29	0.05	0.44	0.22	4	14	658.34	-347.36	132	323	1575.41	-19.72
ETH-USDT	5m	'_7@QqN'	2018-02-15	2021-01-01	495	100	0	22.5	-27.13	7.3	33	0.1	0.43	0.27	6	11	425.61	-381.98	161	334	1965.01	-19.72
ETH-USDT	5m	'OEJO,F'	2018-02-15	2021-01-01	593	100	0	26.09	-28.47	8.37	29	0.17	0.43	0.29	4	16	543.86	-397.23	173	420	2258.16	-19.72
ETH-USDT	5m	'tutp,b'	2018-02-15	2021-01-01	149	100	0	23.49	-38.61	7.6	26	0.03	0.41	0.2	5	13	1279.98	-440.15	39	110	557.94	-19.72
ETH-USDT	5m	'91u6iJ'	2018-02-15	2021-01-01	961	100	0	21.16	-22.39	6.89	28	0.12	0.4	0.31	4	19	508.33	-256.41	265	696	3850.29	-19.72
ETH-USDT	5m	'1CndgF'	2018-02-15	2021-01-01	1060	100	0	11.52	-40.7	3.85	22	0.02	0.27	0.09	4	22	988.98	-188.07	234	826	3680.53	-19.72
ETH-USDT	5m	'H<XF,l'	2018-02-15	2021-01-01	609	100	0	7.81	-37.01	2.64	30	0.01	0.23	0.07	4	17	497.6	-228.9	185	424	1944.15	-19.72
ETH-USDT	5m	'o:JK9p'	2018-02-15	2021-01-01	264	100	0	6.41	-26.63	2.18	33	0.02	0.21	0.08	8	12	463.72	-430.68	88	176	1055.36	-19.72
ETH-USDT	5m	'5swn)a'	2018-02-15	2021-01-01	560	100	0	3.64	-50.19	1.25	18	0.0	0.2	0.02	3	20	1165.1	-231.74	100	460	1707.93	-19.72
ETH-USDT	5m	'c3rg61'	2018-02-15	2021-01-01	764	100	0	2.74	-36.47	0.94	30	0.01	0.19	0.03	4	14	998.0	-319.08	231	533	2613.9	-19.72
ETH-USDT	5m	'1EkquE'	2018-02-15	2021-01-01	974	100	0	2.49	-31.35	0.86	22	0.01	0.17	0.03	3	20	1092.42	-302.28	212	762	3352.64	-19.72
ETH-USDT	5m	'D9YmB.'	2018-02-15	2021-01-01	1024	100	0	-1.43	-39.76	-0.5	25	-0.0	0.15	-0.01	4	19	817.38	-229.11	255	769	3123.07	-19.72
