Pair	 TF	 Dna	 Start Date	 End Date	 Total Trades	 Longs %	 Short %	 Total Net Profit	 Max.DD	 Annual Profit	 Winrate	 Serenity	 Sharpe	 Calmar	 Winning Strike	 Losing Strike	 Largest Winning	 Largest Losing	 Num. of Wins	 Num. of Losses	 Paid Fees	 Market Change
ETH-USD	5m	'a<<sMo'	2021-01-01	2021-11-15	39	100	0	55.23	-6.29	65.39	49	8.37	3.22	10.39	4	5	750.67	-254.37	19	20	202.66	527.96
ETH-USD	5m	'l7\\gc^'	2021-01-01	2021-11-15	46	100	0	68.65	-4.21	81.85	50	16.74	3.18	19.46	4	3	1369.49	-343.87	23	23	263.05	527.96
ETH-USD	5m	'o:JK9p'	2021-01-01	2021-11-15	97	100	0	78.79	-8.57	94.42	44	7.1	3.07	11.01	4	7	716.96	-250.57	43	54	532.68	527.96
ETH-USD	5m	'i7nMgb'	2021-01-01	2021-11-15	27	100	0	43.61	-3.0	51.3	59	12.96	2.99	17.08	5	3	986.15	-250.97	16	11	138.45	527.96
ETH-USD	5m	'07t1iJ'	2021-01-01	2021-11-15	317	100	0	87.34	-9.04	105.09	33	3.87	2.79	11.62	10	9	647.18	-314.12	105	212	2039.53	527.96
ETH-USD	5m	'\\ERgMp'	2021-01-01	2021-11-15	38	100	0	52.81	-4.69	62.45	50	7.42	2.73	13.31	3	4	1028.8	-334.49	19	19	187.31	527.96
ETH-USD	5m	'v@WLkU'	2021-01-01	2021-11-15	96	100	0	67.6	-7.27	80.55	42	5.96	2.52	11.08	4	8	847.43	-430.06	40	56	523.28	527.96
ETH-USD	5m	'c3rg61'	2021-01-01	2021-11-15	261	100	0	128.78	-12.23	157.78	39	10.0	2.49	12.9	6	6	1911.21	-533.7	103	158	1763.8	527.96
ETH-USD	5m	'H<XF,l'	2021-01-01	2021-11-15	236	100	0	87.98	-12.91	105.9	37	3.5	2.32	8.2	7	7	852.68	-510.87	87	149	1414.2	527.96
ETH-USD	5m	'91u6iJ'	2021-01-01	2021-11-15	319	100	0	72.15	-14.53	86.18	34	1.88	2.28	5.93	4	12	730.31	-358.33	108	211	1909.12	527.96
ETH-USD	5m	'_7@QqN'	2021-01-01	2021-11-15	161	100	0	59.52	-17.9	70.64	40	0.94	2.28	3.95	5	14	560.5	-303.19	65	96	804.01	527.96
ETH-USD	5m	'75\\adC'	2021-01-01	2021-11-15	484	100	0	80.42	-11.92	96.44	33	3.94	2.02	8.09	5	15	1191.48	-419.5	158	326	2838.04	527.96
ETH-USD	5m	'F/0eI['	2021-01-01	2021-11-15	230	100	0	47.82	-10.39	56.39	37	1.7	1.97	5.43	4	10	388.93	-307.05	86	144	1089.39	527.96
ETH-USD	5m	'\\BAZGb'	2021-01-01	2021-11-15	127	100	0	49.05	-9.49	57.88	40	2.96	1.97	6.1	6	6	618.08	-284.42	51	76	593.72	527.96
ETH-USD	5m	'tGVME/'	2021-01-01	2021-11-15	171	100	0	78.87	-16.45	94.51	39	2.73	1.96	5.74	4	6	937.39	-667.88	66	105	954.62	527.96
ETH-USD	5m	'DFRlX-'	2021-01-01	2021-11-15	284	100	0	83.34	-16.05	100.09	36	3.85	1.94	6.24	4	9	1389.02	-425.79	101	183	1687.52	527.96
ETH-USD	5m	'lR\\iHN'	2021-01-01	2021-11-15	155	100	0	78.64	-15.58	94.23	34	1.88	1.89	6.05	4	8	1560.28	-523.79	53	102	895.17	527.96
ETH-USD	5m	'D9YmB.'	2021-01-01	2021-11-15	369	100	0	80.73	-12.58	96.83	36	5.13	1.87	7.7	8	7	1270.81	-509.9	132	237	2115.65	527.96
ETH-USD	5m	'1CndgF'	2021-01-01	2021-11-15	334	100	0	65.89	-22.87	78.45	32	0.65	1.78	3.43	4	10	1235.59	-433.93	108	226	1622.19	527.96
ETH-USD	5m	'OEJO,F'	2021-01-01	2021-11-15	225	100	0	60.29	-21.58	71.58	35	0.91	1.75	3.32	5	9	697.25	-275.59	79	146	1132.67	527.96
ETH-USD	5m	'1EkquE'	2021-01-01	2021-11-15	306	100	0	61.1	-22.3	72.57	32	0.72	1.71	3.25	4	13	1279.89	-417.1	97	209	1512.15	527.96
ETH-USD	5m	'5swn)a'	2021-01-01	2021-11-15	210	100	0	70.08	-17.86	83.62	26	1.79	1.7	4.68	2	12	1879.56	-499.21	55	155	1129.48	527.96
ETH-USD	5m	'`Ol@gL'	2021-01-01	2021-11-15	151	100	0	54.59	-9.73	64.61	33	3.64	1.68	6.64	4	7	831.04	-375.75	50	101	784.37	527.96
ETH-USD	5m	'4juD3['	2021-01-01	2021-11-15	243	100	0	62.14	-13.05	73.84	26	2.19	1.67	5.66	4	13	1042.75	-440.9	63	180	1246.72	527.96
ETH-USD	5m	'_(KrZG'	2021-01-01	2021-11-15	352	100	0	60.37	-21.98	71.67	38	0.66	1.63	3.26	5	10	964.85	-388.34	135	217	1863.65	527.96
ETH-USD	5m	'SWJi?Y'	2021-01-01	2021-11-15	151	100	0	52.56	-8.88	62.14	36	3.77	1.59	7.0	3	7	1011.09	-357.61	54	97	790.7	527.96
ETH-USD	5m	'wLXY\\1'	2021-01-01	2021-11-15	161	100	0	55.8	-19.78	66.09	35	0.97	1.51	3.34	5	6	1064.03	-650.87	57	104	867.43	527.96
