['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['BTC-USDT', '5m', 'BTC-USDT', '2020-10-01', '2021-10-01', '406', '-68.88', '-69.67', -69, '30', '-0.07', '-1.37', '-0.99', '2', '11', 710, -543, '120', '286', '306.4']
['ETH-USDT', '5m', 'ETH-USDT', '2020-10-01', '2021-10-01', '396', '285.35', '-30.37', 285, '39', '7.63', '2.09', '9.4', '4', '8', 2851, -1865, '153', '243', '733.2']
['SOL-USDT', '5m', 'SOL-USDT', '2020-10-01', '2021-10-01', '611', '265.74', '-60.32', 266, '40', '0.97', '1.68', '4.41', '8', '11', 2717, -1532, '246', '365', '4762.84']
['DYDX-USDT', '5m', 'DYDX-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FTM-USDT', '5m', 'FTM-USDT', '2020-10-01', '2021-10-01', '604', '241.54', '-53.89', 242, '43', '1.98', '1.64', '4.48', '5', '7', 4830, -25775, '261', '343', '2991.5']
['AVAX-USDT', '5m', 'AVAX-USDT', '2020-10-01', '2021-10-01', '552', '-85.39', '-87.84', -85, '36', '-0.07', '-1.11', '-0.97', '5', '9', 726, -475, '196', '356', '1439.54']
['LUNA-USDT', '5m', 'LUNA-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FIL-USDT', '5m', 'FIL-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ADA-USDT', '5m', 'ADA-USDT', '2020-10-01', '2021-10-01', '475', '-17.14', '-67.91', -17, '35', '-0.03', '0.27', '-0.25', '6', '10', 977, -1022, '165', '310', '1987.45']
['COTI-USDT', '5m', 'COTI-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['XRP-USDT', '5m', 'XRP-USDT', '2020-10-01', '2021-10-01', '466', '-78.3', '-91.14', -78, '33', '-0.05', '-0.96', '-0.86', '4', '12', 731, -894, '156', '310', '294.33']
['UNI-USDT', '5m', 'UNI-USDT', '2020-10-01', '2021-10-01', '503', '-43.57', '-80.89', -44, '38', '-0.05', '0.0', '-0.54', '7', '10', 775, -749, '191', '312', '465.68']
['DOT-USDT', '5m', 'DOT-USDT', '2020-10-01', '2021-10-01', '486', '-77.46', '-84.19', -77, '35', '-0.07', '-0.97', '-0.92', '5', '9', 780, -667, '168', '318', '557.53']
['BNB-USDT', '5m', 'BNB-USDT', '2020-10-01', '2021-10-01', '454', '-50.27', '-74.31', -50, '34', '-0.05', '-0.43', '-0.68', '4', '13', 816, -725, '156', '298', '1224.81']
['ATOM-USDT', '5m', 'ATOM-USDT', '2020-10-01', '2021-10-01', '555', '-47.04', '-62.2', -47, '37', '-0.12', '-0.04', '-0.76', '7', '7', 738, -808, '205', '350', '575.48']
['CELR-USDT', '5m', 'CELR-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['XTZ-USDT', '5m', 'XTZ-USDT', '2020-10-01', '2021-10-01', '517', '-83.62', '-85.45', -84, '34', '-0.08', '-1.2', '-0.98', '5', '14', 795, -512, '175', '342', '175.4']
['LINK-USDT', '5m', 'LINK-USDT', '2020-10-01', '2021-10-01', '498', '262.29', '-50.32', 262, '38', '1.64', '1.82', '5.21', '5', '16', 3159, -2798, '188', '310', '143.28']
['SUSHI-USDT', '5m', 'SUSHI-USDT', '2020-10-01', '2021-10-01', '560', '-20.04', '-53.76', -20, '39', '-0.08', '0.39', '-0.37', '5', '9', 1114, -2140, '220', '340', '692.8']
['LTC-USDT', '5m', 'LTC-USDT', '2020-10-01', '2021-10-01', '461', '3.16', '-52.63', 3, '36', '0.02', '0.49', '0.06', '5', '10', 1160, -2416, '168', '293', '230.89']
['EOS-USDT', '5m', 'EOS-USDT', '2020-10-01', '2021-10-01', '459', '-38.95', '-68.76', -39, '35', '-0.07', '-0.02', '-0.57', '6', '12', 734, -664, '161', '298', '52.56']
['ALGO-USDT', '5m', 'ALGO-USDT', '2020-10-01', '2021-10-01', '533', '183.59', '-63.41', 184, '38', '0.6', '1.5', '2.9', '5', '9', 2048, -1276, '202', '331', '368.5']
['DOGE-USDT', '5m', 'DOGE-USDT', '2020-10-01', '2021-10-01', '431', '-74.37', '-82.63', -74, '35', '-0.07', '-0.72', '-0.9', '6', '10', 733, -1439, '153', '278', '7648.1']
['CRV-USDT', '5m', 'CRV-USDT', '2020-10-01', '2021-10-01', '586', '-20.92', '-62.69', -21, '39', '-0.05', '0.41', '-0.33', '4', '9', 925, -865, '227', '359', '145.84']
['MATIC-USDT', '5m', 'MATIC-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['AXS-USDT', '5m', 'AXS-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['SRM-USDT', '5m', 'SRM-USDT', '2020-10-01', '2021-10-01', '597', '-44.34', '-87.86', -44, '38', '-0.04', '0.17', '-0.5', '4', '14', 962, -845, '227', '370', '297.33']
['REN-USDT', '5m', 'REN-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ONE-USDT', '5m', 'ONE-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ETC-USDT', '5m', 'ETC-USDT', '2020-10-01', '2021-10-01', '474', '-82.64', '-87.04', -83, '33', '-0.06', '-1.35', '-0.95', '4', '13', 654, -865, '155', '319', '773.32']
['BCH-USDT', '5m', 'BCH-USDT', '2020-10-01', '2021-10-01', '483', '-42.16', '-75.88', -42, '32', '-0.05', '-0.13', '-0.56', '7', '15', 719, -465, '154', '329', '120.12']
['ICP-USDT', '5m', 'ICP-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['AAVE-USDT', '5m', 'AAVE-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['1INCH-USDT', '5m', '1INCH-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ALICE-USDT', '5m', 'ALICE-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['NEAR-USDT', '5m', 'NEAR-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BZRX-USDT', '5m', 'BZRX-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['OMG-USDT', '5m', 'OMG-USDT', '2020-10-01', '2021-10-01', '526', '12.11', '-69.72', 12, '36', '0.04', '0.62', '0.17', '5', '11', 915, -1223, '187', '339', '209.21']
['TRX-USDT', '5m', 'TRX-USDT', '2020-10-01', '2021-10-01', '450', '94.38', '-52.03', 94, '36', '0.33', '1.2', '1.81', '4', '14', 1564, -1121, '164', '286', '241.17']
['BAKE-USDT', '5m', 'BAKE-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['GALA-USDT', '5m', 'GALA-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['THETA-USDT', '5m', 'THETA-USDT', '2020-10-01', '2021-10-01', '523', '-20.74', '-63.88', -21, '37', '-0.05', '0.33', '-0.32', '6', '10', 698, -778, '195', '328', '578.4']
['EGLD-USDT', '5m', 'EGLD-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['RUNE-USDT', '5m', 'RUNE-USDT', '2020-10-01', '2021-10-01', '605', '63.26', '-68.48', 63, '43', '0.18', '1.01', '0.92', '8', '7', 1134, -1262, '262', '343', '1330.21']
['IOTX-USDT', '5m', 'IOTX-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['C98-USDT', '5m', 'C98-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['TLM-USDT', '5m', 'TLM-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['IOST-USDT', '5m', 'IOST-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['KSM-USDT', '5m', 'KSM-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['SXP-USDT', '5m', 'SXP-USDT', '2020-10-01', '2021-10-01', '559', '-87.51', '-92.96', -88, '35', '-0.06', '-1.11', '-0.94', '6', '9', 784, -759, '195', '364', '26.01']
['VET-USDT', '5m', 'VET-USDT', '2020-10-01', '2021-10-01', '517', '207.68', '-45.37', 208, '39', '1.57', '1.61', '4.58', '4', '13', 2641, -2701, '203', '314', '608.11']
['XLM-USDT', '5m', 'XLM-USDT', '2020-10-01', '2021-10-01', '493', '56.02', '-43.23', 56, '37', '0.39', '0.94', '1.3', '5', '12', 1143, -1192, '183', '310', '271.92']
['RAY-USDT', '5m', 'RAY-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['GRT-USDT', '5m', 'GRT-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['KAVA-USDT', '5m', 'KAVA-USDT', '2020-10-01', '2021-10-01', '577', '20.59', '-56.19', 21, '38', '0.08', '0.75', '0.37', '5', '11', 1133, -1053, '218', '359', '134.58']
['MASK-USDT', '5m', 'MASK-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DODO-USDT', '5m', 'DODO-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['RLC-USDT', '5m', 'RLC-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['1000SHIB-USDT', '5m', '1000SHIB-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['COMP-USDT', '5m', 'COMP-USDT', '2020-10-01', '2021-10-01', '551', '-60.37', '-79.2', -60, '36', '-0.07', '-0.3', '-0.76', '4', '16', 728, -591, '197', '354', '137.82']
['WAVES-USDT', '5m', 'WAVES-USDT', '2020-10-01', '2021-10-01', '540', '-71.8', '-82.94', -72, '33', '-0.07', '-0.51', '-0.87', '6', '15', 869, -804, '179', '361', '839.22']
['CHR-USDT', '5m', 'CHR-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['XMR-USDT', '5m', 'XMR-USDT', '2020-10-01', '2021-10-01', '494', '-83.76', '-88.31', -84, '32', '-0.05', '-1.61', '-0.95', '5', '13', 898, -746, '157', '337', '131.91']
['ICX-USDT', '5m', 'ICX-USDT', '2020-10-01', '2021-10-01', '545', '-83.6', '-84.97', -84, '36', '-0.08', '-0.96', '-0.98', '7', '10', 685, -691, '197', '348', '263.18']
['HBAR-USDT', '5m', 'HBAR-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['SAND-USDT', '5m', 'SAND-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['DENT-USDT', '5m', 'DENT-USDT', '2020-10-01', '2021-10-01', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['NEO-USDT', '5m', 'NEO-USDT', '2020-10-01', '2021-10-01', '514', '-38.32', '-82.75', -38, '36', '-0.04', '0.0', '-0.46', '4', '9', 647, -410, '183', '331', '105.0']
