'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ETH-USDT','5m','`;BQR=','2019-01-01','2021-10-01','1007','240.82','-22.17',56,'35','3.46','1.42','2.53','4','11',1287,-1052,'350','657','2182.7'
'ETH-USDT','5m','t3GlFA','2019-01-01','2021-10-01','981','230.76','-22.36',54,'36','2.89','1.25','2.44','5','11',2023,-1332,'354','627','2182.7'
'ETH-USDT','5m','r8cD7M','2019-01-01','2021-10-01','725','213.81','-23.24',52,'37','1.71','1.31','2.22','5','9',1692,-2334,'271','454','2182.7'
'ETH-USDT','5m','b*u7.c','2019-01-01','2021-10-01','781','202.37','-23.57',50,'38','1.81','1.39','2.1','5','17',1346,-972,'296','485','2182.7'
'ETH-USDT','5m','^<IY^<','2019-01-01','2021-10-01','1010','170.94','-21.98',44,'34','2.29','1.12','1.99','5','11',1392,-894,'345','665','2182.7'
'ETH-USDT','5m','^<IY^-','2019-01-01','2021-10-01','1018','171.96','-22.64',44,'34','2.26','1.12','1.94','5','11',1397,-898,'347','671','2182.7'
'ETH-USDT','5m','^<IY^7','2019-01-01','2021-10-01','1015','164.19','-23.27',42,'34','2.07','1.09','1.82','5','11',1358,-872,'346','669','2182.7'
'ETH-USDT','5m','SI_gC','2019-01-01','2021-10-01','785','170.65','-24.48',44,'32','2.07','1.06','1.78','4','14',2121,-940,'251','534','2182.7'
'ETH-USDT','5m','r3<I5i','2019-01-01','2021-10-01','289','119.63','-19.71',33,'48','0.69','1.58','1.68','6','12',577,-818,'138','151','2182.7'
'ETH-USDT','5m','tJGfFs','2019-01-01','2021-10-01','44','40.3','-7.97',13,'48','0.87','1.08','1.64','3','4',796,-511,'21','23','2182.7'
'ETH-USDT','5m','q2DH5i','2019-01-01','2021-10-01','299','105.29','-19.47',30,'44','0.72','1.37','1.53','6','9',656,-712,'132','167','2182.7'
'ETH-USDT','5m','p2DH5i','2019-01-01','2021-10-01','299','105.29','-19.47',30,'44','0.72','1.37','1.53','6','9',656,-712,'132','167','2182.7'
'ETH-USDT','5m','o3<H5i','2019-01-01','2021-10-01','286','129.4','-23.44',35,'47','0.6','1.75','1.5','6','11',587,-763,'134','152','2182.7'
'ETH-USDT','5m','p2QH5i','2019-01-01','2021-10-01','299','133.74','-24.47',36,'44','0.67','1.44','1.48','6','9',988,-1026,'131','168','2182.7'
'ETH-USDT','5m','q2QH5i','2019-01-01','2021-10-01','299','133.74','-24.47',36,'44','0.67','1.44','1.48','6','9',988,-1026,'131','168','2182.7'
