iteration,dna,fitness,training_log.win-rate,training_log.total,training_log.PNL,testing_log.win-rate,testing_log.total,testing_log.PNL,parameters.ott_len,parameters.ott_percent,parameters.stop_loss,parameters.risk_reward,parameters.chop_rsi_len,parameters.chop_bandwidth
90,SA^CwJ,0.24917820600616114,39,104,78.1,44,25,0.06,42,322,289,34,75,156
90,<.B3ZR,0.18803804349297396,58,74,31.54,20,15,-4.69,20,153,165,20,48,191
90,;DXh8=,0.18262295081967214,34,303,73.61,34,47,7.78,20,348,263,67,17,100
90,_@7[+L,0.17901639344262296,40,231,72.53,36,41,8.32,53,313,116,55,5,165
90,f3Z@Cf,0.16990708648722674,53,43,36.61,46,13,3.31,59,197,272,31,27,277
90,tAfr*I,0.16566620179426023,41,130,84.1,39,23,-6.54,72,322,325,76,4,152
90,TJ[i<S,0.1570995286963602,34,176,75.02,41,29,14.83,43,401,276,68,20,195
90,UIKi_?,0.15475409836065573,31,231,56.69,35,34,4.92,44,392,205,68,53,109
90,S<KTQ],0.15081699503035043,52,38,34.78,56,16,2.95,42,277,205,49,40,238
90,DqP]-u,0.14794584787628004,35,95,71.79,30,13,-7.74,28,747,227,57,7,341
90,D1`++W,0.14393442622950822,43,394,47.96,31,64,-10.15,28,180,298,13,5,212
90,L`jS:f,0.14358218509370052,37,81,66.65,26,15,0.99,35,596,342,48,19,277
90,"9,D=3j",0.13344262295081968,39,294,47.26,30,62,-2.25,18,135,174,29,12,294
90,15=lw>,0.13180327868852457,33,574,69.5,25,108,0.95,10,215,143,70,75,105
90,p[\XMg,0.12790922348323513,47,19,44.02,28,7,-5.84,69,552,280,53,36,281
90,@KstuK,0.12759606670184875,36,92,41.03,44,25,10.11,24,410,382,77,73,161
90,"o,[`XY",0.12674874292777988,47,42,30.32,57,14,9.37,68,135,276,60,46,221
90,t=?r;D,0.1259016393442623,39,226,55.66,32,40,-4.85,72,286,152,76,20,131
