['Pair', 'TF', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['ETH-USD', '5m', '2020-08-09', '2020-09-18', '30', '3.53', '-9.0', 37, '33', '0.99', '4.09', '2', '8', 865, -234, '10', '20', '-2.51']
['ETH-USD', '5m', '2020-08-29', '2020-10-08', '23', '18.85', '-6.0', 383, '48', '4.08', '60.06', '3', '4', 971, -184, '11', '12', '-13.65']
['ETH-USD', '5m', '2021-03-04', '2021-04-13', '35', '-7.89', '-14.0', -53, '29', '-1.93', '-3.89', '2', '6', 507, -229, '10', '25', '36.84']
['ETH-USD', '5m', '2021-01-14', '2021-02-23', '47', '10.02', '-10.0', 139, '32', '1.75', '13.53', '3', '7', 900, -301, '15', '32', '56.5']
['ETH-USD', '5m', '2020-12-12', '2021-01-21', '36', '-0.13', '-14.0', -1, '36', '0.23', '-0.08', '3', '5', 897, -437, '13', '23', '153.61']
['ETH-USD', '5m', '2020-09-26', '2020-11-05', '21', '0.68', '-4.0', 6, '33', '0.4', '1.79', '1', '4', 348, -164, '7', '14', '14.53']
['ETH-USD', '5m', '2021-08-18', '2021-09-27', '31', '13.24', '-11.0', 211, '39', '2.82', '18.96', '5', '8', 920, -248, '12', '19', '1.43']
['ETH-USD', '5m', '2020-12-08', '2021-01-17', '33', '-2.39', '-12.0', -20, '30', '-0.16', '-1.71', '2', '5', 891, -434, '10', '23', '107.97']
['ETH-USD', '5m', '2020-06-19', '2020-07-29', '8', '11.88', '-2.0', 179, '38', '4.96', '102.1', '1', '2', 913, -137, '3', '5', '37.62']
['ETH-USD', '5m', '2020-11-10', '2020-12-20', '32', '15.06', '-7.0', 260, '31', '2.97', '38.39', '2', '9', 961, -335, '10', '22', '48.47']
['ETH-USD', '5m', '2021-07-26', '2021-09-04', '38', '-12.68', '-19.0', -71, '24', '-2.85', '-3.64', '1', '8', 710, -258, '9', '29', '80.51']
['ETH-USD', '5m', '2020-09-03', '2020-10-13', '25', '17.93', '-6.0', 350, '44', '3.82', '54.91', '3', '4', 952, -196, '11', '14', '-11.92']
['ETH-USD', '5m', '2021-01-18', '2021-02-27', '48', '24.49', '-9.0', 638, '38', '3.66', '71.37', '3', '7', 1047, -425, '18', '30', '16.61']
['ETH-USD', '5m', '2020-12-09', '2021-01-18', '34', '-3.8', '-13.0', -30, '29', '-0.41', '-2.32', '2', '5', 891, -434, '10', '24', '122.45']
['ETH-USD', '5m', '2020-11-01', '2020-12-11', '33', '13.71', '-11.0', 223, '27', '2.67', '20.1', '2', '12', 974, -352, '9', '24', '45.15']
['ETH-USD', '5m', '2020-12-20', '2021-01-29', '40', '8.35', '-14.0', 108, '40', '1.49', '7.51', '2', '5', 879, -416, '16', '24', '102.38']
['ETH-USD', '5m', '2020-11-13', '2020-12-23', '30', '21.86', '-6.0', 507, '37', '4.23', '83.06', '2', '5', 1014, -353, '11', '19', '37.5']
['ETH-USD', '5m', '2021-03-17', '2021-04-26', '37', '5.05', '-9.0', 57, '30', '1.16', '6.6', '3', '5', 921, -272, '11', '26', '28.15']
['ETH-USD', '5m', '2021-02-04', '2021-03-16', '44', '6.39', '-9.0', 76, '36', '1.32', '8.34', '3', '7', 898, -365, '16', '28', '7.28']
