'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLosses','MarketChange'
'ETH-USDT','5m','basX(','2021-06-01','2021-10-01','1313','265.19','-22.0',4719,'37','14.66','3.79','214.43','21','27',1265,-1289,'491','822','96.15'
'ETH-USDT','5m','SA^CwJ','2021-06-01','2021-10-01','1004','189.57','-21.0',2307,'44','6.11','4.42','110.2','14','18',520,-1397,'437','567','96.15'
'ETH-USDT','5m','@KstuK','2021-06-01','2021-10-01','734','181.88','-19.0',2121,'42','10.71','3.88','109.36','19','19',1253,-678,'307','427','96.15'
'ETH-USDT','5m','R@k3DY','2021-06-01','2021-10-01','1397','154.8','-15.0',1542,'43','8.02','3.83','101.93','17','24',291,-635,'595','802','96.15'
'ETH-USDT','5m','_3kl7o','2021-06-01','2021-10-01','759','129.2','-12.0',1096,'45','14.21','3.91','89.33','18','17',883,-429,'340','419','96.15'
'ETH-USDT','5m','^2QH5i','2021-06-01','2021-10-01','1369','160.96','-21.0',1663,'43','5.48','3.95','77.76','17','21',434,-786,'591','778','96.15'
'ETH-USDT','5m','L`jS:f','2021-06-01','2021-10-01','932','140.9','-17.0',1288,'38','6.56','3.06','73.72','15','21',611,-669,'350','582','96.15'
'ETH-USDT','5m','b`uS.m','2021-06-01','2021-10-01','895','150.65','-20.0',1463,'39','7.99','3.08','71.56','19','19',765,-1049,'345','550','96.15'
'ETH-USDT','5m','^3<H5i','2021-06-01','2021-10-01','1352','115.92','-13.0',900,'47','8.54','4.05','68.04','18','20',184,-352,'632','720','96.15'
'ETH-USDT','5m','q?O<ZF','2021-06-01','2021-10-01','2328','149.95','-23.0',1450,'42','4.03','3.05','64.36','20','32',269,-1243,'973','1355','96.15'
'ETH-USDT','5m','bpal.o','2021-06-01','2021-10-01','792','141.02','-25.0',1290,'39','3.86','3.05','51.83','15','20',956,-1311,'309','483','96.15'
'ETH-USDT','5m','S_XKg','2021-06-01','2021-10-01','188','62.25','-7.0',325,'48','12.86','3.71','49.37','14','14',358,-653,'91','97','96.15'
'ETH-USDT','5m','a3<H5i','2021-06-01','2021-10-01','1305','99.95','-15.0',695,'47','4.91','3.49','47.79','18','19',172,-368,'610','695','96.15'
'ETH-USDT','5m',':G<I5i','2021-06-01','2021-10-01','1930','129.61','-30.0',1102,'41','2.49','3.38','36.48','18','27',258,-540,'783','1147','96.15'
'ETH-USDT','5m','t3GlFA','2021-06-01','2021-10-01','3060','141.06','-36.0',1291,'40','2.31','2.44','36.07','20','41',570,-1444,'1222','1838','96.15'
'ETH-USDT','5m','m32lAo','2021-06-01','2021-10-01','199','39.13','-5.0',169,'58','6.84','4.16','34.65','13','7',137,-203,'115','84','96.15'
'ETH-USDT','5m','t=?r;D','2021-06-01','2021-10-01','2540','131.04','-33.0',1125,'40','1.74','2.48','33.64','20','32',464,-1331,'1013','1527','96.15'
'ETH-USDT','5m','o2<H5i','2021-06-01','2021-10-01','1147','83.76','-15.0',517,'47','4.39','3.55','33.62','16','17',170,-810,'544','603','96.15'
'ETH-USDT','5m','bFa7.c','2021-06-01','2021-10-01','1525','94.77','-19.0',635,'41','2.7','2.88','33.04','19','20',219,-1321,'631','894','96.15'
'ETH-USDT','5m','cHQS=:','2021-06-01','2021-10-01','2707','125.13','-32.0',1033,'37','1.66','2.43','32.64','20','30',462,-1409,'1002','1705','96.15'
'ETH-USDT','5m',':G<H5i','2021-06-01','2021-10-01','1930','121.52','-30.0',980,'41','2.25','3.27','32.17','18','27',244,-522,'784','1146','96.15'
'ETH-USDT','5m','k<gT>Y','2021-06-01','2021-10-01','1568','94.02','-21.0',626,'40','3.69','2.18','29.81','17','23',525,-1674,'620','948','96.15'
'ETH-USDT','5m','p\\XMg','2021-06-01','2021-10-01','161','72.28','-14.0',409,'50','3.73','3.98','28.62','11','10',399,-673,'81','80','96.15'
'ETH-USDT','5m','tAfr*I','2021-06-01','2021-10-01','1920','105.02','-27.0',757,'39','2.13','2.15','28.28','20','24',815,-1112,'741','1179','96.15'
'ETH-USDT','5m','*kX7g','2021-06-01','2021-10-01','1437','81.23','-17.0',492,'30','3.46','2.6','28.24','15','27',527,-275,'430','1007','96.15'
'ETH-USDT','5m','B3<H0i','2021-06-01','2021-10-01','3278','103.84','-28.0',742,'41','2.13','2.57','26.15','37','27',220,-510,'1335','1943','96.15'
'ETH-USDT','5m','H3<I5i','2021-06-01','2021-10-01','1791','89.13','-23.0',573,'43','2.05','2.84','25.18','33','26',197,-445,'775','1016','96.15'
'ETH-USDT','5m','d3<H5i','2021-06-01','2021-10-01','1280','80.61','-20.0',486,'48','2.93','3.25','24.66','18','18',164,-732,'608','672','96.15'
'ETH-USDT','5m','b3al6o','2021-06-01','2021-10-01','813','75.61','-18.0',439,'43','1.95','2.74','24.59','13','19',639,-757,'350','463','96.15'
'ETH-USDT','5m','k2g/>e','2021-06-01','2021-10-01','840','79.43','-20.0',475,'48','2.73','3.59','23.61','17','17',163,-797,'404','436','96.15'
'ETH-USDT','5m','r3<I5i','2021-06-01','2021-10-01','1075','70.22','-17.0',391,'48','3.71','2.9','23.1','15','21',154,-658,'521','554','96.15'
'ETH-USDT','5m','Kr-m5b','2021-06-01','2021-10-01','1332','68.73','-16.0',378,'42','3.09','2.88','23.02','15','19',141,-1161,'561','771','96.15'
'ETH-USDT','5m','b3al4o','2021-06-01','2021-10-01','1018','77.93','-20.0',461,'42','2.04','2.49','22.91','13','19',667,-790,'428','590','96.15'
'ETH-USDT','5m','unmq4r','2021-06-01','2021-10-01','401','84.64','-25.0',526,'44','1.79','2.81','21.28','16','11',926,-1442,'175','226','96.15'
'ETH-USDT','5m','r8cD7M','2021-06-01','2021-10-01','2443','99.03','-33.0',684,'39','1.26','2.22','20.64','20','28',393,-1336,'948','1495','96.15'
'ETH-USDT','5m','DqP-u','2021-06-01','2021-10-01','1218','79.21','-23.0',473,'34','1.63','2.18','20.2','17','27',396,-467,'420','798','96.15'
'ETH-USDT','5m','l3al.o','2021-06-01','2021-10-01','1329','76.92','-23.0',451,'42','2.63','2.24','19.96','18','20',693,-894,'552','777','96.15'
'ETH-USDT','5m','q2D?5i','2021-06-01','2021-10-01','1123','68.82','-19.0',379,'48','2.32','2.97','19.82','15','21',161,-784,'536','587','96.15'
'ETH-USDT','5m','k2<H5i','2021-06-01','2021-10-01','1191','70.45','-20.0',393,'47','2.15','3.01','19.63','17','18',162,-762,'562','629','96.15'
'ETH-USDT','5m',',OM_XO','2021-06-01','2021-10-01','885','55.38','-14.0',274,'34','2.15','2.6','19.23','17','20',334,-353,'299','586','96.15'
'ETH-USDT','5m','o3<H5i','2021-06-01','2021-10-01','1127','72.47','-22.0',411,'48','2.21','3.09','18.3','18','18',173,-826,'539','588','96.15'
'ETH-USDT','5m','f3<I5i','2021-06-01','2021-10-01','1252','71.21','-23.0',400,'47','1.79','2.91','17.67','18','18',169,-1383,'589','663','96.15'
'ETH-USDT','5m','b2VH5i','2021-06-01','2021-10-01','1316','79.21','-27.0',473,'42','1.65','2.59','17.61','18','20',348,-882,'550','766','96.15'
'ETH-USDT','5m','D3<l0i','2021-06-01','2021-10-01','3098','95.7','-37.0',645,'40','1.29','2.29','17.48','27','27',340,-524,'1253','1845','96.15'
'ETH-USDT','5m','CAcC+J','2021-06-01','2021-10-01','3901','99.76','-40.0',693,'36','1.5','2.09','17.41','23','31',456,-663,'1417','2484','96.15'
'ETH-USDT','5m','q2DH5i','2021-06-01','2021-10-01','1122','63.62','-20.0',336,'46','2.12','2.61','17.16','15','21',192,-758,'512','610','96.15'
'ETH-USDT','5m','p2DH5i','2021-06-01','2021-10-01','1122','63.62','-20.0',336,'46','2.12','2.61','17.16','15','21',192,-758,'512','610','96.15'
'ETH-USDT','5m','u2`H5i','2021-06-01','2021-10-01','1038','63.63','-20.0',336,'43','1.99','2.38','16.89','17','19',331,-638,'443','595','96.15'
'ETH-USDT','5m','q2<H5i','2021-06-01','2021-10-01','1123','59.33','-18.0',303,'47','2.15','2.67','16.86','15','22',152,-729,'530','593','96.15'
'ETH-USDT','5m','S<KTQ','2021-06-01','2021-10-01','324','38.67','-10.0',166,'48','2.49','2.9','16.75','13','11',221,-445,'156','168','96.15'
'ETH-USDT','5m','73<H5i','2021-06-01','2021-10-01','2139','73.6','-25.0',421,'40','1.59','2.58','16.65','23','24',167,-405,'846','1293','96.15'
'ETH-USDT','5m','^KId^2','2021-06-01','2021-10-01','2762','84.19','-32.0',522,'36','1.19','1.95','16.52','20','43',403,-1286,'1002','1760','96.15'
'ETH-USDT','5m','l2<H5i','2021-06-01','2021-10-01','1180','64.83','-21.0',346,'47','1.69','2.86','16.15','17','18',161,-774,'558','622','96.15'
'ETH-USDT','5m','N;v11m','2021-06-01','2021-10-01','1737','72.97','-28.0',415,'40','1.43','2.35','15.07','17','27',236,-620,'702','1035','96.15'
'ETH-USDT','5m','i2VH5i','2021-06-01','2021-10-01','1217','79.84','-32.0',479,'42','1.1','2.62','15.02','18','24',382,-1880,'514','703','96.15'
'ETH-USDT','5m','C3<H5m','2021-06-01','2021-10-01','1538','67.38','-25.0',367,'43','1.06','2.58','14.92','20','19',166,-381,'657','881','96.15'
'ETH-USDT','5m','o,`XY','2021-06-01','2021-10-01','360','37.96','-11.0',162,'47','1.67','2.31','14.72','15','15',358,-381,'169','191','96.15'
'ETH-USDT','5m','k2DH5i','2021-06-01','2021-10-01','1190','64.92','-24.0',347,'44','1.5','2.6','14.56','19','18',201,-772,'528','662','96.15'
'ETH-USDT','5m','c3QlI','2021-06-01','2021-10-01','902','62.4','-23.0',327,'43','1.22','2.36','14.51','15','20',489,-761,'392','510','96.15'
'ETH-USDT','5m','q3kl7o','2021-06-01','2021-10-01','659','51.66','-18.0',248,'44','1.6','2.23','14.14','15','16',560,-360,'289','370','96.15'
'ETH-USDT','5m','fFQ7.c','2021-06-01','2021-10-01','1483','50.58','-18.0',240,'46','1.36','2.05','13.45','21','22',133,-1046,'683','800','96.15'
'ETH-USDT','5m','TJi<S','2021-06-01','2021-10-01','2342','72.03','-32.0',407,'37','1.35','1.76','12.87','20','31',589,-1570,'875','1467','96.15'
'ETH-USDT','5m','b3kl7o','2021-06-01','2021-10-01','728','60.89','-25.0',315,'43','1.41','2.39','12.79','12','16',714,-417,'313','415','96.15'
'ETH-USDT','5m','O,g_Du','2021-06-01','2021-10-01','26','13.25','-4.0',45,'62','24.36','1.88','12.78','6','3',314,-135,'16','10','96.15'
'ETH-USDT','5m','m3<H5i','2021-06-01','2021-10-01','1147','61.26','-25.0',318,'47','1.16','2.68','12.49','17','19',168,-785,'541','606','96.15'
'ETH-USDT','5m','SI_gC','2021-06-01','2021-10-01','2765','81.17','-40.0',492,'36','1.23','1.85','12.39','20','39',544,-1673,'986','1779','96.15'
'ETH-USDT','5m','j1n+M`','2021-06-01','2021-10-01','362','38.17','-14.0',163,'52','1.29','3.16','11.96','19','12',104,-558,'190','172','96.15'
'ETH-USDT','5m','k2MH5i','2021-06-01','2021-10-01','1190','66.62','-30.0',361,'43','0.95','2.48','11.92','18','19',279,-900,'507','683','96.15'
'ETH-USDT','5m','I8J1jX','2021-06-01','2021-10-01','58','11.31','-3.0',38,'66','16.25','2.6','11.7','9','4',59,-125,'38','20','96.15'
'ETH-USDT','5m','83<H5i','2021-06-01','2021-10-01','2131','59.02','-26.0',301,'39','1.06','2.25','11.57','17','20',155,-312,'833','1298','96.15'
'ETH-USDT','5m','p2QH5i','2021-06-01','2021-10-01','1122','62.97','-29.0',331,'43','1.16','2.4','11.33','14','27',305,-901,'486','636','96.15'
'ETH-USDT','5m','q2QH5i','2021-06-01','2021-10-01','1122','62.97','-29.0',331,'43','1.16','2.4','11.33','14','27',305,-901,'486','636','96.15'
'ETH-USDT','5m','C0<H5i','2021-06-01','2021-10-01','2024','62.76','-29.0',329,'42','0.9','2.25','11.29','18','25',169,-387,'850','1174','96.15'
'ETH-USDT','5m','I3JlEo','2021-06-01','2021-10-01','57','13.96','-4.0',48,'56','4.64','1.72','11.27','5','5',234,-300,'32','25','96.15'
'ETH-USDT','5m','>ua7`^','2021-06-01','2021-10-01','111','15.2','-5.0',53,'42','3.43','2.02','11.07','7','10',120,-230,'47','64','96.15'
'ETH-USDT','5m','C3<H-i','2021-06-01','2021-10-01','3543','76.02','-40.0',443,'40','0.79','2.1','10.97','32','23',228,-438,'1414','2129','96.15'
'ETH-USDT','5m','b2DH5i','2021-06-01','2021-10-01','1316','58.62','-28.0',298,'44','1.03','2.28','10.66','21','20',216,-768,'577','739','96.15'
'ETH-USDT','5m','?2<H5i','2021-06-01','2021-10-01','2091','60.93','-30.0',315,'41','0.84','2.2','10.66','17','19',171,-370,'854','1237','96.15'
'ETH-USDT','5m','cEQi=?','2021-06-01','2021-10-01','2815','75.82','-41.0',441,'37','0.72','1.81','10.66','20','28',517,-1250,'1043','1772','96.15'
'ETH-USDT','5m','cEQt=K','2021-06-01','2021-10-01','2440','65.44','-34.0',351,'38','0.9','1.7','10.19','20','27',534,-1322,'936','1504','96.15'
'ETH-USDT','5m','tJGfFs','2021-06-01','2021-10-01','67','23.33','-9.0',87,'63','1.11','3.36','10.12','12','6',231,-454,'42','25','96.15'
'ETH-USDT','5m','J3al.o','2021-06-01','2021-10-01','2348','67.68','-38.0',369,'39','0.78','1.83','9.62','36','25',674,-635,'920','1428','96.15'
'ETH-USDT','5m','N<vT1>','2021-06-01','2021-10-01','3924','71.29','-42.0',400,'36','0.95','1.72','9.54','23','41',588,-566,'1412','2512','96.15'
'ETH-USDT','5m','b3a4.o','2021-06-01','2021-10-01','1495','43.05','-21.0',192,'42','0.87','1.79','9.05','18','26',161,-607,'625','870','96.15'
'ETH-USDT','5m','Ub(4N','2021-06-01','2021-10-01','1351','22.39','-10.0',83,'77','1.24','2.71','8.65','58','12',18,-222,'1038','313','96.15'
'ETH-USDT','5m',':5<I5i','2021-06-01','2021-10-01','2141','59.58','-36.0',305,'40','0.58','2.18','8.53','17','27',181,-380,'860','1281','96.15'
'ETH-USDT','5m',':2DH5m','2021-06-01','2021-10-01','1529','53.49','-31.0',260,'41','0.6','2.21','8.51','17','18',210,-392,'620','909','96.15'
'ETH-USDT','5m','C1<H5i','2021-06-01','2021-10-01','2033','51.67','-30.0',248,'41','0.71','1.93','8.27','17','29',170,-379,'836','1197','96.15'
'ETH-USDT','5m','C3<H5o','2021-06-01','2021-10-01','1301','45.37','-25.0',206,'42','0.71','2.08','8.27','20','18',147,-338,'550','751','96.15'
'ETH-USDT','5m',':8b95Z','2021-06-01','2021-10-01','4528','64.49','-43.0',343,'36','0.88','1.73','7.99','38','36',305,-581,'1618','2910','96.15'
'ETH-USDT','5m','b3a=.o','2021-06-01','2021-10-01','1495','46.93','-27.0',216,'40','0.66','1.78','7.92','17','32',258,-709,'603','892','96.15'
'ETH-USDT','5m','g2MH5i','2021-06-01','2021-10-01','1245','54.67','-34.0',269,'44','0.6','2.14','7.9','16','20',286,-1636,'544','701','96.15'
'ETH-USDT','5m','j2u?5Z','2021-06-01','2021-10-01','2135','49.61','-30.0',234,'39','0.96','1.59','7.67','17','37',380,-1618,'837','1298','96.15'
'ETH-USDT','5m','b3:l.o','2021-06-01','2021-10-01','1495','45.48','-27.0',207,'43','0.72','1.8','7.57','18','19',255,-677,'649','846','96.15'
'ETH-USDT','5m','C3<l5X','2021-06-01','2021-10-01','4159','63.26','-44.0',333,'38','0.83','1.71','7.55','46','30',344,-501,'1600','2559','96.15'
'ETH-USDT','5m','C3<H0i','2021-06-01','2021-10-01','3222','60.91','-42.0',315,'40','0.55','1.88','7.47','27','23',215,-412,'1291','1931','96.15'
'ETH-USDT','5m','p3<H5i','2021-06-01','2021-10-01','1111','40.84','-24.0',179,'47','0.84','1.95','7.45','14','21',144,-677,'526','585','96.15'
'ETH-USDT','5m','C3<H5b','2021-06-01','2021-10-01','2918','65.12','-47.0',348,'40','0.45','1.97','7.45','23','28',233,-416,'1176','1742','96.15'
'ETH-USDT','5m','C3<I0i','2021-06-01','2021-10-01','3222','60.84','-43.0',314,'40','0.53','1.87','7.33','27','23',224,-413,'1289','1933','96.15'
'ETH-USDT','5m','j3<I5i','2021-06-01','2021-10-01','1179','44.97','-28.0',204,'46','0.62','2.11','7.3','16','19',160,-1243,'548','631','96.15'
'ETH-USDT','5m','b3aN.o','2021-06-01','2021-10-01','1495','43.13','-27.0',192,'40','0.59','1.63','7.04','18','32',355,-668,'599','896','96.15'
'ETH-USDT','5m','b3aM.o','2021-06-01','2021-10-01','1495','42.22','-28.0',187,'40','0.55','1.61','6.73','17','32',351,-675,'599','896','96.15'
'ETH-USDT','5m','C3<l5','2021-06-01','2021-10-01','3836','59.3','-45.0',303,'39','0.7','1.67','6.71','42','27',351,-504,'1493','2343','96.15'
'ETH-USDT','5m','C3<J0i','2021-06-01','2021-10-01','3222','56.9','-43.0',285,'40','0.51','1.79','6.68','27','23',223,-401,'1287','1935','96.15'
'ETH-USDT','5m','b*u7.c','2021-06-01','2021-10-01','2548','52.29','-38.0',252,'39','0.43','1.68','6.66','17','23',254,-402,'989','1559','96.15'
'ETH-USDT','5m','C3<>0i','2021-06-01','2021-10-01','3224','52.4','-39.0',253,'43','0.55','1.81','6.51','26','23',144,-395,'1383','1841','96.15'
'ETH-USDT','5m','I3Jl;o','2021-06-01','2021-10-01','406','27.94','-17.0',109,'45','0.82','1.63','6.39','13','13',296,-379,'183','223','96.15'
'ETH-USDT','5m',':2DI5`','2021-06-01','2021-10-01','3813','60.15','-50.0',309,'38','0.48','1.75','6.19','31','45',251,-370,'1435','2378','96.15'
'ETH-USDT','5m',':3<K5i','2021-06-01','2021-10-01','2126','48.72','-37.0',228,'40','0.48','1.9','6.15','17','25',179,-354,'845','1281','96.15'
'ETH-USDT','5m','b3al.m','2021-06-01','2021-10-01','1593','38.93','-28.0',167,'40','0.63','1.44','6.05','18','34',512,-606,'637','956','96.15'
